Date,Open,High,Low,Close,Volume,Ticker
1989-03-14,5.5,5.5,5.5,5.5,273700,ABAE-199201
1989-03-15,5.5,5.5,5.5,5.5,132500,ABAE-199201
1989-03-16,5.5,5.5,5.5,5.5,52200,ABAE-199201
1989-03-17,5.25,5.25,5.25,5.25,72840,ABAE-199201
1989-03-20,5.25,5.25,5.25,5.25,84200,ABAE-199201
1989-03-21,6.0,6.0,6.0,6.0,125600,ABAE-199201
1989-03-22,6.0,6.0,6.0,6.0,56985,ABAE-199201
1989-03-23,5.75,5.75,5.75,5.75,51410,ABAE-199201
1989-03-27,5.75,5.75,5.75,5.75,20000,ABAE-199201
1989-03-28,5.75,5.75,5.75,5.75,7120,ABAE-199201
1989-03-29,5.75,5.75,5.75,5.75,38300,ABAE-199201
1989-03-30,5.75,5.75,5.75,5.75,28100,ABAE-199201
1989-03-31,5.75,5.75,5.75,5.75,12200,ABAE-199201
1989-04-03,5.625,5.625,5.625,5.625,17100,ABAE-199201
1989-04-04,5.25,5.25,5.25,5.25,32010,ABAE-199201
1989-04-05,5.25,5.25,5.25,5.25,10200,ABAE-199201
1989-04-06,5.25,5.25,5.25,5.25,13400,ABAE-199201
1989-04-07,5.25,5.25,5.25,5.25,24200,ABAE-199201
1989-04-10,5.25,5.25,5.25,5.25,27450,ABAE-199201
1989-04-11,5.25,5.25,5.25,5.25,42875,ABAE-199201
1989-04-12,5.25,5.25,5.25,5.25,21180,ABAE-199201
1989-04-13,5.25,5.25,5.25,5.25,13915,ABAE-199201
1989-04-14,5.25,5.25,5.25,5.25,5900,ABAE-199201
1989-04-17,5.25,5.25,5.25,5.25,10200,ABAE-199201
1989-04-18,5.25,5.25,5.25,5.25,7200,ABAE-199201
1989-04-19,5.25,5.25,5.25,5.25,13500,ABAE-199201
1989-04-20,5.25,5.25,5.25,5.25,20100,ABAE-199201
1989-04-21,5.5,5.5,5.5,5.5,11040,ABAE-199201
1989-04-24,5.375,5.375,5.375,5.375,6500,ABAE-199201
1989-04-25,5.375,5.375,5.375,5.375,1650,ABAE-199201
1989-04-26,5.25,5.25,5.25,5.25,8925,ABAE-199201
1989-04-27,5.25,5.25,5.25,5.25,4495,ABAE-199201
1989-04-28,5.25,5.25,5.25,5.25,30900,ABAE-199201
1989-05-01,5.25,5.25,5.25,5.25,9500,ABAE-199201
1989-05-02,5.25,5.25,5.25,5.25,7370,ABAE-199201
1989-05-03,5.25,5.25,5.25,5.25,36800,ABAE-199201
1989-05-04,5.25,5.25,5.25,5.25,10600,ABAE-199201
1989-05-05,5.25,5.25,5.25,5.25,3900,ABAE-199201
1989-05-08,5.125,5.125,5.125,5.125,5200,ABAE-199201
1989-05-09,5.125,5.125,5.125,5.125,1500,ABAE-199201
1989-05-10,5.125,5.125,5.125,5.125,4000,ABAE-199201
1989-05-11,5.125,5.125,5.125,5.125,8180,ABAE-199201
1989-05-12,5.125,5.125,5.125,5.125,3400,ABAE-199201
1989-05-15,5.125,5.125,5.125,5.125,2500,ABAE-199201
1989-05-16,5.125,5.125,5.125,5.125,3200,ABAE-199201
1989-05-17,5.125,5.125,5.125,5.125,2000,ABAE-199201
1989-05-18,5.0,5.0,5.0,5.0,9300,ABAE-199201
1989-05-19,5.0,5.0,5.0,5.0,15720,ABAE-199201
1989-05-22,5.125,5.125,5.125,5.125,4740,ABAE-199201
1989-05-23,5.125,5.125,5.125,5.125,6500,ABAE-199201
1989-05-24,5.125,5.125,5.125,5.125,200,ABAE-199201
1989-05-25,5.25,5.25,5.25,5.25,23600,ABAE-199201
1989-05-26,5.25,5.25,5.25,5.25,1050,ABAE-199201
1989-05-30,5.125,5.125,5.125,5.125,8800,ABAE-199201
1989-05-31,5.0,5.0,5.0,5.0,14800,ABAE-199201
1989-06-01,5.0,5.0,5.0,5.0,9000,ABAE-199201
1989-06-02,4.875,4.875,4.875,4.875,13650,ABAE-199201
1989-06-05,4.625,4.625,4.625,4.625,14500,ABAE-199201
1989-06-06,4.75,4.75,4.75,4.75,1500,ABAE-199201
1989-06-07,4.875,4.875,4.875,4.875,6900,ABAE-199201
1989-06-08,4.875,4.875,4.875,4.875,9200,ABAE-199201
1989-06-09,4.75,4.75,4.75,4.75,11250,ABAE-199201
1989-06-12,4.75,4.75,4.75,4.75,7750,ABAE-199201
1989-06-13,5.5,5.5,5.5,5.5,43400,ABAE-199201
1989-06-14,5.5,5.5,5.5,5.5,31274,ABAE-199201
1989-06-15,5.375,5.375,5.375,5.375,14450,ABAE-199201
1989-06-16,5.25,5.25,5.25,5.25,19000,ABAE-199201
1989-06-19,5.375,5.375,5.375,5.375,21550,ABAE-199201
1989-06-20,5.375,5.375,5.375,5.375,24090,ABAE-199201
1989-06-21,5.5,5.5,5.5,5.5,14600,ABAE-199201
1989-06-22,5.5,5.5,5.5,5.5,3300,ABAE-199201
1989-06-23,5.5,5.5,5.5,5.5,23500,ABAE-199201
1989-06-26,5.5,5.5,5.5,5.5,500,ABAE-199201
1989-06-27,5.625,5.625,5.625,5.625,28050,ABAE-199201
1989-06-28,5.625,5.625,5.625,5.625,15300,ABAE-199201
1989-06-29,5.375,5.375,5.375,5.375,11000,ABAE-199201
1989-06-30,5.375,5.375,5.375,5.375,3000,ABAE-199201
1989-07-03,5.375,5.375,5.375,5.375,500,ABAE-199201
1989-07-05,5.375,5.375,5.375,5.375,9755,ABAE-199201
1989-07-06,5.75,5.75,5.75,5.75,23600,ABAE-199201
1989-07-07,5.875,5.875,5.875,5.875,34650,ABAE-199201
1989-07-10,6.125,6.125,6.125,6.125,12450,ABAE-199201
1989-07-11,6.25,6.25,6.25,6.25,24000,ABAE-199201
1989-07-12,6.0,6.0,6.0,6.0,21850,ABAE-199201
1989-07-13,6.25,6.25,6.25,6.25,19000,ABAE-199201
1989-07-14,6.25,6.25,6.25,6.25,7400,ABAE-199201
1989-07-17,6.125,6.125,6.125,6.125,12500,ABAE-199201
1989-07-18,6.25,6.25,6.25,6.25,24800,ABAE-199201
1989-07-19,6.25,6.25,6.25,6.25,7225,ABAE-199201
1989-07-20,6.25,6.25,6.25,6.25,6750,ABAE-199201
1989-07-21,6.125,6.125,6.125,6.125,19442,ABAE-199201
1989-07-24,6.125,6.125,6.125,6.125,3700,ABAE-199201
1989-07-25,6.125,6.125,6.125,6.125,400,ABAE-199201
1989-07-26,6.125,6.125,6.125,6.125,15220,ABAE-199201
1989-07-27,6.125,6.125,6.125,6.125,10500,ABAE-199201
1989-07-28,6.125,6.125,6.125,6.125,5000,ABAE-199201
1989-07-31,6.125,6.125,6.125,6.125,4500,ABAE-199201
1989-08-01,6.0,6.0,6.0,6.0,19000,ABAE-199201
1989-08-02,6.0,6.0,6.0,6.0,10940,ABAE-199201
1989-08-03,6.125,6.125,6.125,6.125,10675,ABAE-199201
1989-08-04,6.0,6.0,6.0,6.0,8100,ABAE-199201
1989-08-07,6.125,6.125,6.125,6.125,10400,ABAE-199201
1989-08-08,6.125,6.125,6.125,6.125,6300,ABAE-199201
1989-08-09,6.125,6.125,6.125,6.125,1500,ABAE-199201
1989-08-10,6.0,6.0,6.0,6.0,4985,ABAE-199201
1989-08-11,6.0,6.0,6.0,6.0,4000,ABAE-199201
1989-08-14,6.0,6.0,6.0,6.0,1000,ABAE-199201
1989-08-15,5.75,5.75,5.75,5.75,3883,ABAE-199201
1989-08-16,5.5,5.5,5.5,5.5,16800,ABAE-199201
1989-08-17,5.5,5.5,5.5,5.5,2000,ABAE-199201
1989-08-18,5.5,5.5,5.5,5.5,1025,ABAE-199201
1989-08-21,5.5,5.5,5.5,5.5,1000,ABAE-199201
1989-08-22,5.5,5.5,5.5,5.5,4010,ABAE-199201
1989-08-23,5.5,5.5,5.5,5.5,3600,ABAE-199201
1989-08-24,5.375,5.375,5.375,5.375,1200,ABAE-199201
1989-08-25,5.375,5.375,5.375,5.375,9000,ABAE-199201
1989-08-30,5.125,5.125,5.125,5.125,17170,ABAE-199201
1989-08-31,5.25,5.25,5.25,5.25,425,ABAE-199201
1989-09-01,5.125,5.125,5.125,5.125,7000,ABAE-199201
1989-09-05,5.0,5.0,5.0,5.0,1200,ABAE-199201
1989-09-06,5.25,5.25,5.25,5.25,8870,ABAE-199201
1989-09-07,5.25,5.25,5.25,5.25,3100,ABAE-199201
1989-09-08,5.25,5.25,5.25,5.25,400,ABAE-199201
1989-09-11,5.25,5.25,5.25,5.25,1940,ABAE-199201
1989-09-12,5.25,5.25,5.25,5.25,1200,ABAE-199201
1989-09-14,5.25,5.25,5.25,5.25,12500,ABAE-199201
1989-09-15,5.25,5.25,5.25,5.25,10000,ABAE-199201
1989-09-18,5.25,5.25,5.25,5.25,15300,ABAE-199201
1989-09-19,5.375,5.375,5.375,5.375,62730,ABAE-199201
1989-09-20,5.5,5.5,5.5,5.5,28600,ABAE-199201
1989-09-21,5.5,5.5,5.5,5.5,15750,ABAE-199201
1989-09-22,5.5,5.5,5.5,5.5,12250,ABAE-199201
1989-09-25,5.5,5.5,5.5,5.5,9500,ABAE-199201
1989-09-26,5.5,5.5,5.5,5.5,11500,ABAE-199201
1989-09-27,5.25,5.25,5.25,5.25,7300,ABAE-199201
1989-09-28,5.25,5.25,5.25,5.25,11700,ABAE-199201
1989-09-29,5.25,5.25,5.25,5.25,2000,ABAE-199201
1989-10-02,5.125,5.125,5.125,5.125,1000,ABAE-199201
1989-10-03,5.125,5.125,5.125,5.125,3590,ABAE-199201
1989-10-04,5.125,5.125,5.125,5.125,2100,ABAE-199201
1989-10-05,5.125,5.125,5.125,5.125,3200,ABAE-199201
1989-10-06,5.125,5.125,5.125,5.125,5600,ABAE-199201
1989-10-09,5.125,5.125,5.125,5.125,3300,ABAE-199201
1989-10-10,5.125,5.125,5.125,5.125,5350,ABAE-199201
1989-10-11,4.375,4.375,4.375,4.375,12530,ABAE-199201
1989-10-12,4.375,4.375,4.375,4.375,1500,ABAE-199201
1989-10-13,3.625,3.625,3.625,3.625,29700,ABAE-199201
1989-10-16,3.375,3.375,3.375,3.375,16416,ABAE-199201
1989-10-17,3.375,3.375,3.375,3.375,2800,ABAE-199201
1989-10-18,3.375,3.375,3.375,3.375,3625,ABAE-199201
1989-10-19,3.625,3.625,3.625,3.625,16200,ABAE-199201
1989-10-20,3.75,3.75,3.75,3.75,15700,ABAE-199201
1989-10-23,3.75,3.75,3.75,3.75,14125,ABAE-199201
1989-10-24,3.5,3.5,3.5,3.5,8170,ABAE-199201
1989-10-25,3.5,3.5,3.5,3.5,3300,ABAE-199201
1989-10-26,3.5,3.5,3.5,3.5,9000,ABAE-199201
