Date,Open,High,Low,Close,Volume,Ticker
1986-03-11,5.75,5.75,5.75,5.75,225295,ABCI-198707
1986-03-12,6.125,6.125,6.125,6.125,110200,ABCI-198707
1986-03-13,5.5,5.5,5.5,5.5,35270,ABCI-198707
1986-03-14,6.25,6.25,6.25,6.25,78150,ABCI-198707
1986-03-17,7.25,7.25,7.25,7.25,53575,ABCI-198707
1986-03-18,7.5,7.5,7.5,7.5,39390,ABCI-198707
1986-03-19,7.5,7.5,7.5,7.5,131705,ABCI-198707
1986-03-20,7.25,7.25,7.25,7.25,23620,ABCI-198707
1986-03-21,7.25,7.25,7.25,7.25,26200,ABCI-198707
1986-03-24,7.0,7.0,7.0,7.0,13000,ABCI-198707
1986-03-25,7.5,7.5,7.5,7.5,55000,ABCI-198707
1986-03-26,7.25,7.25,7.25,7.25,70910,ABCI-198707
1986-03-27,7.25,7.25,7.25,7.25,11880,ABCI-198707
1986-03-31,7.25,7.25,7.25,7.25,3500,ABCI-198707
1986-04-01,7.25,7.25,7.25,7.25,61250,ABCI-198707
1986-04-02,7.25,7.25,7.25,7.25,22240,ABCI-198707
1986-04-03,7.5,7.5,7.5,7.5,4150,ABCI-198707
1986-04-04,8.0,8.0,8.0,8.0,26950,ABCI-198707
1986-04-07,8.0,8.0,8.0,8.0,3400,ABCI-198707
1986-04-08,8.0,8.0,8.0,8.0,30300,ABCI-198707
1986-04-09,8.0,8.0,8.0,8.0,24600,ABCI-198707
1986-04-10,8.25,8.25,8.25,8.25,89000,ABCI-198707
1986-04-11,8.25,8.25,8.25,8.25,5230,ABCI-198707
1986-04-14,8.25,8.25,8.25,8.25,3400,ABCI-198707
1986-04-15,8.25,8.25,8.25,8.25,8162,ABCI-198707
1986-04-16,9.0,9.0,9.0,9.0,37050,ABCI-198707
1986-04-17,9.25,9.25,9.25,9.25,18950,ABCI-198707
1986-04-18,9.25,9.25,9.25,9.25,8700,ABCI-198707
1986-04-21,9.5,9.5,9.5,9.5,5210,ABCI-198707
1986-04-22,9.75,9.75,9.75,9.75,27630,ABCI-198707
1986-04-23,9.75,9.75,9.75,9.75,22900,ABCI-198707
1986-04-24,10.25,10.25,10.25,10.25,18180,ABCI-198707
1986-04-25,10.0,10.0,10.0,10.0,25000,ABCI-198707
1986-04-28,10.0,10.0,10.0,10.0,3850,ABCI-198707
1986-04-29,10.0,10.0,10.0,10.0,9850,ABCI-198707
1986-04-30,10.0,10.0,10.0,10.0,13650,ABCI-198707
1986-05-01,9.5,9.5,9.5,9.5,18200,ABCI-198707
1986-05-02,9.75,9.75,9.75,9.75,32350,ABCI-198707
1986-05-05,9.75,9.75,9.75,9.75,5900,ABCI-198707
1986-05-06,10.25,10.25,10.25,10.25,34975,ABCI-198707
1986-05-07,10.25,10.25,10.25,10.25,2000,ABCI-198707
1986-05-08,10.25,10.25,10.25,10.25,13680,ABCI-198707
1986-05-09,10.375,10.375,10.375,10.375,8900,ABCI-198707
1986-05-12,10.0,10.0,10.0,10.0,10150,ABCI-198707
1986-05-13,10.0,10.0,10.0,10.0,9200,ABCI-198707
1986-05-14,10.0,10.0,10.0,10.0,10000,ABCI-198707
1986-05-15,10.0,10.0,10.0,10.0,4400,ABCI-198707
1986-05-16,3.75,3.75,3.75,3.75,67426,ABCI-198707
1986-05-19,8.125,8.125,8.125,8.125,112759,ABCI-198707
1986-05-20,8.75,8.75,8.75,8.75,37757,ABCI-198707
1986-05-21,8.875,8.875,8.875,8.875,13950,ABCI-198707
1986-05-22,8.375,8.375,8.375,8.375,21800,ABCI-198707
