Date,Open,High,Low,Close,Volume,Ticker
1994-04-29,10.375,10.375,10.0,10.0,1329150,ABCO-199905
1994-05-02,10.375,10.375,10.0,10.0,67450,ABCO-199905
1994-05-03,10.0,10.25,10.0,10.125,201250,ABCO-199905
1994-05-04,10.0,10.25,10.0,10.0,31600,ABCO-199905
1994-05-05,10.0,10.25,10.0,10.0,81900,ABCO-199905
1994-05-06,10.0,10.25,10.0,10.0,127395,ABCO-199905
1994-05-09,10.0,10.25,10.0,10.0,29295,ABCO-199905
1994-05-10,10.0,10.125,10.0,10.0,136350,ABCO-199905
1994-05-11,10.0,10.25,10.0,10.25,37750,ABCO-199905
1994-05-12,10.0,10.25,10.0,10.0,142700,ABCO-199905
1994-05-13,10.0,10.25,9.25,9.5,144755,ABCO-199905
1994-05-16,9.5,9.5,9.5,9.5,40650,ABCO-199905
1994-05-17,9.5,9.625,9.5,9.5,34500,ABCO-199905
1994-05-18,9.5,9.5,9.5,9.5,14900,ABCO-199905
1994-05-19,9.5,9.625,9.5,9.5,82800,ABCO-199905
1994-05-20,9.5,9.625,9.5,9.5,19900,ABCO-199905
1994-05-23,9.5,9.625,9.5,9.5,62330,ABCO-199905
1994-05-24,9.625,10.25,9.5,9.875,77400,ABCO-199905
1994-05-25,10.125,10.125,9.875,10.0,20800,ABCO-199905
1994-05-26,9.875,10.625,9.875,10.625,113112,ABCO-199905
1994-05-27,10.375,10.625,10.25,10.5,85100,ABCO-199905
1994-05-31,10.375,10.625,10.0,10.0,55100,ABCO-199905
1994-06-01,10.0,10.25,10.0,10.25,52188,ABCO-199905
1994-06-02,10.375,10.375,10.125,10.25,243900,ABCO-199905
1994-06-03,10.125,10.75,10.125,10.625,111050,ABCO-199905
1994-06-06,10.75,10.75,10.375,10.5,97025,ABCO-199905
1994-06-07,10.5,10.75,10.375,10.75,131500,ABCO-199905
1994-06-08,10.75,10.75,10.375,10.75,404350,ABCO-199905
1994-06-09,10.75,11.25,10.375,11.0,94255,ABCO-199905
1994-06-10,11.25,11.25,10.75,11.125,33310,ABCO-199905
1994-06-13,11.125,11.125,10.5,10.5,50500,ABCO-199905
1994-06-14,10.875,10.875,10.5,10.875,22550,ABCO-199905
1994-06-15,10.875,10.875,10.625,10.625,62850,ABCO-199905
1994-06-16,10.875,11.25,10.75,11.25,83750,ABCO-199905
1994-06-17,11.0,11.25,11.0,11.0,27100,ABCO-199905
1994-06-20,11.0,11.5,11.0,11.25,56050,ABCO-199905
1994-06-21,11.125,11.625,11.125,11.375,73100,ABCO-199905
1994-06-22,11.625,12.75,11.375,12.625,157341,ABCO-199905
1994-06-23,12.75,12.75,11.75,12.125,54975,ABCO-199905
1994-06-24,12.125,12.625,12.0,12.25,123395,ABCO-199905
1994-06-27,12.375,12.75,12.25,12.625,217955,ABCO-199905
1994-06-28,12.75,12.75,12.375,12.625,94658,ABCO-199905
1994-06-29,12.375,12.625,12.375,12.5,32520,ABCO-199905
1994-06-30,12.625,13.0,12.5,13.0,72400,ABCO-199905
1994-07-01,13.0,13.0,12.625,13.0,1948,ABCO-199905
1994-07-05,12.75,13.0,12.625,12.625,14943,ABCO-199905
1994-07-06,13.0,13.375,12.625,13.0,40108,ABCO-199905
1994-07-07,13.5,13.5,13.125,13.25,42600,ABCO-199905
1994-07-08,13.125,13.375,13.125,13.375,56612,ABCO-199905
1994-07-11,13.375,13.5,13.0,13.5,167557,ABCO-199905
1994-07-12,13.125,13.5,13.125,13.25,10450,ABCO-199905
1994-07-13,13.125,13.5,13.125,13.125,14000,ABCO-199905
1994-07-14,13.5,13.5,13.125,13.5,4150,ABCO-199905
1994-07-15,13.5,13.625,13.25,13.625,8540,ABCO-199905
1994-07-18,13.5,14.125,13.375,13.75,42565,ABCO-199905
1994-07-19,14.125,14.125,13.75,13.75,3200,ABCO-199905
1994-07-20,14.125,14.5,13.625,13.875,46760,ABCO-199905
1994-07-21,14.0,15.5,13.875,14.5,149590,ABCO-199905
1994-07-22,14.75,15.125,14.375,14.625,23535,ABCO-199905
1994-07-25,14.75,14.75,14.0,14.25,30580,ABCO-199905
1994-07-26,14.375,14.375,13.0,13.5,67700,ABCO-199905
1994-07-27,13.25,13.5,13.25,13.5,26200,ABCO-199905
1994-07-28,13.5,13.625,13.25,13.625,10470,ABCO-199905
1994-07-29,13.625,14.75,13.625,14.375,66560,ABCO-199905
1994-08-01,14.375,14.625,13.875,14.0,55500,ABCO-199905
1994-08-02,14.0,14.375,13.25,13.625,34390,ABCO-199905
1994-08-03,13.625,14.0,13.375,13.75,28075,ABCO-199905
1994-08-04,13.375,13.75,13.375,13.75,3080,ABCO-199905
1994-08-05,13.75,13.75,13.75,13.75,1700,ABCO-199905
1994-08-08,13.75,13.75,13.375,13.5,7200,ABCO-199905
1994-08-09,13.75,14.375,13.75,14.375,30666,ABCO-199905
1994-08-10,14.5,14.5,14.0,14.375,26100,ABCO-199905
1994-08-11,14.25,14.25,13.5,13.5,6000,ABCO-199905
1994-08-12,13.5,13.875,13.5,13.875,25294,ABCO-199905
1994-08-15,13.5,13.875,13.5,13.875,8900,ABCO-199905
1994-08-16,13.5,13.75,13.375,13.625,13950,ABCO-199905
1994-08-17,13.625,13.625,13.25,13.625,31125,ABCO-199905
1994-08-18,13.625,13.625,13.25,13.375,10450,ABCO-199905
1994-08-19,13.25,13.625,13.25,13.625,1610,ABCO-199905
1994-08-22,13.25,13.625,13.25,13.25,5200,ABCO-199905
1994-08-23,13.625,13.625,13.25,13.375,4605,ABCO-199905
1994-08-24,13.625,13.75,13.375,13.5,17860,ABCO-199905
1994-08-25,13.625,14.5,13.625,14.0,62500,ABCO-199905
1994-08-26,14.0,14.375,14.0,14.0,1600,ABCO-199905
1994-08-29,14.0,14.375,14.0,14.375,3175,ABCO-199905
1994-08-30,14.0,14.375,14.0,14.0,11005,ABCO-199905
1994-08-31,14.0,14.625,14.0,14.625,15395,ABCO-199905
1994-09-01,14.625,14.625,14.25,14.25,7075,ABCO-199905
1994-09-02,14.625,14.625,14.25,14.375,18450,ABCO-199905
1994-09-06,14.375,15.0,14.375,14.75,26400,ABCO-199905
1994-09-07,14.875,15.625,14.875,15.375,60500,ABCO-199905
1994-09-08,15.25,15.5,15.25,15.5,22800,ABCO-199905
1994-09-09,15.125,15.625,15.125,15.625,41000,ABCO-199905
1994-09-12,15.75,15.75,15.375,15.375,3610,ABCO-199905
1994-09-13,15.75,15.75,15.375,15.375,1600,ABCO-199905
1994-09-14,15.375,15.75,15.375,15.75,1595,ABCO-199905
1994-09-15,15.375,16.25,15.375,16.25,37955,ABCO-199905
1994-09-16,16.0,16.25,16.0,16.0,29006,ABCO-199905
1994-09-19,16.0,16.25,15.875,16.25,56150,ABCO-199905
1994-09-20,16.25,17.0,16.25,16.625,47750,ABCO-199905
1994-09-21,16.875,17.375,16.625,17.125,55940,ABCO-199905
1994-09-22,16.375,16.5,15.75,16.0,219410,ABCO-199905
1994-09-23,16.125,16.25,15.75,16.125,123700,ABCO-199905
1994-09-26,16.25,16.625,16.0,16.375,35535,ABCO-199905
1994-09-27,16.75,17.0,16.75,16.75,37565,ABCO-199905
1994-09-28,16.75,17.0,16.5,16.75,39100,ABCO-199905
1994-09-29,16.5,17.0,16.5,17.0,18000,ABCO-199905
1994-09-30,16.875,17.375,16.875,17.125,15900,ABCO-199905
1994-10-03,17.0,17.25,17.0,17.0,35000,ABCO-199905
1994-10-04,16.75,16.875,16.25,16.25,22200,ABCO-199905
1994-10-05,16.125,16.5,15.75,16.0,8470,ABCO-199905
1994-10-06,15.875,16.125,15.875,16.125,2900,ABCO-199905
1994-10-07,16.0,16.0,15.75,16.0,3500,ABCO-199905
1994-10-10,16.0,16.375,16.0,16.375,8150,ABCO-199905
1994-10-11,16.375,16.625,16.25,16.625,3850,ABCO-199905
1994-10-12,16.625,17.0,16.375,16.375,66700,ABCO-199905
1994-10-13,16.5,16.625,16.375,16.375,8570,ABCO-199905
1994-10-14,16.5,16.625,16.25,16.625,8500,ABCO-199905
1994-10-17,16.625,16.625,16.25,16.625,14330,ABCO-199905
1994-10-18,16.625,17.0,16.5,17.0,285520,ABCO-199905
1994-10-19,17.875,18.125,17.25,17.875,60264,ABCO-199905
1994-10-20,18.0,18.625,17.75,18.5,64027,ABCO-199905
1994-10-21,18.25,18.75,18.25,18.625,64300,ABCO-199905
1994-10-24,18.75,18.75,18.375,18.5,27650,ABCO-199905
1994-10-25,17.625,18.0,17.625,17.625,53150,ABCO-199905
1994-10-26,18.0,18.125,17.625,18.125,11905,ABCO-199905
1994-10-27,18.125,18.375,18.0,18.375,19951,ABCO-199905
1994-10-28,18.5,18.5,18.125,18.5,56000,ABCO-199905
1994-10-31,18.375,19.375,18.375,19.375,92940,ABCO-199905
1994-11-01,19.5,19.625,19.125,19.625,31600,ABCO-199905
1994-11-02,19.5,19.625,19.375,19.375,24200,ABCO-199905
1994-11-03,19.25,19.5,19.25,19.375,6181,ABCO-199905
1994-11-04,19.25,19.375,18.5,18.5,87056,ABCO-199905
1994-11-07,18.625,18.875,18.375,18.5,18436,ABCO-199905
1994-11-08,18.75,18.75,18.375,18.75,10791,ABCO-199905
1994-11-09,18.375,18.75,18.25,18.625,27687,ABCO-199905
1994-11-10,18.25,18.625,18.25,18.625,2600,ABCO-199905
1994-11-11,18.25,18.25,18.0,18.0,10850,ABCO-199905
1994-11-14,18.25,18.5,17.875,18.375,28297,ABCO-199905
1994-11-15,18.5,18.5,18.375,18.5,6000,ABCO-199905
1994-11-16,18.625,18.625,18.125,18.125,5010,ABCO-199905
1994-11-17,18.25,18.375,18.125,18.25,15686,ABCO-199905
1994-11-18,18.625,18.625,18.25,18.625,22465,ABCO-199905
