Date,Open,High,Low,Close,Volume,Ticker
1996-12-12,21.0,21.25,21.0,21.0,3761400,ABG-200109
1996-12-13,21.0,21.0,19.125,19.125,1058500,ABG-200109
1996-12-16,19.0,19.5,18.0,18.5,313000,ABG-200109
1996-12-17,18.25,18.375,18.0,18.25,488200,ABG-200109
1996-12-18,17.875,17.875,16.375,16.875,472600,ABG-200109
1996-12-19,16.5,17.625,16.25,17.5,344700,ABG-200109
1996-12-20,17.75,18.5,17.125,17.25,253100,ABG-200109
1996-12-23,16.875,17.375,16.875,17.0,52400,ABG-200109
1996-12-24,17.0,17.0,16.625,16.75,12200,ABG-200109
1996-12-26,17.0,17.0,16.875,16.875,18700,ABG-200109
1996-12-27,15.25,15.25,14.0,14.5,282500,ABG-200109
1996-12-30,14.75,14.75,14.5,14.625,185100,ABG-200109
1996-12-31,14.5,14.625,14.375,14.375,36600,ABG-200109
1997-01-02,14.25,14.25,13.5,13.625,210300,ABG-200109
1997-01-03,13.0,14.125,13.0,14.125,233200,ABG-200109
1997-01-06,13.875,13.875,13.5,13.5,12700,ABG-200109
1997-01-07,13.625,14.125,13.5,14.0,113300,ABG-200109
1997-01-08,14.125,14.875,14.125,14.625,233300,ABG-200109
1997-01-09,14.875,15.5,14.875,15.125,139700,ABG-200109
1997-01-10,14.75,15.0,14.75,15.0,11200,ABG-200109
1997-01-13,15.0,15.0,14.75,14.75,183100,ABG-200109
1997-01-14,14.875,14.875,14.5,14.625,43500,ABG-200109
1997-01-15,14.875,14.875,14.625,14.75,98100,ABG-200109
1997-01-16,14.375,14.375,13.75,14.0,187400,ABG-200109
1997-01-17,14.5,14.875,14.125,14.125,37400,ABG-200109
1997-01-20,14.125,14.125,13.875,13.875,14000,ABG-200109
1997-01-21,13.875,13.875,13.75,13.875,39500,ABG-200109
1997-01-22,13.75,13.75,13.125,13.125,68900,ABG-200109
1997-01-23,13.125,13.625,13.0,13.25,205100,ABG-200109
1997-01-24,13.5,13.5,13.125,13.125,71500,ABG-200109
1997-01-27,13.0,13.0,13.0,13.0,1400,ABG-200109
1997-01-28,13.0,13.0,12.125,12.125,27100,ABG-200109
1997-01-29,12.0,13.5,12.0,12.875,46800,ABG-200109
1997-01-30,12.875,12.875,12.75,12.75,2000,ABG-200109
1997-01-31,12.75,12.75,12.75,12.75,1000,ABG-200109
1997-02-03,12.625,12.625,12.625,12.625,4000,ABG-200109
1997-02-04,12.75,12.875,12.75,12.875,89500,ABG-200109
1997-02-05,12.875,12.875,12.375,12.5,173300,ABG-200109
1997-02-06,12.375,12.75,12.375,12.625,134400,ABG-200109
1997-02-07,12.625,12.625,12.625,12.625,1100,ABG-200109
1997-02-10,12.75,12.75,12.5,12.75,36800,ABG-200109
1997-02-11,12.625,12.625,12.5,12.5,1500,ABG-200109
1997-02-12,12.75,12.75,12.625,12.75,50900,ABG-200109
1997-02-13,12.625,12.625,12.625,12.625,1000,ABG-200109
1997-02-14,12.625,12.625,12.625,12.625,38500,ABG-200109
1997-02-18,12.5,12.625,12.375,12.375,29600,ABG-200109
1997-02-19,12.375,12.375,12.25,12.25,33300,ABG-200109
1997-02-20,12.125,12.5,12.125,12.5,64600,ABG-200109
1997-02-21,12.5,12.75,12.5,12.625,37700,ABG-200109
1997-02-24,12.875,12.875,12.5,12.75,105300,ABG-200109
1997-02-25,12.875,13.0,12.875,13.0,5000,ABG-200109
1997-02-26,13.25,13.375,13.0,13.0,10700,ABG-200109
1997-02-27,12.875,12.875,12.5,12.625,22800,ABG-200109
1997-02-28,12.5,12.75,12.5,12.75,101200,ABG-200109
1997-03-03,12.75,12.75,12.75,12.75,32500,ABG-200109
1997-03-04,12.875,13.0,12.75,12.75,49500,ABG-200109
1997-03-05,12.875,12.875,12.875,12.875,1800,ABG-200109
1997-03-06,12.875,12.875,12.875,12.875,200,ABG-200109
1997-03-07,12.75,12.75,12.75,12.75,1000,ABG-200109
1997-03-10,12.75,12.75,12.5,12.5,5400,ABG-200109
1997-03-11,12.375,12.375,12.25,12.25,3700,ABG-200109
1997-03-12,12.125,12.125,12.0,12.0,6500,ABG-200109
1997-03-13,12.0,12.0,12.0,12.0,1200,ABG-200109
1997-03-14,11.75,11.75,11.5,11.5,23500,ABG-200109
1997-03-17,11.75,12.625,11.0,12.625,173800,ABG-200109
1997-03-18,13.0,13.0,12.625,13.0,336400,ABG-200109
1997-03-19,13.25,13.25,12.875,12.875,43500,ABG-200109
1997-03-20,12.875,12.875,12.5,12.75,71800,ABG-200109
1997-03-21,12.875,12.875,12.625,12.625,18500,ABG-200109
1997-03-24,12.5,12.5,12.25,12.5,21700,ABG-200109
1997-03-25,12.125,12.375,12.0,12.0,10000,ABG-200109
1997-03-26,12.125,12.125,11.375,11.375,61600,ABG-200109
1997-03-27,11.125,11.125,9.75,9.875,55200,ABG-200109
1997-03-31,9.75,9.75,9.5,9.625,12000,ABG-200109
1997-04-01,9.75,10.0,9.75,9.875,27300,ABG-200109
1997-04-02,9.875,10.5,9.875,10.25,94100,ABG-200109
1997-04-03,10.0,10.0,9.75,9.75,51600,ABG-200109
1997-04-04,9.625,9.875,9.625,9.75,51600,ABG-200109
1997-04-07,9.875,9.875,9.625,9.625,41700,ABG-200109
1997-04-08,9.625,9.625,8.25,8.875,379600,ABG-200109
1997-04-09,8.875,8.875,8.375,8.375,290700,ABG-200109
1997-04-10,8.5,8.75,8.375,8.75,112600,ABG-200109
1997-04-11,8.75,8.75,8.625,8.625,6500,ABG-200109
1997-04-14,8.5,8.5,8.5,8.5,15000,ABG-200109
1997-04-15,8.75,9.0,8.625,8.625,27900,ABG-200109
1997-04-16,8.625,8.625,8.0,8.0,51700,ABG-200109
1997-04-17,8.0,8.0,7.0,7.125,33700,ABG-200109
1997-04-18,7.0,7.0,6.0,6.75,518600,ABG-200109
1997-04-21,6.75,6.75,6.375,6.375,11600,ABG-200109
1997-04-22,6.5,6.625,6.5,6.5,1600,ABG-200109
1997-04-23,6.5,6.875,6.5,6.875,1600,ABG-200109
1997-04-24,7.0,7.375,7.0,7.375,15100,ABG-200109
1997-04-25,7.25,7.25,7.25,7.25,1000,ABG-200109
1997-04-28,7.375,7.5,7.375,7.5,77300,ABG-200109
