Date,Open,High,Low,Close,Volume,Ticker
1997-01-28,4.625,4.9375,4.46875,4.46875,4076440,ABNK-200512
1997-01-29,4.53125,4.53125,4.46875,4.5,1324340,ABNK-200512
1997-01-30,4.53125,4.5625,4.46875,4.53125,618452,ABNK-200512
1997-01-31,4.5625,4.75,4.53125,4.6875,566768,ABNK-200512
1997-02-03,4.75,4.75,4.65625,4.75,112244,ABNK-200512
1997-02-04,4.75,4.75,4.59375,4.59375,165960,ABNK-200512
1997-02-05,4.65625,4.65625,4.5,4.625,327904,ABNK-200512
1997-02-06,4.625,4.625,4.53125,4.625,269000,ABNK-200512
1997-02-07,4.625,4.71875,4.5625,4.6875,76800,ABNK-200512
1997-02-10,4.6875,4.6875,4.59375,4.65625,40360,ABNK-200512
1997-02-11,4.65625,4.65625,4.5625,4.5625,96400,ABNK-200512
1997-02-12,4.625,4.6875,4.5625,4.59375,205500,ABNK-200512
1997-02-13,4.71875,4.75,4.65625,4.71875,194940,ABNK-200512
1997-02-14,4.75,4.78125,4.6875,4.78125,284904,ABNK-200512
1997-02-18,4.8125,4.84375,4.75,4.75,293324,ABNK-200512
1997-02-19,4.75,4.875,4.75,4.8125,278360,ABNK-200512
1997-02-20,4.84375,4.84375,4.75,4.8125,95872,ABNK-200512
1997-02-21,4.8125,4.84375,4.75,4.84375,601608,ABNK-200512
1997-02-24,4.84375,4.96875,4.78125,4.9375,188788,ABNK-200512
1997-02-25,4.96875,4.96875,4.875,4.96875,208040,ABNK-200512
1997-02-26,4.875,4.9375,4.875,4.875,104260,ABNK-200512
1997-02-27,4.875,4.9375,4.875,4.9375,21600,ABNK-200512
1997-02-28,4.9375,4.9375,4.78125,4.8125,127600,ABNK-200512
1997-03-03,4.875,4.875,4.78125,4.78125,44548,ABNK-200512
1997-03-04,4.8125,4.90625,4.8125,4.875,331480,ABNK-200512
1997-03-05,4.875,4.90625,4.84375,4.875,343940,ABNK-200512
1997-03-06,4.90625,5.0,4.84375,4.96875,306136,ABNK-200512
1997-03-07,5.0,5.125,4.9375,5.09375,164224,ABNK-200512
1997-03-10,5.125,5.125,5.03125,5.03125,175860,ABNK-200512
1997-03-11,5.125,5.125,5.03125,5.09375,205080,ABNK-200512
1997-03-12,5.125,5.125,5.03125,5.125,94388,ABNK-200512
1997-03-13,5.09375,5.09375,4.96875,5.0625,64700,ABNK-200512
1997-03-14,4.96875,5.03125,4.96875,5.0,114800,ABNK-200512
1997-03-17,5.0625,5.0625,4.96875,5.0625,65940,ABNK-200512
1997-03-18,5.0625,5.09375,4.9375,5.03125,128924,ABNK-200512
1997-03-19,5.09375,5.09375,5.0,5.03125,56780,ABNK-200512
1997-03-20,5.03125,5.03125,4.9375,5.0,60800,ABNK-200512
1997-03-21,4.96875,5.03125,4.9375,5.03125,43932,ABNK-200512
1997-03-24,5.0,5.03125,4.9375,4.9375,31664,ABNK-200512
1997-03-25,4.9375,5.03125,4.9375,4.9375,8948,ABNK-200512
1997-03-26,5.0,5.03125,4.9375,4.96875,60088,ABNK-200512
1997-03-27,5.0,5.0,4.75,4.75,105600,ABNK-200512
1997-03-31,4.8125,4.8125,4.75,4.8125,151200,ABNK-200512
1997-04-01,4.75,4.78125,4.75,4.75,29536,ABNK-200512
1997-04-02,4.84375,4.84375,4.5,4.65625,146600,ABNK-200512
1997-04-03,4.59375,4.625,4.5625,4.59375,106224,ABNK-200512
1997-04-04,4.5625,4.65625,4.5625,4.625,54228,ABNK-200512
1997-04-07,4.625,4.8125,4.59375,4.8125,85600,ABNK-200512
1997-04-08,4.8125,4.90625,4.78125,4.84375,148780,ABNK-200512
1997-04-09,4.78125,4.84375,4.75,4.75,155600,ABNK-200512
1997-04-10,4.84375,4.84375,4.78125,4.84375,24800,ABNK-200512
1997-04-11,4.78125,4.78125,4.65625,4.65625,50600,ABNK-200512
1997-04-14,4.65625,4.6875,4.65625,4.6875,18800,ABNK-200512
1997-04-15,4.71875,4.71875,4.6875,4.6875,40400,ABNK-200512
1997-04-16,4.78125,4.78125,4.6875,4.71875,189400,ABNK-200512
1997-04-17,4.75,4.84375,4.75,4.8125,123440,ABNK-200512
1997-04-18,4.8125,4.8125,4.75,4.75,11964,ABNK-200512
1997-04-21,4.8125,4.8125,4.75,4.8125,82480,ABNK-200512
1997-04-22,4.75,4.875,4.75,4.84375,80852,ABNK-200512
1997-04-23,4.875,4.96875,4.84375,4.9375,118340,ABNK-200512
1997-04-24,4.96875,4.96875,4.84375,4.9375,116240,ABNK-200512
1997-04-25,4.90625,4.96875,4.90625,4.9375,122600,ABNK-200512
1997-04-28,4.90625,5.0625,4.90625,5.03125,238560,ABNK-200512
1997-04-29,5.15625,5.21875,5.03125,5.09375,211508,ABNK-200512
1997-04-30,5.09375,5.1875,5.09375,5.1875,141480,ABNK-200512
1997-05-01,5.21875,5.375,5.21875,5.3125,287952,ABNK-200512
1997-05-02,5.3125,5.46875,5.3125,5.40625,142804,ABNK-200512
1997-05-05,5.40625,5.53125,5.34375,5.4375,247000,ABNK-200512
1997-05-06,5.4375,5.46875,5.34375,5.375,426976,ABNK-200512
1997-05-07,5.40625,5.40625,5.34375,5.40625,67600,ABNK-200512
1997-05-08,5.40625,5.40625,5.34375,5.40625,53876,ABNK-200512
1997-05-09,5.40625,5.4375,5.34375,5.40625,55800,ABNK-200512
1997-05-12,5.46875,5.6875,5.46875,5.625,153632,ABNK-200512
1997-05-13,5.6875,5.71875,5.59375,5.71875,244780,ABNK-200512
1997-05-14,5.65625,5.75,5.65625,5.75,29100,ABNK-200512
1997-05-15,5.65625,5.75,5.65625,5.6875,541676,ABNK-200512
1997-05-16,5.6875,5.75,5.6875,5.71875,141336,ABNK-200512
1997-05-19,5.71875,5.84375,5.71875,5.75,189540,ABNK-200512
1997-05-20,5.875,5.875,5.71875,5.8125,112876,ABNK-200512
1997-05-21,5.8125,5.90625,5.71875,5.875,96804,ABNK-200512
1997-05-22,5.9375,5.9375,5.84375,5.90625,97116,ABNK-200512
1997-05-23,5.84375,5.9375,5.8125,5.875,74092,ABNK-200512
1997-05-27,5.875,5.875,5.78125,5.84375,88012,ABNK-200512
1997-05-28,5.75,5.84375,5.75,5.75,13344,ABNK-200512
1997-05-29,5.75,5.84375,5.75,5.8125,65676,ABNK-200512
1997-05-30,5.8125,5.8125,5.75,5.8125,75060,ABNK-200512
1997-06-02,5.8125,5.8125,5.75,5.78125,34200,ABNK-200512
1997-06-03,5.75,5.8125,5.75,5.8125,34212,ABNK-200512
1997-06-04,5.75,5.8125,5.75,5.8125,105068,ABNK-200512
1997-06-05,5.78125,5.8125,5.75,5.8125,17800,ABNK-200512
1997-06-06,5.75,5.875,5.75,5.84375,26000,ABNK-200512
1997-06-09,5.75,5.84375,5.75,5.8125,117400,ABNK-200512
1997-06-10,5.875,5.875,5.78125,5.78125,17736,ABNK-200512
1997-06-11,5.78125,5.875,5.78125,5.875,86800,ABNK-200512
1997-06-12,5.875,5.875,5.78125,5.8125,144500,ABNK-200512
1997-06-13,5.875,5.90625,5.78125,5.90625,24592,ABNK-200512
1997-06-16,5.90625,5.9375,5.78125,5.9375,78880,ABNK-200512
1997-06-17,5.84375,5.9375,5.78125,5.78125,15020,ABNK-200512
1997-06-18,5.8125,5.9375,5.78125,5.875,26800,ABNK-200512
1997-06-19,5.9375,6.0625,5.875,6.0625,97400,ABNK-200512
1997-06-20,6.0625,6.1875,6.0,6.125,122532,ABNK-200512
1997-06-23,6.1875,6.4375,6.125,6.40625,148240,ABNK-200512
1997-06-24,6.4375,6.6875,6.4375,6.625,413840,ABNK-200512
1997-06-25,6.71875,6.84375,6.65625,6.78125,738596,ABNK-200512
1997-06-26,6.6875,6.84375,6.625,6.671880000000001,137544,ABNK-200512
1997-06-27,6.625,6.78125,6.625,6.625,201400,ABNK-200512
1997-06-30,6.765630000000001,7.0,6.6875,6.90625,460060,ABNK-200512
1997-07-01,6.8125,7.0,6.8125,7.0,175096,ABNK-200512
1997-07-02,6.84375,7.0,6.84375,6.96875,123940,ABNK-200512
1997-07-03,7.0,7.0625,6.84375,7.0625,94120,ABNK-200512
1997-07-07,7.03125,7.03125,6.9375,7.0,99920,ABNK-200512
1997-07-08,6.9375,7.0625,6.8125,7.0625,101844,ABNK-200512
1997-07-09,7.0625,7.09375,7.0,7.09375,44400,ABNK-200512
1997-07-10,7.0,7.21875,7.0,7.140630000000001,134420,ABNK-200512
1997-07-11,7.09375,7.15625,7.0625,7.125,66100,ABNK-200512
1997-07-14,7.09375,7.09375,6.9375,6.96875,102840,ABNK-200512
1997-07-15,7.046880000000001,7.046880000000001,6.9375,7.03125,54568,ABNK-200512
1997-07-16,7.03125,7.03125,6.8125,6.9375,101936,ABNK-200512
1997-07-17,6.90625,6.9375,6.78125,6.9375,41376,ABNK-200512
1997-07-18,6.78125,6.9375,6.75,6.90625,26288,ABNK-200512
1997-07-21,6.75,6.75,6.75,6.75,1200,ABNK-200512
1997-07-22,6.75,6.8125,6.6875,6.6875,42372,ABNK-200512
1997-07-23,6.6875,6.8125,6.6875,6.765630000000001,33276,ABNK-200512
1997-07-24,6.8125,6.8125,6.71875,6.71875,20416,ABNK-200512
1997-07-25,6.71875,6.8125,6.71875,6.8125,22508,ABNK-200512
1997-07-28,6.71875,6.8125,6.71875,6.78125,101480,ABNK-200512
1997-07-29,6.75,6.8125,6.6875,6.75,7956,ABNK-200512
1997-07-30,6.6875,6.78125,6.6875,6.78125,21708,ABNK-200512
1997-07-31,6.78125,6.78125,6.375,6.78125,505600,ABNK-200512
1997-08-01,6.71875,6.8125,6.71875,6.78125,18344,ABNK-200512
1997-08-04,6.75,6.78125,6.6875,6.6875,32400,ABNK-200512
1997-08-05,6.71875,6.78125,6.71875,6.75,42208,ABNK-200512
1997-08-06,6.78125,6.78125,6.71875,6.78125,33400,ABNK-200512
1997-08-07,6.78125,6.8125,6.71875,6.8125,47040,ABNK-200512
1997-08-08,6.71875,6.8125,6.71875,6.8125,64704,ABNK-200512
1997-08-11,6.75,6.8125,6.75,6.78125,56000,ABNK-200512
1997-08-12,6.8125,6.8125,6.75,6.78125,70200,ABNK-200512
1997-08-13,6.78125,6.8125,6.75,6.8125,65460,ABNK-200512
1997-08-14,6.8125,6.8125,6.71875,6.8125,10656,ABNK-200512
1997-08-15,6.75,6.8125,6.71875,6.78125,143772,ABNK-200512
1997-08-18,6.8125,6.8125,6.6875,6.703130000000001,30880,ABNK-200512
1997-08-19,6.6875,6.6875,6.5625,6.59375,90000,ABNK-200512
1997-08-20,6.59375,6.71875,6.5625,6.5625,11840,ABNK-200512
1997-08-21,6.6875,6.71875,6.5625,6.5625,45900,ABNK-200512
1997-08-22,6.5,6.625,6.375,6.5,110556,ABNK-200512
1997-08-25,6.546880000000001,6.5625,6.5,6.546880000000001,41228,ABNK-200512
1997-08-26,6.5,6.5625,6.5,6.5625,54704,ABNK-200512
1997-08-27,6.53125,6.53125,6.375,6.40625,47800,ABNK-200512
1997-08-28,6.375,6.5625,6.375,6.53125,43424,ABNK-200512
1997-08-29,6.53125,6.53125,6.375,6.53125,24900,ABNK-200512
1997-09-02,6.53125,6.5625,6.375,6.5625,89000,ABNK-200512
1997-09-03,6.5,6.5625,6.5,6.53125,356144,ABNK-200512
1997-09-04,6.5625,6.5625,6.4375,6.53125,187696,ABNK-200512
1997-09-05,6.5,6.53125,6.5,6.53125,80780,ABNK-200512
1997-09-08,6.5625,6.59375,6.515630000000001,6.59375,18200,ABNK-200512
1997-09-09,6.59375,6.8125,6.59375,6.78125,276900,ABNK-200512
1997-09-10,6.8125,6.8125,6.71875,6.78125,38800,ABNK-200512
1997-09-11,6.75,6.8125,6.75,6.8125,52440,ABNK-200512
1997-09-12,6.8125,7.03125,6.75,6.9375,190064,ABNK-200512
1997-09-15,7.0,7.0,6.90625,7.0,70348,ABNK-200512
1997-09-16,7.0,7.0,6.9375,7.0,129720,ABNK-200512
1997-09-17,7.0,7.046880000000001,6.96875,7.015630000000001,113852,ABNK-200512
1997-09-18,7.0,7.0,6.921880000000001,7.0,53800,ABNK-200512
1997-09-19,6.90625,6.9375,6.90625,6.9375,64480,ABNK-200512
1997-09-22,6.90625,6.992189999999999,6.90625,6.921880000000001,137352,ABNK-200512
1997-09-23,6.90625,7.1875,6.90625,7.1875,225180,ABNK-200512
1997-09-24,7.125,7.375,7.125,7.28125,141220,ABNK-200512
1997-09-25,7.375,7.53125,7.25,7.53125,36868,ABNK-200512
1997-09-26,7.59375,7.625,7.28125,7.4375,210960,ABNK-200512
1997-09-29,7.4375,7.4375,7.3125,7.4375,75880,ABNK-200512
1997-09-30,7.4375,7.4375,7.375,7.375,16600,ABNK-200512
1997-10-01,7.375,7.375,7.1875,7.28125,138820,ABNK-200512
1997-10-02,7.375,7.5,7.375,7.5,60600,ABNK-200512
1997-10-03,7.4375,7.5625,7.40625,7.484380000000001,129260,ABNK-200512
1997-10-06,7.625,8.03125,7.59375,8.0,258280,ABNK-200512
