Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,1.375,1.375,1.375,1.375,15200,ACII-198812
1985-01-04,1.375,1.375,1.375,1.375,2000,ACII-198812
1985-01-08,1.375,1.375,1.375,1.375,150,ACII-198812
1985-01-09,1.3125,1.3125,1.3125,1.3125,500,ACII-198812
1985-01-10,1.4375,1.4375,1.4375,1.4375,23000,ACII-198812
1985-01-11,1.5,1.5,1.5,1.5,3000,ACII-198812
1985-01-14,1.5,1.5,1.5,1.5,2150,ACII-198812
1985-01-15,1.5,1.5,1.5,1.5,200,ACII-198812
1985-01-17,1.5,1.5,1.5,1.5,20000,ACII-198812
1985-01-18,1.5,1.5,1.5,1.5,3000,ACII-198812
1985-01-22,1.5,1.5,1.5,1.5,6000,ACII-198812
1985-01-23,1.5,1.5,1.5,1.5,6100,ACII-198812
1985-01-24,1.5,1.5,1.5,1.5,7000,ACII-198812
1985-01-25,1.5625,1.5625,1.5625,1.5625,6200,ACII-198812
1985-01-28,1.75,1.75,1.75,1.75,26700,ACII-198812
1985-01-29,1.9375,1.9375,1.9375,1.9375,31100,ACII-198812
1985-01-30,1.875,1.875,1.875,1.875,26991,ACII-198812
1985-01-31,1.8125,1.8125,1.8125,1.8125,1900,ACII-198812
1985-02-01,1.875,1.875,1.875,1.875,83000,ACII-198812
1985-02-04,1.875,1.875,1.875,1.875,500,ACII-198812
1985-02-05,1.875,1.875,1.875,1.875,26213,ACII-198812
1985-02-06,1.875,1.875,1.875,1.875,4200,ACII-198812
1985-02-07,1.875,1.875,1.875,1.875,500,ACII-198812
1985-02-08,1.8125,1.8125,1.8125,1.8125,13900,ACII-198812
1985-02-11,1.8125,1.8125,1.8125,1.8125,39459,ACII-198812
1985-02-12,1.875,1.875,1.875,1.875,609,ACII-198812
1985-02-13,1.8125,1.8125,1.8125,1.8125,3178,ACII-198812
1985-02-14,1.8125,1.8125,1.8125,1.8125,10700,ACII-198812
1985-02-15,1.8125,1.8125,1.8125,1.8125,36600,ACII-198812
1985-02-19,1.8125,1.8125,1.8125,1.8125,4000,ACII-198812
1985-02-20,1.8125,1.8125,1.8125,1.8125,3000,ACII-198812
1985-02-21,1.8125,1.8125,1.8125,1.8125,1589,ACII-198812
1985-02-22,1.875,1.875,1.875,1.875,1400,ACII-198812
1985-02-25,1.9375,1.9375,1.9375,1.9375,2000,ACII-198812
1985-02-26,1.9375,1.9375,1.9375,1.9375,340,ACII-198812
1985-02-27,2.0,2.0,2.0,2.0,8500,ACII-198812
1985-02-28,2.0,2.0,2.0,2.0,31000,ACII-198812
1985-03-01,2.0,2.0,2.0,2.0,5000,ACII-198812
1985-03-04,2.0,2.0,2.0,2.0,6400,ACII-198812
1985-03-05,2.0,2.0,2.0,2.0,10090,ACII-198812
1985-03-06,2.0,2.0,2.0,2.0,8000,ACII-198812
1985-03-07,2.0,2.0,2.0,2.0,13600,ACII-198812
1985-03-08,2.0,2.0,2.0,2.0,4000,ACII-198812
1985-03-11,2.125,2.125,2.125,2.125,21300,ACII-198812
1985-03-12,2.25,2.25,2.25,2.25,13340,ACII-198812
1985-03-13,2.375,2.375,2.375,2.375,31240,ACII-198812
1985-03-14,2.25,2.25,2.25,2.25,8100,ACII-198812
1985-03-15,2.375,2.375,2.375,2.375,29000,ACII-198812
1985-03-18,2.25,2.25,2.25,2.25,6400,ACII-198812
1985-03-19,2.25,2.25,2.25,2.25,27500,ACII-198812
1985-03-20,2.25,2.25,2.25,2.25,1800,ACII-198812
1985-03-21,2.25,2.25,2.25,2.25,2450,ACII-198812
1985-03-26,2.25,2.25,2.25,2.25,3200,ACII-198812
1985-03-28,2.25,2.25,2.25,2.25,2000,ACII-198812
1985-03-29,2.25,2.25,2.25,2.25,3000,ACII-198812
1985-04-02,2.25,2.25,2.25,2.25,4000,ACII-198812
1985-04-04,2.25,2.25,2.25,2.25,1730,ACII-198812
1985-04-08,2.25,2.25,2.25,2.25,5900,ACII-198812
1985-04-09,2.25,2.25,2.25,2.25,13700,ACII-198812
1985-04-10,2.25,2.25,2.25,2.25,3700,ACII-198812
1985-04-11,2.25,2.25,2.25,2.25,2000,ACII-198812
1985-04-12,2.25,2.25,2.25,2.25,28700,ACII-198812
1985-04-15,2.125,2.125,2.125,2.125,16950,ACII-198812
1985-04-16,2.125,2.125,2.125,2.125,4500,ACII-198812
1985-04-17,2.125,2.125,2.125,2.125,500,ACII-198812
1985-04-18,2.125,2.125,2.125,2.125,1000,ACII-198812
1985-04-19,2.0,2.0,2.0,2.0,37288,ACII-198812
1985-04-22,2.125,2.125,2.125,2.125,12500,ACII-198812
1985-04-23,2.375,2.375,2.375,2.375,1700,ACII-198812
1985-04-24,2.375,2.375,2.375,2.375,1000,ACII-198812
1985-04-25,2.75,2.75,2.75,2.75,9250,ACII-198812
1985-04-26,2.625,2.625,2.625,2.625,7000,ACII-198812
1985-04-29,2.625,2.625,2.625,2.625,1300,ACII-198812
1985-04-30,3.0,3.0,3.0,3.0,12000,ACII-198812
1985-05-01,2.875,2.875,2.875,2.875,4400,ACII-198812
1985-05-02,2.875,2.875,2.875,2.875,3650,ACII-198812
1985-05-03,3.0,3.0,3.0,3.0,120,ACII-198812
1985-05-06,2.875,2.875,2.875,2.875,10600,ACII-198812
1985-05-07,2.875,2.875,2.875,2.875,2034,ACII-198812
1985-05-08,3.0,3.0,3.0,3.0,11300,ACII-198812
1985-05-09,2.875,2.875,2.875,2.875,2500,ACII-198812
1985-05-10,2.875,2.875,2.875,2.875,6400,ACII-198812
1985-05-13,2.875,2.875,2.875,2.875,15500,ACII-198812
1985-05-14,2.875,2.875,2.875,2.875,1500,ACII-198812
1985-05-15,2.875,2.875,2.875,2.875,16100,ACII-198812
1985-05-16,2.875,2.875,2.875,2.875,10,ACII-198812
1985-05-17,2.875,2.875,2.875,2.875,8000,ACII-198812
1985-05-20,2.875,2.875,2.875,2.875,1000,ACII-198812
1985-05-21,2.875,2.875,2.875,2.875,16000,ACII-198812
1985-05-22,2.75,2.75,2.75,2.75,12700,ACII-198812
1985-05-23,2.75,2.75,2.75,2.75,1500,ACII-198812
1985-05-24,2.75,2.75,2.75,2.75,2100,ACII-198812
1985-05-28,2.75,2.75,2.75,2.75,7500,ACII-198812
1985-05-30,2.75,2.75,2.75,2.75,2100,ACII-198812
1985-05-31,2.75,2.75,2.75,2.75,14000,ACII-198812
1985-06-03,2.75,2.75,2.75,2.75,3500,ACII-198812
1985-06-04,2.75,2.75,2.75,2.75,8375,ACII-198812
1985-06-05,2.875,2.875,2.875,2.875,9000,ACII-198812
1985-06-06,3.0,3.0,3.0,3.0,2795,ACII-198812
1985-06-07,3.125,3.125,3.125,3.125,12000,ACII-198812
1985-06-10,3.125,3.125,3.125,3.125,2000,ACII-198812
1985-06-12,3.125,3.125,3.125,3.125,10,ACII-198812
1985-06-13,3.125,3.125,3.125,3.125,10300,ACII-198812
1985-06-14,3.0,3.0,3.0,3.0,20500,ACII-198812
1985-06-17,3.125,3.125,3.125,3.125,3100,ACII-198812
1985-06-18,3.125,3.125,3.125,3.125,6400,ACII-198812
1985-06-19,3.125,3.125,3.125,3.125,11800,ACII-198812
1985-06-20,3.125,3.125,3.125,3.125,600,ACII-198812
1985-06-21,3.125,3.125,3.125,3.125,3100,ACII-198812
1985-06-24,3.125,3.125,3.125,3.125,4000,ACII-198812
1985-06-25,3.125,3.125,3.125,3.125,700,ACII-198812
1985-06-26,3.125,3.125,3.125,3.125,9700,ACII-198812
1985-06-27,3.0,3.0,3.0,3.0,8200,ACII-198812
1985-06-28,3.0,3.0,3.0,3.0,2700,ACII-198812
1985-07-01,3.0,3.0,3.0,3.0,4300,ACII-198812
1985-07-02,3.0,3.0,3.0,3.0,6700,ACII-198812
1985-07-03,3.0,3.0,3.0,3.0,12000,ACII-198812
1985-07-05,3.0,3.0,3.0,3.0,3500,ACII-198812
1985-07-08,3.0,3.0,3.0,3.0,1500,ACII-198812
1985-07-09,3.0,3.0,3.0,3.0,10200,ACII-198812
1985-07-10,3.0,3.0,3.0,3.0,2100,ACII-198812
1985-07-11,3.0,3.0,3.0,3.0,3000,ACII-198812
1985-07-12,3.0,3.0,3.0,3.0,1704,ACII-198812
1985-07-15,3.0,3.0,3.0,3.0,200,ACII-198812
1985-07-16,3.0,3.0,3.0,3.0,600,ACII-198812
1985-07-17,3.0,3.0,3.0,3.0,5698,ACII-198812
1985-07-18,3.0,3.0,3.0,3.0,1100,ACII-198812
1985-07-19,3.0,3.0,3.0,3.0,50,ACII-198812
1985-07-22,3.0,3.0,3.0,3.0,800,ACII-198812
1985-07-23,2.875,2.875,2.875,2.875,6800,ACII-198812
1985-07-24,2.875,2.875,2.875,2.875,9800,ACII-198812
1985-07-25,2.875,2.875,2.875,2.875,1000,ACII-198812
1985-07-26,2.875,2.875,2.875,2.875,2000,ACII-198812
1985-07-29,2.875,2.875,2.875,2.875,3000,ACII-198812
1985-07-31,2.875,2.875,2.875,2.875,1400,ACII-198812
1985-08-01,2.75,2.75,2.75,2.75,1200,ACII-198812
1985-08-02,2.875,2.875,2.875,2.875,9200,ACII-198812
1985-08-08,2.875,2.875,2.875,2.875,1300,ACII-198812
1985-08-13,2.875,2.875,2.875,2.875,6525,ACII-198812
1985-08-16,2.875,2.875,2.875,2.875,5500,ACII-198812
1985-08-19,2.875,2.875,2.875,2.875,5000,ACII-198812
1985-08-20,2.875,2.875,2.875,2.875,2000,ACII-198812
1985-08-21,2.875,2.875,2.875,2.875,1500,ACII-198812
1985-08-22,2.875,2.875,2.875,2.875,200,ACII-198812
1985-08-23,2.875,2.875,2.875,2.875,300,ACII-198812
