Date,Open,High,Low,Close,Volume,Ticker
1990-07-31,13.25,13.25,13.0,13.0,1092910,ACLB-199406
1990-08-01,13.125,13.125,13.0,13.0,113050,ACLB-199406
1990-08-02,13.0,13.0,12.375,12.375,455101,ACLB-199406
1990-08-03,12.375,12.375,11.5,11.5,101450,ACLB-199406
1990-08-06,10.875,11.25,10.5,10.875,44111,ACLB-199406
1990-08-07,11.125,11.125,10.0,10.0,63950,ACLB-199406
1990-08-08,10.125,10.375,9.875,10.25,143925,ACLB-199406
1990-08-09,10.5,10.75,10.25,10.5,11150,ACLB-199406
1990-08-10,10.75,10.75,10.5,10.5,9950,ACLB-199406
1990-08-13,10.75,10.875,10.5,10.75,7550,ACLB-199406
1990-08-14,11.0,12.0,11.0,12.0,105030,ACLB-199406
1990-08-15,11.625,11.875,11.375,11.5,63488,ACLB-199406
1990-08-16,11.75,11.75,11.25,11.25,84400,ACLB-199406
1990-08-17,11.375,11.375,11.125,11.125,5200,ACLB-199406
1990-08-20,11.125,11.5,11.125,11.5,10815,ACLB-199406
1990-08-21,11.0,11.25,10.625,11.125,29115,ACLB-199406
1990-08-22,11.125,11.125,10.625,10.625,73700,ACLB-199406
1990-08-23,10.75,10.75,10.0,10.0,12250,ACLB-199406
1990-08-24,10.375,10.375,10.0,10.0,36300,ACLB-199406
1990-08-27,10.0,10.5,10.0,10.5,62165,ACLB-199406
1990-08-28,10.0,10.375,9.75,10.125,18400,ACLB-199406
1990-08-29,10.125,10.125,9.75,9.75,10000,ACLB-199406
1990-08-30,10.125,10.125,9.75,9.75,6285,ACLB-199406
1990-08-31,9.75,9.75,9.75,9.75,5800,ACLB-199406
1990-09-04,10.125,10.125,9.75,9.75,3500,ACLB-199406
1990-09-05,10.125,10.125,9.875,9.875,21400,ACLB-199406
1990-09-06,10.0,10.25,9.875,10.0,33500,ACLB-199406
1990-09-07,10.0,10.375,10.0,10.375,8150,ACLB-199406
1990-09-10,10.375,10.375,10.125,10.125,17000,ACLB-199406
1990-09-11,10.25,10.375,10.0,10.25,24450,ACLB-199406
1990-09-12,10.125,10.75,10.125,10.75,76300,ACLB-199406
1990-09-13,10.75,10.875,10.5,10.75,25300,ACLB-199406
1990-09-14,10.5,10.75,10.5,10.75,29950,ACLB-199406
1990-09-17,10.5,11.25,10.5,11.25,57300,ACLB-199406
1990-09-18,11.25,11.25,10.875,10.875,12000,ACLB-199406
1990-09-19,10.875,11.25,10.875,11.25,5585,ACLB-199406
