Date,Open,High,Low,Close,Volume,Ticker
1999-08-05,140.0,270.0,140.0,244.375,1211740,ACTA
1999-08-06,245.0,330.0,240.0,303.125,538792,ACTA
1999-08-09,364.375,365.625,265.0,275.0,297861,ACTA
1999-08-10,275.0,296.875,240.0,288.75,222752,ACTA
1999-08-11,298.125,302.5,265.0,270.0,87944,ACTA
1999-08-12,269.375,275.0,251.25,269.375,58895,ACTA
1999-08-13,292.5,310.0,270.625,290.625,85578,ACTA
1999-08-16,300.0,400.0,278.75,393.125,172667,ACTA
1999-08-17,412.5,445.0,381.25,416.25,246980,ACTA
1999-08-18,420.0,420.0,387.5,400.0,67363,ACTA
1999-08-19,367.5,391.875,367.5,376.25,32815,ACTA
1999-08-20,381.875,412.5,381.25,407.5,71743,ACTA
1999-08-23,431.875,467.5,420.625,430.0,95501,ACTA
1999-08-24,457.5,545.0,450.0,540.625,269674,ACTA
1999-08-25,575.0,640.625,570.0,593.75,293187,ACTA
1999-08-26,635.0,637.5,583.75,590.0,123496,ACTA
1999-08-27,600.625,601.25,510.0,535.0,114883,ACTA
1999-08-30,586.875,650.0,575.0,588.75,256234,ACTA
1999-08-31,624.375,767.5,585.0,750.0,407963,ACTA
1999-09-01,812.5,873.75,762.5,800.625,505582,ACTA
1999-09-02,740.0,822.5,727.5,784.375,241731,ACTA
1999-09-03,862.5,875.0,819.375,830.0,145766,ACTA
1999-09-07,827.5,827.5,780.0,793.75,105764,ACTA
1999-09-08,760.0,788.125,740.0,755.625,94055,ACTA
1999-09-09,760.0,785.0,661.25,721.25,181070,ACTA
1999-09-10,750.0,762.5,675.0,675.0,106642,ACTA
1999-09-13,680.0,748.125,678.75,726.25,126176,ACTA
1999-09-14,734.375,802.5,725.0,802.5,131922,ACTA
1999-09-15,819.375,820.0,740.0,747.5,129617,ACTA
1999-09-16,754.375,759.375,700.0,747.5,64960,ACTA
1999-09-17,760.0,816.25,758.75,810.625,124224,ACTA
1999-09-20,818.75,975.0,818.75,975.0,358451,ACTA
1999-09-21,945.0,1075.0,942.5,972.5,365200,ACTA
1999-09-22,1005.0,1030.0,961.25,1027.5,156750,ACTA
1999-09-23,1058.125,1065.0,883.75,917.5,158474,ACTA
1999-09-24,901.25,975.0,873.125,921.25,170083,ACTA
1999-09-27,965.625,969.375,863.125,876.25,160053,ACTA
1999-09-28,853.125,960.0,853.125,948.75,119123,ACTA
1999-09-29,942.5,955.0,890.0,902.5,105383,ACTA
1999-09-30,913.75,913.75,872.5,878.75,66889,ACTA
1999-10-01,862.5,876.875,860.0,876.875,46191,ACTA
1999-10-04,890.0,950.0,872.5,920.0,125598,ACTA
1999-10-05,940.0,957.5,900.0,935.625,85336,ACTA
1999-10-06,946.25,990.0,930.0,933.125,90107,ACTA
1999-10-07,952.5,960.0,936.25,943.75,57163,ACTA
1999-10-08,949.375,985.0,922.5,969.375,61867,ACTA
1999-10-11,990.0,1109.375,973.75,1078.75,186293,ACTA
1999-10-12,1086.25,1086.25,980.0,996.25,111435,ACTA
1999-10-13,966.875,985.625,941.25,953.75,76212,ACTA
1999-10-14,968.125,1009.375,916.25,982.5,87290,ACTA
1999-10-15,906.25,970.0,900.0,958.75,111306,ACTA
1999-10-18,950.625,958.75,878.75,920.0,83356,ACTA
1999-10-19,970.0,973.75,911.25,924.375,60065,ACTA
1999-10-20,945.625,1037.5,943.75,1010.625,110225,ACTA
1999-10-21,971.25,1035.625,961.875,1006.875,84234,ACTA
1999-10-22,1021.25,1120.0,1020.0,1058.75,153774,ACTA
1999-10-25,1080.0,1158.75,1038.75,1123.75,103401,ACTA
1999-10-26,1149.375,1217.5,1122.5,1183.75,97468,ACTA
1999-10-27,1190.625,1193.125,1102.5,1135.0,50587,ACTA
1999-10-28,1175.0,1233.75,1160.0,1225.0,76438,ACTA
1999-10-29,1253.75,1298.75,1147.5,1163.75,98263,ACTA
1999-11-01,1192.5,1198.75,1137.5,1176.875,60929,ACTA
1999-11-02,1203.75,1280.0,1193.75,1250.625,71946,ACTA
1999-11-03,1303.75,1515.0,1303.75,1475.0,194178,ACTA
1999-11-04,1545.0,1680.0,1470.0,1543.75,224463,ACTA
1999-11-05,1630.0,1720.0,1560.0,1698.75,160373,ACTA
1999-11-08,1701.25,1864.375,1626.25,1860.0,153209,ACTA
1999-11-09,1955.625,1955.625,1802.5,1826.875,175419,ACTA
1999-11-10,1823.75,1890.0,1712.5,1740.0,123255,ACTA
1999-11-11,1795.0,1825.0,1720.0,1780.625,82529,ACTA
1999-11-12,1717.5,1730.0,1530.0,1593.125,211455,ACTA
1999-11-15,1540.0,1631.25,1535.0,1560.0,105926,ACTA
1999-11-16,1587.5,1780.0,1576.25,1758.125,134164,ACTA
1999-11-17,1780.0,1808.125,1608.125,1620.0,138806,ACTA
1999-11-18,1655.0,1682.5,1530.0,1600.0,53590,ACTA
1999-11-19,1611.25,1681.25,1600.0,1669.375,46685,ACTA
1999-11-22,1692.5,1835.0,1680.0,1824.375,93299,ACTA
1999-11-23,1915.0,1917.5,1695.0,1701.25,231294,ACTA
1999-11-24,1674.375,1687.5,1643.75,1655.0,79714,ACTA
1999-11-26,1720.0,1747.5,1675.0,1691.25,29554,ACTA
1999-11-29,1796.25,1798.75,1700.0,1701.25,123534,ACTA
1999-11-30,1749.375,1749.375,1630.0,1680.0,131476,ACTA
1999-12-01,1679.375,1682.5,1593.125,1595.625,81575,ACTA
1999-12-02,1619.375,1630.0,1585.0,1610.0,95503,ACTA
1999-12-03,1660.0,1670.0,1607.5,1640.625,80405,ACTA
1999-12-06,1696.25,1697.5,1600.0,1633.125,116351,ACTA
1999-12-07,1650.0,1705.625,1601.25,1700.0,93809,ACTA
1999-12-08,1753.75,2272.5,1740.0,2133.125,470437,ACTA
1999-12-09,2380.0,2450.0,2120.0,2415.0,272466,ACTA
1999-12-10,2411.25,2440.0,2240.0,2249.375,123894,ACTA
1999-12-13,2345.0,2822.5,2200.0,2700.0,211449,ACTA
1999-12-14,2820.0,2820.0,2465.0,2483.75,146612,ACTA
1999-12-15,2400.0,2402.5,2160.0,2162.5,283480,ACTA
1999-12-16,2360.0,2390.0,2202.5,2247.5,450501,ACTA
1999-12-17,2356.25,2580.0,2275.0,2432.5,316891,ACTA
1999-12-20,2635.0,2972.5,2575.0,2872.5,404815,ACTA
1999-12-21,2980.0,3680.0,2960.0,3680.0,340137,ACTA
1999-12-22,4017.5,4240.0,3450.0,3850.0,513905,ACTA
1999-12-23,3860.0,3872.5,3598.75,3657.5,188942,ACTA
1999-12-27,3740.0,3740.0,3298.75,3552.5,227709,ACTA
1999-12-28,3578.75,3810.0,3400.0,3522.5,174848,ACTA
1999-12-29,3467.5,3467.5,3232.5,3290.0,246016,ACTA
1999-12-30,3410.0,3520.0,3275.0,3305.0,108455,ACTA
1999-12-31,3317.5,3460.0,3260.0,3400.0,54282,ACTA
2000-01-03,3718.75,4018.75,3482.5,4000.0,304335,ACTA
2000-01-04,3680.0,3932.5,3525.0,3546.25,252817,ACTA
2000-01-05,3401.25,3531.25,3020.0,3375.0,342732,ACTA
2000-01-06,3305.0,3462.5,3100.0,3100.0,225753,ACTA
2000-01-07,3180.0,3495.0,3140.0,3477.5,168476,ACTA
2000-01-10,3290.0,3435.0,3107.5,3315.0,288983,ACTA
2000-01-11,3170.0,3222.5,2858.75,2861.25,199971,ACTA
2000-01-12,2960.0,3000.0,2605.0,2635.0,235681,ACTA
2000-01-13,2740.0,2810.0,2601.25,2783.75,130070,ACTA
2000-01-14,2910.0,2940.0,2601.25,2670.0,120488,ACTA
2000-01-18,2755.0,2900.0,2718.75,2775.0,167023,ACTA
2000-01-19,2786.25,3018.75,2775.0,3007.5,152151,ACTA
2000-01-20,3100.0,3185.0,3010.0,3045.0,151090,ACTA
2000-01-21,3193.75,3220.0,3120.0,3180.0,155631,ACTA
2000-01-24,3270.0,3273.75,2803.75,2870.0,162228,ACTA
2000-01-25,2907.5,2907.5,2706.25,2777.5,158784,ACTA
2000-01-26,2735.0,2845.0,2700.0,2723.75,74190,ACTA
2000-01-27,2740.0,2757.5,2512.5,2600.0,124677,ACTA
2000-01-28,2503.75,2595.0,2432.5,2505.0,116674,ACTA
2000-01-31,2418.75,2430.0,2235.0,2380.0,183948,ACTA
2000-02-01,2397.5,2420.0,2280.0,2377.5,180191,ACTA
2000-02-02,2422.5,2422.5,2230.0,2240.0,209731,ACTA
2000-02-03,2302.5,2623.75,2221.25,2600.0,672165,ACTA
2000-02-04,2680.0,2707.5,2410.0,2418.75,303152,ACTA
2000-02-07,2462.5,2538.75,2412.5,2502.5,133161,ACTA
2000-02-08,2548.75,2593.75,2520.0,2537.5,110453,ACTA
2000-02-09,2545.0,2610.0,2477.5,2525.0,134681,ACTA
2000-02-10,2527.5,2565.0,2380.0,2560.0,108049,ACTA
2000-02-11,2525.0,2535.0,2400.0,2437.5,87109,ACTA
2000-02-14,2462.5,2465.0,2400.0,2437.5,75500,ACTA
2000-02-15,2450.0,2450.0,2325.0,2372.5,90173,ACTA
2000-02-16,2395.0,2422.5,2380.0,2402.5,140069,ACTA
2000-02-17,2410.0,2420.0,2305.0,2335.0,130480,ACTA
2000-02-18,2377.5,2380.0,2281.25,2290.0,124978,ACTA
2000-02-22,2285.0,2317.5,2200.0,2241.25,182056,ACTA
2000-02-23,2245.0,2420.0,2165.0,2385.0,331081,ACTA
2000-02-24,2397.5,2400.0,2281.25,2382.5,185726,ACTA
2000-02-25,2140.0,2287.5,2120.0,2142.5,289698,ACTA
2000-02-28,1997.5,2022.5,1875.0,1938.75,287230,ACTA
2000-02-29,1972.5,2120.0,1970.0,2115.0,225138,ACTA
2000-03-01,2138.75,2280.0,2137.5,2210.0,166773,ACTA
2000-03-02,2292.5,2365.0,2120.0,2210.0,162431,ACTA
2000-03-03,2315.0,2390.0,2280.0,2381.25,137184,ACTA
2000-03-06,2672.5,3121.25,2640.0,2845.0,878450,ACTA
2000-03-07,3060.0,3067.5,2792.5,2823.75,354336,ACTA
2000-03-08,2927.5,2930.0,2586.25,2762.5,237435,ACTA
2000-03-09,2798.75,2900.0,2660.0,2788.75,208137,ACTA
2000-03-10,2807.5,2905.0,2792.5,2871.25,157937,ACTA
2000-03-13,2655.0,2782.5,2560.0,2581.25,208270,ACTA
2000-03-14,2678.75,2680.0,2308.75,2343.75,271265,ACTA
2000-03-15,2373.75,2407.5,2308.75,2335.0,236232,ACTA
2000-03-16,2382.5,2452.5,2161.25,2347.5,239987,ACTA
2000-03-17,2382.5,2471.25,2320.0,2350.0,84053,ACTA
2000-03-20,2385.0,2426.25,2177.5,2180.0,134443,ACTA
2000-03-21,2197.5,2267.5,2100.0,2240.0,150305,ACTA
2000-03-22,2270.0,2295.0,2150.0,2202.5,149016,ACTA
2000-03-23,2193.75,2277.5,2180.0,2201.25,81449,ACTA
2000-03-24,2223.75,2325.0,2190.0,2202.5,109736,ACTA
2000-03-27,2227.5,2227.5,2122.5,2131.25,100139,ACTA
2000-03-28,2128.75,2130.0,2050.0,2051.25,102991,ACTA
2000-03-29,2075.0,2077.5,1927.5,1935.0,217565,ACTA
2000-03-30,1883.75,1982.5,1780.0,1867.5,235861,ACTA
2000-03-31,1933.75,1946.25,1600.0,1806.25,258666,ACTA
2000-04-03,1755.0,1780.0,1500.0,1563.75,314607,ACTA
2000-04-04,1562.5,1562.5,1113.75,1357.5,411999,ACTA
2000-04-05,1277.5,1550.0,1245.0,1473.75,293148,ACTA
2000-04-06,1590.0,1640.0,1425.0,1477.5,168240,ACTA
2000-04-07,1555.0,1570.0,1420.0,1453.75,235508,ACTA
2000-04-10,1481.25,1482.5,1250.0,1280.0,285139,ACTA
2000-04-11,1212.5,1230.0,1120.0,1151.25,275421,ACTA
2000-04-12,1137.5,1172.5,940.0,942.5,369982,ACTA
2000-04-13,998.75,1000.0,798.75,836.25,410436,ACTA
2000-04-14,777.5,827.5,712.5,780.0,460116,ACTA
2000-04-17,747.5,840.0,605.0,758.75,562375,ACTA
2000-04-18,780.0,888.75,765.0,820.0,379924,ACTA
2000-04-19,880.0,926.25,810.0,817.5,285922,ACTA
2000-04-20,870.0,920.0,833.75,875.0,188295,ACTA
2000-04-24,790.0,805.0,697.5,757.5,225493,ACTA
2000-04-25,791.25,840.0,768.75,815.0,157302,ACTA
2000-04-26,821.25,875.0,760.0,776.25,161269,ACTA
2000-04-27,755.0,830.0,720.0,805.0,196472,ACTA
2000-04-28,817.5,875.0,805.0,847.5,169528,ACTA
2000-05-01,895.0,922.5,865.0,881.25,170485,ACTA
2000-05-02,876.25,985.0,856.25,857.5,237949,ACTA
2000-05-03,847.5,865.0,760.0,792.5,240514,ACTA
2000-05-04,815.0,835.0,780.0,791.25,106892,ACTA
2000-05-05,772.5,812.5,765.0,772.5,91351,ACTA
2000-05-08,773.75,782.5,740.0,743.75,72344,ACTA
2000-05-09,771.25,771.25,700.0,721.25,153615,ACTA
2000-05-10,703.75,727.5,658.75,678.75,178970,ACTA
2000-05-11,705.0,705.0,620.0,636.25,228568,ACTA
2000-05-12,640.0,670.0,600.0,602.5,385770,ACTA
2000-05-15,602.5,621.25,561.25,602.5,238259,ACTA
2000-05-16,685.0,740.0,660.0,711.25,512050,ACTA
2000-05-17,695.0,716.25,670.0,681.25,171834,ACTA
2000-05-18,698.75,698.75,620.0,625.0,121929,ACTA
2000-05-19,603.75,626.25,580.0,598.75,183323,ACTA
2000-05-22,600.0,600.0,523.75,578.75,218817,ACTA
2000-05-23,558.75,602.5,530.0,541.25,133744,ACTA
2000-05-24,552.5,587.5,500.0,537.5,219067,ACTA
2000-05-25,558.75,560.0,481.25,482.5,132258,ACTA
2000-05-26,491.25,517.5,462.5,516.25,198134,ACTA
2000-05-30,552.5,595.0,533.75,595.0,216124,ACTA
2000-05-31,580.0,600.0,535.0,538.75,157897,ACTA
2000-06-01,571.25,630.0,557.5,613.75,233143,ACTA
2000-06-02,695.0,755.0,680.0,731.25,362797,ACTA
2000-06-05,727.5,852.5,720.0,825.0,525030,ACTA
2000-06-06,842.5,871.25,725.0,755.0,295299,ACTA
2000-06-07,785.0,797.5,746.25,781.25,190700,ACTA
2000-06-08,838.75,838.75,760.0,778.75,207875,ACTA
2000-06-09,822.5,822.5,775.0,786.25,119784,ACTA
2000-06-12,788.75,791.25,686.25,692.5,235486,ACTA
2000-06-13,665.0,680.0,621.25,680.0,413881,ACTA
2000-06-14,705.0,707.5,615.0,630.0,359350,ACTA
2000-06-15,626.25,670.0,601.25,653.75,212771,ACTA
2000-06-16,646.25,660.0,631.25,640.0,82282,ACTA
2000-06-19,631.25,637.5,605.0,621.25,148072,ACTA
2000-06-20,630.0,707.5,625.0,691.25,354156,ACTA
2000-06-21,675.0,785.0,671.25,763.75,365297,ACTA
2000-06-22,795.0,827.5,720.0,736.25,369993,ACTA
2000-06-23,728.75,747.5,685.0,700.0,141032,ACTA
2000-06-26,706.25,715.0,665.0,685.0,126533,ACTA
2000-06-27,690.0,715.0,640.0,643.75,231362,ACTA
2000-06-28,647.5,726.25,642.5,683.75,320954,ACTA
2000-06-29,662.5,687.5,640.0,675.0,190306,ACTA
2000-06-30,680.0,790.0,670.0,740.0,340740,ACTA
2000-07-03,735.0,735.0,692.5,701.25,83093,ACTA
2000-07-05,718.75,730.0,658.75,660.0,191000,ACTA
2000-07-06,661.25,690.0,652.5,663.75,177292,ACTA
2000-07-07,672.5,680.0,626.25,628.75,164979,ACTA
2000-07-10,631.25,638.75,602.5,611.25,144521,ACTA
2000-07-11,603.75,631.25,580.0,580.0,163753,ACTA
2000-07-12,618.75,660.0,616.25,647.5,266010,ACTA
2000-07-13,705.0,738.75,687.5,726.25,517245,ACTA
2000-07-14,752.5,815.0,740.0,790.0,527150,ACTA
2000-07-17,816.25,893.75,775.0,861.25,538810,ACTA
2000-07-18,837.5,903.75,808.75,892.5,390146,ACTA
2000-07-19,847.5,860.0,800.0,803.75,221703,ACTA
2000-07-20,820.0,863.75,817.5,848.75,204285,ACTA
2000-07-21,810.0,827.5,780.0,798.75,132560,ACTA
2000-07-24,805.0,813.75,735.0,745.0,165981,ACTA
