Date,Open,High,Low,Close,Volume,Ticker
2002-12-16,3.4,3.4,1.79,1.85,14200,ACTG
2002-12-17,2.0,2.2,1.65,2.0,53658,ACTG
2002-12-18,2.45,2.65,1.8,1.87,138587,ACTG
2002-12-19,1.88,1.95,1.81,1.88,141663,ACTG
2002-12-20,1.98,2.33,1.8,1.91,328803,ACTG
2002-12-23,1.8,1.98,1.76,1.85,240161,ACTG
2002-12-24,1.85,1.94,1.85,1.93,41965,ACTG
2002-12-26,1.85,1.98,1.85,1.96,78597,ACTG
2002-12-27,1.8,1.99,1.8,1.96,50208,ACTG
2002-12-30,1.85,2.05,1.81,1.96,104323,ACTG
2002-12-31,1.88,2.7,1.88,2.41,234485,ACTG
2003-01-02,2.4,2.4,1.95,2.19,54169,ACTG
2003-01-03,2.05,2.14,1.99,2.1,23527,ACTG
2003-01-06,2.04,2.18,1.96,2.09,62548,ACTG
2003-01-07,2.0,2.01,1.95,2.0,114812,ACTG
2003-01-08,2.13,2.13,1.88,1.94,61043,ACTG
2003-01-09,1.9,1.95,1.78,1.9,46417,ACTG
2003-01-10,1.8,1.96,1.8,1.96,67325,ACTG
2003-01-13,1.9,1.98,1.81,1.82,16496,ACTG
2003-01-14,1.8,1.96,1.78,1.9,43345,ACTG
2003-01-15,1.78,1.9,1.55,1.7,67740,ACTG
2003-01-16,1.6,1.75,1.5,1.69,45773,ACTG
2003-01-17,1.53,1.65,1.5,1.59,72978,ACTG
2003-01-21,1.5,1.59,1.15,1.43,49365,ACTG
2003-01-22,1.18,1.41,1.17,1.32,70931,ACTG
2003-01-23,1.33,1.71,1.24,1.64,137962,ACTG
2003-01-24,1.48,1.6,1.35,1.44,75859,ACTG
2003-01-27,1.35,1.44,1.3,1.35,66793,ACTG
2003-01-28,1.28,1.44,1.28,1.37,72756,ACTG
2003-01-29,1.4,1.43,1.34,1.41,106901,ACTG
2003-01-30,1.39,1.55,1.39,1.53,100005,ACTG
2003-01-31,1.4,1.59,1.4,1.59,85532,ACTG
2003-02-03,1.46,1.7,1.45,1.47,38632,ACTG
2003-02-04,1.5,1.55,1.4,1.43,58600,ACTG
2003-02-05,1.37,1.5,1.25,1.49,75070,ACTG
2003-02-06,1.44,1.5,1.19,1.46,93948,ACTG
2003-02-07,1.45,1.51,1.4,1.49,49568,ACTG
2003-02-10,1.45,1.57,1.41,1.57,120236,ACTG
2003-02-11,1.51,1.6,1.25,1.34,67260,ACTG
2003-02-12,1.35,1.4,1.26,1.26,36663,ACTG
2003-02-13,1.26,1.35,1.26,1.31,18728,ACTG
2003-02-14,1.35,1.56,1.31,1.4,67762,ACTG
2003-02-18,1.35,1.5,1.25,1.49,21669,ACTG
2003-02-19,1.43,1.5,1.32,1.36,28053,ACTG
2003-02-20,1.5,1.5,1.3,1.45,18745,ACTG
2003-02-21,1.36,1.45,1.35,1.4,35734,ACTG
2003-02-24,1.4,1.4,1.31,1.37,20383,ACTG
2003-02-25,1.4,1.4,1.25,1.34,47429,ACTG
2003-02-26,1.31,1.4,1.25,1.4,23991,ACTG
2003-02-27,1.3,1.5,1.25,1.48,63907,ACTG
2003-02-28,1.36,1.45,1.25,1.3,109717,ACTG
2003-03-03,1.3,1.36,1.27,1.36,30894,ACTG
2003-03-04,1.28,1.32,1.2,1.32,69170,ACTG
2003-03-05,1.16,1.26,1.15,1.22,68315,ACTG
2003-03-06,1.2,1.25,1.12,1.12,86827,ACTG
2003-03-07,1.2,1.33,1.11,1.22,89679,ACTG
2003-03-10,1.1,1.22,1.08,1.08,85548,ACTG
2003-03-11,1.08,1.18,1.06,1.07,132042,ACTG
2003-03-12,1.06,1.1,0.96,1.01,29415,ACTG
2003-03-13,1.0,1.1,0.97,1.09,29194,ACTG
2003-03-14,1.03,1.3,1.03,1.21,29094,ACTG
2003-03-17,1.08,1.36,1.07,1.33,70832,ACTG
2003-03-18,1.27,1.38,1.27,1.36,54286,ACTG
2003-03-19,1.3,1.39,1.3,1.35,70580,ACTG
2003-03-20,1.28,1.37,1.16,1.17,75808,ACTG
2003-03-21,1.3,1.36,1.16,1.27,103077,ACTG
2003-03-24,1.32,1.32,1.18,1.18,45808,ACTG
2003-03-25,1.2,1.34,1.16,1.24,60767,ACTG
2003-03-26,1.28,1.44,1.21,1.21,37146,ACTG
2003-03-27,1.2,1.22,1.02,1.2,57285,ACTG
2003-03-28,1.19,1.3,1.18,1.2,53366,ACTG
2003-03-31,1.15,1.26,1.14,1.21,50619,ACTG
2003-04-01,1.14,1.26,1.14,1.26,30797,ACTG
2003-04-02,1.16,1.38,1.16,1.38,59353,ACTG
2003-04-03,1.39,1.39,1.24,1.24,52563,ACTG
2003-04-04,1.24,1.28,1.16,1.16,64988,ACTG
2003-04-07,1.16,1.22,1.16,1.18,26371,ACTG
2003-04-08,1.19,1.24,1.13,1.18,38107,ACTG
2003-04-09,1.2,1.2,1.12,1.15,79738,ACTG
2003-04-10,1.12,1.18,1.12,1.14,115187,ACTG
2003-04-11,1.18,1.18,1.08,1.15,34496,ACTG
2003-04-14,1.15,1.19,1.07,1.16,33919,ACTG
2003-04-15,1.15,1.17,1.05,1.05,69707,ACTG
2003-04-16,1.15,1.17,1.08,1.13,50705,ACTG
2003-04-17,1.2,1.2,1.09,1.1,86604,ACTG
2003-04-21,1.15,1.17,1.1,1.16,92112,ACTG
2003-04-22,1.1,1.18,1.1,1.16,31436,ACTG
2003-04-23,1.12,1.15,1.1,1.14,44924,ACTG
2003-04-24,1.13,1.15,1.09,1.14,212248,ACTG
2003-04-25,1.15,1.24,1.05,1.11,57324,ACTG
2003-04-28,1.06,1.16,1.01,1.05,83028,ACTG
2003-04-29,1.04,1.15,1.04,1.08,53738,ACTG
2003-04-30,1.03,1.11,1.0,1.04,138903,ACTG
2003-05-01,0.99,1.09,0.99,1.07,18801,ACTG
2003-05-02,1.07,1.14,1.03,1.12,22104,ACTG
2003-05-05,1.15,1.16,1.09,1.1,26260,ACTG
2003-05-06,1.06,1.12,1.04,1.06,58910,ACTG
2003-05-07,1.2,1.45,1.09,1.39,217584,ACTG
2003-05-08,1.39,1.39,1.15,1.2,85456,ACTG
2003-05-09,1.2,1.27,1.07,1.21,60142,ACTG
2003-05-12,1.15,1.2,1.11,1.17,35470,ACTG
2003-05-13,1.17,1.32,1.16,1.26,44929,ACTG
2003-05-14,1.31,1.32,1.22,1.3,55573,ACTG
2003-05-15,1.32,1.38,1.25,1.31,83300,ACTG
2003-05-16,1.22,1.35,1.21,1.29,183086,ACTG
2003-05-19,1.29,1.35,1.25,1.27,80432,ACTG
2003-05-20,1.25,1.29,1.21,1.25,53176,ACTG
2003-05-21,1.28,1.29,1.22,1.24,60381,ACTG
2003-05-22,1.24,1.24,1.15,1.23,119676,ACTG
2003-05-23,1.22,1.22,1.18,1.2,69068,ACTG
2003-05-27,1.2,1.22,1.15,1.2,131066,ACTG
2003-05-28,1.23,1.39,1.2,1.31,217321,ACTG
2003-05-29,1.35,1.46,1.34,1.39,161298,ACTG
2003-05-30,1.38,1.46,1.25,1.3,155632,ACTG
2003-06-02,1.41,1.42,1.26,1.28,91522,ACTG
2003-06-03,1.3,1.4,1.3,1.39,78455,ACTG
2003-06-04,1.39,1.47,1.34,1.45,158587,ACTG
2003-06-05,1.45,1.7,1.44,1.57,271357,ACTG
2003-06-06,1.64,1.66,1.55,1.65,114007,ACTG
2003-06-09,1.69,1.75,1.55,1.55,54887,ACTG
2003-06-10,1.55,1.55,1.36,1.37,83500,ACTG
2003-06-11,1.38,1.49,1.37,1.47,58164,ACTG
2003-06-12,1.43,1.5,1.43,1.43,29234,ACTG
2003-06-13,1.43,1.5,1.43,1.44,83960,ACTG
2003-06-16,1.48,1.49,1.4,1.45,63901,ACTG
2003-06-17,1.45,1.46,1.38,1.4,72014,ACTG
2003-06-18,1.4,1.45,1.35,1.37,33974,ACTG
2003-06-19,1.35,1.41,1.35,1.36,65708,ACTG
2003-06-20,1.35,1.45,1.31,1.41,81774,ACTG
2003-06-23,1.43,1.49,1.32,1.32,43905,ACTG
2003-06-24,1.33,1.39,1.32,1.33,27970,ACTG
2003-06-25,1.33,1.39,1.32,1.37,25436,ACTG
2003-06-26,1.35,1.37,1.32,1.34,40627,ACTG
2003-06-27,1.33,1.37,1.3,1.3,160204,ACTG
2003-06-30,1.34,1.36,1.2,1.21,1087430,ACTG
2003-07-01,1.33,1.38,1.25,1.35,335114,ACTG
2003-07-02,1.34,1.35,1.28,1.33,88510,ACTG
2003-07-03,1.27,1.35,1.27,1.33,19060,ACTG
2003-07-07,1.33,1.35,1.29,1.32,51291,ACTG
2003-07-08,1.3,1.38,1.3,1.38,65878,ACTG
2003-07-09,1.37,1.38,1.33,1.36,56092,ACTG
2003-07-10,1.34,1.36,1.25,1.34,71440,ACTG
2003-07-11,1.31,1.41,1.31,1.41,87568,ACTG
2003-07-14,1.38,1.58,1.35,1.58,348522,ACTG
2003-07-15,1.65,1.68,1.55,1.58,107020,ACTG
2003-07-16,1.65,1.79,1.65,1.7,217543,ACTG
2003-07-17,1.77,1.78,1.5,1.62,109949,ACTG
2003-07-18,1.53,1.74,1.5,1.56,52326,ACTG
2003-07-21,1.55,1.58,1.5,1.54,28764,ACTG
2003-07-22,1.5,1.58,1.5,1.58,34810,ACTG
2003-07-23,1.58,1.62,1.55,1.62,50155,ACTG
2003-07-24,1.63,1.74,1.62,1.74,47269,ACTG
2003-07-25,1.74,1.74,1.61,1.7,43150,ACTG
2003-07-28,1.72,2.12,1.72,2.12,364574,ACTG
2003-07-29,2.25,2.91,2.13,2.42,1375700,ACTG
2003-07-30,1.99,2.24,1.77,1.81,916885,ACTG
2003-07-31,1.77,2.23,1.77,2.08,251587,ACTG
2003-08-01,2.14,2.14,1.9,1.9,70534,ACTG
2003-08-04,1.9,1.9,1.76,1.8,124355,ACTG
2003-08-05,1.79,1.79,1.7,1.7,92816,ACTG
2003-08-06,1.71,1.79,1.71,1.71,181897,ACTG
2003-08-07,1.71,1.74,1.69,1.71,122354,ACTG
2003-08-08,1.71,1.71,1.65,1.65,90974,ACTG
2003-08-11,1.65,1.78,1.63,1.78,95919,ACTG
2003-08-12,1.78,1.78,1.66,1.66,27100,ACTG
2003-08-13,1.66,1.75,1.64,1.67,32946,ACTG
2003-08-14,1.8,1.8,1.63,1.7,55373,ACTG
2003-08-15,1.68,1.8,1.68,1.7,40820,ACTG
2003-08-18,1.69,1.81,1.66,1.72,80980,ACTG
2003-08-19,1.72,1.8,1.71,1.76,77295,ACTG
2003-08-20,1.76,1.81,1.66,1.72,118296,ACTG
2003-08-21,1.72,1.86,1.72,1.79,127596,ACTG
2003-08-22,1.79,1.79,1.72,1.76,35181,ACTG
