Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,2.375,2.375,2.375,2.375,200,ACTP-199107
1985-01-03,2.375,2.375,2.375,2.375,300,ACTP-199107
1985-01-04,2.375,2.375,2.375,2.375,500,ACTP-199107
1985-01-07,2.375,2.375,2.375,2.375,300,ACTP-199107
1985-01-08,2.375,2.375,2.375,2.375,300,ACTP-199107
1985-01-09,2.375,2.375,2.375,2.375,1100,ACTP-199107
1985-01-10,2.375,2.375,2.375,2.375,1500,ACTP-199107
1985-01-11,2.375,2.375,2.375,2.375,300,ACTP-199107
1985-01-14,2.375,2.375,2.375,2.375,700,ACTP-199107
1985-01-15,2.25,2.25,2.25,2.25,900,ACTP-199107
1985-01-17,2.25,2.25,2.25,2.25,300,ACTP-199107
1985-01-18,2.375,2.375,2.375,2.375,600,ACTP-199107
1985-01-21,2.375,2.375,2.375,2.375,100,ACTP-199107
1985-01-23,2.375,2.375,2.375,2.375,500,ACTP-199107
1985-01-24,2.625,2.625,2.625,2.625,5000,ACTP-199107
1985-01-25,2.875,2.875,2.875,2.875,2100,ACTP-199107
1985-01-28,3.25,3.25,3.25,3.25,1800,ACTP-199107
1985-01-29,3.25,3.25,3.25,3.25,1300,ACTP-199107
1985-01-30,3.25,3.25,3.25,3.25,2300,ACTP-199107
1985-01-31,3.25,3.25,3.25,3.25,1000,ACTP-199107
1985-02-01,3.25,3.25,3.25,3.25,900,ACTP-199107
1985-02-04,3.125,3.125,3.125,3.125,4600,ACTP-199107
1985-02-05,3.25,3.25,3.25,3.25,3800,ACTP-199107
1985-02-06,3.25,3.25,3.25,3.25,1000,ACTP-199107
1985-02-08,3.125,3.125,3.125,3.125,1000,ACTP-199107
1985-02-12,3.0,3.0,3.0,3.0,1200,ACTP-199107
1985-02-13,2.75,2.75,2.75,2.75,500,ACTP-199107
1985-02-14,2.75,2.75,2.75,2.75,1100,ACTP-199107
1985-02-15,2.75,2.75,2.75,2.75,1000,ACTP-199107
1985-02-19,2.75,2.75,2.75,2.75,400,ACTP-199107
1985-02-20,2.75,2.75,2.75,2.75,500,ACTP-199107
1985-02-21,2.875,2.875,2.875,2.875,3500,ACTP-199107
1985-02-22,3.0,3.0,3.0,3.0,300,ACTP-199107
1985-02-25,3.0,3.0,3.0,3.0,1600,ACTP-199107
1985-02-28,3.0,3.0,3.0,3.0,300,ACTP-199107
1985-03-04,3.0,3.0,3.0,3.0,1000,ACTP-199107
1985-03-05,3.0,3.0,3.0,3.0,3500,ACTP-199107
1985-03-06,3.0,3.0,3.0,3.0,200,ACTP-199107
1985-03-07,3.0,3.0,3.0,3.0,2000,ACTP-199107
1985-03-11,3.0,3.0,3.0,3.0,350,ACTP-199107
1985-03-12,3.0,3.0,3.0,3.0,2100,ACTP-199107
1985-03-13,3.0,3.0,3.0,3.0,500,ACTP-199107
1985-03-14,3.125,3.125,3.125,3.125,2700,ACTP-199107
1985-03-15,2.75,2.75,2.75,2.75,2300,ACTP-199107
1985-03-18,2.75,2.75,2.75,2.75,500,ACTP-199107
1985-03-19,2.75,2.75,2.75,2.75,1000,ACTP-199107
1985-03-20,2.5,2.5,2.5,2.5,1900,ACTP-199107
1985-03-21,2.5,2.5,2.5,2.5,200,ACTP-199107
1985-03-25,2.5,2.5,2.5,2.5,5000,ACTP-199107
1985-03-26,2.5,2.5,2.5,2.5,5000,ACTP-199107
1985-03-29,2.75,2.75,2.75,2.75,8300,ACTP-199107
