Date,Open,High,Low,Close,Volume,Ticker
1993-12-14,8.25,9.125,8.25,9.125,1528822,ACVC-200102
1993-12-15,9.0,9.125,8.625,9.0,301480,ACVC-200102
1993-12-16,9.0,9.0,8.625,9.0,237464,ACVC-200102
1993-12-17,9.0,9.0,8.75,9.0,150720,ACVC-200102
1993-12-20,9.0,9.0,8.75,9.0,30402,ACVC-200102
1993-12-21,9.0,9.875,8.75,9.75,215306,ACVC-200102
1993-12-22,9.75,9.75,9.25,9.25,285200,ACVC-200102
1993-12-23,9.25,9.5,9.25,9.5,19906,ACVC-200102
1993-12-27,9.5,9.5,9.25,9.25,12400,ACVC-200102
1993-12-28,9.5,10.0,9.375,9.75,35324,ACVC-200102
1993-12-29,10.0,10.0,9.75,9.9375,193350,ACVC-200102
1993-12-30,10.0,10.0,9.75,10.0,11648,ACVC-200102
1993-12-31,10.0,10.0,9.75,9.75,21700,ACVC-200102
1994-01-03,10.0,10.0,9.625,9.625,65200,ACVC-200102
1994-01-04,9.875,9.875,9.5625,9.5625,30000,ACVC-200102
1994-01-05,9.75,9.75,9.5,9.5,27544,ACVC-200102
1994-01-06,9.5,9.75,9.5,9.5,25400,ACVC-200102
1994-01-07,9.5,9.75,9.5,9.75,83300,ACVC-200102
1994-01-10,9.5,9.75,9.5,9.75,4010,ACVC-200102
1994-01-11,9.75,10.375,9.5,10.0,52600,ACVC-200102
1994-01-12,10.75,10.875,10.375,10.5625,89000,ACVC-200102
1994-01-13,10.625,10.625,10.25,10.625,46500,ACVC-200102
1994-01-14,10.625,10.625,10.25,10.5625,67076,ACVC-200102
1994-01-17,10.625,10.625,10.25,10.5,68938,ACVC-200102
1994-01-18,10.375,10.5,10.125,10.125,98300,ACVC-200102
1994-01-19,10.125,10.875,10.125,10.875,44700,ACVC-200102
1994-01-20,10.875,11.0,10.5,10.9375,73800,ACVC-200102
1994-01-21,11.0,11.0,10.5,10.875,241390,ACVC-200102
1994-01-24,10.875,11.0,10.625,10.6875,30600,ACVC-200102
1994-01-25,11.0,11.0,10.625,10.625,35938,ACVC-200102
1994-01-26,11.0,11.0,10.75,10.9375,21738,ACVC-200102
1994-01-27,11.0,11.25,10.75,11.25,48600,ACVC-200102
