Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,1.25,1.29167,1.20833,1.25,13200,ACXM
1985-01-04,1.25,1.29167,1.20833,1.25,12000,ACXM
1985-01-08,1.25,1.29167,1.20833,1.25,4800,ACXM
1985-01-10,1.25,1.29167,1.20833,1.25,7320,ACXM
1985-01-11,1.25,1.29167,1.20833,1.25,3600,ACXM
1985-01-14,1.25,1.29167,1.20833,1.25,1920,ACXM
1985-01-15,1.25,1.29167,1.20833,1.25,59520,ACXM
1985-01-16,1.25,1.29167,1.20833,1.25,25200,ACXM
1985-01-17,1.26042,1.29167,1.22917,1.26042,31200,ACXM
1985-01-18,1.26042,1.29167,1.22917,1.26042,30000,ACXM
1985-01-21,1.26042,1.29167,1.22917,1.26042,2400,ACXM
1985-01-22,1.26042,1.29167,1.22917,1.26042,62400,ACXM
1985-01-23,1.26042,1.29167,1.22917,1.26042,5400,ACXM
1985-01-24,1.26042,1.29167,1.22917,1.26042,63600,ACXM
1985-01-25,1.26042,1.29167,1.22917,1.26042,61200,ACXM
1985-01-28,1.26042,1.29167,1.22917,1.26042,600,ACXM
1985-01-29,1.26042,1.29167,1.22917,1.26042,1200,ACXM
1985-01-30,1.26042,1.29167,1.22917,1.26042,17400,ACXM
1985-01-31,1.26042,1.29167,1.22917,1.26042,2400,ACXM
1985-02-04,1.26042,1.29167,1.22917,1.26042,46800,ACXM
1985-02-05,1.26042,1.29167,1.22917,1.26042,10800,ACXM
1985-02-06,1.26042,1.29167,1.22917,1.26042,24000,ACXM
1985-02-07,1.26042,1.29167,1.22917,1.26042,7200,ACXM
1985-02-08,1.26042,1.29167,1.22917,1.26042,6000,ACXM
1985-02-11,1.26042,1.29167,1.22917,1.26042,24000,ACXM
1985-02-12,1.27083,1.29167,1.25,1.27083,2460,ACXM
1985-02-13,1.27083,1.29167,1.25,1.27083,18000,ACXM
1985-02-14,1.27083,1.29167,1.25,1.27083,36000,ACXM
1985-02-15,1.27083,1.29167,1.25,1.27083,15600,ACXM
