Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,14.75,14.75,14.625,14.625,4400,ACZ-199610
1985-01-03,14.75,14.75,14.625,14.625,2100,ACZ-199610
1985-01-04,14.5,14.75,14.5,14.75,13900,ACZ-199610
1985-01-07,14.75,14.75,14.75,14.75,3200,ACZ-199610
1985-01-08,14.75,14.75,14.75,14.75,2800,ACZ-199610
1985-01-09,14.625,14.875,14.625,14.875,8700,ACZ-199610
1985-01-10,14.875,15.25,14.875,15.25,39800,ACZ-199610
1985-01-11,15.25,15.25,15.0,15.0,10100,ACZ-199610
1985-01-14,14.875,15.25,14.875,15.25,7100,ACZ-199610
1985-01-15,15.25,15.375,15.125,15.25,12300,ACZ-199610
1985-01-16,15.25,15.5,15.125,15.375,9900,ACZ-199610
1985-01-17,15.375,15.375,15.25,15.25,8100,ACZ-199610
1985-01-18,15.125,15.5,15.125,15.5,7900,ACZ-199610
1985-01-21,15.375,16.0,15.375,16.0,13400,ACZ-199610
1985-01-22,16.25,16.5,16.0,16.25,28100,ACZ-199610
1985-01-23,16.125,17.0,16.125,17.0,18300,ACZ-199610
1985-01-24,16.875,16.875,16.0,16.0,41200,ACZ-199610
1985-01-25,16.0,16.25,15.75,16.0,33600,ACZ-199610
1985-01-28,16.0,16.125,15.875,16.0,72300,ACZ-199610
1985-01-29,15.75,16.125,15.5,16.0,36900,ACZ-199610
1985-01-30,16.75,17.0,16.5,16.75,52500,ACZ-199610
1985-01-31,15.5,16.0,14.875,15.875,168100,ACZ-199610
1985-02-01,15.75,15.875,15.5,15.75,28800,ACZ-199610
1985-02-04,15.25,15.75,15.25,15.75,31000,ACZ-199610
1985-02-05,15.625,15.625,15.125,15.125,21500,ACZ-199610
1985-02-06,15.5,15.875,15.25,15.625,33400,ACZ-199610
1985-02-07,16.25,16.875,15.625,16.625,34900,ACZ-199610
1985-02-08,17.0,17.25,16.625,17.125,22500,ACZ-199610
1985-02-11,17.625,17.625,17.125,17.125,56900,ACZ-199610
1985-02-12,17.375,17.75,17.0,17.625,52300,ACZ-199610
1985-02-13,17.5,17.875,17.5,17.875,52100,ACZ-199610
1985-02-14,18.0,18.25,17.875,18.0,75300,ACZ-199610
1985-02-15,18.0,18.125,17.875,18.0,32700,ACZ-199610
1985-02-19,17.875,17.875,17.25,17.25,24100,ACZ-199610
1985-02-20,17.625,17.75,17.5,17.625,39700,ACZ-199610
1985-02-21,17.5,17.625,17.25,17.375,48400,ACZ-199610
1985-02-22,17.125,17.375,17.125,17.375,9500,ACZ-199610
1985-02-25,16.75,17.375,16.125,16.375,21500,ACZ-199610
1985-02-26,16.25,16.875,16.25,16.875,15700,ACZ-199610
1985-02-27,16.875,17.0,16.75,16.875,47900,ACZ-199610
1985-02-28,17.0,17.125,16.875,17.0,9500,ACZ-199610
1985-03-01,16.75,17.0,16.5,16.875,30300,ACZ-199610
1985-03-04,16.75,16.75,16.25,16.25,8200,ACZ-199610
1985-03-05,12.375,13.0,11.75,12.625,174500,ACZ-199610
1985-03-06,12.75,13.125,12.375,12.625,107100,ACZ-199610
1985-03-07,12.625,12.875,12.625,12.875,41000,ACZ-199610
1985-03-08,12.5,12.875,12.25,12.625,179000,ACZ-199610
1985-03-11,12.625,12.625,12.375,12.375,33800,ACZ-199610
1985-03-12,12.25,12.25,12.0,12.0,32000,ACZ-199610
1985-03-13,11.5,12.0,11.125,11.25,37200,ACZ-199610
1985-03-14,11.5,11.875,11.25,11.75,72800,ACZ-199610
1985-03-15,12.0,12.0,11.75,11.75,65000,ACZ-199610
1985-03-18,11.75,11.875,11.75,11.875,7100,ACZ-199610
1985-03-19,11.75,11.75,11.625,11.625,25000,ACZ-199610
1985-03-20,12.0,12.0,11.75,11.75,20200,ACZ-199610
1985-03-21,11.75,11.875,11.5,11.625,35100,ACZ-199610
1985-03-22,11.5,11.5,11.0,11.0,40300,ACZ-199610
1985-03-25,10.375,11.0,9.75,10.625,40500,ACZ-199610
1985-03-26,10.5,11.0,10.0,10.125,32900,ACZ-199610
1985-03-27,10.5,10.75,10.125,10.625,74200,ACZ-199610
1985-03-28,11.0,11.0,10.5,10.5,40800,ACZ-199610
1985-03-29,10.625,11.0,10.625,11.0,51300,ACZ-199610
1985-04-01,10.875,11.0,10.75,10.875,4100,ACZ-199610
1985-04-02,11.125,11.125,10.5,10.5,7800,ACZ-199610
1985-04-03,10.75,10.75,10.125,10.125,62900,ACZ-199610
1985-04-04,10.125,10.375,10.125,10.375,42400,ACZ-199610
1985-04-08,10.375,10.375,10.25,10.25,14300,ACZ-199610
1985-04-09,10.25,10.375,10.25,10.375,14000,ACZ-199610
1985-04-10,10.125,10.25,10.125,10.25,32000,ACZ-199610
1985-04-11,10.375,10.375,10.25,10.25,7500,ACZ-199610
1985-04-12,10.5,10.5,10.25,10.25,14400,ACZ-199610
1985-04-15,10.375,10.375,10.25,10.25,24500,ACZ-199610
1985-04-16,10.125,10.25,10.125,10.25,26800,ACZ-199610
1985-04-17,10.125,10.25,10.0,10.125,23700,ACZ-199610
1985-04-18,10.0,10.125,10.0,10.125,28000,ACZ-199610
1985-04-19,10.25,10.25,10.0,10.0,26600,ACZ-199610
1985-04-22,10.0,10.0,9.875,9.875,23500,ACZ-199610
1985-04-23,9.75,10.0,9.75,10.0,15600,ACZ-199610
1985-04-24,10.25,10.75,10.25,10.75,37600,ACZ-199610
1985-04-25,11.25,11.625,10.875,11.5,25800,ACZ-199610
1985-04-26,11.75,12.125,11.375,11.625,29500,ACZ-199610
1985-04-29,11.25,11.5,11.125,11.375,4600,ACZ-199610
1985-04-30,11.125,11.5,11.125,11.5,16900,ACZ-199610
1985-05-01,11.375,11.375,11.125,11.125,1600,ACZ-199610
1985-05-02,11.0,11.0,10.625,10.625,9300,ACZ-199610
1985-05-03,10.5,10.625,10.375,10.5,3100,ACZ-199610
1985-05-06,10.5,10.5,10.5,10.5,6300,ACZ-199610
1985-05-07,10.75,10.75,10.5,10.5,1400,ACZ-199610
1985-05-08,10.75,10.75,10.625,10.625,1900,ACZ-199610
1985-05-09,11.0,11.0,10.5,10.5,18200,ACZ-199610
1985-05-10,10.375,10.75,10.375,10.75,9500,ACZ-199610
1985-05-13,10.75,11.25,10.75,11.25,15400,ACZ-199610
1985-05-14,11.25,11.25,11.125,11.125,5800,ACZ-199610
1985-05-15,11.125,11.125,11.0,11.0,600,ACZ-199610
1985-05-16,10.5,10.625,10.5,10.625,32100,ACZ-199610
1985-05-17,10.75,10.875,10.5,10.75,20900,ACZ-199610
1985-05-20,11.125,11.125,10.625,10.625,15200,ACZ-199610
1985-05-21,10.75,10.875,10.75,10.875,4800,ACZ-199610
1985-05-22,11.125,11.125,10.875,10.875,5900,ACZ-199610
1985-05-23,10.875,11.0,10.875,11.0,400,ACZ-199610
1985-05-24,10.875,11.0,10.875,11.0,29500,ACZ-199610
1985-05-28,11.125,11.125,10.875,10.875,2300,ACZ-199610
1985-05-29,11.0,11.125,11.0,11.125,5400,ACZ-199610
1985-05-30,11.125,11.25,11.0,11.125,6800,ACZ-199610
1985-05-31,11.25,11.25,10.75,10.75,62600,ACZ-199610
1985-06-03,10.625,10.75,10.5,10.625,47500,ACZ-199610
1985-06-04,10.75,10.75,10.625,10.625,2600,ACZ-199610
1985-06-05,10.875,10.875,10.625,10.625,5400,ACZ-199610
1985-06-06,11.0,11.125,10.75,11.0,8600,ACZ-199610
1985-06-07,11.0,11.375,11.0,11.375,14500,ACZ-199610
1985-06-10,11.375,11.875,11.375,11.875,25200,ACZ-199610
1985-06-11,12.5,12.75,12.125,12.375,18200,ACZ-199610
1985-06-12,12.5,12.5,12.125,12.125,8300,ACZ-199610
1985-06-13,12.0,12.125,11.875,12.0,2600,ACZ-199610
1985-06-14,11.75,11.75,11.5,11.5,6200,ACZ-199610
1985-06-17,11.625,11.625,11.375,11.375,2400,ACZ-199610
1985-06-18,11.25,11.375,11.25,11.375,2800,ACZ-199610
1985-06-19,11.375,11.5,11.375,11.5,1500,ACZ-199610
