Date,Open,High,Low,Close,Volume,Ticker
1992-05-13,7.25,7.5,7.0,7.25,77002,ADAT
1992-05-14,7.75,7.75,7.5,7.5,35225,ADAT
1992-05-15,7.75,7.75,7.5,7.5,26325,ADAT
1992-05-18,8.25,8.25,8.0,8.0,45900,ADAT
1992-05-19,8.5,8.5,8.0,8.25,19993,ADAT
1992-05-20,8.75,8.75,8.25,8.5,52063,ADAT
1992-05-21,8.75,8.75,8.25,8.5,15863,ADAT
1992-05-22,8.75,8.75,8.25,8.5,6675,ADAT
1992-05-26,8.75,8.75,8.25,8.5,29601,ADAT
1992-05-27,8.75,8.75,8.5,8.5,31150,ADAT
1992-05-28,8.75,8.75,8.5,8.5,13000,ADAT
1992-05-29,8.75,8.75,8.5,8.5,22840,ADAT
1992-06-01,8.75,8.75,8.5,8.5,17750,ADAT
1992-06-02,8.75,8.75,8.5,8.5,19000,ADAT
1992-06-03,9.0,9.0,8.5,8.75,67125,ADAT
1992-06-04,9.0,9.0,8.5,8.75,16225,ADAT
1992-06-05,9.0,9.0,8.5,8.75,15618,ADAT
1992-06-08,9.0,9.0,8.5,8.75,5260,ADAT
1992-06-09,8.75,8.75,8.5,8.5,26500,ADAT
1992-06-10,8.75,8.75,8.5,8.5,28713,ADAT
1992-06-11,8.75,8.75,8.5,8.5,27388,ADAT
1992-06-12,9.0,9.0,8.5,8.75,61450,ADAT
1992-06-15,9.0,9.25,8.25,8.5,41000,ADAT
1992-06-16,8.5,9.0,8.0,8.5,20263,ADAT
1992-06-17,8.25,9.0,8.0,8.5,42650,ADAT
1992-06-18,8.5,9.0,8.0,9.0,30510,ADAT
1992-06-19,8.75,9.0,8.25,8.5,23308,ADAT
1992-06-22,8.5,9.0,8.5,8.5,11675,ADAT
1992-06-23,8.25,9.0,8.0,9.0,22483,ADAT
1992-06-24,8.5,9.0,8.25,8.5,41150,ADAT
1992-06-25,8.25,9.0,8.0,8.5,36595,ADAT
1992-06-26,8.5,8.5,8.5,8.5,22100,ADAT
1992-06-29,8.5,8.5,8.5,8.5,25100,ADAT
1992-06-30,8.5,8.5,8.5,8.5,1750,ADAT
1992-07-01,8.5,8.5,8.5,8.5,24981,ADAT
1992-07-02,8.5,8.5,8.5,8.5,8253,ADAT
1992-07-06,8.5,8.5,8.5,8.5,2145,ADAT
1992-07-07,8.5,8.5,8.5,8.5,28871,ADAT
