Date,Open,High,Low,Close,Volume,Ticker
1996-11-13,5.0,5.875,5.0,5.5,624580,ADCC-200003
1996-11-14,5.625,5.75,5.25,5.25,305550,ADCC-200003
1996-11-15,5.25,5.5,5.25,5.25,81300,ADCC-200003
1996-11-18,5.375,5.375,5.25,5.375,70800,ADCC-200003
1996-11-19,5.25,5.375,5.25,5.25,170740,ADCC-200003
1996-11-20,5.375,5.375,5.25,5.25,72150,ADCC-200003
1996-11-21,5.25,5.375,5.25,5.25,71850,ADCC-200003
1996-11-22,5.25,5.25,5.25,5.25,75950,ADCC-200003
1996-11-25,5.25,5.5,5.25,5.25,47750,ADCC-200003
1996-11-26,5.25,5.375,5.25,5.375,91100,ADCC-200003
1996-11-27,5.5,5.5,5.375,5.375,37200,ADCC-200003
1996-11-29,5.375,5.5,5.25,5.25,31440,ADCC-200003
1996-12-02,5.25,5.5,5.25,5.5,80700,ADCC-200003
1996-12-03,5.5,5.5,5.25,5.5,41565,ADCC-200003
1996-12-04,5.25,5.5,5.25,5.25,18045,ADCC-200003
1996-12-05,5.5,5.75,5.5,5.5,32700,ADCC-200003
1996-12-06,5.5,5.75,5.5,5.5,29905,ADCC-200003
1996-12-09,5.75,5.875,5.5,5.5,17400,ADCC-200003
1996-12-10,5.5,6.25,5.5,6.0,148460,ADCC-200003
1996-12-11,6.0,6.125,5.75,5.875,112900,ADCC-200003
1996-12-12,5.875,6.0,5.75,5.75,32092,ADCC-200003
1996-12-13,6.0,6.0,5.75,5.75,40250,ADCC-200003
1996-12-16,5.875,5.875,5.75,5.75,43950,ADCC-200003
1996-12-17,5.75,6.0,5.75,5.875,36563,ADCC-200003
1996-12-18,5.875,5.875,5.75,5.75,35475,ADCC-200003
1996-12-19,5.75,5.75,5.5,5.5,50450,ADCC-200003
1996-12-20,5.625,5.625,5.5,5.5,15400,ADCC-200003
1996-12-23,5.5,5.625,5.5,5.5,14000,ADCC-200003
1996-12-24,5.5,5.625,5.5,5.625,10900,ADCC-200003
1996-12-26,5.5,5.625,5.5,5.5,49388,ADCC-200003
1996-12-27,5.5,5.875,5.5,5.625,8650,ADCC-200003
1996-12-30,5.625,5.875,5.625,5.625,10595,ADCC-200003
1996-12-31,5.625,5.75,5.625,5.625,11000,ADCC-200003
1997-01-02,5.75,5.75,5.5,5.625,11600,ADCC-200003
1997-01-03,5.625,5.75,5.625,5.75,27805,ADCC-200003
1997-01-06,5.75,5.875,5.625,5.75,20380,ADCC-200003
1997-01-07,5.75,5.875,5.625,5.875,12135,ADCC-200003
1997-01-08,5.625,5.875,5.625,5.75,45380,ADCC-200003
1997-01-09,5.75,5.875,5.625,5.625,104590,ADCC-200003
1997-01-10,5.625,5.875,5.625,5.625,162505,ADCC-200003
1997-01-13,5.625,5.875,5.375,5.375,53010,ADCC-200003
1997-01-14,5.375,5.625,5.375,5.375,16750,ADCC-200003
1997-01-15,5.375,5.5,5.375,5.375,11900,ADCC-200003
1997-01-16,5.375,5.375,5.375,5.375,11400,ADCC-200003
1997-01-17,5.375,5.5,5.375,5.375,14300,ADCC-200003
1997-01-20,5.5,5.625,5.375,5.5,13570,ADCC-200003
1997-01-21,5.5,5.5,5.375,5.375,9000,ADCC-200003
1997-01-22,5.375,5.625,5.125,5.125,51725,ADCC-200003
1997-01-23,5.25,5.5,5.125,5.5,36450,ADCC-200003
1997-01-24,5.5,5.5,5.25,5.25,94450,ADCC-200003
1997-01-27,5.25,5.5,5.25,5.25,20000,ADCC-200003
1997-01-28,5.25,5.5,5.25,5.5,37500,ADCC-200003
1997-01-29,5.5,5.625,5.25,5.5,49800,ADCC-200003
1997-01-30,5.5,5.75,5.5,5.5,10100,ADCC-200003
1997-01-31,5.5,5.75,5.5,5.5,29150,ADCC-200003
1997-02-03,5.5,5.5,5.5,5.5,6100,ADCC-200003
1997-02-04,5.5,5.625,5.5,5.5,20525,ADCC-200003
1997-02-05,5.5,5.625,5.5,5.5,21075,ADCC-200003
1997-02-06,5.625,5.625,5.5,5.5,14500,ADCC-200003
1997-02-07,5.5,5.625,5.375,5.375,38275,ADCC-200003
1997-02-10,5.375,5.5,5.375,5.375,12245,ADCC-200003
1997-02-11,5.375,5.5,5.375,5.5,19655,ADCC-200003
1997-02-12,5.375,5.5,5.375,5.375,15500,ADCC-200003
1997-02-13,5.375,5.375,5.375,5.375,25200,ADCC-200003
1997-02-14,5.375,5.375,5.375,5.375,31265,ADCC-200003
1997-02-18,5.5,5.625,5.375,5.5,260050,ADCC-200003
1997-02-19,5.5,5.5,5.375,5.375,33600,ADCC-200003
1997-02-20,5.375,5.5,5.375,5.375,41825,ADCC-200003
1997-02-21,5.375,5.625,5.375,5.5,154050,ADCC-200003
1997-02-24,5.5,5.625,5.5,5.5,14750,ADCC-200003
1997-02-25,5.5,5.625,5.25,5.375,49225,ADCC-200003
1997-02-26,5.25,5.25,5.0,5.0,15900,ADCC-200003
1997-02-27,5.0,5.25,5.0,5.0,23100,ADCC-200003
1997-02-28,5.0,5.25,5.0,5.0,40200,ADCC-200003
1997-03-03,5.0,5.0,5.0,5.0,11600,ADCC-200003
1997-03-04,5.0,5.125,5.0,5.0,23800,ADCC-200003
1997-03-05,5.125,5.125,5.0,5.0,22750,ADCC-200003
1997-03-06,5.0,5.125,5.0,5.0,21565,ADCC-200003
1997-03-07,5.0,5.125,5.0,5.125,3125,ADCC-200003
1997-03-10,5.0,5.125,4.75,5.0,37200,ADCC-200003
1997-03-11,5.0,5.0,4.625,4.875,23425,ADCC-200003
1997-03-12,4.75,4.75,4.375,4.375,41150,ADCC-200003
1997-03-13,4.5,4.75,4.125,4.125,22950,ADCC-200003
1997-03-14,4.25,4.5,4.25,4.5,21650,ADCC-200003
1997-03-17,4.75,5.0,4.5,5.0,34800,ADCC-200003
1997-03-18,4.75,5.125,4.75,5.125,32650,ADCC-200003
1997-03-19,5.0,5.25,4.875,5.25,47350,ADCC-200003
1997-03-20,5.0,5.375,5.0,5.0,21655,ADCC-200003
1997-03-21,5.0,5.375,5.0,5.0,27750,ADCC-200003
1997-03-24,5.375,5.75,5.125,5.75,29200,ADCC-200003
1997-03-25,5.75,5.75,5.375,5.5,13505,ADCC-200003
1997-03-26,5.5,5.75,5.5,5.75,6200,ADCC-200003
1997-03-27,6.0,6.0,5.375,5.375,52475,ADCC-200003
1997-03-31,5.375,5.625,5.375,5.625,8850,ADCC-200003
1997-04-01,5.625,5.625,5.5,5.5,4700,ADCC-200003
1997-04-02,5.625,6.0,5.5,6.0,35950,ADCC-200003
1997-04-03,5.625,6.0,5.375,5.375,14855,ADCC-200003
1997-04-04,6.0,6.0,5.25,5.5,4690,ADCC-200003
1997-04-07,5.5,5.875,5.375,5.625,47425,ADCC-200003
1997-04-08,5.375,5.375,5.375,5.375,4020,ADCC-200003
1997-04-09,5.375,5.5,5.125,5.5,16751,ADCC-200003
1997-04-10,5.125,5.375,5.0,5.125,15223,ADCC-200003
1997-04-11,5.375,5.625,5.125,5.625,10300,ADCC-200003
1997-04-14,5.375,5.625,5.375,5.625,5050,ADCC-200003
1997-04-15,5.25,5.625,5.25,5.5,8585,ADCC-200003
1997-04-16,5.5,5.625,5.5,5.5,2200,ADCC-200003
1997-04-17,5.5,5.625,5.125,5.125,14480,ADCC-200003
1997-04-18,5.125,5.5,5.125,5.25,3109,ADCC-200003
1997-04-21,5.125,5.125,5.125,5.125,140,ADCC-200003
1997-04-22,5.25,5.5,5.125,5.125,18600,ADCC-200003
1997-04-23,5.25,5.25,5.25,5.25,7000,ADCC-200003
1997-04-24,5.25,5.5,5.125,5.125,12000,ADCC-200003
1997-04-25,5.25,5.625,5.125,5.375,48930,ADCC-200003
1997-04-28,5.25,5.375,5.0,5.0,29400,ADCC-200003
1997-04-29,5.0,5.125,4.5,4.75,62200,ADCC-200003
1997-04-30,4.625,5.125,4.375,4.375,29523,ADCC-200003
1997-05-01,4.5,4.75,4.375,4.5,6050,ADCC-200003
1997-05-02,4.375,4.625,4.375,4.375,5100,ADCC-200003
1997-05-05,4.375,4.5,3.75,4.0,52000,ADCC-200003
1997-05-06,3.75,3.875,3.625,3.625,34875,ADCC-200003
1997-05-07,3.5,4.0,3.5,4.0,26800,ADCC-200003
1997-05-08,3.625,4.125,3.625,3.75,10350,ADCC-200003
1997-05-09,4.0,4.125,3.75,3.875,17075,ADCC-200003
1997-05-12,3.875,4.125,3.875,4.125,1400,ADCC-200003
1997-05-13,4.0,4.25,3.875,3.875,21995,ADCC-200003
1997-05-14,3.875,3.875,3.5,3.5,25845,ADCC-200003
1997-05-15,3.875,4.375,3.75,4.25,78700,ADCC-200003
1997-05-16,4.375,4.375,4.25,4.25,10110,ADCC-200003
1997-05-19,4.25,4.25,4.25,4.25,3390,ADCC-200003
1997-05-20,4.375,4.625,4.375,4.5,51900,ADCC-200003
1997-05-21,4.625,4.875,4.5,4.5,10900,ADCC-200003
1997-05-22,4.5,4.625,4.5,4.625,5400,ADCC-200003
1997-05-23,4.5,4.5,4.5,4.5,6425,ADCC-200003
1997-05-27,4.5,4.75,4.5,4.5,6980,ADCC-200003
1997-05-28,4.75,4.75,4.375,4.375,4115,ADCC-200003
1997-05-29,4.375,4.5,4.375,4.375,8780,ADCC-200003
1997-05-30,4.375,4.75,4.375,4.75,10631,ADCC-200003
1997-06-02,4.375,4.375,4.375,4.375,700,ADCC-200003
1997-06-03,4.375,4.375,4.375,4.375,1850,ADCC-200003
1997-06-04,4.375,4.375,4.125,4.375,2875,ADCC-200003
1997-06-05,4.375,4.375,4.25,4.25,5750,ADCC-200003
1997-06-06,4.25,4.25,4.25,4.25,12100,ADCC-200003
1997-06-09,4.25,4.375,4.125,4.375,950,ADCC-200003
1997-06-10,4.375,4.5,4.375,4.375,17150,ADCC-200003
1997-06-11,4.375,4.5,4.375,4.375,8025,ADCC-200003
1997-06-12,4.375,4.375,4.375,4.375,4400,ADCC-200003
1997-06-13,4.25,4.5,4.25,4.25,5350,ADCC-200003
1997-06-16,4.25,4.5,4.25,4.25,6500,ADCC-200003
1997-06-17,4.25,4.25,4.25,4.25,5300,ADCC-200003
1997-06-18,4.25,4.5,4.25,4.5,104000,ADCC-200003
1997-06-19,4.5,4.875,4.5,4.5,38580,ADCC-200003
1997-06-20,4.5,4.875,4.5,4.75,17630,ADCC-200003
1997-06-23,4.5,4.75,4.5,4.5,5065,ADCC-200003
1997-06-24,4.5,4.625,4.375,4.375,10100,ADCC-200003
1997-06-25,4.5625,4.5625,4.25,4.25,6100,ADCC-200003
1997-06-26,4.4375,4.4375,4.1875,4.25,24710,ADCC-200003
1997-06-27,4.1875,4.4375,4.1875,4.1875,2550,ADCC-200003
1997-06-30,4.1875,4.5,4.1875,4.5,2200,ADCC-200003
1997-07-01,4.25,4.25,4.125,4.125,13800,ADCC-200003
1997-07-02,4.5,4.5,4.125,4.125,2900,ADCC-200003
1997-07-03,4.5,4.5625,4.5,4.5625,3600,ADCC-200003
1997-07-07,4.5,4.5,4.5,4.5,7000,ADCC-200003
1997-07-08,4.6875,4.75,4.625,4.625,18650,ADCC-200003
1997-07-09,4.625,4.875,4.625,4.625,42450,ADCC-200003
1997-07-10,4.75,5.125,4.625,4.875,180345,ADCC-200003
1997-07-11,4.875,5.125,4.625,5.125,43000,ADCC-200003
1997-07-14,5.125,5.5,5.0,5.5,39950,ADCC-200003
1997-07-15,5.3125,5.4375,5.25,5.25,60256,ADCC-200003
1997-07-16,5.25,5.25,5.25,5.25,3600,ADCC-200003
1997-07-17,5.25,5.25,5.125,5.125,20700,ADCC-200003
1997-07-18,5.125,5.375,5.0625,5.375,30650,ADCC-200003
1997-07-21,5.3125,5.3125,5.0,5.3125,20000,ADCC-200003
1997-07-22,5.0,5.25,5.0,5.25,27750,ADCC-200003
1997-07-23,5.0625,5.0625,4.9375,5.0,10850,ADCC-200003
1997-07-24,4.9375,4.9375,4.9375,4.9375,1200,ADCC-200003
1997-07-25,4.9375,5.125,4.9375,5.125,3050,ADCC-200003
1997-07-28,5.0,5.0,5.0,5.0,1400,ADCC-200003
1997-07-29,5.125,5.125,5.0,5.0,25005,ADCC-200003
1997-07-30,5.0,5.25,5.0,5.25,22350,ADCC-200003
1997-07-31,5.25,5.25,5.0,5.0,20600,ADCC-200003
1997-08-01,5.0,5.03125,5.0,5.03125,5000,ADCC-200003
1997-08-04,5.0,5.125,4.875,5.03125,7125,ADCC-200003
1997-08-05,4.875,4.875,4.875,4.875,300,ADCC-200003
1997-08-06,4.875,5.0,4.8125,4.875,6800,ADCC-200003
1997-08-07,4.8125,4.875,4.8125,4.8125,7630,ADCC-200003
1997-08-08,4.8125,4.875,4.8125,4.875,7200,ADCC-200003
1997-08-11,4.75,4.75,4.75,4.75,500,ADCC-200003
1997-08-12,4.9375,4.9375,4.5625,4.5625,10950,ADCC-200003
1997-08-13,4.5625,4.5625,4.5625,4.5625,3300,ADCC-200003
1997-08-14,4.5625,4.5625,4.5,4.5,9000,ADCC-200003
1997-08-15,4.4375,4.5,4.4375,4.5,1450,ADCC-200003
1997-08-18,4.5,4.5,4.375,4.375,7100,ADCC-200003
1997-08-19,4.375,4.8125,4.375,4.8125,16790,ADCC-200003
1997-08-20,4.5,4.5,4.5,4.5,2000,ADCC-200003
1997-08-21,4.625,4.625,4.625,4.625,4000,ADCC-200003
1997-08-22,4.625,4.625,4.5625,4.625,26200,ADCC-200003
1997-08-25,4.625,4.75,4.5625,4.5625,13000,ADCC-200003
