Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,8.0,8.0,8.0,8.0,21000,ADIA-199501
1985-01-03,8.375,8.375,8.375,8.375,58900,ADIA-199501
1985-01-04,8.625,8.625,8.625,8.625,16000,ADIA-199501
1985-01-07,8.5,8.5,8.5,8.5,35000,ADIA-199501
1985-01-08,8.3125,8.3125,8.3125,8.3125,64600,ADIA-199501
1985-01-09,8.125,8.125,8.125,8.125,37800,ADIA-199501
1985-01-10,8.3125,8.3125,8.3125,8.3125,44200,ADIA-199501
1985-01-11,8.375,8.375,8.375,8.375,16100,ADIA-199501
1985-01-14,8.375,8.375,8.375,8.375,4800,ADIA-199501
1985-01-15,8.375,8.375,8.375,8.375,16900,ADIA-199501
1985-01-16,8.375,8.375,8.375,8.375,45700,ADIA-199501
1985-01-17,8.375,8.375,8.375,8.375,5300,ADIA-199501
1985-01-18,8.375,8.375,8.375,8.375,4400,ADIA-199501
1985-01-21,8.875,8.875,8.875,8.875,34800,ADIA-199501
1985-01-22,9.0625,9.0625,9.0625,9.0625,23300,ADIA-199501
1985-01-23,9.125,9.125,9.125,9.125,13122,ADIA-199501
1985-01-24,8.9375,8.9375,8.9375,8.9375,4650,ADIA-199501
1985-01-25,8.9375,8.9375,8.9375,8.9375,10500,ADIA-199501
1985-01-28,9.0,9.0,9.0,9.0,11300,ADIA-199501
1985-01-29,8.625,8.625,8.625,8.625,25816,ADIA-199501
1985-01-30,8.625,8.625,8.625,8.625,10400,ADIA-199501
1985-01-31,8.625,8.625,8.625,8.625,74600,ADIA-199501
1985-02-01,8.6875,8.6875,8.6875,8.6875,8000,ADIA-199501
1985-02-04,8.6875,8.6875,8.6875,8.6875,8600,ADIA-199501
1985-02-05,8.875,8.875,8.875,8.875,21800,ADIA-199501
1985-02-06,8.875,8.875,8.875,8.875,11104,ADIA-199501
1985-02-07,8.875,8.875,8.875,8.875,21800,ADIA-199501
1985-02-08,9.8125,9.8125,9.8125,9.8125,104280,ADIA-199501
1985-02-11,9.75,9.75,9.75,9.75,44750,ADIA-199501
1985-02-12,10.0625,10.0625,10.0625,10.0625,275800,ADIA-199501
1985-02-13,10.625,10.625,10.625,10.625,72350,ADIA-199501
1985-02-14,10.8125,10.8125,10.8125,10.8125,30780,ADIA-199501
1985-02-15,10.875,10.875,10.875,10.875,41400,ADIA-199501
1985-02-19,11.0625,11.0625,11.0625,11.0625,21808,ADIA-199501
1985-02-20,11.0,11.0,11.0,11.0,30740,ADIA-199501
1985-02-21,11.0,11.0,11.0,11.0,32500,ADIA-199501
1985-02-22,10.875,10.875,10.875,10.875,14900,ADIA-199501
1985-02-25,10.75,10.75,10.75,10.75,20600,ADIA-199501
1985-02-26,10.625,10.625,10.625,10.625,79800,ADIA-199501
1985-02-27,10.5,10.5,10.5,10.5,17700,ADIA-199501
1985-02-28,10.5,10.5,10.5,10.5,49100,ADIA-199501
1985-03-01,10.5,10.5,10.5,10.5,17540,ADIA-199501
1985-03-04,10.375,10.375,10.375,10.375,23600,ADIA-199501
1985-03-05,10.375,10.375,10.375,10.375,2,ADIA-199501
1985-03-06,9.9375,9.9375,9.9375,9.9375,30150,ADIA-199501
1985-03-07,9.8125,9.8125,9.8125,9.8125,12860,ADIA-199501
1985-03-08,9.8125,9.8125,9.8125,9.8125,11400,ADIA-199501
1985-03-11,9.8125,9.8125,9.8125,9.8125,35100,ADIA-199501
1985-03-12,9.8125,9.8125,9.8125,9.8125,35800,ADIA-199501
1985-03-13,9.75,9.75,9.75,9.75,27000,ADIA-199501
1985-03-14,9.75,9.75,9.75,9.75,19600,ADIA-199501
1985-03-15,9.75,9.75,9.75,9.75,5100,ADIA-199501
1985-03-18,9.75,9.75,9.75,9.75,52200,ADIA-199501
1985-03-19,9.625,9.625,9.625,9.625,1500,ADIA-199501
1985-03-20,9.625,9.625,9.625,9.625,1840,ADIA-199501
1985-03-21,9.625,9.625,9.625,9.625,28680,ADIA-199501
1985-03-22,9.625,9.625,9.625,9.625,5100,ADIA-199501
1985-03-25,9.5625,9.5625,9.5625,9.5625,15200,ADIA-199501
1985-03-26,9.0,9.0,9.0,9.0,17100,ADIA-199501
1985-03-27,9.5625,9.5625,9.5625,9.5625,36800,ADIA-199501
1985-03-28,9.875,9.875,9.875,9.875,6690,ADIA-199501
1985-03-29,10.25,10.25,10.25,10.25,1800,ADIA-199501
1985-04-01,10.25,10.25,10.25,10.25,9900,ADIA-199501
1985-04-02,10.1875,10.1875,10.1875,10.1875,16000,ADIA-199501
1985-04-03,9.9375,9.9375,9.9375,9.9375,70850,ADIA-199501
1985-04-04,10.0,10.0,10.0,10.0,55810,ADIA-199501
1985-04-08,9.9375,9.9375,9.9375,9.9375,16800,ADIA-199501
1985-04-09,9.9375,9.9375,9.9375,9.9375,26100,ADIA-199501
1985-04-10,9.8125,9.8125,9.8125,9.8125,2600,ADIA-199501
1985-04-11,9.875,9.875,9.875,9.875,13700,ADIA-199501
1985-04-12,10.0,10.0,10.0,10.0,10860,ADIA-199501
1985-04-15,10.0,10.0,10.0,10.0,12992,ADIA-199501
1985-04-16,10.0,10.0,10.0,10.0,35980,ADIA-199501
1985-04-17,10.125,10.125,10.125,10.125,4200,ADIA-199501
1985-04-19,10.3125,10.3125,10.3125,10.3125,3000,ADIA-199501
1985-04-22,10.3125,10.3125,10.3125,10.3125,900,ADIA-199501
1985-04-23,10.25,10.25,10.25,10.25,204,ADIA-199501
1985-04-24,10.25,10.25,10.25,10.25,3300,ADIA-199501
1985-04-25,10.25,10.25,10.25,10.25,12600,ADIA-199501
1985-04-26,10.1875,10.1875,10.1875,10.1875,1000,ADIA-199501
1985-04-29,10.1875,10.1875,10.1875,10.1875,2960,ADIA-199501
1985-04-30,10.25,10.25,10.25,10.25,29200,ADIA-199501
1985-05-01,10.3125,10.3125,10.3125,10.3125,15600,ADIA-199501
1985-05-02,10.875,10.875,10.875,10.875,35500,ADIA-199501
1985-05-03,11.25,11.25,11.25,11.25,8400,ADIA-199501
1985-05-06,11.0,11.0,11.0,11.0,15000,ADIA-199501
1985-05-07,11.0,11.125,11.0,11.125,12800,ADIA-199501
1985-05-08,11.0,11.25,11.0,11.25,6600,ADIA-199501
1985-05-09,11.125,11.375,11.125,11.375,22600,ADIA-199501
1985-05-10,11.25,11.875,11.25,11.875,36800,ADIA-199501
1985-05-13,11.625,12.0,11.625,12.0,11400,ADIA-199501
1985-05-14,11.875,11.875,11.625,11.625,16000,ADIA-199501
1985-05-15,11.875,11.875,11.875,11.875,1800,ADIA-199501
1985-05-16,11.625,11.875,11.625,11.875,3400,ADIA-199501
1985-05-17,11.75,11.75,11.75,11.75,200,ADIA-199501
1985-05-20,11.875,11.875,11.625,11.625,10000,ADIA-199501
1985-05-21,11.75,11.75,11.0,11.0,17200,ADIA-199501
1985-05-22,11.25,11.25,11.0,11.0,18900,ADIA-199501
1985-05-23,11.0,11.25,11.0,11.25,6600,ADIA-199501
1985-05-24,11.25,11.25,11.0,11.0,15400,ADIA-199501
1985-05-28,11.0,11.0,11.0,11.0,3800,ADIA-199501
1985-05-29,11.0,11.0,11.0,11.0,400,ADIA-199501
