Date,Open,High,Low,Close,Volume,Ticker
1985-11-12,15.5,15.5,15.5,15.5,256655,ADIE-199112
1985-11-13,14.875,14.875,14.875,14.875,40950,ADIE-199112
1985-11-14,14.875,14.875,14.875,14.875,33980,ADIE-199112
1985-11-15,14.875,14.875,14.875,14.875,26115,ADIE-199112
1985-11-18,14.25,14.25,14.25,14.25,51617,ADIE-199112
1985-11-19,14.25,14.25,14.25,14.25,30115,ADIE-199112
1985-11-20,14.5,14.5,14.5,14.5,40300,ADIE-199112
1985-11-21,14.625,14.625,14.625,14.625,28900,ADIE-199112
1985-11-22,14.625,14.625,14.625,14.625,29225,ADIE-199112
1985-11-25,14.625,14.625,14.625,14.625,8050,ADIE-199112
1985-11-26,14.75,14.75,14.75,14.75,800,ADIE-199112
1985-11-27,14.75,14.75,14.75,14.75,15990,ADIE-199112
1985-11-29,14.75,14.75,14.75,14.75,11480,ADIE-199112
1985-12-02,14.75,14.75,14.75,14.75,4245,ADIE-199112
1985-12-03,14.75,14.75,14.75,14.75,9350,ADIE-199112
1985-12-04,14.75,14.75,14.75,14.75,9875,ADIE-199112
1985-12-05,15.125,15.125,15.125,15.125,45200,ADIE-199112
1985-12-06,15.75,15.75,15.75,15.75,16750,ADIE-199112
1985-12-09,16.25,16.25,16.25,16.25,29540,ADIE-199112
1985-12-10,17.125,17.125,17.125,17.125,37700,ADIE-199112
1985-12-11,17.5,17.5,17.5,17.5,20360,ADIE-199112
1985-12-12,17.5,17.5,17.5,17.5,18993,ADIE-199112
1985-12-13,17.5,17.5,17.5,17.5,4564,ADIE-199112
1985-12-16,17.5,17.5,17.5,17.5,11300,ADIE-199112
1985-12-17,17.25,17.25,17.25,17.25,22865,ADIE-199112
1985-12-18,17.25,17.25,17.25,17.25,37000,ADIE-199112
1985-12-19,17.5,17.5,17.5,17.5,19275,ADIE-199112
1985-12-20,17.5,17.5,17.5,17.5,2400,ADIE-199112
1985-12-23,17.5,17.5,17.5,17.5,850,ADIE-199112
1985-12-24,17.5,17.5,17.5,17.5,1000,ADIE-199112
1985-12-26,17.75,17.75,17.75,17.75,7100,ADIE-199112
1985-12-27,17.875,17.875,17.875,17.875,4350,ADIE-199112
1985-12-30,18.0,18.0,18.0,18.0,1900,ADIE-199112
1985-12-31,18.0,18.0,18.0,18.0,3300,ADIE-199112
1986-01-02,18.0,18.0,18.0,18.0,1900,ADIE-199112
1986-01-03,18.0,18.0,18.0,18.0,400,ADIE-199112
1986-01-06,18.0,18.0,18.0,18.0,1400,ADIE-199112
1986-01-07,18.75,18.75,18.75,18.75,37780,ADIE-199112
1986-01-08,19.375,19.375,19.375,19.375,52610,ADIE-199112
1986-01-09,19.0,19.0,19.0,19.0,12900,ADIE-199112
1986-01-10,19.5,19.5,19.5,19.5,16625,ADIE-199112
1986-01-13,19.125,19.125,19.125,19.125,5850,ADIE-199112
1986-01-14,19.125,19.125,19.125,19.125,32300,ADIE-199112
1986-01-15,19.125,19.125,19.125,19.125,2711,ADIE-199112
1986-01-16,19.125,19.125,19.125,19.125,1700,ADIE-199112
1986-01-17,19.5,19.5,19.5,19.5,15650,ADIE-199112
1986-01-20,19.5,19.5,19.5,19.5,12700,ADIE-199112
1986-01-21,19.5,19.5,19.5,19.5,1220,ADIE-199112
1986-01-22,19.625,19.625,19.625,19.625,2600,ADIE-199112
1986-01-23,19.875,19.875,19.875,19.875,11600,ADIE-199112
1986-01-24,20.25,20.25,20.25,20.25,7700,ADIE-199112
1986-01-27,20.25,20.25,20.25,20.25,11570,ADIE-199112
1986-01-28,20.375,20.375,20.375,20.375,17400,ADIE-199112
1986-01-29,20.25,20.25,20.25,20.25,17100,ADIE-199112
1986-01-30,20.875,20.875,20.875,20.875,11112,ADIE-199112
1986-01-31,21.125,21.125,21.125,21.125,2440,ADIE-199112
1986-02-03,21.625,21.625,21.625,21.625,4900,ADIE-199112
1986-02-04,21.75,21.75,21.75,21.75,9600,ADIE-199112
1986-02-05,21.375,21.375,21.375,21.375,9300,ADIE-199112
1986-02-06,21.125,21.125,21.125,21.125,24400,ADIE-199112
1986-02-07,21.125,21.125,21.125,21.125,1200,ADIE-199112
1986-02-10,21.125,21.125,21.125,21.125,5600,ADIE-199112
1986-02-11,21.125,21.125,21.125,21.125,700,ADIE-199112
1986-02-12,21.0,21.0,21.0,21.0,35600,ADIE-199112
1986-02-13,20.875,20.875,20.875,20.875,3000,ADIE-199112
1986-02-14,20.75,20.75,20.75,20.75,4400,ADIE-199112
1986-02-18,20.75,20.75,20.75,20.75,24900,ADIE-199112
1986-02-19,20.75,20.75,20.75,20.75,30600,ADIE-199112
1986-02-20,21.0,21.0,21.0,21.0,11300,ADIE-199112
1986-02-21,21.25,21.25,21.25,21.25,16200,ADIE-199112
1986-02-24,22.0,22.0,22.0,22.0,23400,ADIE-199112
1986-02-25,22.375,22.375,22.375,22.375,6700,ADIE-199112
1986-02-26,22.375,22.375,22.375,22.375,1400,ADIE-199112
1986-02-27,22.875,22.875,22.875,22.875,5100,ADIE-199112
1986-02-28,23.875,23.875,23.875,23.875,5200,ADIE-199112
1986-03-03,24.625,24.625,24.625,24.625,7379,ADIE-199112
1986-03-04,25.0,25.0,25.0,25.0,3677,ADIE-199112
1986-03-05,25.125,25.125,25.125,25.125,5446,ADIE-199112
1986-03-06,26.0,26.0,26.0,26.0,6850,ADIE-199112
1986-03-07,26.0,26.0,26.0,26.0,7794,ADIE-199112
1986-03-10,26.0,26.0,26.0,26.0,3601,ADIE-199112
1986-03-11,26.125,26.125,26.125,26.125,4645,ADIE-199112
1986-03-12,26.125,26.125,26.125,26.125,1600,ADIE-199112
1986-03-13,26.125,26.125,26.125,26.125,800,ADIE-199112
1986-03-14,26.125,26.125,26.125,26.125,500,ADIE-199112
1986-03-17,26.0,26.0,26.0,26.0,2840,ADIE-199112
1986-03-18,26.0,26.0,26.0,26.0,580,ADIE-199112
1986-03-19,26.0,26.0,26.0,26.0,1700,ADIE-199112
1986-03-20,26.0,26.0,26.0,26.0,6020,ADIE-199112
1986-03-21,26.125,26.125,26.125,26.125,2349,ADIE-199112
1986-03-24,26.125,26.125,26.125,26.125,538,ADIE-199112
1986-03-25,26.25,26.25,26.25,26.25,1494,ADIE-199112
1986-03-26,28.0,28.0,28.0,28.0,13618,ADIE-199112
1986-03-27,28.25,28.25,28.25,28.25,4990,ADIE-199112
1986-03-31,28.125,28.125,28.125,28.125,20600,ADIE-199112
1986-04-01,28.125,28.125,28.125,28.125,6860,ADIE-199112
1986-04-02,28.125,28.125,28.125,28.125,4685,ADIE-199112
1986-04-03,28.125,28.125,28.125,28.125,1450,ADIE-199112
1986-04-04,28.125,28.125,28.125,28.125,7400,ADIE-199112
1986-04-07,28.125,28.125,28.125,28.125,4430,ADIE-199112
1986-04-08,27.0,27.0,27.0,27.0,16058,ADIE-199112
1986-04-09,27.0,27.0,27.0,27.0,4200,ADIE-199112
1986-04-10,24.5,24.5,24.5,24.5,25141,ADIE-199112
1986-04-11,24.875,24.875,24.875,24.875,35989,ADIE-199112
1986-04-14,25.125,25.125,25.125,25.125,7456,ADIE-199112
1986-04-15,25.25,25.75,24.75,25.25,9050,ADIE-199112
1986-04-16,26.0,26.5,25.5,26.125,13000,ADIE-199112
1986-04-17,26.25,27.0,26.25,27.0,7222,ADIE-199112
1986-04-18,27.0,27.5,26.5,26.75,3100,ADIE-199112
1986-04-21,27.25,27.5,27.0,27.375,7900,ADIE-199112
1986-04-22,27.5,27.5,26.75,26.75,7890,ADIE-199112
1986-04-23,27.0,27.5,26.5,27.0,7500,ADIE-199112
1986-04-24,27.0,27.0,26.25,26.25,1016,ADIE-199112
1986-04-25,26.5,27.75,26.5,27.75,13700,ADIE-199112
1986-04-28,27.25,28.25,27.25,28.25,4050,ADIE-199112
1986-04-29,27.75,28.25,27.25,27.625,10855,ADIE-199112
1986-04-30,28.5,29.0,28.0,28.75,22650,ADIE-199112
1986-05-01,28.75,28.75,27.25,27.25,12200,ADIE-199112
1986-05-02,27.625,28.0,27.25,27.5,6700,ADIE-199112
1986-05-05,27.25,27.75,27.25,27.75,4900,ADIE-199112
1986-05-06,27.25,27.625,27.25,27.625,4450,ADIE-199112
1986-05-07,27.25,27.75,27.25,27.75,12650,ADIE-199112
1986-05-08,27.75,27.75,27.75,27.75,400,ADIE-199112
1986-05-09,27.75,27.75,27.75,27.75,600,ADIE-199112
1986-05-12,27.25,27.25,27.25,27.25,750,ADIE-199112
1986-05-13,26.0,27.25,24.75,26.75,17310,ADIE-199112
1986-05-14,26.5,26.5,26.0,26.0,14500,ADIE-199112
1986-05-15,26.5,26.5,26.0,26.0,8776,ADIE-199112
1986-05-16,26.5,26.5,25.75,25.75,7200,ADIE-199112
1986-05-19,25.625,26.25,25.0,25.375,6045,ADIE-199112
1986-05-20,24.625,25.5,23.75,24.0,18695,ADIE-199112
1986-05-21,24.0,24.75,24.0,24.75,21700,ADIE-199112
1986-05-22,24.625,25.25,24.0,24.75,14285,ADIE-199112
1986-05-23,25.125,25.5,24.75,25.0,37020,ADIE-199112
1986-05-27,25.75,25.75,25.0,25.0,3500,ADIE-199112
1986-05-28,25.75,25.75,25.0,25.0,5205,ADIE-199112
1986-05-29,25.0,25.0,23.75,23.75,7120,ADIE-199112
1986-05-30,23.75,24.5,23.75,24.5,10700,ADIE-199112
1986-06-02,24.75,24.75,24.25,24.25,14700,ADIE-199112
1986-06-03,24.25,24.625,24.0,24.5,39600,ADIE-199112
1986-06-04,24.0,24.0,22.5,22.5,60635,ADIE-199112
1986-06-05,23.0,23.5,22.5,22.75,4300,ADIE-199112
1986-06-06,23.125,23.5,22.75,23.25,1565,ADIE-199112
1986-06-09,23.5,23.5,22.75,22.75,3900,ADIE-199112
1986-06-10,22.75,23.25,22.75,23.25,3426,ADIE-199112
1986-06-11,22.75,23.125,22.5,23.0,3075,ADIE-199112
1986-06-12,23.0,23.0,22.5,22.5,9135,ADIE-199112
1986-06-13,22.25,23.125,22.25,23.125,3900,ADIE-199112
1986-06-16,23.25,23.25,22.25,22.25,4751,ADIE-199112
1986-06-17,22.5,22.75,22.25,22.5,5155,ADIE-199112
1986-06-18,22.5,23.25,22.5,23.25,4400,ADIE-199112
1986-06-19,23.25,23.25,22.5,22.5,2200,ADIE-199112
1986-06-20,22.5,23.0,22.5,23.0,4000,ADIE-199112
1986-06-23,22.5,23.0,22.5,23.0,6780,ADIE-199112
1986-06-24,22.5,23.0,22.5,23.0,3900,ADIE-199112
1986-06-25,22.5,23.0,22.5,23.0,8050,ADIE-199112
1986-06-26,23.0,23.0,22.5,22.5,3400,ADIE-199112
1986-06-27,23.0,23.0,22.5,22.5,29810,ADIE-199112
1986-06-30,23.0,23.0,22.0,22.0,41640,ADIE-199112
1986-07-01,22.5,23.0,22.0,22.25,37400,ADIE-199112
1986-07-02,22.625,23.0,22.25,22.625,25800,ADIE-199112
1986-07-03,23.0,24.0,23.0,24.0,7200,ADIE-199112
1986-07-07,24.5,25.5,23.5,25.0,14015,ADIE-199112
1986-07-08,25.25,25.25,24.25,24.25,25100,ADIE-199112
1986-07-09,25.0,25.0,24.25,24.25,1000,ADIE-199112
1986-07-10,25.0,25.0,25.0,25.0,200,ADIE-199112
1986-07-11,25.0,25.0,23.25,23.25,10400,ADIE-199112
1986-07-14,23.5,24.0,23.0,23.25,18250,ADIE-199112
1986-07-15,22.75,23.5,22.75,23.5,2300,ADIE-199112
1986-07-16,23.5,23.5,23.5,23.5,1550,ADIE-199112
1986-07-17,22.75,23.5,22.75,23.5,2200,ADIE-199112
1986-07-18,23.5,23.5,22.75,22.75,3020,ADIE-199112
1986-07-21,22.75,23.0,22.75,23.0,3000,ADIE-199112
1986-07-22,23.5,23.5,22.5,22.5,12950,ADIE-199112
1986-07-23,22.5,23.25,22.5,23.25,2900,ADIE-199112
1986-07-24,23.25,23.25,22.5,22.5,3600,ADIE-199112
1986-07-25,23.25,23.25,22.5,22.5,2200,ADIE-199112
1986-07-28,23.25,23.25,21.75,21.75,11600,ADIE-199112
1986-07-29,22.0,22.0,21.0,21.0,14400,ADIE-199112
1986-07-30,21.75,21.75,20.5,20.5,3600,ADIE-199112
