Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,3.25,3.25,3.25,3.25,1700,ADUC-198804
1985-01-03,3.25,3.25,3.25,3.25,624,ADUC-198804
1985-01-04,3.25,3.25,3.25,3.25,12200,ADUC-198804
1985-01-07,2.75,2.75,2.75,2.75,53350,ADUC-198804
1985-01-08,2.75,2.75,2.75,2.75,7000,ADUC-198804
1985-01-09,3.0,3.0,3.0,3.0,44855,ADUC-198804
1985-01-10,3.25,3.25,3.25,3.25,18500,ADUC-198804
1985-01-11,3.0,3.0,3.0,3.0,21100,ADUC-198804
1985-01-14,2.875,2.875,2.875,2.875,7800,ADUC-198804
1985-01-15,3.0,3.0,3.0,3.0,8800,ADUC-198804
1985-01-16,2.875,2.875,2.875,2.875,14000,ADUC-198804
1985-01-17,3.0,3.0,3.0,3.0,6500,ADUC-198804
1985-01-18,3.125,3.125,3.125,3.125,7500,ADUC-198804
1985-01-21,3.0,3.0,3.0,3.0,8000,ADUC-198804
1985-01-22,3.0,3.0,3.0,3.0,18000,ADUC-198804
1985-01-23,3.0,3.0,3.0,3.0,5000,ADUC-198804
1985-01-24,2.75,2.75,2.75,2.75,6400,ADUC-198804
1985-01-25,2.75,2.75,2.75,2.75,500,ADUC-198804
1985-01-28,2.75,2.75,2.75,2.75,3000,ADUC-198804
1985-01-29,2.75,2.75,2.75,2.75,1000,ADUC-198804
1985-01-30,2.75,2.75,2.75,2.75,2000,ADUC-198804
1985-01-31,2.75,2.75,2.75,2.75,300,ADUC-198804
1985-02-01,2.75,2.75,2.75,2.75,5100,ADUC-198804
1985-02-04,2.75,2.75,2.75,2.75,9700,ADUC-198804
1985-02-06,2.75,2.75,2.75,2.75,9256,ADUC-198804
1985-02-07,2.5,2.5,2.5,2.5,35950,ADUC-198804
1985-02-08,2.5,2.5,2.5,2.5,24200,ADUC-198804
1985-02-11,2.5,2.5,2.5,2.5,15600,ADUC-198804
1985-02-12,2.5,2.5,2.5,2.5,47250,ADUC-198804
1985-02-13,2.875,2.875,2.875,2.875,23700,ADUC-198804
1985-02-14,2.75,2.75,2.75,2.75,8400,ADUC-198804
1985-02-15,2.75,2.75,2.75,2.75,21000,ADUC-198804
1985-02-19,2.875,2.875,2.875,2.875,5975,ADUC-198804
1985-02-20,2.875,2.875,2.875,2.875,12500,ADUC-198804
1985-02-21,2.875,2.875,2.875,2.875,8000,ADUC-198804
1985-02-22,2.875,2.875,2.875,2.875,2500,ADUC-198804
1985-02-25,2.75,2.75,2.75,2.75,1000,ADUC-198804
1985-02-26,3.0,3.0,3.0,3.0,31200,ADUC-198804
1985-02-27,3.25,3.25,3.25,3.25,17500,ADUC-198804
1985-02-28,3.25,3.25,3.25,3.25,10200,ADUC-198804
1985-03-01,3.25,3.25,3.25,3.25,1010,ADUC-198804
1985-03-04,3.25,3.25,3.25,3.25,1800,ADUC-198804
1985-03-05,3.25,3.25,3.25,3.25,1500,ADUC-198804
1985-03-06,3.125,3.125,3.125,3.125,1000,ADUC-198804
1985-03-07,3.125,3.125,3.125,3.125,6000,ADUC-198804
1985-03-08,3.125,3.125,3.125,3.125,8600,ADUC-198804
