Date,Open,High,Low,Close,Volume,Ticker
1994-06-16,8.25,8.25,8.0,8.0,117800,AECI-199512
1994-06-17,8.5,8.5,8.25,8.5,1600,AECI-199512
1994-06-20,8.0,8.5,8.0,8.5,61400,AECI-199512
1994-06-21,8.0,8.5,8.0,8.5,2100,AECI-199512
1994-06-22,8.5,8.5,8.125,8.125,3000,AECI-199512
1994-06-23,8.5,8.5,8.5,8.5,500,AECI-199512
1994-06-24,8.5,8.5,8.5,8.5,100,AECI-199512
1994-06-28,8.5,8.5,8.5,8.5,100,AECI-199512
1994-06-29,8.25,8.25,8.25,8.25,400,AECI-199512
1994-06-30,8.0,8.0,8.0,8.0,34800,AECI-199512
1994-07-05,8.5,8.5,8.5,8.5,500,AECI-199512
1994-07-06,8.5,8.5,8.0,8.0,16100,AECI-199512
1994-07-07,8.25,8.5,8.0,8.25,34400,AECI-199512
1994-07-08,8.5,8.5,8.5,8.5,100,AECI-199512
1994-07-11,8.0,8.25,8.0,8.25,2500,AECI-199512
1994-07-13,8.5,8.5,8.5,8.5,300,AECI-199512
1994-07-14,8.0,8.0,8.0,8.0,95000,AECI-199512
1994-07-15,8.0,8.5,8.0,8.0,7200,AECI-199512
1994-07-18,8.25,8.25,8.25,8.25,1000,AECI-199512
1994-07-19,8.5,8.5,8.125,8.25,12400,AECI-199512
1994-07-20,8.0,8.5,8.0,8.5,32731,AECI-199512
1994-07-21,8.0,8.5,8.0,8.25,22875,AECI-199512
1994-07-22,8.25,8.25,8.0,8.0,9500,AECI-199512
1994-07-25,8.5,8.5,8.0,8.0,24013,AECI-199512
1994-07-26,8.25,8.5,8.0,8.25,51438,AECI-199512
1994-07-27,8.0,8.125,8.0,8.0,2000,AECI-199512
1994-07-28,8.0,8.25,8.0,8.0,58300,AECI-199512
1994-07-29,8.0,8.25,8.0,8.25,9277,AECI-199512
1994-08-01,8.0,8.0,8.0,8.0,51000,AECI-199512
1994-08-02,8.25,8.25,8.25,8.25,1212,AECI-199512
1994-08-03,8.25,8.25,8.0,8.0,5500,AECI-199512
1994-08-04,8.0,8.0,8.0,8.0,4700,AECI-199512
1994-08-05,8.25,8.25,8.0,8.125,11800,AECI-199512
1994-08-08,8.0,8.25,8.0,8.0,20400,AECI-199512
1994-08-09,8.0,8.0,8.0,8.0,1000,AECI-199512
1994-08-10,8.0,8.5,8.0,8.5,255650,AECI-199512
1994-08-11,8.25,8.5,8.25,8.5,23500,AECI-199512
1994-08-12,8.25,8.5,8.25,8.5,38500,AECI-199512
1994-08-15,8.5,8.5,8.25,8.375,8513,AECI-199512
1994-08-16,8.5,8.5,8.25,8.375,12900,AECI-199512
1994-08-17,8.5,8.5,8.25,8.5,15200,AECI-199512
1994-08-18,8.5,8.5,8.25,8.5,13525,AECI-199512
1994-08-19,8.25,8.375,8.25,8.375,11300,AECI-199512
1994-08-22,8.375,8.5,8.25,8.25,12400,AECI-199512
1994-08-23,8.25,8.5,8.25,8.375,8000,AECI-199512
1994-08-24,8.5,8.5,8.5,8.5,500,AECI-199512
1994-08-25,8.5,8.5,8.375,8.375,2025,AECI-199512
1994-08-26,8.25,8.5,8.25,8.5,1750,AECI-199512
1994-08-29,8.5,8.5,8.25,8.25,1300,AECI-199512
1994-08-31,8.25,8.25,8.25,8.25,1100,AECI-199512
1994-09-01,8.25,8.5,8.25,8.375,1750,AECI-199512
1994-09-02,8.5,8.5,8.375,8.375,2300,AECI-199512
1994-09-08,8.25,8.5,8.25,8.375,5400,AECI-199512
1994-09-12,8.25,8.25,8.25,8.25,3000,AECI-199512
