Date,Open,High,Low,Close,Volume,Ticker
2010-10-22,9.7,10.92,9.65,10.8,273800,AEGR
2010-10-25,11.85,12.0,10.18,10.28,58700,AEGR
2010-10-26,10.15,10.27,9.76,10.09,100300,AEGR
2010-10-27,10.07,10.07,9.5,10.0,18300,AEGR
2010-10-28,11.13,11.13,10.42,10.96,29200,AEGR
2010-10-29,10.61,10.9,10.37,10.9,14700,AEGR
2010-11-01,10.56,10.7,10.25,10.37,37400,AEGR
2010-11-02,10.49,10.49,10.25,10.25,1700,AEGR
2010-11-03,10.25,10.25,10.0,10.0,11100,AEGR
2010-11-04,10.0,10.2,9.75,10.0,45300,AEGR
2010-11-05,10.02,10.25,9.97,10.09,66900,AEGR
2010-11-08,10.02,10.03,9.91,9.93,29100,AEGR
2010-11-09,10.01,10.01,9.51,9.68,4300,AEGR
2010-11-10,9.74,9.75,9.62,9.75,33700,AEGR
2010-11-11,9.62,9.83,9.0,9.42,583000,AEGR
2010-11-12,9.49,9.49,9.48,9.48,2600,AEGR
2010-11-15,9.82,11.0,9.82,10.88,16100,AEGR
2010-11-16,10.9,11.38,10.19,10.35,13600,AEGR
2010-11-17,10.35,10.37,9.82,10.0,11800,AEGR
2010-11-18,10.17,10.33,9.89,10.07,10900,AEGR
2010-11-19,10.2,10.5,9.67,9.79,49200,AEGR
2010-11-22,10.09,10.16,10.05,10.16,5300,AEGR
2010-11-23,10.16,10.16,10.06,10.16,2600,AEGR
2010-11-24,9.76,10.11,9.3,9.94,16000,AEGR
2010-11-26,10.38,10.38,9.99,10.0,6000,AEGR
2010-11-29,10.0,10.49,10.0,10.41,4100,AEGR
2010-11-30,10.2,10.2,10.2,10.2,200,AEGR
2010-12-01,10.17,11.15,10.17,10.84,37000,AEGR
2010-12-02,11.98,12.0,10.18,11.0,43800,AEGR
2010-12-03,10.12,11.0,10.12,10.99,11400,AEGR
2010-12-06,10.26,12.97,10.26,12.57,42800,AEGR
2010-12-07,12.6,13.0,12.05,12.51,18600,AEGR
2010-12-08,12.62,12.62,11.78,12.36,9100,AEGR
2010-12-09,12.99,13.69,12.07,12.72,8300,AEGR
2010-12-10,12.5,12.78,11.85,12.78,15800,AEGR
2010-12-13,12.93,12.93,12.15,12.6,19000,AEGR
2010-12-14,12.53,12.57,12.2,12.53,16000,AEGR
2010-12-15,12.2,12.45,11.6,12.35,8100,AEGR
2010-12-16,12.35,13.0,12.02,12.06,32000,AEGR
2010-12-17,12.39,12.97,10.41,11.42,441600,AEGR
2010-12-20,10.58,11.21,10.25,10.6,40500,AEGR
2010-12-21,10.7,12.38,10.63,11.99,26300,AEGR
2010-12-22,11.99,13.26,11.99,12.6,32600,AEGR
2010-12-23,12.7,14.54,12.69,13.96,17000,AEGR
2010-12-27,13.81,14.67,13.81,14.15,10500,AEGR
2010-12-28,14.26,14.81,14.26,14.76,23500,AEGR
2010-12-29,14.86,15.24,14.69,14.85,22300,AEGR
2010-12-30,14.76,14.85,14.44,14.44,24000,AEGR
2010-12-31,14.34,14.81,13.98,14.17,28900,AEGR
