Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,1.9375,1.9375,1.9375,1.9375,4700,AESM-199307
1985-01-03,1.9375,1.9375,1.9375,1.9375,7500,AESM-199307
1985-01-04,1.9375,1.9375,1.9375,1.9375,36113,AESM-199307
1985-01-07,1.9375,1.9375,1.9375,1.9375,13156,AESM-199307
1985-01-08,1.9375,1.9375,1.9375,1.9375,7300,AESM-199307
1985-01-09,1.9375,1.9375,1.9375,1.9375,8276,AESM-199307
1985-01-10,1.875,1.875,1.875,1.875,12737,AESM-199307
1985-01-11,1.9375,1.9375,1.9375,1.9375,5387,AESM-199307
1985-01-14,2.25,2.25,2.25,2.25,86729,AESM-199307
1985-01-15,2.5,2.5,2.5,2.5,77090,AESM-199307
1985-01-16,2.75,2.75,2.75,2.75,47783,AESM-199307
1985-01-17,2.625,2.625,2.625,2.625,57832,AESM-199307
1985-01-18,2.5,2.5,2.5,2.5,36290,AESM-199307
1985-01-21,2.75,2.75,2.75,2.75,11757,AESM-199307
1985-01-22,2.5,2.5,2.5,2.5,35855,AESM-199307
1985-01-23,2.5,2.5,2.5,2.5,14656,AESM-199307
1985-01-24,2.5,2.5,2.5,2.5,14496,AESM-199307
1985-01-25,2.5,2.5,2.5,2.5,9380,AESM-199307
1985-01-28,2.375,2.375,2.375,2.375,23050,AESM-199307
1985-01-29,2.375,2.375,2.375,2.375,12380,AESM-199307
1985-01-30,2.5,2.5,2.5,2.5,24360,AESM-199307
1985-01-31,2.5,2.5,2.5,2.5,15100,AESM-199307
1985-02-01,2.5,2.5,2.5,2.5,15513,AESM-199307
1985-02-04,2.5,2.5,2.5,2.5,25750,AESM-199307
1985-02-05,2.5,2.5,2.5,2.5,27306,AESM-199307
1985-02-06,2.625,2.625,2.625,2.625,53180,AESM-199307
1985-02-07,2.75,2.75,2.75,2.75,14175,AESM-199307
1985-02-08,2.75,2.75,2.75,2.75,56155,AESM-199307
1985-02-11,2.75,2.75,2.75,2.75,27269,AESM-199307
1985-02-12,2.75,2.75,2.75,2.75,38792,AESM-199307
1985-02-13,3.0,3.0,3.0,3.0,45730,AESM-199307
1985-02-14,2.75,2.75,2.75,2.75,95115,AESM-199307
1985-02-15,3.0,3.0,3.0,3.0,30850,AESM-199307
