Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,7.0,7.0,7.0,7.0,500,AFC.A-199302
1985-01-03,7.0,7.125,7.0,7.125,500,AFC.A-199302
1985-01-04,7.0,7.125,7.0,7.125,1300,AFC.A-199302
1985-01-07,7.25,7.375,7.25,7.375,500,AFC.A-199302
1985-01-08,7.375,7.625,7.375,7.625,41600,AFC.A-199302
1985-01-09,7.5,7.5,7.375,7.375,1000,AFC.A-199302
1985-01-10,7.375,7.5,7.375,7.5,1000,AFC.A-199302
1985-01-11,7.375,7.375,7.375,7.375,100,AFC.A-199302
1985-01-14,7.375,7.5,7.375,7.5,1700,AFC.A-199302
1985-01-15,7.625,7.625,7.5,7.5,10900,AFC.A-199302
1985-01-16,7.625,7.625,7.5,7.5,1000,AFC.A-199302
1985-01-17,7.625,7.625,7.5,7.5,900,AFC.A-199302
1985-01-18,7.5,7.625,7.5,7.625,5300,AFC.A-199302
1985-01-21,7.625,7.75,7.625,7.75,1500,AFC.A-199302
1985-01-22,7.75,7.75,7.75,7.75,700,AFC.A-199302
1985-01-23,7.75,7.75,7.625,7.625,500,AFC.A-199302
1985-01-24,7.625,7.625,7.5,7.5,900,AFC.A-199302
1985-01-25,7.5,7.625,7.375,7.5,22300,AFC.A-199302
1985-01-28,7.5,7.5,7.375,7.375,20900,AFC.A-199302
1985-01-29,7.375,7.375,7.375,7.375,11100,AFC.A-199302
1985-01-30,7.25,7.25,7.125,7.125,5700,AFC.A-199302
1985-01-31,7.25,7.25,7.25,7.25,700,AFC.A-199302
1985-02-01,7.375,7.375,7.25,7.25,13300,AFC.A-199302
1985-02-04,7.25,7.5,7.25,7.5,2000,AFC.A-199302
1985-02-05,7.5,7.625,7.5,7.625,11300,AFC.A-199302
1985-02-06,7.5,7.625,7.25,7.5,9800,AFC.A-199302
1985-02-07,7.5,7.5,7.375,7.375,900,AFC.A-199302
1985-02-08,7.25,7.25,7.125,7.125,2200,AFC.A-199302
1985-02-11,6.875,7.0,6.875,7.0,3600,AFC.A-199302
1985-02-12,7.0,7.5,7.0,7.5,34300,AFC.A-199302
1985-02-13,7.5,8.25,7.5,8.25,20300,AFC.A-199302
1985-02-14,8.75,9.0,8.5,8.75,14600,AFC.A-199302
1985-02-15,8.5,8.875,8.125,8.25,11500,AFC.A-199302
1985-02-19,8.625,8.75,8.5,8.625,7300,AFC.A-199302
1985-02-20,8.75,9.0,8.625,8.75,18800,AFC.A-199302
1985-02-21,8.875,9.0,8.75,8.875,24700,AFC.A-199302
1985-02-22,9.0,9.0,8.875,8.875,34300,AFC.A-199302
1985-02-25,8.75,8.875,8.75,8.875,47000,AFC.A-199302
1985-02-26,8.875,9.0,8.875,9.0,18600,AFC.A-199302
1985-02-27,8.875,9.0,8.875,9.0,12600,AFC.A-199302
1985-02-28,8.875,8.875,8.875,8.875,5200,AFC.A-199302
1985-03-01,8.625,8.75,8.5,8.625,39600,AFC.A-199302
1985-03-04,8.625,8.625,8.5,8.5,8000,AFC.A-199302
1985-03-05,8.625,8.625,8.5,8.5,4900,AFC.A-199302
1985-03-06,8.625,8.625,8.625,8.625,1000,AFC.A-199302
1985-03-07,8.75,8.75,8.5,8.5,2100,AFC.A-199302
1985-03-08,8.625,8.625,8.625,8.625,10900,AFC.A-199302
1985-03-11,8.625,8.625,8.625,8.625,700,AFC.A-199302
1985-03-12,8.625,8.625,8.625,8.625,2000,AFC.A-199302
1985-03-13,8.625,8.625,8.625,8.625,400,AFC.A-199302
1985-03-14,8.75,8.75,8.625,8.625,3800,AFC.A-199302
1985-03-15,8.625,8.625,8.5,8.5,2900,AFC.A-199302
1985-03-18,8.5,8.5,8.5,8.5,800,AFC.A-199302
1985-03-19,8.625,8.75,8.625,8.75,2300,AFC.A-199302
1985-03-20,8.875,8.875,8.625,8.625,2200,AFC.A-199302
1985-03-22,8.5,8.5,8.0,8.0,12600,AFC.A-199302
1985-03-25,8.125,8.125,8.0,8.0,2600,AFC.A-199302
1985-03-26,7.875,7.875,7.75,7.75,2000,AFC.A-199302
1985-03-27,7.375,7.625,7.375,7.625,1800,AFC.A-199302
1985-03-28,7.25,7.5,7.0,7.125,3400,AFC.A-199302
1985-03-29,7.0,7.0,6.75,6.75,1500,AFC.A-199302
1985-04-01,6.875,6.875,6.875,6.875,100,AFC.A-199302
1985-04-02,7.0,7.125,7.0,7.125,2400,AFC.A-199302
1985-04-03,7.0,7.0,7.0,7.0,300,AFC.A-199302
1985-04-04,7.0,7.0,6.875,6.875,1600,AFC.A-199302
1985-04-08,6.875,6.875,6.875,6.875,100,AFC.A-199302
1985-04-09,6.875,6.875,6.875,6.875,200,AFC.A-199302
1985-04-10,6.75,6.75,6.625,6.625,8900,AFC.A-199302
1985-04-11,7.0,7.125,6.875,7.0,4500,AFC.A-199302
1985-04-12,7.0,7.0,6.75,6.75,13600,AFC.A-199302
1985-04-15,6.625,6.625,6.625,6.625,400,AFC.A-199302
1985-04-16,6.625,6.875,6.625,6.875,9400,AFC.A-199302
1985-04-17,6.875,6.875,6.625,6.625,800,AFC.A-199302
1985-04-18,6.75,6.75,6.625,6.625,2400,AFC.A-199302
1985-04-19,6.75,6.75,6.5,6.5,8600,AFC.A-199302
1985-04-22,6.75,6.875,6.625,6.75,9000,AFC.A-199302
1985-04-23,6.875,6.875,6.625,6.625,3500,AFC.A-199302
1985-04-24,6.75,6.75,6.625,6.625,6100,AFC.A-199302
1985-04-25,6.625,6.875,6.625,6.875,1500,AFC.A-199302
1985-04-26,6.625,6.75,6.625,6.75,2400,AFC.A-199302
1985-04-29,6.625,6.75,6.625,6.75,1800,AFC.A-199302
1985-04-30,6.75,6.875,6.75,6.875,1900,AFC.A-199302
1985-05-01,6.875,6.875,6.75,6.75,2700,AFC.A-199302
1985-05-02,6.75,6.75,6.75,6.75,1000,AFC.A-199302
1985-05-03,6.75,6.75,6.75,6.75,600,AFC.A-199302
1985-05-06,6.75,6.75,6.75,6.75,400,AFC.A-199302
1985-05-07,6.625,6.625,6.5,6.5,2500,AFC.A-199302
1985-05-08,6.375,6.5,6.375,6.5,1800,AFC.A-199302
1985-05-09,6.625,6.625,6.5,6.5,600,AFC.A-199302
1985-05-10,6.625,6.625,6.625,6.625,1500,AFC.A-199302
1985-05-13,6.625,6.625,6.5,6.5,1000,AFC.A-199302
1985-05-14,6.5,6.625,6.5,6.625,1000,AFC.A-199302
1985-05-15,6.5,6.5,6.5,6.5,500,AFC.A-199302
1985-05-16,6.625,6.625,6.5,6.5,1500,AFC.A-199302
1985-05-17,6.75,6.75,6.625,6.625,2200,AFC.A-199302
