Date,Open,High,Low,Close,Volume,Ticker
1993-12-28,9.2,9.6,9.2,9.6,1082616,AFCB-199808
1993-12-29,9.6,9.6,9.4,9.5,394063,AFCB-199808
1993-12-30,9.5,9.6,9.4,9.4,16375,AFCB-199808
1993-12-31,9.4,9.6,9.4,9.6,24250,AFCB-199808
1994-01-03,9.6,9.6,9.2,9.2,375934,AFCB-199808
1994-01-04,9.3,9.6,9.2,9.3,361863,AFCB-199808
1994-01-05,9.6,9.8,9.3,9.6,209903,AFCB-199808
1994-01-06,9.8,9.8,9.6,9.8,126375,AFCB-199808
1994-01-07,9.4,9.7,9.4,9.7,82925,AFCB-199808
1994-01-10,9.6,9.7,9.4,9.5,43450,AFCB-199808
1994-01-11,9.7,9.7,9.4,9.6,81488,AFCB-199808
1994-01-12,9.7,9.8,9.5,9.6,89513,AFCB-199808
1994-01-13,9.7,10.0,9.6,10.0,92325,AFCB-199808
1994-01-14,9.8,10.2,9.8,10.2,43238,AFCB-199808
1994-01-17,10.2,10.2,9.8,10.1,38563,AFCB-199808
1994-01-18,10.2,10.4,9.8,10.4,110438,AFCB-199808
1994-01-19,10.4,10.4,10.0,10.4,69371,AFCB-199808
1994-01-20,10.2,10.4,10.2,10.4,16363,AFCB-199808
1994-01-21,10.2,10.4,10.0,10.4,76094,AFCB-199808
1994-01-24,10.4,10.6,10.2,10.3,83038,AFCB-199808
1994-01-25,10.4,10.6,10.0,10.2,69138,AFCB-199808
1994-01-26,10.0,10.2,9.8,10.2,53738,AFCB-199808
1994-01-27,10.2,10.2,9.8,10.0,85525,AFCB-199808
1994-01-28,10.1,10.2,10.0,10.2,5063,AFCB-199808
1994-01-31,10.2,10.2,9.8,10.2,69500,AFCB-199808
1994-02-01,10.2,10.2,9.9,10.1,62655,AFCB-199808
1994-02-02,10.2,10.2,9.8,10.2,33788,AFCB-199808
1994-02-03,10.0,10.2,9.8,10.2,137275,AFCB-199808
1994-02-04,10.2,10.2,10.0,10.2,107900,AFCB-199808
1994-02-07,10.0,10.2,10.0,10.1,56200,AFCB-199808
1994-02-08,10.1,10.2,10.0,10.1,159686,AFCB-199808
1994-02-09,10.2,10.2,10.0,10.1,18825,AFCB-199808
1994-02-10,10.2,10.2,10.0,10.2,48650,AFCB-199808
1994-02-11,10.0,10.2,10.0,10.2,35000,AFCB-199808
1994-02-14,10.2,10.2,10.0,10.2,42188,AFCB-199808
1994-02-15,10.1,10.2,10.0,10.2,101125,AFCB-199808
1994-02-16,10.2,10.6,10.0,10.6,44700,AFCB-199808
1994-02-17,10.6,10.6,10.0,10.6,69313,AFCB-199808
1994-02-18,10.6,10.6,10.2,10.6,26525,AFCB-199808
1994-02-22,10.4,10.6,10.3,10.6,16594,AFCB-199808
1994-02-23,10.6,10.8,10.4,10.6,89066,AFCB-199808
1994-02-24,10.4,10.7,10.2,10.4,55250,AFCB-199808
1994-02-25,10.3,10.4,10.0,10.1,38613,AFCB-199808
1994-02-28,10.4,10.4,10.0,10.1,16375,AFCB-199808
1994-03-01,10.4,10.4,10.0,10.0,60375,AFCB-199808
1994-03-02,10.2,10.2,9.8,9.9,53325,AFCB-199808
1994-03-03,9.9,10.2,9.9,10.0,42159,AFCB-199808
1994-03-04,10.2,10.3,10.0,10.1,65700,AFCB-199808
1994-03-07,10.1,10.2,10.0,10.1,42306,AFCB-199808
1994-03-08,10.0,10.4,10.0,10.1,35190,AFCB-199808
1994-03-09,10.2,10.2,10.0,10.1,47419,AFCB-199808
1994-03-10,10.2,10.2,10.0,10.2,70073,AFCB-199808
1994-03-11,10.0,10.2,10.0,10.2,60119,AFCB-199808
1994-03-14,10.3,10.4,10.0,10.3,74088,AFCB-199808
1994-03-15,10.2,10.6,10.2,10.6,125161,AFCB-199808
1994-03-16,10.6,10.6,10.3,10.6,61619,AFCB-199808
1994-03-17,10.6,10.8,10.4,10.7,74019,AFCB-199808
1994-03-18,10.7,10.7,10.5,10.7,46950,AFCB-199808
1994-03-21,10.6,10.7,10.5,10.6,69513,AFCB-199808
1994-03-22,10.6,10.8,10.6,10.7,41669,AFCB-199808
1994-03-23,10.6,11.0,10.6,10.8,44494,AFCB-199808
1994-03-24,10.8,11.2,10.8,11.0,157025,AFCB-199808
1994-03-25,11.1,11.2,10.9,11.2,29919,AFCB-199808
1994-03-28,10.9,11.2,10.9,11.2,36363,AFCB-199808
1994-03-29,11.2,11.2,10.8,10.8,71100,AFCB-199808
1994-03-30,11.2,11.2,10.6,10.8,73350,AFCB-199808
1994-03-31,10.8,11.0,10.4,10.7,53313,AFCB-199808
1994-04-04,10.6,10.6,10.2,10.6,36750,AFCB-199808
1994-04-05,10.6,10.6,10.2,10.4,74741,AFCB-199808
