Date,Open,High,Low,Close,Volume,Ticker
1996-04-26,16.0,20.5,16.0,20.5,4652030,AFFI-200102
1996-04-29,20.0,20.25,19.0,19.75,779950,AFFI-200102
1996-04-30,20.25,24.25,19.75,23.5,391234,AFFI-200102
1996-05-01,23.5,24.0,20.75,20.75,371460,AFFI-200102
1996-05-02,20.75,21.5,19.75,20.0,434893,AFFI-200102
1996-05-03,20.5,20.5,19.75,20.25,81180,AFFI-200102
1996-05-06,20.5,21.5,19.75,21.0,170445,AFFI-200102
1996-05-07,20.75,21.5,20.75,21.5,107630,AFFI-200102
1996-05-08,20.75,21.25,20.75,21.25,156710,AFFI-200102
1996-05-09,20.75,21.25,20.5,20.75,259720,AFFI-200102
1996-05-10,21.0,21.0,20.5,20.5,152305,AFFI-200102
1996-05-13,21.0,21.0,20.5,20.75,219081,AFFI-200102
1996-05-14,20.5,21.25,20.5,21.125,30382,AFFI-200102
1996-05-15,21.125,21.125,20.5,20.5,13118,AFFI-200102
1996-05-16,20.5,20.75,20.0,20.125,52035,AFFI-200102
1996-05-17,20.0,20.5,19.75,20.25,61930,AFFI-200102
1996-05-20,19.75,20.25,19.75,19.75,222100,AFFI-200102
1996-05-21,19.75,21.5,19.75,21.5,136295,AFFI-200102
1996-05-22,21.0,23.5,21.0,22.75,132543,AFFI-200102
1996-05-23,22.5,22.75,21.5,22.0,72981,AFFI-200102
1996-05-24,22.0,22.5,21.5,21.75,80859,AFFI-200102
1996-05-28,21.75,22.0,20.875,20.875,79719,AFFI-200102
1996-05-29,20.875,21.5,20.875,20.875,53635,AFFI-200102
1996-05-30,21.0,21.25,20.25,20.25,57180,AFFI-200102
1996-05-31,20.0,20.75,18.0,19.25,130410,AFFI-200102
1996-06-03,19.25,19.5,18.75,18.75,103000,AFFI-200102
1996-06-04,18.75,18.75,18.0,18.0,27300,AFFI-200102
1996-06-05,18.0,18.75,17.25,17.375,123725,AFFI-200102
1996-06-06,17.375,18.0,16.75,17.0,127450,AFFI-200102
1996-06-07,16.25,16.75,16.25,16.75,207525,AFFI-200102
1996-06-10,16.25,16.75,15.75,16.5,105110,AFFI-200102
1996-06-11,16.5,16.5,15.75,16.5,15750,AFFI-200102
1996-06-12,15.75,16.5,15.75,15.75,17700,AFFI-200102
1996-06-13,16.25,16.25,15.125,15.125,50320,AFFI-200102
1996-06-14,15.0,15.0,12.0,12.25,372600,AFFI-200102
1996-06-17,12.25,12.875,11.0,11.75,292070,AFFI-200102
1996-06-18,11.75,11.75,11.0,11.0,48033,AFFI-200102
1996-06-19,11.5,11.5,10.0,10.75,190540,AFFI-200102
1996-06-20,10.75,10.75,10.0,10.0,14522,AFFI-200102
1996-06-21,10.75,10.75,9.25,9.375,40862,AFFI-200102
1996-06-24,10.0,10.0,8.75,8.75,45200,AFFI-200102
1996-06-25,9.25,9.25,8.75,9.25,245050,AFFI-200102
1996-06-26,9.0,9.25,8.75,8.75,62200,AFFI-200102
1996-06-27,9.0,9.0,7.625,8.25,1387800,AFFI-200102
1996-06-28,8.25,8.75,7.75,8.5,177530,AFFI-200102
1996-07-01,8.625,8.625,8.125,8.625,55372,AFFI-200102
1996-07-02,8.75,9.625,8.5,9.375,1069500,AFFI-200102
1996-07-03,10.25,10.25,9.5,9.875,314725,AFFI-200102
1996-07-05,9.875,10.0,9.25,10.0,36870,AFFI-200102
1996-07-08,10.0,10.0,9.25,9.625,190220,AFFI-200102
1996-07-09,9.625,9.625,9.0,9.5,80709,AFFI-200102
1996-07-10,9.375,9.375,7.5,8.0,697315,AFFI-200102
1996-07-11,8.0,8.0,7.625,8.0,266300,AFFI-200102
1996-07-12,8.0,8.25,7.25,8.25,1523670,AFFI-200102
1996-07-15,8.375,8.75,7.75,8.25,116635,AFFI-200102
1996-07-16,8.25,8.25,6.875,7.5,159745,AFFI-200102
1996-07-17,7.5,8.75,7.125,8.75,256119,AFFI-200102
1996-07-18,8.75,8.75,8.125,8.5,76975,AFFI-200102
1996-07-19,8.25,8.5,7.875,8.5,68439,AFFI-200102
1996-07-22,8.5,8.5,8.0,8.25,52197,AFFI-200102
