Date,Open,High,Low,Close,Volume,Ticker
2002-06-07,0.6,0.69,0.56,0.6,458700,AFLUY-200601
2002-06-10,0.5,0.61,0.49,0.5,601700,AFLUY-200601
2002-06-11,0.5,0.62,0.45,0.5,494700,AFLUY-200601
2002-06-12,0.6,0.6,0.51,0.6,57500,AFLUY-200601
2002-06-13,0.55,0.6,0.53,0.55,31000,AFLUY-200601
2002-06-14,0.62,0.63,0.56,0.62,438400,AFLUY-200601
2002-06-17,0.63,0.7,0.5,0.63,249500,AFLUY-200601
2002-06-18,0.62,0.65,0.57,0.62,286000,AFLUY-200601
2002-06-19,0.64,0.66,0.58,0.64,351700,AFLUY-200601
2002-06-20,0.67,0.68,0.58,0.67,340500,AFLUY-200601
2002-06-21,0.66,0.69,0.65,0.66,246900,AFLUY-200601
2002-06-24,0.68,0.73,0.62,0.68,387300,AFLUY-200601
2002-06-25,0.65,0.67,0.59,0.65,158900,AFLUY-200601
2002-06-26,0.69,0.69,0.59,0.69,39900,AFLUY-200601
2002-06-27,0.57,0.69,0.57,0.57,82400,AFLUY-200601
2002-06-28,0.62,0.67,0.57,0.62,182400,AFLUY-200601
2002-07-01,0.6,0.6,0.53,0.6,81800,AFLUY-200601
2002-07-02,0.54,0.6,0.54,0.54,91800,AFLUY-200601
2002-07-03,0.54,0.6,0.47,0.54,215900,AFLUY-200601
2002-07-05,0.51,0.6,0.51,0.51,73500,AFLUY-200601
2002-07-08,0.59,0.59,0.54,0.59,58400,AFLUY-200601
2002-07-09,0.59,0.61,0.5,0.59,41300,AFLUY-200601
2002-07-10,0.63,0.65,0.57,0.63,231100,AFLUY-200601
2002-07-11,0.63,0.65,0.5,0.63,370000,AFLUY-200601
2002-07-12,0.66,0.66,0.56,0.66,680000,AFLUY-200601
2002-07-16,0.6,0.65,0.53,0.6,260800,AFLUY-200601
2002-07-17,0.46,0.58,0.46,0.46,513000,AFLUY-200601
2002-07-18,0.5,0.56,0.45,0.5,173600,AFLUY-200601
2002-07-19,0.52,0.6,0.48,0.52,199000,AFLUY-200601
2002-07-22,0.55,0.63,0.46,0.55,329600,AFLUY-200601
2002-07-23,0.53,0.53,0.41,0.53,198800,AFLUY-200601
2002-07-24,0.5,0.5,0.4,0.5,139600,AFLUY-200601
2002-07-25,0.47,0.48,0.38,0.47,117500,AFLUY-200601
2002-07-26,0.38,0.46,0.37,0.38,138100,AFLUY-200601
2002-07-29,0.37,0.4,0.35,0.37,72000,AFLUY-200601
2002-07-30,0.4,0.43,0.37,0.4,246200,AFLUY-200601
2002-07-31,0.42,0.44,0.37,0.42,49300,AFLUY-200601
2002-08-01,0.4,0.42,0.37,0.4,38500,AFLUY-200601
2002-08-02,0.4,0.46,0.4,0.4,179400,AFLUY-200601
2002-08-05,0.4,0.5,0.4,0.4,256200,AFLUY-200601
2002-08-06,0.37,0.4,0.35,0.37,45000,AFLUY-200601
2002-08-07,0.44,0.47,0.37,0.44,142700,AFLUY-200601
2002-08-08,0.49,0.5,0.4,0.49,1075000,AFLUY-200601
2002-08-09,0.5,0.54,0.37,0.5,397100,AFLUY-200601
2002-08-12,0.54,0.55,0.45,0.54,94000,AFLUY-200601
2002-08-13,0.52,0.54,0.49,0.52,362400,AFLUY-200601
2002-08-14,0.47,0.52,0.47,0.47,233500,AFLUY-200601
2002-08-15,0.48,0.5,0.43,0.48,23500,AFLUY-200601
2002-08-16,0.53,0.53,0.53,0.53,1500,AFLUY-200601
