Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,7.25,7.25,7.25,7.25,150,AFSB-198608
1985-01-03,7.25,7.25,7.25,7.25,375,AFSB-198608
1985-01-04,7.25,7.25,7.25,7.25,15000,AFSB-198608
1985-01-07,7.25,7.25,7.25,7.25,150,AFSB-198608
1985-01-08,7.25,7.25,7.25,7.25,3000,AFSB-198608
1985-01-09,7.25,7.25,7.25,7.25,11484,AFSB-198608
1985-01-10,7.25,7.25,7.25,7.25,600,AFSB-198608
1985-01-11,7.25,7.25,7.25,7.25,1050,AFSB-198608
1985-01-14,7.25,7.25,7.25,7.25,900,AFSB-198608
1985-01-15,7.25,7.25,7.25,7.25,5250,AFSB-198608
1985-01-16,7.25,7.25,7.25,7.25,900,AFSB-198608
1985-01-17,7.33333,7.33333,7.33333,7.33333,450,AFSB-198608
1985-01-18,7.58333,7.58333,7.58333,7.58333,16275,AFSB-198608
1985-01-21,7.58333,7.58333,7.58333,7.58333,900,AFSB-198608
1985-01-22,7.58333,7.58333,7.58333,7.58333,2400,AFSB-198608
1985-01-23,7.75,7.75,7.75,7.75,7200,AFSB-198608
1985-01-24,7.83333,7.83333,7.83333,7.83333,5850,AFSB-198608
1985-01-25,7.91667,7.91667,7.91667,7.91667,330,AFSB-198608
1985-01-28,7.91667,7.91667,7.91667,7.91667,1500,AFSB-198608
1985-01-30,8.08333,8.08333,8.08333,8.08333,6450,AFSB-198608
1985-01-31,8.41667,8.41667,8.41667,8.41667,16035,AFSB-198608
1985-02-01,8.5,8.5,8.5,8.5,4800,AFSB-198608
1985-02-04,8.41667,8.41667,8.41667,8.41667,2100,AFSB-198608
1985-02-05,8.41667,8.41667,8.41667,8.41667,1050,AFSB-198608
1985-02-06,8.5,8.5,8.5,8.5,2888,AFSB-198608
1985-02-07,8.58333,8.58333,8.58333,8.58333,15000,AFSB-198608
1985-02-08,8.58333,8.58333,8.58333,8.58333,1200,AFSB-198608
1985-02-11,8.58333,8.58333,8.58333,8.58333,4350,AFSB-198608
1985-02-12,8.58333,8.58333,8.58333,8.58333,4350,AFSB-198608
1985-02-14,8.58333,8.58333,8.58333,8.58333,8550,AFSB-198608
1985-02-15,8.58333,8.58333,8.58333,8.58333,4095,AFSB-198608
1985-02-20,8.58333,8.58333,8.58333,8.58333,3702,AFSB-198608
1985-02-21,8.66667,8.66667,8.66667,8.66667,975,AFSB-198608
1985-02-22,8.66667,8.66667,8.66667,8.66667,29550,AFSB-198608
1985-02-25,8.66667,8.66667,8.66667,8.66667,1500,AFSB-198608
1985-02-26,8.91667,8.91667,8.91667,8.91667,31650,AFSB-198608
1985-02-27,8.91667,8.91667,8.91667,8.91667,12900,AFSB-198608
1985-02-28,8.91667,8.91667,8.91667,8.91667,9750,AFSB-198608
1985-03-01,8.91667,8.91667,8.91667,8.91667,5250,AFSB-198608
1985-03-04,8.91667,8.91667,8.91667,8.91667,450,AFSB-198608
1985-03-06,8.91667,8.91667,8.91667,8.91667,750,AFSB-198608
1985-03-07,8.91667,8.91667,8.91667,8.91667,750,AFSB-198608
1985-03-08,8.91667,8.91667,8.91667,8.91667,1500,AFSB-198608
1985-03-11,8.91667,8.91667,8.91667,8.91667,1200,AFSB-198608
1985-03-12,8.91667,8.91667,8.91667,8.91667,600,AFSB-198608
1985-03-14,8.91667,8.91667,8.91667,8.91667,4050,AFSB-198608
1985-03-15,9.08333,9.08333,9.08333,9.08333,1800,AFSB-198608
1985-03-18,9.08333,9.08333,9.08333,9.08333,3300,AFSB-198608
1985-03-19,9.16667,9.16667,9.16667,9.16667,2700,AFSB-198608
1985-03-20,9.33333,9.33333,9.33333,9.33333,5550,AFSB-198608
1985-03-21,9.33333,9.33333,9.33333,9.33333,1800,AFSB-198608
1985-03-22,9.41667,9.41667,9.41667,9.41667,2250,AFSB-198608
1985-03-25,9.58333,9.58333,9.58333,9.58333,1950,AFSB-198608
1985-03-26,9.58333,9.58333,9.58333,9.58333,776,AFSB-198608
1985-03-27,9.66667,9.66667,9.66667,9.66667,4500,AFSB-198608
1985-03-28,10.25,10.25,10.25,10.25,4800,AFSB-198608
1985-03-29,10.16667,10.16667,10.16667,10.16667,7260,AFSB-198608
