Date,Open,High,Low,Close,Volume,Ticker
2006-11-28,3.9,3.9,3.73,3.9,19800,AG
2006-11-29,3.92,3.96,3.84,3.92,58200,AG
2006-11-30,3.94,3.94,3.84,3.94,24300,AG
2006-12-01,3.81,3.95,3.78,3.81,23000,AG
2006-12-04,3.89,3.95,3.8,3.89,86200,AG
2006-12-05,3.77,3.87,3.75,3.77,40600,AG
2006-12-06,3.69,3.77,3.69,3.69,10400,AG
2006-12-07,3.73,4.65,3.65,3.73,17200,AG
2006-12-08,3.64,3.8,3.61,3.64,20300,AG
2006-12-11,3.69,3.74,3.69,3.69,900,AG
2006-12-12,3.74,3.74,3.74,3.74,3000,AG
2006-12-13,3.78,3.85,3.76,3.78,15500,AG
2006-12-14,3.93,4.04,3.91,3.93,4700,AG
2006-12-15,4.0,4.03,3.9,4.0,20000,AG
2006-12-18,3.99,4.06,3.97,3.99,20900,AG
2006-12-19,4.0,4.01,3.91,4.0,15600,AG
2006-12-20,3.94,4.03,3.94,3.94,9000,AG
2006-12-21,3.85,3.91,3.82,3.85,55400,AG
2006-12-22,3.94,3.99,3.85,3.94,8500,AG
2006-12-27,4.06,4.06,3.95,4.06,10500,AG
2006-12-28,4.15,4.15,4.07,4.15,63000,AG
2006-12-29,4.18,4.25,4.14,4.18,30800,AG
2007-01-03,4.55,4.72,4.3,4.55,63000,AG
2007-01-04,4.35,4.5,4.35,4.35,27000,AG
2007-01-05,4.09,4.35,4.02,4.09,37700,AG
2007-01-08,4.4,4.44,4.11,4.4,13800,AG
2007-01-09,4.52,4.56,4.46,4.52,49100,AG
2007-01-10,4.51,4.51,4.35,4.51,5700,AG
2007-01-11,4.55,4.55,4.49,4.55,7100,AG
2007-01-12,4.63,4.68,4.54,4.63,52100,AG
2007-01-16,4.66,4.74,4.66,4.66,59100,AG
2007-01-17,4.79,4.79,4.72,4.79,22800,AG
2007-01-18,4.82,4.86,4.82,4.82,12900,AG
2007-01-19,4.62,4.78,4.62,4.62,14300,AG
2007-01-22,4.5,4.5,4.48,4.5,35800,AG
2007-01-23,4.59,4.59,4.49,4.59,4600,AG
2007-01-24,4.59,4.59,4.58,4.59,5800,AG
2007-01-25,4.68,4.76,4.68,4.68,14500,AG
2007-01-26,4.68,4.76,4.59,4.68,8000,AG
2007-01-29,4.68,4.76,4.68,4.68,4500,AG
2007-01-30,4.67,4.73,4.51,4.67,30300,AG
2007-01-31,4.62,4.68,4.56,4.62,21900,AG
2007-02-01,4.6,4.65,4.57,4.6,15000,AG
2007-02-02,4.4,4.4,4.19,4.4,39800,AG
2007-02-06,4.3,4.31,4.3,4.3,89400,AG
2007-02-07,4.23,4.32,4.16,4.23,121300,AG
2007-02-08,4.13,4.25,4.0,4.13,217500,AG
2007-02-09,4.21,4.27,3.98,4.21,183800,AG
2007-02-12,4.08,4.16,4.08,4.08,74800,AG
2007-02-13,4.35,4.35,4.3,4.35,76000,AG
2007-02-14,4.62,4.66,4.52,4.62,114600,AG
2007-02-15,4.71,4.74,4.63,4.71,45000,AG
