Date,Open,High,Low,Close,Volume,Ticker
2001-11-06,9.885,11.275,8.5,10.45,8792720,AGP-201212
2001-11-07,10.56,10.95,10.175,10.625,1847936,AGP-201212
2001-11-08,10.02,10.8,9.24,9.615,2045400,AGP-201212
2001-11-09,9.615,9.8,9.4,9.475,195100,AGP-201212
2001-11-12,9.525,9.65,9.275,9.525,332958,AGP-201212
2001-11-13,9.575,9.645,9.285,9.525,470150,AGP-201212
2001-11-14,9.5,9.525,9.15,9.25,436762,AGP-201212
2001-11-15,9.345,9.345,9.2,9.225,375200,AGP-201212
2001-11-16,9.225,9.225,9.035,9.175,445800,AGP-201212
2001-11-19,9.145,9.325,9.05,9.25,494740,AGP-201212
2001-11-20,9.3,9.35,9.2,9.28,374920,AGP-201212
2001-11-21,9.35,9.66,9.3,9.51,770202,AGP-201212
2001-11-23,9.575,9.575,9.43,9.525,396698,AGP-201212
2001-11-26,9.55,9.55,9.415,9.475,256732,AGP-201212
2001-11-27,9.475,9.5,9.32,9.425,622800,AGP-201212
2001-11-28,9.42,9.42,9.2,9.295,204200,AGP-201212
2001-11-29,9.2,9.2,9.05,9.065,417200,AGP-201212
2001-11-30,9.115,9.175,9.0,9.05,143392,AGP-201212
2001-12-03,9.27,9.475,9.17,9.375,319314,AGP-201212
2001-12-04,9.485,9.575,9.35,9.535,362304,AGP-201212
2001-12-05,9.685,10.465,9.615,10.2,588608,AGP-201212
2001-12-06,10.2,10.45,10.175,10.205,243500,AGP-201212
2001-12-07,10.305,10.56,10.2,10.25,326624,AGP-201212
2001-12-10,10.3,10.3,10.19,10.275,318800,AGP-201212
2001-12-11,10.275,10.325,9.975,10.01,457400,AGP-201212
2001-12-12,9.975,10.025,9.715,9.75,192002,AGP-201212
2001-12-13,9.7,10.205,9.65,10.2,148850,AGP-201212
2001-12-14,10.025,10.2,9.645,10.19,330596,AGP-201212
2001-12-17,9.955,10.1,9.925,10.01,17518,AGP-201212
2001-12-18,10.05,10.05,9.885,9.95,54320,AGP-201212
2001-12-19,9.9,9.94,9.8,9.8,67592,AGP-201212
2001-12-20,9.9,9.9,9.675,9.725,522048,AGP-201212
2001-12-21,9.675,9.785,9.675,9.735,255000,AGP-201212
2001-12-24,9.75,9.795,9.75,9.76,29480,AGP-201212
2001-12-26,9.755,9.89,9.755,9.89,62740,AGP-201212
2001-12-27,9.875,9.975,9.825,9.96,311872,AGP-201212
2001-12-28,9.985,10.5,9.985,10.5,72550,AGP-201212
2001-12-31,10.55,11.5,10.545,10.9,402868,AGP-201212
2002-01-02,11.015,11.175,10.8,11.05,266380,AGP-201212
2002-01-03,11.1,11.2,11.0,11.15,116050,AGP-201212
2002-01-04,11.175,11.535,11.035,11.25,148004,AGP-201212
2002-01-07,11.575,11.725,11.175,11.5,149780,AGP-201212
2002-01-08,11.5,11.675,11.395,11.525,341558,AGP-201212
2002-01-09,11.675,12.57,11.65,12.57,153012,AGP-201212
2002-01-10,12.62,13.05,12.255,13.025,407032,AGP-201212
2002-01-11,12.995,13.21,12.685,13.21,256992,AGP-201212
2002-01-14,13.225,13.225,12.65,12.875,250022,AGP-201212
2002-01-15,13.0,13.0,12.52,12.6,145546,AGP-201212
2002-01-16,12.625,12.625,12.45,12.45,98566,AGP-201212
2002-01-17,12.5,12.625,12.45,12.61,129296,AGP-201212
2002-01-18,12.625,12.625,12.175,12.275,98376,AGP-201212
2002-01-22,12.22,12.25,11.825,12.025,205984,AGP-201212
2002-01-23,12.025,12.475,11.8,12.175,90152,AGP-201212
2002-01-24,12.35,12.35,11.955,12.1,103570,AGP-201212
2002-01-25,12.165,12.625,12.165,12.535,143800,AGP-201212
2002-01-28,12.575,12.575,12.24,12.375,93450,AGP-201212
2002-01-29,12.25,12.415,11.865,11.865,42400,AGP-201212
2002-01-30,12.14,12.15,11.45,11.65,135180,AGP-201212
2002-01-31,11.675,11.915,11.31,11.335,277820,AGP-201212
2002-02-01,11.3,11.585,11.15,11.175,423850,AGP-201212
2002-02-04,11.155,11.525,10.875,10.95,1331050,AGP-201212
2002-02-05,11.015,11.045,10.5,10.5,133660,AGP-201212
2002-02-06,10.575,10.625,10.325,10.625,149700,AGP-201212
2002-02-07,10.745,11.0,10.745,11.0,25500,AGP-201212
2002-02-08,11.05,11.3,11.01,11.3,12400,AGP-201212
2002-02-11,11.375,11.625,11.35,11.395,266950,AGP-201212
2002-02-12,11.5,11.875,11.475,11.6,118210,AGP-201212
2002-02-13,11.84,11.98,11.7,11.825,100900,AGP-201212
2002-02-14,11.88,11.88,11.685,11.85,115090,AGP-201212
2002-02-15,11.92,11.925,11.7,11.9,92040,AGP-201212
2002-02-19,11.945,11.945,11.725,11.725,16792,AGP-201212
2002-02-20,11.85,12.0,11.65,11.745,76470,AGP-201212
2002-02-21,11.79,12.075,11.575,11.625,563098,AGP-201212
2002-02-22,11.77,11.77,11.2,11.25,754020,AGP-201212
2002-02-25,11.17,11.425,10.705,10.735,154900,AGP-201212
2002-02-26,10.815,11.0,10.81,10.9,210860,AGP-201212
2002-02-27,10.875,11.27,10.875,11.085,423810,AGP-201212
2002-02-28,11.175,11.7,11.125,11.7,57076,AGP-201212
2002-03-01,11.78,11.985,11.74,11.985,102700,AGP-201212
2002-03-04,11.985,12.14,11.98,12.105,92700,AGP-201212
2002-03-05,12.125,12.125,11.75,11.875,139200,AGP-201212
2002-03-06,11.85,11.895,11.775,11.875,34920,AGP-201212
2002-03-07,11.9,11.95,11.875,11.95,102600,AGP-201212
2002-03-08,11.8,12.275,11.8,12.275,75320,AGP-201212
2002-03-11,12.055,13.625,12.055,13.475,439532,AGP-201212
2002-03-12,13.34,13.95,13.34,13.755,158008,AGP-201212
2002-03-13,13.705,13.915,13.705,13.85,370802,AGP-201212
2002-03-14,13.865,13.9,13.325,13.725,408130,AGP-201212
2002-03-15,13.5,13.775,13.425,13.75,54680,AGP-201212
2002-03-18,13.775,15.095,13.625,14.75,491674,AGP-201212
2002-03-19,14.75,14.75,13.675,13.95,520050,AGP-201212
2002-03-20,13.6,14.52,13.6,14.15,74880,AGP-201212
2002-03-21,14.25,14.45,14.03,14.445,162180,AGP-201212
2002-03-22,14.3,14.42,14.135,14.165,151600,AGP-201212
2002-03-25,14.135,14.225,13.6,13.655,207654,AGP-201212
2002-03-26,13.65,13.975,13.58,13.975,59100,AGP-201212
2002-03-27,13.9,14.195,13.9,14.1,164668,AGP-201212
2002-03-28,14.15,14.25,14.06,14.075,227110,AGP-201212
2002-04-01,14.08,14.275,14.08,14.15,219334,AGP-201212
2002-04-02,14.22,14.225,13.93,14.0,91412,AGP-201212
2002-04-03,14.1,15.0,14.0,14.0,800234,AGP-201212
2002-04-04,14.1,14.575,14.1,14.305,354314,AGP-201212
2002-04-05,14.445,14.45,13.95,14.2,162934,AGP-201212
2002-04-08,14.275,14.675,14.125,14.375,418420,AGP-201212
2002-04-09,14.44,14.725,14.315,14.675,250798,AGP-201212
2002-04-10,14.695,15.49,14.695,15.245,491974,AGP-201212
2002-04-11,15.38,16.125,15.26,16.075,842276,AGP-201212
2002-04-12,16.0,16.625,15.8,16.43,393908,AGP-201212
2002-04-15,16.64,17.0,16.5,16.8,343452,AGP-201212
2002-04-16,16.895,17.195,16.68,16.95,314732,AGP-201212
2002-04-17,16.975,17.6,16.975,17.425,232786,AGP-201212
2002-04-18,17.485,17.745,17.44,17.55,678578,AGP-201212
2002-04-19,17.595,17.595,16.755,17.0,542992,AGP-201212
2002-04-22,17.065,17.4,16.77,17.25,867966,AGP-201212
2002-04-23,17.4,17.44,17.025,17.075,588510,AGP-201212
2002-04-24,17.125,17.225,16.625,16.9,308388,AGP-201212
2002-04-25,16.85,16.95,16.65,16.75,204160,AGP-201212
2002-04-26,16.81,16.83,16.695,16.75,339828,AGP-201212
2002-04-29,16.8,16.8,16.0,16.6,287250,AGP-201212
2002-04-30,16.6,16.7,15.08,15.275,1074292,AGP-201212
2002-05-01,14.3,14.855,14.04,14.35,1846608,AGP-201212
2002-05-02,13.975,14.205,12.825,13.5,1431660,AGP-201212
2002-05-03,13.425,13.495,12.625,12.66,1090420,AGP-201212
2002-05-06,11.7,12.095,10.125,11.8,9336860,AGP-201212
2002-05-07,11.82,12.525,11.45,12.5,2601520,AGP-201212
2002-05-08,12.52,12.815,12.475,12.745,2568560,AGP-201212
2002-05-09,12.795,13.025,12.615,13.02,1090306,AGP-201212
2002-05-10,13.2,13.6,13.075,13.495,1372726,AGP-201212
2002-05-13,13.545,13.785,13.27,13.43,703938,AGP-201212
2002-05-14,13.495,13.505,12.875,13.235,1204388,AGP-201212
2002-05-15,13.125,13.245,12.82,13.02,795130,AGP-201212
2002-05-16,12.86,13.035,12.75,13.02,710788,AGP-201212
2002-05-17,12.98,13.275,12.98,13.25,748932,AGP-201212
2002-05-20,13.25,13.4,12.9,13.375,316932,AGP-201212
2002-05-21,13.3,13.375,13.075,13.08,381432,AGP-201212
2002-05-22,13.05,13.325,13.05,13.22,582048,AGP-201212
2002-05-23,13.195,13.815,13.195,13.535,655010,AGP-201212
2002-05-24,13.535,14.35,13.53,14.175,653414,AGP-201212
2002-05-28,14.25,14.325,14.025,14.055,541226,AGP-201212
2002-05-29,14.03,14.12,13.815,14.095,432236,AGP-201212
2002-05-30,14.125,14.62,14.03,14.525,436786,AGP-201212
2002-05-31,14.465,14.72,14.465,14.58,1677736,AGP-201212
2002-06-03,14.575,14.575,14.325,14.5,468098,AGP-201212
2002-06-04,14.45,14.6,14.45,14.545,403154,AGP-201212
2002-06-05,14.55,15.025,14.5,14.62,439988,AGP-201212
2002-06-06,14.575,14.9,14.51,14.625,174748,AGP-201212
2002-06-07,14.525,15.03,14.45,14.94,316120,AGP-201212
2002-06-10,15.05,15.05,14.825,14.915,621222,AGP-201212
2002-06-11,14.865,15.225,14.8,14.9,495290,AGP-201212
2002-06-12,14.9,14.9,14.195,14.23,285844,AGP-201212
2002-06-13,14.3,14.5,13.545,13.84,372550,AGP-201212
2002-06-14,13.7,13.775,13.285,13.435,329688,AGP-201212
2002-06-17,13.3,13.735,13.3,13.415,190688,AGP-201212
2002-06-18,13.51,14.975,13.505,14.63,1599576,AGP-201212
2002-06-19,14.645,14.945,14.45,14.505,355916,AGP-201212
2002-06-20,14.54,14.9,14.3,14.73,848580,AGP-201212
2002-06-21,14.785,14.785,14.235,14.5,672734,AGP-201212
2002-06-24,14.5,14.505,13.825,14.24,404072,AGP-201212
2002-06-25,14.235,14.45,14.115,14.3,573810,AGP-201212
2002-06-26,14.3,14.3,13.99,14.15,532214,AGP-201212
2002-06-27,14.15,14.275,13.68,13.82,463172,AGP-201212
2002-06-28,13.87,14.105,13.355,13.64,1590472,AGP-201212
2002-07-01,13.505,13.59,11.835,13.35,753110,AGP-201212
2002-07-02,13.495,13.495,12.8,13.055,219550,AGP-201212
2002-07-03,13.05,13.055,12.75,12.99,156914,AGP-201212
2002-07-05,12.92,13.1,12.92,13.08,27122,AGP-201212
2002-07-08,13.07,13.43,12.85,13.025,145774,AGP-201212
2002-07-09,13.01,13.09,12.575,12.595,57784,AGP-201212
2002-07-10,12.575,12.575,12.05,12.435,236314,AGP-201212
2002-07-11,12.265,12.85,12.255,12.75,210220,AGP-201212
2002-07-12,12.725,12.725,12.415,12.46,348442,AGP-201212
2002-07-15,12.455,13.395,12.195,13.375,277900,AGP-201212
2002-07-16,13.28,13.285,12.175,12.25,318374,AGP-201212
2002-07-17,12.3,12.5,11.265,11.48,648296,AGP-201212
2002-07-18,11.59,11.71,10.95,11.565,308546,AGP-201212
2002-07-19,11.26,11.84,11.26,11.705,228920,AGP-201212
2002-07-22,11.625,11.825,11.425,11.47,231346,AGP-201212
2002-07-23,11.4,11.535,11.27,11.34,203406,AGP-201212
2002-07-24,11.275,11.94,11.06,11.835,242996,AGP-201212
2002-07-25,11.865,12.765,11.54,11.92,693206,AGP-201212
