Date,Open,High,Low,Close,Volume,Ticker
1993-12-13,4.5,4.875,4.0,4.375,489590,AHSI-199510
1993-12-14,4.375,4.875,4.25,4.625,519850,AHSI-199510
1993-12-15,4.875,4.875,4.5,4.625,211650,AHSI-199510
1993-12-16,4.625,4.875,4.625,4.875,57900,AHSI-199510
1993-12-17,4.625,5.0,4.5,5.0,202510,AHSI-199510
1993-12-20,5.0,5.125,4.75,5.0,61850,AHSI-199510
1993-12-21,4.75,5.125,4.75,4.75,59075,AHSI-199510
1993-12-22,4.75,5.125,4.75,4.875,34950,AHSI-199510
1993-12-23,4.875,5.125,4.75,4.75,24050,AHSI-199510
1993-12-27,4.75,5.0,4.75,4.75,13400,AHSI-199510
1993-12-28,4.75,5.0,4.75,4.75,22100,AHSI-199510
1993-12-29,4.75,5.0,4.5,4.75,68500,AHSI-199510
1993-12-30,4.625,5.0,4.625,4.625,87560,AHSI-199510
1993-12-31,4.625,5.0,4.625,4.625,20200,AHSI-199510
1994-01-03,4.625,5.125,4.625,5.125,31170,AHSI-199510
1994-01-04,4.625,5.125,4.625,4.625,49616,AHSI-199510
1994-01-05,4.625,5.0,4.375,4.5,42425,AHSI-199510
1994-01-06,4.875,5.375,4.25,4.625,109150,AHSI-199510
1994-01-07,4.625,5.25,4.625,5.25,67300,AHSI-199510
1994-01-10,4.625,5.25,4.625,4.625,25400,AHSI-199510
1994-01-11,4.625,5.25,4.625,4.75,41425,AHSI-199510
1994-01-12,4.75,5.25,4.5,5.25,86300,AHSI-199510
1994-01-13,5.0,5.25,4.75,4.875,58355,AHSI-199510
1994-01-14,5.0,5.25,4.875,4.875,39740,AHSI-199510
1994-01-17,4.875,5.25,4.75,5.25,44200,AHSI-199510
1994-01-18,4.75,5.25,4.75,4.75,22525,AHSI-199510
1994-01-19,4.75,5.0,4.75,4.75,13600,AHSI-199510
1994-01-20,4.75,5.0,4.5,4.625,35550,AHSI-199510
1994-01-21,4.625,4.75,4.5,4.5,85150,AHSI-199510
1994-01-24,4.5,4.75,4.375,4.375,41880,AHSI-199510
1994-01-25,4.375,4.625,4.375,4.375,40300,AHSI-199510
1994-01-26,4.625,4.625,4.375,4.625,15000,AHSI-199510
1994-01-27,4.375,4.625,4.375,4.625,26000,AHSI-199510
1994-01-28,4.625,4.625,4.375,4.375,22250,AHSI-199510
1994-01-31,4.375,4.625,4.375,4.375,18500,AHSI-199510
1994-02-01,4.375,4.5,4.25,4.25,17000,AHSI-199510
1994-02-02,4.25,4.75,4.25,4.625,49850,AHSI-199510
1994-02-03,4.5,4.75,4.5,4.75,32000,AHSI-199510
1994-02-04,4.75,4.75,4.25,4.25,39600,AHSI-199510
1994-02-07,4.375,4.75,4.125,4.125,18900,AHSI-199510
1994-02-08,4.125,4.5,3.75,4.0,49130,AHSI-199510
1994-02-09,3.875,4.25,3.75,4.25,23145,AHSI-199510
1994-02-10,4.0,4.125,3.75,3.75,16480,AHSI-199510
1994-02-11,3.875,4.125,3.875,3.875,13700,AHSI-199510
1994-02-14,4.25,4.25,3.875,4.25,23575,AHSI-199510
1994-02-15,4.25,4.25,3.875,3.875,1800,AHSI-199510
1994-02-16,4.25,4.5,4.0,4.375,83700,AHSI-199510
1994-02-17,4.25,4.5,4.125,4.5,74652,AHSI-199510
1994-02-18,4.125,4.125,4.125,4.125,10000,AHSI-199510
1994-02-22,4.125,4.5,4.125,4.125,28700,AHSI-199510
1994-02-23,4.5,4.5,3.75,3.75,49500,AHSI-199510
1994-02-24,3.75,4.0,3.75,4.0,44750,AHSI-199510
1994-02-25,4.0,4.0,4.0,4.0,16450,AHSI-199510
1994-02-28,4.0,4.0,4.0,4.0,10550,AHSI-199510
1994-03-01,3.875,4.0,3.375,3.75,49300,AHSI-199510
1994-03-02,3.75,3.75,3.25,3.25,44600,AHSI-199510
1994-03-03,3.25,3.75,3.25,3.25,13543,AHSI-199510
1994-03-04,3.25,3.75,3.25,3.25,8527,AHSI-199510
1994-03-07,3.75,3.75,3.25,3.75,21950,AHSI-199510
1994-03-08,3.25,3.75,2.875,3.25,147813,AHSI-199510
1994-03-09,2.875,3.25,2.875,3.25,31500,AHSI-199510
1994-03-10,3.0,3.25,3.0,3.0,13700,AHSI-199510
1994-03-11,3.25,3.25,3.0,3.0,8450,AHSI-199510
1994-03-14,3.0,3.125,3.0,3.0,6343,AHSI-199510
1994-03-15,3.0,3.25,3.0,3.125,37133,AHSI-199510
1994-03-16,3.0,3.25,3.0,3.25,13660,AHSI-199510
1994-03-17,3.25,3.375,3.25,3.25,24300,AHSI-199510
1994-03-18,3.25,3.5,3.25,3.375,25525,AHSI-199510
1994-03-21,3.375,3.5,3.0,3.5,37225,AHSI-199510
1994-03-22,3.0,3.0,3.0,3.0,8400,AHSI-199510
1994-03-23,3.0,3.0,3.0,3.0,2200,AHSI-199510
1994-03-24,3.0,3.375,3.0,3.25,111700,AHSI-199510
1994-03-25,3.25,3.25,3.0,3.25,10600,AHSI-199510
1994-03-28,3.0,3.0,3.0,3.0,5850,AHSI-199510
1994-03-29,3.0,3.25,2.875,2.875,39200,AHSI-199510
1994-03-30,3.25,3.25,2.75,3.25,40000,AHSI-199510
1994-03-31,2.75,3.25,2.75,3.25,28200,AHSI-199510
1994-04-04,2.75,2.75,2.375,2.5,18617,AHSI-199510
1994-04-05,2.5,2.75,2.375,2.625,13800,AHSI-199510
1994-04-06,2.625,2.875,2.625,2.625,25000,AHSI-199510
1994-04-07,2.625,2.625,2.625,2.625,750,AHSI-199510
1994-04-11,2.625,2.625,2.5,2.5,6500,AHSI-199510
1994-04-12,2.375,2.75,2.375,2.75,41930,AHSI-199510
1994-04-13,2.375,2.375,2.0,2.0,19050,AHSI-199510
1994-04-14,2.0,2.0,2.0,2.0,7000,AHSI-199510
1994-04-15,2.0,2.25,2.0,2.125,13200,AHSI-199510
1994-04-18,2.125,2.125,2.125,2.125,8570,AHSI-199510
1994-04-19,2.125,2.25,2.125,2.125,20500,AHSI-199510
1994-04-20,2.125,2.5,1.625,1.625,51500,AHSI-199510
1994-04-21,2.25,2.25,1.75,2.25,142300,AHSI-199510
1994-04-22,2.25,2.25,2.0,2.0,22500,AHSI-199510
1994-04-25,2.0,2.0,2.0,2.0,6427,AHSI-199510
1994-04-28,2.0,2.25,2.0,2.25,14100,AHSI-199510
