Date,Open,High,Low,Close,Volume,Ticker
1986-10-08,2.5,2.5,2.5,2.5,15750,AJAXF-198808
1986-10-09,2.5,2.5,2.5,2.5,23900,AJAXF-198808
1986-10-10,2.5,2.5,2.5,2.5,11200,AJAXF-198808
1986-10-13,2.5,2.5,2.5,2.5,3500,AJAXF-198808
1986-10-14,2.375,2.375,2.375,2.375,36450,AJAXF-198808
1986-10-15,2.375,2.375,2.375,2.375,7750,AJAXF-198808
1986-10-16,2.375,2.375,2.375,2.375,8100,AJAXF-198808
1986-10-17,2.25,2.25,2.25,2.25,39300,AJAXF-198808
1986-10-20,2.25,2.25,2.25,2.25,11550,AJAXF-198808
1986-10-21,2.25,2.25,2.25,2.25,28400,AJAXF-198808
1986-10-22,2.25,2.25,2.25,2.25,26500,AJAXF-198808
1986-10-23,2.25,2.25,2.25,2.25,142200,AJAXF-198808
1986-10-24,2.0,2.0,2.0,2.0,9982,AJAXF-198808
1986-10-27,1.75,1.75,1.75,1.75,7500,AJAXF-198808
1986-10-28,1.75,1.75,1.75,1.75,1700,AJAXF-198808
1986-10-29,1.8125,1.8125,1.8125,1.8125,38050,AJAXF-198808
1986-10-30,1.875,1.875,1.875,1.875,42594,AJAXF-198808
1986-10-31,2.0,2.0,2.0,2.0,13450,AJAXF-198808
1986-11-03,2.0,2.0,2.0,2.0,10054,AJAXF-198808
1986-11-04,1.875,1.875,1.875,1.875,17387,AJAXF-198808
1986-11-05,1.875,1.875,1.875,1.875,5840,AJAXF-198808
1986-11-06,1.75,1.75,1.75,1.75,3000,AJAXF-198808
1986-11-07,1.75,1.75,1.75,1.75,10300,AJAXF-198808
1986-11-10,1.75,1.75,1.75,1.75,74000,AJAXF-198808
1986-11-11,1.75,1.75,1.75,1.75,12324,AJAXF-198808
1986-11-12,1.75,1.75,1.75,1.75,1000,AJAXF-198808
1986-11-13,1.75,1.75,1.75,1.75,14112,AJAXF-198808
1986-11-14,1.625,1.625,1.625,1.625,7292,AJAXF-198808
1986-11-17,1.5625,1.5625,1.5625,1.5625,70000,AJAXF-198808
1986-11-18,1.5,1.5,1.5,1.5,20700,AJAXF-198808
1986-11-19,1.4375,1.4375,1.4375,1.4375,10223,AJAXF-198808
1986-11-20,1.375,1.375,1.375,1.375,70200,AJAXF-198808
1986-11-21,1.25,1.25,1.25,1.25,11866,AJAXF-198808
1986-11-24,0.90625,0.90625,0.90625,0.90625,31700,AJAXF-198808
1986-11-25,1.0,1.0,1.0,1.0,8316,AJAXF-198808
1986-11-26,1.0,1.0,1.0,1.0,4812,AJAXF-198808
1986-11-28,1.0,1.0,1.0,1.0,2221,AJAXF-198808
1986-12-01,0.9375,0.9375,0.9375,0.9375,25445,AJAXF-198808
1986-12-02,0.875,0.875,0.875,0.875,4500,AJAXF-198808
1986-12-03,0.875,0.875,0.875,0.875,2611,AJAXF-198808
1986-12-04,0.96875,0.96875,0.96875,0.96875,8700,AJAXF-198808
1986-12-05,1.0,1.0,1.0,1.0,1400,AJAXF-198808
1986-12-08,1.0,1.0,1.0,1.0,1000,AJAXF-198808
1986-12-09,0.84375,0.84375,0.84375,0.84375,13000,AJAXF-198808
1986-12-10,0.78125,0.78125,0.78125,0.78125,9300,AJAXF-198808
1986-12-11,0.71875,0.71875,0.71875,0.71875,4400,AJAXF-198808
1986-12-12,0.75,0.75,0.75,0.75,12300,AJAXF-198808
1986-12-15,0.8125,0.8125,0.8125,0.8125,3100,AJAXF-198808
1986-12-16,0.8125,0.8125,0.8125,0.8125,12750,AJAXF-198808
1986-12-17,0.78125,0.78125,0.78125,0.78125,16700,AJAXF-198808
1986-12-18,0.78125,0.78125,0.78125,0.78125,700,AJAXF-198808
1986-12-19,0.84375,0.84375,0.84375,0.84375,14800,AJAXF-198808
1986-12-22,0.75,0.75,0.75,0.75,24365,AJAXF-198808
1986-12-23,0.75,0.75,0.75,0.75,10375,AJAXF-198808
1986-12-24,0.75,0.75,0.75,0.75,450,AJAXF-198808
1986-12-26,0.75,0.75,0.75,0.75,2000,AJAXF-198808
1986-12-29,0.71875,0.71875,0.71875,0.71875,7700,AJAXF-198808
1986-12-30,0.71875,0.71875,0.71875,0.71875,5500,AJAXF-198808
1986-12-31,0.6875,0.6875,0.6875,0.6875,13600,AJAXF-198808
1987-01-02,0.6875,0.6875,0.6875,0.6875,2000,AJAXF-198808
1987-01-05,0.6875,0.6875,0.6875,0.6875,1000,AJAXF-198808
1987-01-06,0.6875,0.6875,0.6875,0.6875,1650,AJAXF-198808
1987-01-07,0.6875,0.6875,0.6875,0.6875,5500,AJAXF-198808
1987-01-08,0.6875,0.6875,0.6875,0.6875,4500,AJAXF-198808
1987-01-09,0.6875,0.6875,0.6875,0.6875,7880,AJAXF-198808
1987-01-12,0.6875,0.6875,0.6875,0.6875,13100,AJAXF-198808
1987-01-13,0.6875,0.6875,0.6875,0.6875,3000,AJAXF-198808
1987-01-14,0.6875,0.6875,0.6875,0.6875,2200,AJAXF-198808
1987-01-15,0.6875,0.6875,0.6875,0.6875,2300,AJAXF-198808
1987-01-16,0.6875,0.6875,0.6875,0.6875,2000,AJAXF-198808
1987-01-20,0.9375,0.9375,0.9375,0.9375,30500,AJAXF-198808
1987-01-21,0.9375,0.9375,0.9375,0.9375,19000,AJAXF-198808
1987-01-22,0.90625,0.90625,0.90625,0.90625,141500,AJAXF-198808
1987-01-23,0.90625,0.90625,0.90625,0.90625,200,AJAXF-198808
1987-01-26,0.78125,0.78125,0.78125,0.78125,5300,AJAXF-198808
1987-01-27,0.75,0.75,0.75,0.75,1000,AJAXF-198808
1987-01-28,0.71875,0.71875,0.71875,0.71875,8000,AJAXF-198808
