Date,Open,High,Low,Close,Volume,Ticker
1994-11-22,4.6875,4.6875,4.625,4.625,237600,ALF-200110
1994-11-23,4.625,4.6875,4.625,4.6875,21200,ALF-200110
1994-11-29,4.6875,4.6875,4.625,4.625,72200,ALF-200110
1994-11-30,4.6875,4.6875,4.6875,4.6875,600,ALF-200110
1994-12-01,4.625,4.625,4.625,4.625,2000,ALF-200110
1994-12-02,4.6875,4.6875,4.625,4.625,3000,ALF-200110
1994-12-05,4.5625,4.5625,4.5625,4.5625,10000,ALF-200110
1994-12-06,4.5625,4.5625,4.5625,4.5625,800,ALF-200110
1994-12-07,4.5,4.5,4.5,4.5,3200,ALF-200110
1994-12-08,4.5,4.5,4.5,4.5,2000,ALF-200110
1994-12-14,4.5,4.5,4.5,4.5,400,ALF-200110
1994-12-15,4.5,4.5,4.5,4.5,3800,ALF-200110
1994-12-16,4.5625,4.625,4.5625,4.5625,63200,ALF-200110
1994-12-19,4.625,4.6875,4.625,4.625,31400,ALF-200110
1994-12-20,4.6875,4.6875,4.5625,4.625,18800,ALF-200110
1994-12-21,4.6875,4.6875,4.5,4.5,11200,ALF-200110
1994-12-22,4.5,4.5625,4.4375,4.5625,10800,ALF-200110
1994-12-23,4.4375,4.4375,4.4375,4.4375,20000,ALF-200110
1994-12-27,4.375,4.375,4.375,4.375,2000,ALF-200110
1994-12-28,4.3125,4.3125,4.0,4.0,47600,ALF-200110
1994-12-29,4.0,4.25,4.0,4.25,55400,ALF-200110
1994-12-30,4.1875,4.25,4.0,4.25,43200,ALF-200110
1995-01-03,4.3125,4.4375,4.3125,4.375,20400,ALF-200110
1995-01-04,4.4375,4.4375,4.375,4.375,14600,ALF-200110
1995-01-06,4.3125,4.3125,4.25,4.25,3400,ALF-200110
1995-01-09,4.3125,4.625,4.3125,4.625,13400,ALF-200110
1995-01-10,4.5,4.5,4.4375,4.4375,6000,ALF-200110
1995-01-11,4.375,4.375,4.375,4.375,5200,ALF-200110
1995-01-13,4.3125,4.3125,4.3125,4.3125,4000,ALF-200110
1995-01-16,4.375,4.4375,4.3125,4.3125,35000,ALF-200110
1995-01-17,4.375,4.4375,4.3125,4.375,24000,ALF-200110
1995-01-18,4.5,4.5,4.3125,4.3125,4800,ALF-200110
1995-01-19,4.25,4.25,4.25,4.25,5200,ALF-200110
1995-01-20,4.3125,4.375,4.3125,4.375,7200,ALF-200110
1995-01-24,4.3125,4.3125,4.1875,4.1875,13600,ALF-200110
1995-01-25,4.25,4.25,4.25,4.25,5800,ALF-200110
1995-01-26,4.1875,4.1875,4.0625,4.0625,38000,ALF-200110
