Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,22.75,22.75,22.5,22.5,20400,AAL-199702
1985-01-03,22.875,23.25,22.5,23.0,125600,AAL-199702
1985-01-04,23.0,23.25,22.875,23.0,81800,AAL-199702
1985-01-07,23.0,23.5,23.0,23.5,165900,AAL-199702
1985-01-08,23.5,24.25,23.5,24.25,58700,AAL-199702
1985-01-09,24.0,24.125,24.0,24.125,112800,AAL-199702
1985-01-10,24.0,24.375,23.75,24.25,22700,AAL-199702
1985-01-11,24.125,24.625,24.125,24.625,87500,AAL-199702
1985-01-14,24.375,25.0,24.375,25.0,102200,AAL-199702
1985-01-15,25.25,25.75,24.875,25.375,128500,AAL-199702
1985-01-16,26.0,26.25,25.625,26.0,300200,AAL-199702
1985-01-17,26.0,26.125,25.875,26.0,20600,AAL-199702
1985-01-18,26.125,26.125,25.5,25.5,57200,AAL-199702
1985-01-21,25.5,25.875,25.5,25.875,33800,AAL-199702
1985-01-22,26.0,26.125,25.75,25.875,63700,AAL-199702
1985-01-23,26.125,26.125,25.5,25.5,653700,AAL-199702
1985-01-24,26.0,26.25,25.625,25.875,98000,AAL-199702
1985-01-25,25.5,26.0,25.5,26.0,209200,AAL-199702
1985-01-28,26.0,26.25,25.75,26.0,80200,AAL-199702
1985-01-29,25.75,26.125,25.5,25.625,11600,AAL-199702
1985-01-30,26.0,26.375,25.75,26.25,230400,AAL-199702
1985-01-31,26.625,27.25,26.0,27.125,173900,AAL-199702
1985-02-01,27.375,27.375,27.0,27.0,191800,AAL-199702
1985-02-04,26.75,26.875,26.5,26.75,54000,AAL-199702
1985-02-05,26.875,27.875,26.875,27.875,336900,AAL-199702
1985-02-06,28.5,29.0,28.0,28.75,207900,AAL-199702
1985-02-07,29.0,29.0,28.75,28.75,189000,AAL-199702
1985-02-08,28.75,28.75,28.5,28.5,104800,AAL-199702
1985-02-11,28.125,28.5,27.75,28.0,89600,AAL-199702
1985-02-12,27.75,28.0,27.625,27.75,167800,AAL-199702
1985-02-13,28.25,28.375,28.0,28.25,142800,AAL-199702
1985-02-14,28.5,28.5,28.125,28.125,56400,AAL-199702
1985-02-15,28.125,28.25,28.0,28.125,64700,AAL-199702
1985-02-19,28.375,28.625,28.125,28.375,64200,AAL-199702
1985-02-20,28.25,28.375,28.25,28.375,24700,AAL-199702
1985-02-21,28.125,28.375,28.125,28.375,91800,AAL-199702
1985-02-22,28.25,28.375,28.0,28.125,21700,AAL-199702
1985-02-25,28.0,28.0,27.25,27.25,109800,AAL-199702
1985-02-26,27.0,27.25,26.625,26.875,72200,AAL-199702
1985-02-27,26.75,27.0,26.5,26.875,114900,AAL-199702
1985-02-28,26.5,27.0,26.5,27.0,176800,AAL-199702
1985-03-01,27.75,28.375,27.0,28.25,250200,AAL-199702
1985-03-04,28.375,28.375,27.875,27.875,23000,AAL-199702
1985-03-05,27.875,30.25,27.875,30.25,1175600,AAL-199702
1985-03-06,30.5,31.0,30.0,30.25,618200,AAL-199702
1985-03-07,29.875,30.125,29.625,30.0,248100,AAL-199702
1985-03-08,30.0,31.0,30.0,31.0,222400,AAL-199702
1985-03-11,31.125,31.5,30.75,31.375,211300,AAL-199702
1985-03-12,30.875,31.25,30.5,30.75,66400,AAL-199702
1985-03-13,30.875,30.875,30.625,30.625,42700,AAL-199702
1985-03-14,30.125,30.5,29.75,30.0,167600,AAL-199702
1985-03-15,30.25,30.5,30.25,30.5,55600,AAL-199702
1985-03-18,30.375,30.375,30.0,30.0,64600,AAL-199702
1985-03-19,30.0,30.375,29.5,29.875,73100,AAL-199702
1985-03-20,29.875,30.125,29.625,30.0,97100,AAL-199702
1985-03-21,29.75,30.0,29.5,29.875,45600,AAL-199702
1985-03-22,29.75,29.875,29.5,29.75,61100,AAL-199702
1985-03-25,29.5,30.0,29.125,29.625,92700,AAL-199702
1985-03-26,29.5,30.625,29.5,30.625,228600,AAL-199702
1985-03-27,31.25,32.0,30.625,31.125,278400,AAL-199702
1985-03-28,31.375,31.75,31.0,31.25,294400,AAL-199702
1985-03-29,31.0,31.25,30.875,31.0,129300,AAL-199702
1985-04-01,30.75,30.75,30.5,30.5,44300,AAL-199702
1985-04-02,30.5,30.5,30.0,30.0,740100,AAL-199702
1985-04-03,29.5,30.0,29.0,29.375,95200,AAL-199702
1985-04-04,29.25,29.625,29.25,29.625,138400,AAL-199702
1985-04-08,29.25,29.5,29.0,29.375,90900,AAL-199702
1985-04-09,29.0,29.5,28.5,28.875,159500,AAL-199702
1985-04-10,29.5,30.0,29.0,29.625,207100,AAL-199702
1985-04-11,29.75,29.875,29.5,29.625,199800,AAL-199702
1985-04-12,29.5,29.625,29.5,29.625,15400,AAL-199702
1985-04-15,29.5,29.875,29.5,29.875,230100,AAL-199702
1985-04-16,30.0,30.5,30.0,30.5,241500,AAL-199702
1985-04-17,30.875,30.875,30.5,30.5,67200,AAL-199702
1985-04-18,30.5,30.625,30.25,30.5,32400,AAL-199702
1985-04-19,29.75,30.375,29.25,29.375,224400,AAL-199702
1985-04-22,29.25,29.5,29.125,29.25,78900,AAL-199702
1985-04-23,29.5,29.5,29.125,29.125,142500,AAL-199702
1985-04-24,29.125,29.875,29.125,29.875,62300,AAL-199702
1985-04-25,29.0,30.0,28.0,29.0,681200,AAL-199702
1985-04-26,29.25,29.25,27.75,27.75,830800,AAL-199702
1985-04-29,28.0,28.0,27.75,27.75,157100,AAL-199702
1985-04-30,27.25,27.375,27.0,27.25,190600,AAL-199702
1985-05-01,27.5,27.625,27.25,27.5,75100,AAL-199702
1985-05-02,27.25,27.5,27.125,27.375,154300,AAL-199702
1985-05-03,27.25,27.375,27.0,27.125,269700,AAL-199702
1985-05-06,27.25,27.375,27.125,27.25,48500,AAL-199702
1985-05-07,27.375,27.625,27.375,27.625,13200,AAL-199702
1985-05-08,27.625,27.625,27.125,27.125,188100,AAL-199702
1985-05-09,27.125,28.125,27.125,28.125,153300,AAL-199702
1985-05-10,29.0,29.75,28.25,29.625,210700,AAL-199702
1985-05-13,29.5,29.5,29.0,29.0,8800,AAL-199702
1985-05-14,29.25,29.25,29.0,29.0,30900,AAL-199702
1985-05-15,29.0,29.0,28.75,28.75,19800,AAL-199702
1985-05-16,28.75,29.0,28.75,29.0,15000,AAL-199702
1985-05-17,28.25,28.875,27.75,28.75,65000,AAL-199702
1985-05-20,28.875,29.375,28.875,29.375,97400,AAL-199702
1985-05-21,29.375,29.375,29.0,29.0,31200,AAL-199702
1985-05-22,28.75,29.0,28.375,28.625,33500,AAL-199702
1985-05-23,28.5,28.5,27.5,27.5,44400,AAL-199702
1985-05-24,27.25,27.5,27.0,27.25,192600,AAL-199702
1985-05-28,27.5,27.75,27.25,27.375,41300,AAL-199702
1985-05-29,27.0,27.375,27.0,27.375,96000,AAL-199702
1985-05-30,27.125,27.25,27.0,27.125,78500,AAL-199702
1985-05-31,26.75,27.0,26.5,26.875,106600,AAL-199702
1985-06-03,26.5,26.75,26.5,26.75,215900,AAL-199702
1985-06-04,27.25,27.75,26.875,27.5,84100,AAL-199702
1985-06-05,28.5,29.375,27.75,29.0,133100,AAL-199702
1985-06-06,29.375,30.5,29.375,30.5,270300,AAL-199702
1985-06-07,29.875,30.5,29.25,29.625,103000,AAL-199702
1985-06-10,29.625,29.75,29.5,29.625,76800,AAL-199702
1985-06-11,29.75,30.0,29.625,29.75,238800,AAL-199702
1985-06-12,29.75,29.875,29.5,29.625,176500,AAL-199702
1985-06-13,29.625,29.625,29.375,29.375,139500,AAL-199702
1985-06-14,29.375,29.5,29.375,29.5,12900,AAL-199702
1985-06-17,29.875,30.125,29.625,29.875,154600,AAL-199702
1985-06-18,29.625,30.25,29.625,30.25,198800,AAL-199702
1985-06-19,30.25,30.25,30.0,30.0,40000,AAL-199702
1985-06-20,30.0,30.125,29.75,30.0,34000,AAL-199702
1985-06-21,29.5,29.875,29.5,29.875,29300,AAL-199702
1985-06-24,29.625,30.0,29.625,30.0,73400,AAL-199702
1985-06-25,30.0,30.125,29.75,29.875,37500,AAL-199702
1985-06-26,29.75,29.875,29.5,29.625,345900,AAL-199702
1985-06-27,29.75,29.875,29.5,29.75,58300,AAL-199702
1985-06-28,29.75,29.875,29.625,29.75,19200,AAL-199702
