Date,Open,High,Low,Close,Volume,Ticker
2008-02-13,1.03,1.03,1.03,1.03,500,AASI-200907
2008-02-14,1.03,1.03,1.03,1.03,500,AASI-200907
2008-02-20,1.03,1.05,1.03,1.05,1300,AASI-200907
2008-02-21,1.03,1.05,1.03,1.05,900,AASI-200907
2008-02-27,1.07,1.07,1.05,1.05,1000,AASI-200907
2008-02-28,1.05,1.07,1.05,1.07,1500,AASI-200907
2008-02-29,1.05,1.07,1.05,1.07,1100,AASI-200907
2008-03-18,1.06,1.06,1.06,1.06,1000,AASI-200907
2008-03-24,1.05,1.05,1.05,1.05,500,AASI-200907
2008-03-25,1.05,1.05,1.05,1.05,500,AASI-200907
2008-03-26,1.05,1.05,1.05,1.05,500,AASI-200907
2008-03-27,1.05,1.05,1.05,1.05,500,AASI-200907
2008-03-31,1.05,1.05,1.05,1.05,500,AASI-200907
2008-04-03,1.01,1.01,0.26,0.26,2000,AASI-200907
2008-04-04,0.26,0.26,0.26,0.26,5000,AASI-200907
2008-04-07,0.52,0.52,0.3,0.3,11500,AASI-200907
2008-04-08,0.26,0.26,0.21,0.21,25000,AASI-200907
2008-04-18,0.12,0.12,0.12,0.12,500,AASI-200907
2008-07-03,0.19,0.2,0.19,0.2,36000,AASI-200907
2008-07-07,0.59,0.6,0.26,0.4,73400,AASI-200907
2008-07-08,0.4,0.4,0.4,0.4,18200,AASI-200907
2008-07-09,0.4,0.42,0.35,0.42,14500,AASI-200907
2008-07-10,0.42,0.44,0.42,0.44,12100,AASI-200907
2008-07-11,0.4,0.4,0.35,0.4,12800,AASI-200907
2008-07-14,0.35,0.36,0.35,0.35,11500,AASI-200907
2008-07-15,0.35,0.35,0.35,0.35,4000,AASI-200907
2008-07-16,0.35,0.35,0.27,0.33,16200,AASI-200907
2008-07-17,0.38,0.38,0.17,0.29,116200,AASI-200907
2008-07-18,0.2,0.25,0.2,0.25,10800,AASI-200907
2008-07-21,0.18,0.18,0.18,0.18,400,AASI-200907
2008-07-22,0.15,0.16,0.11,0.15,30000,AASI-200907
2008-07-23,0.11,0.14,0.09,0.14,19000,AASI-200907
2008-07-25,0.09,0.09,0.09,0.09,10000,AASI-200907
2008-07-28,0.1,0.1,0.09,0.09,16000,AASI-200907
2008-07-29,0.06,0.06,0.06,0.06,5000,AASI-200907
2008-07-30,0.05,0.09,0.04,0.09,78000,AASI-200907
2008-07-31,0.09,0.14,0.09,0.14,40300,AASI-200907
2008-08-01,0.14,0.15,0.1,0.15,145200,AASI-200907
2008-08-04,0.18,0.2,0.18,0.18,12000,AASI-200907
2008-08-05,0.15,0.18,0.15,0.15,12700,AASI-200907
2008-08-06,0.1,0.2,0.09,0.2,24600,AASI-200907
2008-08-07,0.2,0.25,0.2,0.25,10000,AASI-200907
2008-08-08,0.24,0.25,0.2,0.25,73000,AASI-200907
2008-08-11,0.29,0.29,0.25,0.27,18600,AASI-200907
2008-08-12,0.25,0.27,0.2,0.25,71100,AASI-200907
2008-08-13,0.2,0.27,0.2,0.25,76500,AASI-200907
2008-08-14,0.25,0.27,0.21,0.27,40000,AASI-200907
2008-08-15,0.23,0.25,0.16,0.25,60200,AASI-200907
2008-08-18,0.25,0.27,0.2,0.27,83000,AASI-200907
2008-08-19,0.25,0.26,0.25,0.26,16000,AASI-200907
2008-08-20,0.25,0.26,0.2,0.26,20000,AASI-200907
2008-08-21,0.27,0.27,0.25,0.27,32800,AASI-200907
2008-08-22,0.24,0.31,0.24,0.29,54400,AASI-200907
2008-08-25,0.29,0.29,0.21,0.25,61100,AASI-200907
2008-08-26,0.24,0.25,0.2,0.24,19800,AASI-200907
2008-08-27,0.21,0.24,0.2,0.24,15000,AASI-200907
2008-08-28,0.22,0.22,0.22,0.22,5000,AASI-200907
2008-08-29,0.2,0.22,0.2,0.22,8000,AASI-200907
