Date,Open,High,Low,Close,Volume,Ticker
1996-12-03,6.0,6.0,5.0,5.125,15600,AASIA-200104
1996-12-04,5.375,5.5,4.875,4.875,18250,AASIA-200104
1996-12-05,5.0,5.25,5.0,5.25,600,AASIA-200104
1996-12-06,5.125,5.25,4.875,5.0,5300,AASIA-200104
1996-12-09,5.0,5.0,5.0,5.0,2100,AASIA-200104
1996-12-10,4.75,4.75,4.625,4.75,12000,AASIA-200104
1996-12-11,4.625,4.625,4.0,4.125,12900,AASIA-200104
1996-12-12,4.125,4.375,3.75,3.75,6700,AASIA-200104
1996-12-13,3.625,3.75,3.625,3.75,4500,AASIA-200104
1996-12-16,3.875,3.875,3.5,3.5,4000,AASIA-200104
1996-12-17,3.5,4.0,3.5,3.875,7300,AASIA-200104
1996-12-18,4.0,4.625,4.0,4.5,33558,AASIA-200104
1996-12-19,4.375,4.375,4.125,4.125,2800,AASIA-200104
1996-12-20,4.125,4.125,4.125,4.125,330,AASIA-200104
1996-12-23,4.0,4.125,3.75,3.75,3598,AASIA-200104
1996-12-24,3.5,3.5,3.5,3.5,1000,AASIA-200104
1996-12-27,3.875,3.875,3.875,3.875,400,AASIA-200104
1997-01-03,3.5,3.5,3.5,3.5,9000,AASIA-200104
1997-01-07,3.75,4.0,3.75,4.0,12860,AASIA-200104
1997-01-09,4.0,4.125,4.0,4.125,6000,AASIA-200104
1997-01-10,4.0,4.0,4.0,4.0,2400,AASIA-200104
1997-01-13,4.0,4.0,4.0,4.0,2500,AASIA-200104
1997-01-16,4.0,4.375,4.0,4.375,19200,AASIA-200104
1997-01-20,4.375,4.375,4.375,4.375,850,AASIA-200104
1997-01-21,4.375,4.375,4.375,4.375,2000,AASIA-200104
1997-01-23,4.25,4.25,4.125,4.125,2500,AASIA-200104
1997-01-24,4.125,4.375,4.125,4.25,9450,AASIA-200104
1997-01-27,4.25,4.25,4.25,4.25,1800,AASIA-200104
1997-01-28,4.375,4.375,4.375,4.375,10000,AASIA-200104
1997-01-29,4.5,4.75,4.5,4.75,15500,AASIA-200104
1997-01-30,4.625,4.625,4.5,4.5,4000,AASIA-200104
1997-02-03,4.375,4.375,4.375,4.375,2500,AASIA-200104
1997-02-04,4.0,4.25,3.625,4.25,55050,AASIA-200104
1997-02-05,4.0,4.0,4.0,4.0,4975,AASIA-200104
1997-02-06,3.75,3.75,3.75,3.75,500,AASIA-200104
1997-02-07,3.875,3.875,3.875,3.875,2000,AASIA-200104
1997-02-10,4.0,4.0,3.75,3.75,8000,AASIA-200104
1997-02-11,3.875,3.875,3.75,3.75,3800,AASIA-200104
1997-02-13,4.0,4.0,3.75,3.75,2000,AASIA-200104
1997-02-14,3.75,3.75,3.75,3.75,1000,AASIA-200104
1997-02-18,3.75,3.75,3.75,3.75,422,AASIA-200104
1997-02-19,3.625,3.625,3.25,3.25,9500,AASIA-200104
1997-02-20,3.125,3.125,3.0,3.0,19700,AASIA-200104
1997-02-21,3.0,3.0,3.0,3.0,35300,AASIA-200104
1997-02-24,3.0,3.0,2.5,2.5,17000,AASIA-200104
