Date,Open,High,Low,Close,Volume,Ticker
1985-01-03,6.625,6.625,6.625,6.625,4000,AB-198810
1985-01-04,6.625,6.625,6.625,6.625,3100,AB-198810
1985-01-07,6.625,6.625,6.625,6.625,1050,AB-198810
1985-01-08,6.5,6.5,6.5,6.5,3300,AB-198810
1985-01-09,6.5,6.5,6.5,6.5,4300,AB-198810
1985-01-10,6.5,6.5,6.5,6.5,1700,AB-198810
1985-01-11,6.5,6.5,6.5,6.5,2500,AB-198810
1985-01-14,6.5,6.5,6.5,6.5,1200,AB-198810
1985-01-15,6.5,6.5,6.5,6.5,1725,AB-198810
1985-01-16,6.5,6.5,6.5,6.5,7200,AB-198810
1985-01-17,6.5,6.5,6.5,6.5,2800,AB-198810
1985-01-18,6.5,6.5,6.5,6.5,550,AB-198810
1985-01-21,6.5,6.5,6.5,6.5,3630,AB-198810
1985-01-22,6.5,6.5,6.5,6.5,4000,AB-198810
1985-01-23,6.5,6.5,6.5,6.5,4500,AB-198810
1985-01-24,6.5,6.5,6.5,6.5,300,AB-198810
1985-01-25,6.5,6.5,6.5,6.5,2000,AB-198810
1985-01-28,6.5,6.5,6.5,6.5,1500,AB-198810
1985-01-29,6.5,6.5,6.5,6.5,500,AB-198810
1985-01-30,6.5,6.5,6.5,6.5,500,AB-198810
1985-01-31,6.5,6.5,6.5,6.5,3400,AB-198810
1985-02-01,6.5,6.5,6.5,6.5,1000,AB-198810
1985-02-05,6.5,6.5,6.5,6.5,1000,AB-198810
1985-02-06,6.5,6.5,6.5,6.5,2500,AB-198810
1985-02-07,6.875,6.875,6.875,6.875,7500,AB-198810
1985-02-08,8.375,8.375,8.375,8.375,8200,AB-198810
1985-02-11,8.875,8.875,8.875,8.875,34290,AB-198810
1985-02-12,8.875,8.875,8.875,8.875,19380,AB-198810
1985-02-13,9.125,9.125,9.125,9.125,9200,AB-198810
1985-02-14,9.0,9.0,9.0,9.0,11650,AB-198810
1985-02-15,8.75,8.75,8.75,8.75,8350,AB-198810
1985-02-19,8.75,8.75,8.75,8.75,4600,AB-198810
1985-02-20,8.75,8.75,8.75,8.75,8210,AB-198810
1985-02-21,8.75,8.75,8.75,8.75,1650,AB-198810
1985-02-22,8.875,8.875,8.875,8.875,5660,AB-198810
1985-02-25,9.0,9.0,9.0,9.0,3700,AB-198810
1985-02-26,9.0,9.0,9.0,9.0,1000,AB-198810
1985-02-27,8.75,8.75,8.75,8.75,4100,AB-198810
1985-02-28,8.75,8.75,8.75,8.75,3300,AB-198810
1985-03-01,8.75,8.75,8.75,8.75,900,AB-198810
1985-03-04,8.625,8.625,8.625,8.625,4600,AB-198810
1985-03-05,8.375,8.375,8.375,8.375,7550,AB-198810
1985-03-06,8.25,8.25,8.25,8.25,2200,AB-198810
1985-03-07,7.75,7.75,7.75,7.75,3400,AB-198810
1985-03-08,7.75,7.75,7.75,7.75,1700,AB-198810
1985-03-11,7.375,7.375,7.375,7.375,4900,AB-198810
1985-03-12,7.25,7.25,7.25,7.25,1586,AB-198810
1985-03-13,7.25,7.25,7.25,7.25,285,AB-198810
1985-03-14,7.25,7.25,7.25,7.25,3550,AB-198810
1985-03-15,7.5,7.5,7.5,7.5,19300,AB-198810
1985-03-18,7.5,7.5,7.5,7.5,3500,AB-198810
1985-03-19,7.5,7.5,7.5,7.5,2500,AB-198810
1985-03-20,7.5,7.5,7.5,7.5,5400,AB-198810
1985-03-21,7.5,7.5,7.5,7.5,900,AB-198810
1985-03-22,7.5,7.5,7.5,7.5,2350,AB-198810
1985-03-25,7.75,7.75,7.75,7.75,8100,AB-198810
1985-03-26,7.75,7.75,7.75,7.75,7010,AB-198810
1985-03-27,7.75,7.75,7.75,7.75,200,AB-198810
1985-03-28,7.875,7.875,7.875,7.875,10000,AB-198810
1985-03-29,7.875,7.875,7.875,7.875,4200,AB-198810
1985-04-01,8.0,8.0,8.0,8.0,3500,AB-198810
1985-04-02,8.0,8.0,8.0,8.0,400,AB-198810
1985-04-03,8.0,8.0,8.0,8.0,2250,AB-198810
1985-04-04,8.0,8.0,8.0,8.0,2300,AB-198810
1985-04-08,8.0,8.0,8.0,8.0,2500,AB-198810
1985-04-09,8.0,8.0,8.0,8.0,25050,AB-198810
1985-04-10,8.25,8.25,8.25,8.25,25900,AB-198810
1985-04-11,8.5,8.5,8.5,8.5,5140,AB-198810
1985-04-12,8.75,8.75,8.75,8.75,6200,AB-198810
1985-04-15,8.75,8.75,8.75,8.75,6500,AB-198810
1985-04-16,8.75,8.75,8.75,8.75,8000,AB-198810
1985-04-17,9.25,9.25,9.25,9.25,22650,AB-198810
1985-04-18,9.25,9.25,9.25,9.25,5650,AB-198810
1985-04-19,9.0,9.0,9.0,9.0,4250,AB-198810
1985-04-22,9.0,9.0,9.0,9.0,4300,AB-198810
1985-04-23,9.0,9.0,9.0,9.0,4550,AB-198810
1985-04-24,9.0,9.0,9.0,9.0,3600,AB-198810
1985-04-25,9.0,9.0,9.0,9.0,18000,AB-198810
1985-04-26,9.0,9.0,9.0,9.0,2600,AB-198810
1985-04-29,9.0,9.0,9.0,9.0,12500,AB-198810
1985-04-30,9.0,9.0,9.0,9.0,10000,AB-198810
1985-05-01,9.0,9.0,9.0,9.0,100,AB-198810
1985-05-02,9.0,9.0,9.0,9.0,700,AB-198810
1985-05-03,9.0,9.0,9.0,9.0,1600,AB-198810
1985-05-07,9.0,9.0,9.0,9.0,18000,AB-198810
1985-05-08,9.25,9.25,9.25,9.25,6900,AB-198810
1985-05-09,9.25,9.25,9.25,9.25,3950,AB-198810
1985-05-10,9.125,9.125,9.125,9.125,9800,AB-198810
1985-05-13,9.0,9.0,9.0,9.0,2600,AB-198810
1985-05-14,9.0,9.0,9.0,9.0,2150,AB-198810
1985-05-15,9.0,9.0,9.0,9.0,1400,AB-198810
1985-05-16,9.0,9.0,9.0,9.0,2650,AB-198810
1985-05-17,9.0,9.0,9.0,9.0,2500,AB-198810
1985-05-20,8.875,8.875,8.875,8.875,1300,AB-198810
1985-05-21,8.875,8.875,8.875,8.875,1100,AB-198810
1985-05-22,8.875,8.875,8.875,8.875,6600,AB-198810
1985-05-23,8.875,8.875,8.875,8.875,800,AB-198810
1985-05-24,8.875,8.875,8.875,8.875,2100,AB-198810
1985-05-28,8.75,8.75,8.75,8.75,3000,AB-198810
1985-05-29,8.625,8.625,8.625,8.625,1922,AB-198810
1985-05-30,8.375,8.375,8.375,8.375,6300,AB-198810
1985-05-31,8.25,8.25,8.25,8.25,9250,AB-198810
1985-06-03,7.5,7.5,7.5,7.5,5360,AB-198810
1985-06-04,7.25,7.25,7.0,7.0,3240,AB-198810
1985-06-05,7.0,7.25,7.0,7.25,5270,AB-198810
1985-06-06,8.0,8.0,7.5,7.5,5650,AB-198810
1985-06-07,8.25,8.25,7.75,7.75,1200,AB-198810
1985-06-11,7.75,7.75,7.75,7.75,1500,AB-198810
1985-06-12,7.5,7.5,7.5,7.5,1500,AB-198810
1985-06-13,7.5,7.5,7.5,7.5,2000,AB-198810
1985-06-14,7.25,7.25,7.25,7.25,5550,AB-198810
1985-06-17,7.25,7.75,7.25,7.75,1800,AB-198810
1985-06-18,7.5,7.5,7.5,7.5,2700,AB-198810
1985-06-19,7.75,8.0,7.5,7.75,2700,AB-198810
1985-06-20,8.25,8.25,7.75,7.75,8000,AB-198810
1985-06-21,7.75,7.75,7.75,7.75,600,AB-198810
1985-06-24,8.25,8.25,8.25,8.25,2200,AB-198810
