Date,Open,High,Low,Close,Volume,Ticker
1992-10-16,8.375,9.5,8.0,9.25,422840,ABTI-199901
1992-10-19,9.125,9.5,9.125,9.375,174998,ABTI-199901
1992-10-20,9.375,11.5,9.125,10.5,128837,ABTI-199901
1992-10-21,11.0,11.0,10.25,10.25,70815,ABTI-199901
1992-10-22,10.25,10.5,9.25,9.75,49150,ABTI-199901
1992-10-23,9.5,10.5,9.5,10.25,25425,ABTI-199901
1992-10-26,10.75,10.75,10.0,10.5,46598,ABTI-199901
1992-10-27,10.75,10.75,10.0,10.75,16850,ABTI-199901
1992-10-28,11.0,12.25,10.75,12.25,48060,ABTI-199901
1992-10-29,12.25,12.25,11.75,11.75,16350,ABTI-199901
1992-10-30,12.25,12.25,11.5,12.0,15100,ABTI-199901
1992-11-02,12.0,12.0,11.5,11.75,18430,ABTI-199901
1992-11-03,11.5,11.75,11.5,11.75,28850,ABTI-199901
1992-11-04,12.0,12.0,11.5,11.5,20700,ABTI-199901
1992-11-05,11.75,11.75,11.25,11.75,2800,ABTI-199901
1992-11-06,11.75,12.0,11.25,11.625,41600,ABTI-199901
1992-11-09,12.0,13.5,12.0,13.0,34600,ABTI-199901
1992-11-10,13.0,16.25,13.0,15.0,96987,ABTI-199901
1992-11-11,16.0,16.0,15.0,15.75,138108,ABTI-199901
1992-11-12,16.25,16.25,15.25,15.875,74755,ABTI-199901
1992-11-13,16.25,16.25,15.25,16.25,3075,ABTI-199901
1992-11-16,16.25,16.25,15.25,15.25,25195,ABTI-199901
1992-11-17,16.25,16.25,15.25,16.25,14618,ABTI-199901
1992-11-18,15.25,16.25,15.25,15.25,10730,ABTI-199901
1992-11-19,15.25,16.25,15.25,16.25,5850,ABTI-199901
1992-11-20,16.25,16.25,15.25,15.25,11925,ABTI-199901
1992-11-23,16.25,16.25,14.5,15.5,56500,ABTI-199901
1992-11-24,15.5,15.5,14.5,14.5,23960,ABTI-199901
1992-11-25,14.625,15.5,14.5,15.5,102800,ABTI-199901
