Date,Open,High,Low,Close,Volume,Ticker
1996-11-19,6.875,7.75,6.5,7.5,296000,ACCB-199712
1996-11-20,7.5,7.5,6.875,7.125,215470,ACCB-199712
1996-11-21,7.125,7.125,6.625,7.0,214275,ACCB-199712
1996-11-22,7.125,8.625,6.75,8.625,417899,ACCB-199712
1996-11-25,8.625,8.875,7.75,8.125,754437,ACCB-199712
1996-11-26,8.0,8.25,7.625,8.125,251149,ACCB-199712
1996-11-27,7.875,8.125,7.875,8.0,81341,ACCB-199712
1996-11-29,7.875,7.875,7.875,7.875,2800,ACCB-199712
1996-12-02,8.125,8.125,7.625,7.875,56398,ACCB-199712
1996-12-03,7.875,7.875,6.875,7.25,178960,ACCB-199712
1996-12-04,7.125,7.375,6.875,6.875,97550,ACCB-199712
1996-12-05,6.875,7.0,6.5,6.625,121944,ACCB-199712
1996-12-06,6.25,6.875,6.0,6.875,129608,ACCB-199712
1996-12-09,6.875,6.875,6.375,6.5,59700,ACCB-199712
1996-12-10,6.5,6.75,6.5,6.625,20665,ACCB-199712
1996-12-11,6.5,6.75,6.5,6.625,22725,ACCB-199712
1996-12-12,6.75,7.125,6.75,7.0,68794,ACCB-199712
1996-12-13,7.125,7.125,6.625,7.0,27900,ACCB-199712
1996-12-16,7.125,7.125,6.625,6.75,35990,ACCB-199712
1996-12-17,6.125,6.625,6.0,6.5,51600,ACCB-199712
1996-12-18,6.625,6.75,6.375,6.75,64200,ACCB-199712
1996-12-19,6.625,6.875,6.5,6.875,176766,ACCB-199712
1996-12-20,6.875,7.625,6.625,7.375,164037,ACCB-199712
1996-12-23,7.375,7.875,7.375,7.75,112300,ACCB-199712
1996-12-24,7.375,7.75,7.375,7.75,6000,ACCB-199712
1996-12-26,7.375,7.875,7.375,7.625,102080,ACCB-199712
1996-12-27,7.375,7.5,7.25,7.375,39098,ACCB-199712
1996-12-30,7.375,7.75,7.25,7.625,76375,ACCB-199712
1996-12-31,7.5,7.875,7.5,7.625,43297,ACCB-199712
1997-01-02,8.0,8.0,7.375,7.5,85213,ACCB-199712
1997-01-03,7.625,7.75,7.625,7.75,18100,ACCB-199712
1997-01-06,7.75,7.875,7.25,7.25,35218,ACCB-199712
1997-01-07,7.25,7.625,7.25,7.5,17900,ACCB-199712
