Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,37.32954,37.32954,37.32954,37.32954,100,ACI-198611
1985-01-08,37.20511,37.20511,37.08068,37.08068,1306,ACI-198611
1985-01-09,37.32954,37.32954,37.32954,37.32954,301,ACI-198611
1985-01-10,37.57841,37.57841,37.57841,37.57841,301,ACI-198611
1985-01-11,37.70284,37.70284,37.70284,37.70284,201,ACI-198611
1985-01-14,37.95171,38.44943,37.95171,38.44943,804,ACI-198611
1985-01-24,38.325,38.325,37.82727,37.82727,1005,ACI-198611
1985-01-28,37.82727,37.82727,37.82727,37.82727,100,ACI-198611
1985-01-29,37.82727,37.82727,37.82727,37.82727,603,ACI-198611
1985-01-31,38.07614,38.07614,38.07614,38.07614,100,ACI-198611
1985-02-01,38.325,40.56477,38.325,40.56477,1507,ACI-198611
1985-02-04,40.81364,40.81364,40.315909999999995,40.315909999999995,502,ACI-198611
1985-02-11,40.689209999999996,40.689209999999996,40.689209999999996,40.689209999999996,201,ACI-198611
1985-02-19,41.0625,41.0625,41.0625,41.0625,201,ACI-198611
1985-02-22,41.31136,42.30682,41.31136,42.30682,603,ACI-198611
1985-02-25,42.80455,43.8,42.80455,43.8,502,ACI-198611
1985-02-26,43.92443,43.92443,43.92443,43.92443,100,ACI-198611
1985-02-27,44.29773,44.29773,44.29773,44.29773,502,ACI-198611
1985-02-28,44.67102,44.67102,44.67102,44.67102,402,ACI-198611
1985-03-01,44.54659,44.54659,44.54659,44.54659,402,ACI-198611
1985-03-06,44.54659,44.54659,44.54659,44.54659,402,ACI-198611
1985-03-11,44.29773,44.29773,44.29773,44.29773,201,ACI-198611
1985-03-14,44.04886,44.04886,43.551140000000004,43.551140000000004,301,ACI-198611
1985-03-15,43.30227,43.30227,43.05341,43.05341,201,ACI-198611
1985-03-18,42.80455,42.80455,42.80455,42.80455,1406,ACI-198611
1985-03-20,42.80455,42.80455,42.80455,42.80455,1808,ACI-198611
1985-03-26,42.555679999999995,42.555679999999995,42.555679999999995,42.555679999999995,100,ACI-198611
1985-03-27,42.30682,42.30682,42.30682,42.30682,100,ACI-198611
1985-03-29,42.05795,42.05795,40.81364,40.81364,804,ACI-198611
1985-04-01,40.81364,41.0625,40.81364,41.0625,201,ACI-198611
1985-04-04,41.0625,41.0625,40.81364,40.81364,301,ACI-198611
1985-04-11,40.81364,40.81364,40.81364,40.81364,2009,ACI-198611
1985-04-15,41.809090000000005,42.80455,41.809090000000005,42.80455,2311,ACI-198611
1985-04-22,42.80455,43.05341,42.80455,43.05341,301,ACI-198611
1985-04-24,42.928979999999996,42.928979999999996,42.928979999999996,42.928979999999996,301,ACI-198611
1985-04-25,43.30227,43.30227,43.30227,43.30227,100,ACI-198611
1985-04-26,43.05341,43.05341,42.928979999999996,42.928979999999996,402,ACI-198611
1985-04-30,42.928979999999996,42.928979999999996,42.928979999999996,42.928979999999996,100,ACI-198611
1985-05-02,43.05341,43.05341,42.928979999999996,42.928979999999996,1306,ACI-198611
1985-05-07,43.05341,43.551140000000004,43.05341,43.551140000000004,301,ACI-198611
1985-05-16,43.8,43.8,43.8,43.8,402,ACI-198611
1985-05-20,43.30227,43.30227,43.30227,43.30227,201,ACI-198611
1985-05-21,43.8,43.8,43.8,43.8,502,ACI-198611
1985-06-04,43.8,43.8,43.8,43.8,301,ACI-198611
1985-06-10,43.8,44.04886,43.8,44.04886,4922,ACI-198611
1985-06-12,44.04886,44.04886,44.04886,44.04886,3014,ACI-198611
1985-06-13,43.8,43.8,43.8,43.8,402,ACI-198611
1985-06-17,43.8,43.8,43.8,43.8,100,ACI-198611
1985-06-18,43.8,43.8,43.8,43.8,502,ACI-198611
1985-06-20,43.8,43.8,43.8,43.8,201,ACI-198611
1985-06-24,43.8,43.8,43.8,43.8,100,ACI-198611
1985-07-09,43.8,43.8,43.8,43.8,1306,ACI-198611
1985-07-19,44.42216,44.79546,44.04886,44.42216,1205,ACI-198611
1985-07-22,44.17329,44.42216,44.17329,44.42216,301,ACI-198611
1985-07-23,44.29773,44.29773,44.29773,44.29773,201,ACI-198611
1985-07-29,44.67102,44.67102,44.67102,44.67102,402,ACI-198611
1985-07-30,44.91989,44.91989,44.79546,44.79546,201,ACI-198611
1985-08-12,45.04432,45.29318,45.04432,45.29318,201,ACI-198611
1985-08-15,45.54205,45.54205,45.54205,45.54205,100,ACI-198611
1985-08-20,45.54205,46.28864,45.54205,46.28864,1005,ACI-198611
1985-08-21,46.78637,47.03523,46.78637,47.03523,301,ACI-198611
1985-08-22,47.28409,47.78182,47.28409,47.78182,301,ACI-198611
1985-08-23,47.532959999999996,48.03068,47.532959999999996,48.03068,502,ACI-198611
1985-08-26,48.279540000000004,48.279540000000004,48.279540000000004,48.279540000000004,100,ACI-198611
1985-09-05,48.279540000000004,49.02613,48.279540000000004,49.02613,502,ACI-198611
1985-09-09,48.77727,48.77727,48.77727,48.77727,100,ACI-198611
1985-09-10,49.15057,49.15057,48.77727,48.77727,201,ACI-198611
1985-09-17,48.77727,48.77727,48.77727,48.77727,100,ACI-198611
1985-09-19,48.9017,49.15057,48.9017,49.15057,201,ACI-198611
1985-09-20,48.77727,48.77727,48.52841,48.52841,201,ACI-198611
1985-09-24,48.279540000000004,48.279540000000004,48.279540000000004,48.279540000000004,100,ACI-198611
1985-09-25,48.03068,48.279540000000004,48.03068,48.279540000000004,201,ACI-198611
1985-09-30,48.652840000000005,48.652840000000005,48.652840000000005,48.652840000000005,100,ACI-198611
1985-10-04,49.02613,49.02613,49.02613,49.02613,100,ACI-198611
1985-10-15,48.52841,49.02613,48.52841,49.02613,703,ACI-198611
1985-10-17,49.399429999999995,49.6483,49.399429999999995,49.6483,301,ACI-198611
1985-10-29,49.399429999999995,49.399429999999995,48.9017,48.9017,301,ACI-198611
1985-10-31,49.15057,49.772729999999996,49.15057,49.772729999999996,301,ACI-198611
1985-11-04,49.275,50.51932,49.275,50.51932,703,ACI-198611
1985-11-06,51.01704,51.01704,51.01704,51.01704,100,ACI-198611
