Date,Open,High,Low,Close,Volume,Ticker
2004-05-13,19.8,20.7,19.7,19.8,3000,ACRFY-200508
2004-05-14,20.1,20.1,19.0,20.1,5700,ACRFY-200508
2004-05-17,19.2,19.75,19.0,19.2,4300,ACRFY-200508
2004-05-18,19.45,19.6,19.05,19.45,2000,ACRFY-200508
2004-05-19,19.6,20.1,19.5,19.6,10000,ACRFY-200508
2004-05-20,19.75,19.75,19.3,19.75,1800,ACRFY-200508
2004-05-21,19.74,20.0,19.55,19.74,13100,ACRFY-200508
2004-05-24,20.25,20.25,19.7,20.25,3500,ACRFY-200508
2004-05-25,20.2,20.25,19.7,20.2,4000,ACRFY-200508
2004-05-26,20.25,20.8,20.25,20.25,400,ACRFY-200508
2004-05-27,20.7,21.05,20.65,20.7,4600,ACRFY-200508
2004-05-28,20.85,21.0,20.5,20.85,2300,ACRFY-200508
2004-06-01,21.0,21.0,20.5,21.0,56400,ACRFY-200508
2004-06-02,20.45,20.85,20.4,20.45,1900,ACRFY-200508
2004-06-03,20.82,21.15,20.6,20.82,11900,ACRFY-200508
2004-06-04,20.85,21.15,20.65,20.85,8700,ACRFY-200508
2004-06-07,21.15,21.45,20.0,21.15,1300,ACRFY-200508
2004-06-08,21.45,21.45,20.9,21.45,400,ACRFY-200508
2004-06-09,20.75,21.1,20.7,20.75,1500,ACRFY-200508
2004-06-10,20.92,21.2,20.65,20.92,2400,ACRFY-200508
2004-06-14,20.09,20.25,19.75,20.09,2800,ACRFY-200508
2004-06-15,20.2,20.3,20.18,20.2,2100,ACRFY-200508
2004-06-16,20.0,20.15,19.55,20.0,2200,ACRFY-200508
2004-06-17,20.26,20.6,20.1,20.26,1700,ACRFY-200508
2004-06-18,20.55,20.65,20.55,20.55,1200,ACRFY-200508
2004-06-21,20.25,20.48,20.25,20.25,400,ACRFY-200508
2004-06-22,20.6,20.7,20.1,20.6,7400,ACRFY-200508
2004-06-23,20.65,20.7,20.35,20.65,2200,ACRFY-200508
2004-06-24,20.53,20.9,20.4,20.53,64400,ACRFY-200508
2004-06-25,20.64,20.8,20.42,20.64,3900,ACRFY-200508
2004-06-28,21.4,21.4,20.9,21.4,1900,ACRFY-200508
2004-06-29,20.8,21.4,20.8,20.8,4600,ACRFY-200508
2004-06-30,21.3,21.5,21.0,21.3,4200,ACRFY-200508
2004-07-01,20.91,21.15,20.75,20.91,3400,ACRFY-200508
