Date,Open,High,Low,Close,Volume,Ticker
2000-11-09,16.0,16.0,14.0,15.5625,364743,ACTR-200301
2000-11-10,15.4531,15.875,15.4531,15.5625,240282,ACTR-200301
2000-11-13,15.6094,17.625,14.125,16.25,303436,ACTR-200301
2000-11-14,16.625,17.375,15.25,15.5625,121939,ACTR-200301
2000-11-15,15.6875,16.5,15.25,15.375,92256,ACTR-200301
2000-11-16,15.4844,15.875,14.75,15.4375,143204,ACTR-200301
2000-11-17,15.75,15.75,14.0625,14.4375,228456,ACTR-200301
2000-11-20,14.25,14.25,12.75,12.75,107581,ACTR-200301
2000-11-21,13.4375,13.4375,11.0625,11.625,239245,ACTR-200301
2000-11-22,11.25,11.5,9.625,9.8125,322226,ACTR-200301
2000-11-24,10.3906,10.5625,9.8125,10.0,37574,ACTR-200301
2000-11-27,11.125,11.5,8.6875,9.1875,309302,ACTR-200301
2000-11-28,9.375,10.1562,8.875,8.9375,382424,ACTR-200301
2000-11-29,9.25,9.25,7.28125,7.8125,352169,ACTR-200301
2000-11-30,6.6875,8.5,5.875,8.4375,825883,ACTR-200301
2000-12-01,9.21875,9.21875,8.5,8.875,236396,ACTR-200301
2000-12-04,9.28125,9.4375,7.875,8.4375,308402,ACTR-200301
2000-12-05,8.59375,11.25,8.0625,10.5,1126220,ACTR-200301
2000-12-06,10.875,12.875,9.75,11.125,340616,ACTR-200301
2000-12-07,11.25,11.25,10.5,10.8125,115658,ACTR-200301
2000-12-08,11.1875,12.75,11.125,12.4375,239471,ACTR-200301
2000-12-11,12.4062,14.375,12.375,13.5,656779,ACTR-200301
2000-12-12,13.4375,13.4375,12.75,12.75,274780,ACTR-200301
2000-12-13,13.8125,13.8594,11.6875,11.9375,145886,ACTR-200301
2000-12-14,11.7812,12.0625,11.375,11.4375,161146,ACTR-200301
2000-12-15,11.4375,11.625,10.5,10.6875,239284,ACTR-200301
2000-12-18,11.625,11.875,10.625,10.75,336793,ACTR-200301
2000-12-19,10.625,11.0,10.125,10.5,160128,ACTR-200301
2000-12-20,10.0,10.375,8.875,9.1875,522912,ACTR-200301
2000-12-21,9.25,9.75,8.0,9.25,195707,ACTR-200301
2000-12-22,9.125,12.0,8.9375,11.4375,314078,ACTR-200301
2000-12-26,11.3125,12.0,11.125,11.625,128014,ACTR-200301
2000-12-27,11.5,12.75,11.5,12.375,225111,ACTR-200301
2000-12-28,12.3281,14.25,11.25,14.125,235330,ACTR-200301
2000-12-29,14.125,14.2969,13.0,13.5,294202,ACTR-200301
2001-01-02,13.5781,13.625,10.0,11.375,98636,ACTR-200301
2001-01-03,11.375,13.25,11.25,12.875,113150,ACTR-200301
2001-01-04,13.1875,14.125,12.5625,13.375,131574,ACTR-200301
2001-01-05,13.3594,13.375,12.0,12.125,47959,ACTR-200301
2001-01-08,11.875,12.0625,10.0625,10.5625,95609,ACTR-200301
2001-01-09,10.5469,12.6875,10.375,12.3125,74939,ACTR-200301
2001-01-10,12.125,12.25,11.875,12.125,84655,ACTR-200301
2001-01-11,12.375,14.875,12.375,14.375,461427,ACTR-200301
2001-01-12,14.1406,14.6875,13.25,14.0625,154420,ACTR-200301
2001-01-16,14.0,14.0,12.875,13.0,48444,ACTR-200301
2001-01-17,13.5,15.75,13.5,14.375,421607,ACTR-200301
2001-01-18,14.4375,16.25,14.25,16.125,1316900,ACTR-200301
2001-01-19,16.4375,17.6875,15.0,17.625,1112330,ACTR-200301
2001-01-22,17.0,18.0,16.8125,17.7344,232318,ACTR-200301
2001-01-23,17.8125,18.375,16.5,17.875,613222,ACTR-200301
2001-01-24,17.5,18.5625,17.5,18.375,1000990,ACTR-200301
2001-01-25,18.125,18.375,17.125,18.1875,1281080,ACTR-200301
2001-01-26,17.5,17.875,17.25,17.625,190786,ACTR-200301
2001-01-29,16.9375,18.875,16.625,18.375,407009,ACTR-200301
2001-01-30,18.4062,21.75,18.375,21.375,1116430,ACTR-200301
2001-01-31,21.2344,21.25,19.875,21.0,328286,ACTR-200301
2001-02-01,20.5625,21.6875,20.5625,21.25,671996,ACTR-200301
2001-02-02,21.25,21.625,21.125,21.4375,457602,ACTR-200301
2001-02-05,20.8125,21.5625,20.8125,21.0,464771,ACTR-200301
2001-02-06,20.3906,21.0625,20.25,20.75,148877,ACTR-200301
2001-02-07,20.0,20.125,18.0,18.875,390186,ACTR-200301
2001-02-08,18.8125,19.5,18.625,18.875,132929,ACTR-200301
2001-02-09,18.75,18.7656,16.25,16.875,512566,ACTR-200301
2001-02-12,16.9375,17.625,14.25,17.125,1014040,ACTR-200301
2001-02-13,17.0625,18.125,15.75,16.375,313305,ACTR-200301
2001-02-14,16.6875,16.6875,12.0625,13.25,1189940,ACTR-200301
2001-02-15,13.8125,13.875,13.0,13.625,277203,ACTR-200301
2001-02-16,12.625,12.875,11.0625,11.5,653223,ACTR-200301
2001-02-20,11.875,11.875,9.625,10.0,255805,ACTR-200301
2001-02-21,9.8125,9.875,8.21875,8.375,330649,ACTR-200301
2001-02-22,8.875,9.0,7.0,7.6875,1351870,ACTR-200301
2001-02-23,7.8125,8.25,7.6875,7.96875,589514,ACTR-200301
2001-02-26,8.21875,8.4375,7.75,8.4375,415645,ACTR-200301
2001-02-27,8.5625,9.875,8.5,9.3125,251469,ACTR-200301
2001-02-28,9.5625,9.6875,7.9375,8.875,234045,ACTR-200301
2001-03-01,8.5625,8.5625,7.6875,7.875,343158,ACTR-200301
2001-03-02,7.75,8.5,7.6875,8.4375,439066,ACTR-200301
2001-03-05,8.6875,8.875,8.25,8.625,107450,ACTR-200301
2001-03-06,8.9375,9.5625,8.625,8.6875,190805,ACTR-200301
2001-03-07,9.0,9.0,8.40625,8.6875,80680,ACTR-200301
2001-03-08,8.8125,9.5,8.5625,8.9375,51017,ACTR-200301
2001-03-09,8.64062,9.125,8.625,9.0,167884,ACTR-200301
2001-03-12,9.0625,9.0625,8.6875,8.6875,106250,ACTR-200301
2001-03-13,8.8125,9.0,8.375,8.4375,119881,ACTR-200301
2001-03-14,8.07812,8.5625,8.0625,8.375,50858,ACTR-200301
2001-03-15,8.5,8.5625,8.3125,8.3125,46673,ACTR-200301
2001-03-16,8.5,8.5,8.3125,8.375,57275,ACTR-200301
2001-03-19,8.5,8.9375,8.5,8.875,318425,ACTR-200301
2001-03-20,9.0,9.0,8.3125,8.34375,162039,ACTR-200301
2001-03-21,8.375,8.375,7.5,7.53125,151304,ACTR-200301
2001-03-22,7.5,7.75,7.25,7.625,130550,ACTR-200301
2001-03-23,7.75,7.75,7.4375,7.625,205866,ACTR-200301
2001-03-26,7.625,8.0,7.53125,7.8125,207148,ACTR-200301
2001-03-27,7.75,8.0,7.75,7.9375,68499,ACTR-200301
2001-03-28,7.8125,7.8125,7.375,7.4375,25384,ACTR-200301
2001-03-29,7.375,7.4375,5.125,6.0,398978,ACTR-200301
2001-03-30,6.0625,6.375,5.6875,6.0,373310,ACTR-200301
2001-04-02,6.25,6.5,5.625,5.6875,339395,ACTR-200301
2001-04-03,5.6875,5.6875,3.75,4.03125,675143,ACTR-200301
2001-04-04,4.4375,4.625,3.25,3.5,1231520,ACTR-200301
2001-04-05,4.21875,4.25,3.53125,3.96875,1391280,ACTR-200301
2001-04-06,4.15625,4.5625,3.84375,4.0625,796749,ACTR-200301
2001-04-09,4.24,5.47,4.22,5.33,326233,ACTR-200301
2001-04-10,5.51,6.89,5.5,6.33,354502,ACTR-200301
2001-04-11,6.79,6.79,5.48,5.48,203404,ACTR-200301
2001-04-12,5.48,6.15,5.47,6.0,135077,ACTR-200301
2001-04-16,6.0,6.49,5.75,6.47,145382,ACTR-200301
2001-04-17,5.92,6.25,5.9,6.06,435553,ACTR-200301
2001-04-18,6.45,8.7,6.45,8.65,792033,ACTR-200301
