Date,Open,High,Low,Close,Volume,Ticker
1999-05-07,23.0,35.1875,23.0,29.9375,7884590,ADFC-200001
1999-05-10,29.6875,32.0,28.875,29.875,913777,ADFC-200001
1999-05-11,30.5,37.0,29.75,35.0,845503,ADFC-200001
1999-05-12,35.25,47.625,35.0,44.75,1525730,ADFC-200001
1999-05-13,47.375,62.75,46.125,50.4375,2258140,ADFC-200001
1999-05-14,46.75,50.5,40.0,47.75,792197,ADFC-200001
1999-05-17,43.875,46.625,39.625,40.6875,686737,ADFC-200001
1999-05-18,40.75,41.0,36.875,38.25,313018,ADFC-200001
1999-05-19,37.25,39.25,34.25,35.0625,586115,ADFC-200001
1999-05-20,36.5,39.125,36.5,37.5,745463,ADFC-200001
1999-05-21,37.6875,38.0,34.5,35.125,476361,ADFC-200001
1999-05-24,35.0,35.125,31.0,31.8125,594877,ADFC-200001
1999-05-25,31.875,32.5625,28.0,29.0,474398,ADFC-200001
1999-05-26,31.25,31.25,23.0,28.25,851035,ADFC-200001
1999-05-27,28.0,28.75,26.0,27.875,368916,ADFC-200001
1999-05-28,27.125,32.125,27.125,29.0,510063,ADFC-200001
1999-06-01,30.25,30.875,28.4375,28.9375,238617,ADFC-200001
1999-06-02,20.0,23.0,18.75,21.5625,2188560,ADFC-200001
1999-06-03,22.75,25.5,22.5,25.125,727780,ADFC-200001
1999-06-04,26.5,27.375,25.875,27.375,263714,ADFC-200001
1999-06-07,25.625,29.25,25.625,28.875,257284,ADFC-200001
1999-06-08,28.78125,29.5,27.5,28.0,276441,ADFC-200001
1999-06-09,27.125,27.75,26.5,26.75,255297,ADFC-200001
1999-06-10,26.5,26.5625,25.8125,26.375,205049,ADFC-200001
1999-06-11,26.375,26.5625,23.625,24.0,308161,ADFC-200001
1999-06-14,24.125,24.125,19.625,20.0625,269086,ADFC-200001
1999-06-15,20.0,20.375,17.625,18.0,342248,ADFC-200001
1999-06-16,18.6875,21.6875,18.625,21.5,365792,ADFC-200001
1999-06-17,21.5,24.6875,20.5,22.9375,187030,ADFC-200001
1999-06-18,23.0,24.125,20.875,22.0,207489,ADFC-200001
1999-06-21,22.0,25.125,22.0,24.75,292435,ADFC-200001
1999-06-22,25.125,25.5,22.125,22.1875,101175,ADFC-200001
1999-06-23,22.125,23.5,21.25,22.1875,157876,ADFC-200001
1999-06-24,22.0,22.875,20.875,21.5,49055,ADFC-200001
1999-06-25,21.28125,21.28125,20.5,21.1875,41802,ADFC-200001
1999-06-28,21.0625,21.0625,20.0,20.5,96614,ADFC-200001
1999-06-29,21.0,21.875,19.875,21.0,160147,ADFC-200001
1999-06-30,21.0,24.0,20.5,23.5,575591,ADFC-200001
1999-07-01,23.5,25.0,22.375,23.1875,209167,ADFC-200001
1999-07-02,23.375,24.4375,22.75,23.75,212733,ADFC-200001
1999-07-06,23.9375,27.5,23.625,24.8125,244490,ADFC-200001
1999-07-07,25.875,26.6875,25.0,26.5,159263,ADFC-200001
1999-07-08,26.3125,27.0,25.6875,26.875,96473,ADFC-200001
1999-07-09,26.625,27.75,25.375,26.625,396066,ADFC-200001
1999-07-12,26.25,26.875,24.25,25.0625,121929,ADFC-200001
1999-07-13,24.0,24.5,22.8125,24.0,234130,ADFC-200001
1999-07-14,24.125,24.5,23.0,23.625,328680,ADFC-200001
1999-07-15,24.375,25.75,23.875,25.0,279156,ADFC-200001
1999-07-16,26.1875,31.25,26.125,29.0,814301,ADFC-200001
1999-07-19,34.5,37.75,30.0,30.25,1849340,ADFC-200001
1999-07-20,30.125,30.5,26.5,28.25,279401,ADFC-200001
1999-07-21,28.0,28.9375,25.875,27.125,106251,ADFC-200001
1999-07-22,26.375,27.125,24.6875,26.5,163055,ADFC-200001
1999-07-23,26.5625,26.625,25.0,25.25,57474,ADFC-200001
1999-07-26,24.875,25.5,24.25,25.0,153667,ADFC-200001
1999-07-27,25.25,26.0,24.5,24.8125,253881,ADFC-200001
1999-07-28,25.03125,25.03125,23.6875,24.75,145689,ADFC-200001
1999-07-29,24.0,24.5,23.125,23.625,92865,ADFC-200001
1999-07-30,23.875,24.0,22.875,23.1875,110033,ADFC-200001
1999-08-02,23.1875,23.5,22.0,22.375,31364,ADFC-200001
1999-08-03,22.625,22.625,18.5,19.0,305937,ADFC-200001
1999-08-04,18.6875,19.125,15.875,17.0,132178,ADFC-200001
1999-08-05,17.4375,17.5,15.4375,16.625,362624,ADFC-200001
1999-08-06,16.5625,16.75,15.375,15.75,205139,ADFC-200001
1999-08-09,16.0,16.5,15.125,15.4375,129127,ADFC-200001
1999-08-10,15.375,15.5625,13.5,14.25,188631,ADFC-200001
1999-08-11,14.375,14.5,13.0,13.25,316559,ADFC-200001
1999-08-12,13.625,13.875,12.5625,12.75,411911,ADFC-200001
1999-08-13,13.0625,14.75,13.0,14.5,629923,ADFC-200001
1999-08-16,15.0,15.375,14.25,14.4375,603449,ADFC-200001
1999-08-17,15.9375,16.5625,14.625,15.5,2466050,ADFC-200001
1999-08-18,16.0,16.0,14.0,14.0,1023200,ADFC-200001
1999-08-19,13.625,13.625,12.8125,12.875,913640,ADFC-200001
1999-08-20,12.96875,13.25,12.625,13.25,278317,ADFC-200001
1999-08-23,13.5625,14.5625,13.4375,13.8125,397334,ADFC-200001
1999-08-24,14.125,14.5,13.0,13.875,337647,ADFC-200001
1999-08-25,14.1875,16.25,13.5,15.375,665112,ADFC-200001
1999-08-26,16.6875,16.75,14.625,16.5,928126,ADFC-200001
1999-08-27,17.0625,17.75,16.0625,16.875,675978,ADFC-200001
1999-08-30,16.875,17.0,15.1875,15.6875,223499,ADFC-200001
1999-08-31,15.625,16.375,15.0,16.1875,265686,ADFC-200001
1999-09-01,16.5,16.5,15.25,15.3125,184261,ADFC-200001
1999-09-02,15.5,15.625,15.125,15.4375,177623,ADFC-200001
1999-09-03,16.5,16.5,15.3125,15.5,238246,ADFC-200001
1999-09-07,15.9375,16.25,14.75,15.125,143591,ADFC-200001
1999-09-08,15.0,15.25,14.1875,14.6875,154369,ADFC-200001
1999-09-09,14.5625,15.0,13.9375,14.6875,424749,ADFC-200001
1999-09-10,15.9375,18.875,15.25,18.875,2153110,ADFC-200001
1999-09-13,18.875,20.0625,17.375,18.375,992074,ADFC-200001
1999-09-14,18.875,19.375,17.0,18.0,432340,ADFC-200001
1999-09-15,18.875,19.0,17.0,18.0,352772,ADFC-200001
1999-09-16,17.875,17.875,17.0,17.5,164627,ADFC-200001
1999-09-17,18.0,19.625,17.75,19.5,825065,ADFC-200001
1999-09-20,19.75,22.6875,19.625,20.25,2022300,ADFC-200001
1999-09-21,20.25,20.375,19.375,19.5625,1994820,ADFC-200001
1999-09-22,19.5625,20.625,19.5625,20.5,667176,ADFC-200001
1999-09-23,20.75,21.75,19.875,20.125,608602,ADFC-200001
1999-09-24,19.875,21.25,19.875,20.5,291552,ADFC-200001
1999-09-27,21.5625,23.375,21.5,22.9375,1134840,ADFC-200001
1999-09-28,23.625,24.25,22.75,24.25,549874,ADFC-200001
1999-09-29,24.125,26.0,24.0,24.75,519565,ADFC-200001
1999-09-30,24.75,25.8125,24.6875,25.375,502524,ADFC-200001
1999-10-01,25.125,25.3125,23.6875,24.625,296731,ADFC-200001
1999-10-04,24.875,25.0,24.0,24.5,188333,ADFC-200001
1999-10-05,24.5625,25.375,24.25,24.875,146194,ADFC-200001
1999-10-06,25.0625,26.25,25.0,26.125,347976,ADFC-200001
1999-10-07,26.59375,28.5625,26.4375,28.3125,366055,ADFC-200001
1999-10-08,28.5,28.5,27.125,28.0,394032,ADFC-200001
1999-10-11,27.75,28.25,27.125,27.4375,119747,ADFC-200001
1999-10-12,27.4375,27.4375,25.8125,26.0,179223,ADFC-200001
1999-10-13,25.25,26.4375,24.75,24.875,285686,ADFC-200001
1999-10-14,25.375,26.25,24.4375,26.0625,566121,ADFC-200001
1999-10-15,24.5,25.125,23.25,24.75,181063,ADFC-200001
1999-10-18,24.625,25.125,22.75,23.125,174011,ADFC-200001
1999-10-19,24.125,25.125,24.125,24.5625,217064,ADFC-200001
1999-10-20,25.6875,26.0,24.75,25.75,178992,ADFC-200001
1999-10-21,24.75,25.875,24.75,25.875,59130,ADFC-200001
1999-10-22,26.0,26.8125,26.0,26.0,167419,ADFC-200001
1999-10-25,25.625,27.625,25.4375,27.15625,181452,ADFC-200001
1999-10-26,27.375,27.5625,26.125,26.125,63509,ADFC-200001
1999-10-27,26.0,26.375,25.375,26.375,58390,ADFC-200001
1999-10-28,26.75,27.1875,26.1875,26.625,50188,ADFC-200001
1999-10-29,26.625,28.0,26.625,27.625,154268,ADFC-200001
1999-11-01,27.9375,28.0,27.0,27.0,58045,ADFC-200001
1999-11-02,27.5,27.625,25.75,25.8125,164331,ADFC-200001
1999-11-03,26.0,26.5,26.0,26.1875,111838,ADFC-200001
1999-11-04,26.5,27.125,26.125,26.4375,342519,ADFC-200001
1999-11-05,26.75,27.125,26.25,26.25,136742,ADFC-200001
1999-11-08,25.25,26.65625,25.25,26.625,252181,ADFC-200001
1999-11-09,26.6875,27.0625,26.0625,26.3125,201082,ADFC-200001
1999-11-10,26.0625,27.25,25.75,25.8125,346263,ADFC-200001
1999-11-11,26.125,26.75,25.0,25.1875,256347,ADFC-200001
1999-11-12,25.0,25.875,24.4375,25.6875,186678,ADFC-200001
1999-11-15,26.0625,26.125,25.5625,25.75,178342,ADFC-200001
1999-11-16,25.625,26.1875,25.625,25.8125,153270,ADFC-200001
1999-11-17,28.0,32.8125,27.875,32.0,721802,ADFC-200001
1999-11-18,33.75,34.4375,32.0,32.0,294827,ADFC-200001
1999-11-19,31.875,32.0,30.25,31.625,83989,ADFC-200001
1999-11-22,32.5625,36.8125,32.125,36.3125,271466,ADFC-200001
1999-11-23,35.875,36.625,33.6875,35.125,218927,ADFC-200001
1999-11-24,34.75,36.875,34.5,36.25,289725,ADFC-200001
1999-11-26,36.875,38.0,36.5,37.0,198380,ADFC-200001
1999-11-29,37.875,41.8125,37.875,38.75,789344,ADFC-200001
1999-11-30,38.5625,39.1875,35.9375,36.75,191517,ADFC-200001
1999-12-01,37.5625,38.4375,36.25,37.1875,204943,ADFC-200001
1999-12-02,36.875,39.8125,36.75,39.25,262313,ADFC-200001
1999-12-03,40.625,41.875,39.625,39.9375,320756,ADFC-200001
1999-12-06,40.875,44.25,40.5,43.3125,833306,ADFC-200001
1999-12-07,44.25,45.875,43.875,45.75,570834,ADFC-200001
1999-12-08,45.75,50.75,44.25,49.0,616698,ADFC-200001
1999-12-09,52.5,52.5,45.25,51.0,421621,ADFC-200001
1999-12-10,51.5625,51.625,49.0,50.625,211655,ADFC-200001
1999-12-13,50.75,55.0,49.3125,55.0,264489,ADFC-200001
1999-12-14,55.5,58.625,52.5,52.625,181494,ADFC-200001
1999-12-15,50.75,53.125,48.875,51.9375,236159,ADFC-200001
1999-12-16,60.9375,61.875,56.5,56.625,430809,ADFC-200001
1999-12-17,57.5625,58.5,54.6875,55.0,278029,ADFC-200001
1999-12-20,57.0,57.875,55.5625,57.5,235472,ADFC-200001
1999-12-21,58.625,70.0,58.625,69.75,242005,ADFC-200001
1999-12-22,69.96875,73.625,65.5,70.0625,340859,ADFC-200001
1999-12-23,69.0,71.90625,68.5,69.25,94023,ADFC-200001
1999-12-27,68.75,72.125,62.625,72.0,157067,ADFC-200001
1999-12-28,70.125,71.125,67.625,68.625,465887,ADFC-200001
1999-12-29,67.5625,72.75,67.5,72.0,208705,ADFC-200001
1999-12-30,73.0,74.125,69.25,70.9375,165987,ADFC-200001
1999-12-31,70.75,73.0625,67.6875,71.375,173719,ADFC-200001
2000-01-03,74.5,84.5,73.0625,82.25,334050,ADFC-200001
2000-01-04,80.375,83.75,76.3125,76.625,228857,ADFC-200001
2000-01-05,73.0,77.5,63.5,74.375,529413,ADFC-200001
2000-01-06,70.1875,74.125,64.6875,65.0,268332,ADFC-200001
2000-01-07,65.0,71.625,63.0,71.625,350017,ADFC-200001
2000-01-10,76.25,83.1875,73.875,80.0,262267,ADFC-200001
2000-01-11,77.5625,79.125,70.5,72.0,124508,ADFC-200001
