Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,0.46875,0.46875,0.46875,0.46875,12000,ADVL-198706
1985-01-04,0.46875,0.46875,0.46875,0.46875,13500,ADVL-198706
1985-01-09,0.40625,0.40625,0.40625,0.40625,38500,ADVL-198706
1985-01-10,0.39063000000000003,0.39063000000000003,0.39063000000000003,0.39063000000000003,30000,ADVL-198706
1985-01-11,0.39063000000000003,0.39063000000000003,0.39063000000000003,0.39063000000000003,2000,ADVL-198706
1985-01-15,0.39063000000000003,0.39063000000000003,0.39063000000000003,0.39063000000000003,1100,ADVL-198706
1985-01-16,0.40625,0.40625,0.40625,0.40625,2000,ADVL-198706
1985-01-17,0.34375,0.34375,0.34375,0.34375,26600,ADVL-198706
1985-01-18,0.32813000000000003,0.32813000000000003,0.32813000000000003,0.32813000000000003,11850,ADVL-198706
1985-01-21,0.32813000000000003,0.32813000000000003,0.32813000000000003,0.32813000000000003,5600,ADVL-198706
1985-01-22,0.35938000000000003,0.35938000000000003,0.35938000000000003,0.35938000000000003,33000,ADVL-198706
1985-01-23,0.375,0.375,0.375,0.375,27400,ADVL-198706
1985-01-24,0.375,0.375,0.375,0.375,12500,ADVL-198706
1985-01-25,0.39063000000000003,0.39063000000000003,0.39063000000000003,0.39063000000000003,8400,ADVL-198706
1985-01-28,0.40625,0.40625,0.40625,0.40625,15100,ADVL-198706
1985-01-29,0.39063000000000003,0.39063000000000003,0.39063000000000003,0.39063000000000003,2000,ADVL-198706
1985-01-30,0.375,0.375,0.375,0.375,600,ADVL-198706
1985-01-31,0.375,0.375,0.375,0.375,1000,ADVL-198706
1985-02-01,0.375,0.375,0.375,0.375,6000,ADVL-198706
1985-02-05,0.35938000000000003,0.35938000000000003,0.35938000000000003,0.35938000000000003,15000,ADVL-198706
1985-02-06,0.35938000000000003,0.35938000000000003,0.35938000000000003,0.35938000000000003,9000,ADVL-198706
1985-02-07,0.35938000000000003,0.35938000000000003,0.35938000000000003,0.35938000000000003,6200,ADVL-198706
1985-02-08,0.34375,0.34375,0.34375,0.34375,29000,ADVL-198706
