Date,Open,High,Low,Close,Volume,Ticker
1995-11-03,17.25,17.25,17.0,17.0,2521200,AED-200112
1995-11-06,17.0,17.125,16.75,16.75,238900,AED-200112
1995-11-07,16.75,17.0,16.75,17.0,153900,AED-200112
1995-11-08,17.0,17.0,16.75,16.875,121000,AED-200112
1995-11-09,16.75,16.875,16.625,16.625,113200,AED-200112
1995-11-10,16.5,16.5,16.125,16.375,71100,AED-200112
1995-11-13,16.25,16.375,16.125,16.375,34100,AED-200112
1995-11-14,16.375,17.125,16.375,17.125,46400,AED-200112
1995-11-15,17.125,17.125,16.875,17.0,16800,AED-200112
1995-11-16,16.875,17.0,16.75,17.0,4600,AED-200112
1995-11-17,16.875,17.0,16.875,17.0,18500,AED-200112
1995-11-20,16.875,17.125,16.875,17.125,25000,AED-200112
1995-11-21,17.25,17.375,17.25,17.375,38900,AED-200112
1995-11-22,17.25,17.375,17.125,17.125,15600,AED-200112
1995-11-24,17.25,17.25,17.0,17.0,10100,AED-200112
1995-11-27,17.0,17.0,17.0,17.0,20000,AED-200112
1995-11-28,17.0,17.0,16.875,17.0,27500,AED-200112
1995-11-29,17.0,17.25,17.0,17.125,31500,AED-200112
1995-11-30,17.25,17.25,17.125,17.125,10400,AED-200112
1995-12-01,17.125,17.125,17.125,17.125,26500,AED-200112
1995-12-04,17.25,18.25,17.25,18.25,91600,AED-200112
1995-12-05,18.25,18.25,17.375,17.375,40300,AED-200112
1995-12-06,17.125,17.5,17.125,17.5,34800,AED-200112
1995-12-07,17.25,17.625,17.25,17.625,59000,AED-200112
1995-12-08,17.5,17.625,17.5,17.625,10000,AED-200112
1995-12-12,17.5,17.5,17.5,17.5,9000,AED-200112
1995-12-13,17.625,17.75,17.625,17.75,28000,AED-200112
1995-12-14,17.75,17.875,17.75,17.75,11400,AED-200112
1995-12-15,17.875,17.875,17.75,17.75,77400,AED-200112
1995-12-18,17.75,17.75,17.625,17.625,39100,AED-200112
1995-12-19,17.625,17.625,17.5,17.5,31800,AED-200112
1995-12-20,17.5,17.875,17.5,17.75,93500,AED-200112
1995-12-21,17.75,17.875,17.75,17.75,100800,AED-200112
1995-12-22,17.875,18.125,17.875,18.125,3800,AED-200112
1995-12-26,18.25,18.5,18.25,18.5,3300,AED-200112
1995-12-27,18.5,18.75,18.5,18.75,40100,AED-200112
1995-12-28,19.0,19.5,19.0,19.5,54000,AED-200112
1995-12-29,19.625,19.625,19.625,19.625,1300,AED-200112
1996-01-02,19.75,20.875,19.75,20.875,12200,AED-200112
1996-01-03,20.875,21.5,20.875,21.5,31000,AED-200112
1996-01-04,21.5,21.5,21.125,21.125,7800,AED-200112
1996-01-05,21.0,21.125,21.0,21.125,32500,AED-200112
1996-01-08,21.75,21.75,21.625,21.625,8500,AED-200112
1996-01-09,21.75,21.75,21.625,21.625,43800,AED-200112
1996-01-10,21.625,21.625,21.625,21.625,200,AED-200112
1996-01-11,21.625,21.625,21.0,21.0,24700,AED-200112
1996-01-12,21.0,21.625,21.0,21.625,58800,AED-200112
1996-01-15,21.75,21.75,21.75,21.75,3000,AED-200112
1996-01-16,21.625,21.75,21.5,21.75,17000,AED-200112
1996-01-17,21.75,21.875,21.625,21.875,17600,AED-200112
1996-01-18,21.75,21.875,21.75,21.875,6000,AED-200112
1996-01-19,21.875,21.875,21.875,21.875,7000,AED-200112
1996-01-22,21.75,21.75,21.625,21.75,8600,AED-200112
1996-01-23,21.875,21.875,21.5,21.5,18000,AED-200112
1996-01-24,21.625,21.625,21.5,21.5,3800,AED-200112
1996-01-25,21.5,21.5,21.375,21.375,8000,AED-200112
1996-01-26,21.125,21.125,21.0,21.0,1500,AED-200112
1996-01-30,21.0,21.0,20.875,20.875,91400,AED-200112
1996-01-31,20.875,20.875,20.875,20.875,3600,AED-200112
1996-02-01,20.75,20.75,20.625,20.75,48500,AED-200112
1996-02-02,20.625,20.625,20.5,20.5,31000,AED-200112
1996-02-05,20.375,20.375,20.0,20.375,66700,AED-200112
1996-02-06,20.125,20.375,20.125,20.375,34200,AED-200112
1996-02-07,20.5,20.875,20.5,20.75,38800,AED-200112
1996-02-08,20.75,20.875,20.75,20.875,6200,AED-200112
1996-02-09,21.0,21.0,20.875,20.875,25000,AED-200112
1996-02-12,20.875,20.875,20.875,20.875,8500,AED-200112
1996-02-13,20.75,20.875,20.75,20.875,15300,AED-200112
1996-02-14,21.0,21.0,20.875,20.875,3700,AED-200112
1996-02-15,20.875,21.0,20.875,20.875,6800,AED-200112
1996-02-16,21.0,21.125,21.0,21.125,17200,AED-200112
1996-02-20,21.375,21.375,21.0,21.0,20900,AED-200112
1996-02-21,21.0,21.0,21.0,21.0,20000,AED-200112
1996-02-22,20.875,20.875,20.75,20.875,4200,AED-200112
1996-02-23,21.0,21.0,21.0,21.0,11500,AED-200112
1996-02-26,21.0,21.0,21.0,21.0,2500,AED-200112
1996-02-27,21.0,21.0,21.0,21.0,5500,AED-200112
1996-02-28,21.0,21.125,21.0,21.0,49600,AED-200112
1996-02-29,20.875,21.125,20.875,21.0,64600,AED-200112
1996-03-01,21.0,21.375,21.0,21.375,43500,AED-200112
1996-03-04,21.5,21.875,21.5,21.75,61000,AED-200112
1996-03-05,22.0,22.125,21.875,22.0,84200,AED-200112
1996-03-06,22.0,22.75,22.0,22.75,18700,AED-200112
1996-03-07,22.75,22.75,22.5,22.5,15200,AED-200112
1996-03-08,22.375,22.375,22.25,22.25,22000,AED-200112
1996-03-11,22.0,22.0,21.875,21.875,15000,AED-200112
