Date,Open,High,Low,Close,Volume,Ticker
1996-10-01,9.0,9.375,8.5,8.5,4692600,AEH-199902
1996-10-02,8.625,8.625,8.4375,8.5,2400600,AEH-199902
1996-10-03,8.5,8.75,8.5,8.75,2575600,AEH-199902
1996-10-04,8.75,9.3125,8.6875,9.25,4298600,AEH-199902
1996-10-07,9.4375,9.6875,9.25,9.625,2394400,AEH-199902
1996-10-08,9.5,9.5625,8.8125,8.8125,2222000,AEH-199902
1996-10-09,8.875,9.0,8.6875,8.9375,3185000,AEH-199902
1996-10-10,8.9375,9.1875,8.875,9.1875,2818600,AEH-199902
1996-10-11,9.3125,9.5,9.0625,9.1875,1779000,AEH-199902
1996-10-14,9.0625,9.125,8.9375,9.0,1787200,AEH-199902
1996-10-15,9.0625,9.125,8.9375,9.125,1306600,AEH-199902
1996-10-16,9.0625,9.25,9.0625,9.25,1934000,AEH-199902
1996-10-17,9.1875,9.5625,9.125,9.4375,1759200,AEH-199902
1996-10-18,9.5625,9.6875,9.3125,9.6875,1549200,AEH-199902
1996-10-21,9.5625,9.875,9.5,9.875,795800,AEH-199902
1996-10-22,9.75,9.8125,9.5,9.625,1067200,AEH-199902
1996-10-23,9.5625,9.9375,9.5,9.9375,1524600,AEH-199902
1996-10-24,9.875,10.0,9.75,9.875,2130400,AEH-199902
1996-10-25,9.8125,9.9375,9.375,9.5625,1751400,AEH-199902
1996-10-28,9.5,9.5,9.3125,9.3125,1685600,AEH-199902
1996-10-29,9.375,9.625,9.25,9.625,1749800,AEH-199902
1996-10-30,9.625,9.625,9.3125,9.375,978200,AEH-199902
1996-10-31,9.375,9.5625,9.3125,9.375,668600,AEH-199902
1996-11-01,9.4375,10.0,9.4375,9.9375,3470800,AEH-199902
1996-11-04,9.9375,10.75,9.875,10.5625,1558200,AEH-199902
1996-11-05,10.5,10.5,10.25,10.4375,967600,AEH-199902
1996-11-06,10.3125,10.75,10.25,10.75,1447400,AEH-199902
1996-11-07,10.6875,10.9375,10.5625,10.625,522600,AEH-199902
1996-11-08,10.6875,10.8125,10.5,10.8125,375000,AEH-199902
1996-11-11,10.875,11.125,10.8125,11.125,1021200,AEH-199902
1996-11-12,11.125,11.4375,11.0625,11.125,942200,AEH-199902
1996-11-13,11.125,11.125,10.8125,10.9375,1126600,AEH-199902
