Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,1.8125,1.8125,1.8125,1.8125,400,AERO-198804
1985-01-03,1.8125,1.8125,1.8125,1.8125,1800,AERO-198804
1985-01-04,1.8125,1.8125,1.8125,1.8125,400,AERO-198804
1985-01-07,1.8125,1.8125,1.8125,1.8125,1800,AERO-198804
1985-01-08,1.8125,1.8125,1.8125,1.8125,3575,AERO-198804
1985-01-09,1.8125,1.8125,1.8125,1.8125,4100,AERO-198804
1985-01-10,1.8125,1.8125,1.8125,1.8125,1400,AERO-198804
1985-01-11,1.8125,1.8125,1.8125,1.8125,10556,AERO-198804
1985-01-14,1.8125,1.8125,1.8125,1.8125,9775,AERO-198804
1985-01-15,1.8125,1.8125,1.8125,1.8125,20600,AERO-198804
1985-01-16,1.875,1.875,1.875,1.875,6900,AERO-198804
1985-01-17,1.8125,1.8125,1.8125,1.8125,10000,AERO-198804
1985-01-18,1.8125,1.8125,1.8125,1.8125,12043,AERO-198804
1985-01-21,1.9375,1.9375,1.9375,1.9375,6330,AERO-198804
1985-01-22,1.9375,1.9375,1.9375,1.9375,9500,AERO-198804
1985-01-23,1.9375,1.9375,1.9375,1.9375,8100,AERO-198804
1985-01-24,2.375,2.375,2.375,2.375,73150,AERO-198804
1985-01-25,2.5,2.5,2.5,2.5,59430,AERO-198804
1985-01-28,2.5,2.5,2.5,2.5,15610,AERO-198804
1985-01-29,2.5,2.5,2.5,2.5,11000,AERO-198804
1985-01-30,2.5,2.5,2.5,2.5,14840,AERO-198804
1985-01-31,2.5,2.5,2.5,2.5,29925,AERO-198804
1985-02-01,2.5,2.5,2.5,2.5,7750,AERO-198804
1985-02-04,2.5,2.5,2.5,2.5,29400,AERO-198804
1985-02-05,2.5,2.5,2.5,2.5,5144,AERO-198804
1985-02-06,2.5,2.5,2.5,2.5,6600,AERO-198804
1985-02-07,2.625,2.625,2.625,2.625,21250,AERO-198804
1985-02-08,2.75,2.75,2.75,2.75,5025,AERO-198804
1985-02-11,2.75,2.75,2.75,2.75,10060,AERO-198804
1985-02-12,3.0,3.0,3.0,3.0,41610,AERO-198804
1985-02-13,3.0,3.0,3.0,3.0,23610,AERO-198804
1985-02-14,3.0,3.0,3.0,3.0,30800,AERO-198804
1985-02-15,3.0,3.0,3.0,3.0,34330,AERO-198804
1985-02-19,3.0,3.0,3.0,3.0,9930,AERO-198804
1985-02-20,3.0,3.0,3.0,3.0,13177,AERO-198804
1985-02-21,3.0,3.0,3.0,3.0,9475,AERO-198804
1985-02-22,3.0,3.0,3.0,3.0,18300,AERO-198804
1985-02-25,3.0,3.0,3.0,3.0,7168,AERO-198804
1985-02-26,3.0,3.0,3.0,3.0,28200,AERO-198804
1985-02-27,2.75,2.75,2.75,2.75,16835,AERO-198804
1985-02-28,2.75,2.75,2.75,2.75,2450,AERO-198804
1985-03-01,2.75,2.75,2.75,2.75,4500,AERO-198804
1985-03-04,2.75,2.75,2.75,2.75,8100,AERO-198804
1985-03-05,2.75,2.75,2.75,2.75,5546,AERO-198804
1985-03-06,2.75,2.75,2.75,2.75,6775,AERO-198804
1985-03-07,2.75,2.75,2.75,2.75,10900,AERO-198804
1985-03-08,2.75,2.75,2.75,2.75,4556,AERO-198804
1985-03-11,2.75,2.75,2.75,2.75,11712,AERO-198804
1985-03-12,2.75,2.75,2.75,2.75,4246,AERO-198804
1985-03-13,2.75,2.75,2.75,2.75,3000,AERO-198804
1985-03-14,2.75,2.75,2.75,2.75,31700,AERO-198804
1985-03-15,2.75,2.75,2.75,2.75,21650,AERO-198804
1985-03-18,2.75,2.75,2.75,2.75,34900,AERO-198804
1985-03-19,2.75,2.75,2.75,2.75,35200,AERO-198804
1985-03-20,2.75,2.75,2.75,2.75,7912,AERO-198804
1985-03-21,2.75,2.75,2.75,2.75,5550,AERO-198804
1985-03-22,2.75,2.75,2.75,2.75,4100,AERO-198804
1985-03-25,2.75,2.75,2.75,2.75,1028,AERO-198804
1985-03-26,2.75,2.75,2.75,2.75,6940,AERO-198804
1985-03-27,2.75,2.75,2.75,2.75,4900,AERO-198804
1985-03-28,2.75,2.75,2.75,2.75,2000,AERO-198804
1985-03-29,3.25,3.25,3.25,3.25,39596,AERO-198804
1985-04-01,4.0,4.0,4.0,4.0,44550,AERO-198804
1985-04-02,3.75,3.75,3.75,3.75,35100,AERO-198804
1985-04-03,3.75,3.75,3.75,3.75,7250,AERO-198804
1985-04-04,3.75,3.75,3.75,3.75,8500,AERO-198804
1985-04-08,3.5,3.5,3.5,3.5,18310,AERO-198804
1985-04-09,3.5,3.5,3.5,3.5,15416,AERO-198804
1985-04-10,3.5,3.5,3.5,3.5,1600,AERO-198804
1985-04-11,3.5,3.5,3.5,3.5,4582,AERO-198804
1985-04-12,3.75,3.75,3.75,3.75,24586,AERO-198804
1985-04-15,3.5,3.5,3.5,3.5,7500,AERO-198804
1985-04-16,3.5,3.5,3.5,3.5,4300,AERO-198804
1985-04-17,3.5,3.5,3.5,3.5,10100,AERO-198804
1985-04-18,3.5,3.5,3.5,3.5,11425,AERO-198804
1985-04-19,3.5,3.5,3.5,3.5,17200,AERO-198804
1985-04-22,3.5,3.5,3.5,3.5,3732,AERO-198804
1985-04-23,3.5,3.5,3.5,3.5,67965,AERO-198804
1985-04-24,3.75,3.75,3.75,3.75,16000,AERO-198804
1985-04-25,3.75,3.75,3.75,3.75,5850,AERO-198804
1985-04-26,3.75,3.75,3.75,3.75,32400,AERO-198804
1985-04-29,3.75,3.75,3.75,3.75,3200,AERO-198804
1985-04-30,3.75,3.75,3.75,3.75,2900,AERO-198804
1985-05-01,3.75,3.75,3.75,3.75,8504,AERO-198804
1985-05-02,3.5,3.5,3.5,3.5,12300,AERO-198804
1985-05-03,3.5,3.5,3.5,3.5,19625,AERO-198804
1985-05-06,3.5,3.5,3.5,3.5,4430,AERO-198804
1985-05-07,3.5,3.5,3.5,3.5,30256,AERO-198804
1985-05-08,3.5,3.5,3.5,3.5,8600,AERO-198804
1985-05-09,3.625,3.625,3.625,3.625,10500,AERO-198804
1985-05-10,3.625,3.625,3.625,3.625,50705,AERO-198804
1985-05-13,3.5,3.5,3.5,3.5,12250,AERO-198804
1985-05-14,3.5,3.5,3.5,3.5,17630,AERO-198804
1985-05-15,3.375,3.375,3.375,3.375,1600,AERO-198804
1985-05-16,3.375,3.375,3.375,3.375,4442,AERO-198804
1985-05-17,3.5,3.5,3.5,3.5,2215,AERO-198804
1985-05-20,3.25,3.25,3.25,3.25,12896,AERO-198804
1985-05-21,3.375,3.375,3.375,3.375,10326,AERO-198804
1985-05-22,3.375,3.375,3.375,3.375,1000,AERO-198804
1985-05-23,3.25,3.25,3.25,3.25,19400,AERO-198804
1985-05-24,3.25,3.25,3.25,3.25,4000,AERO-198804
1985-05-28,3.125,3.125,3.125,3.125,9500,AERO-198804
1985-05-29,3.25,3.25,3.25,3.25,15600,AERO-198804
1985-05-30,3.25,3.25,3.25,3.25,6303,AERO-198804
1985-05-31,3.25,3.25,3.25,3.25,20800,AERO-198804
1985-06-03,3.25,3.25,3.25,3.25,2881,AERO-198804
1985-06-04,2.5,2.5,2.5,2.5,63207,AERO-198804
1985-06-05,2.75,2.75,2.75,2.75,66206,AERO-198804
1985-06-06,3.25,3.25,3.25,3.25,46200,AERO-198804
1985-06-07,3.25,3.25,3.25,3.25,3550,AERO-198804
1985-06-10,3.25,3.25,3.25,3.25,4600,AERO-198804
1985-06-11,3.25,3.25,3.25,3.25,1250,AERO-198804
1985-06-12,3.25,3.25,3.25,3.25,4500,AERO-198804
1985-06-13,3.25,3.25,3.25,3.25,3800,AERO-198804
1985-06-14,3.25,3.25,3.25,3.25,1600,AERO-198804
1985-06-17,3.25,3.25,3.25,3.25,3012,AERO-198804
1985-06-18,3.25,3.25,3.25,3.25,3950,AERO-198804
1985-06-19,3.25,3.25,3.25,3.25,17462,AERO-198804
1985-06-20,3.25,3.25,3.25,3.25,11900,AERO-198804
1985-06-21,3.5,3.5,3.5,3.5,43470,AERO-198804
1985-06-24,3.5,3.5,3.5,3.5,10100,AERO-198804
1985-06-25,3.5,3.5,3.5,3.5,9800,AERO-198804
1985-06-26,3.5,3.5,3.5,3.5,16377,AERO-198804
1985-06-27,3.5,3.5,3.5,3.5,17420,AERO-198804
1985-06-28,3.5,3.5,3.5,3.5,4800,AERO-198804
1985-07-01,3.25,3.25,3.25,3.25,100450,AERO-198804
1985-07-02,3.25,3.25,3.25,3.25,3500,AERO-198804
1985-07-03,3.25,3.25,3.25,3.25,3600,AERO-198804
1985-07-05,3.25,3.25,3.25,3.25,3100,AERO-198804
1985-07-08,3.25,3.25,3.25,3.25,5745,AERO-198804
1985-07-09,2.875,2.875,2.875,2.875,15100,AERO-198804
1985-07-10,3.0,3.0,3.0,3.0,1700,AERO-198804
1985-07-11,3.0,3.0,3.0,3.0,6500,AERO-198804
1985-07-12,2.75,2.75,2.75,2.75,4150,AERO-198804
1985-07-15,2.75,2.75,2.75,2.75,12900,AERO-198804
1985-07-16,2.75,2.75,2.75,2.75,9300,AERO-198804
1985-07-17,3.0,3.0,3.0,3.0,45500,AERO-198804
1985-07-18,3.0,3.0,3.0,3.0,10925,AERO-198804
1985-07-19,3.0,3.0,3.0,3.0,1500,AERO-198804
1985-07-22,3.0,3.0,3.0,3.0,27900,AERO-198804
1985-07-23,3.25,3.25,3.25,3.25,39833,AERO-198804
1985-07-24,3.25,3.25,3.25,3.25,1000,AERO-198804
