Date,Open,High,Low,Close,Volume,Ticker
2007-04-23,10.25,10.35,10.25,10.35,29800,AGB-201005
2007-04-24,10.3,10.4,10.3,10.4,18400,AGB-201005
2007-04-25,10.42,10.42,10.25,10.27,12900,AGB-201005
2007-04-30,10.26,10.28,10.26,10.28,1200,AGB-201005
2007-05-02,10.29,10.29,10.29,10.29,9900,AGB-201005
2007-05-03,10.31,10.31,10.31,10.31,7500,AGB-201005
2007-05-04,10.33,10.36,10.33,10.36,23800,AGB-201005
2007-05-07,10.3,10.45,10.3,10.45,34100,AGB-201005
2007-05-10,10.3,10.32,10.3,10.32,16600,AGB-201005
2007-05-11,10.33,10.33,10.33,10.33,1300,AGB-201005
2007-05-14,10.34,10.34,10.34,10.34,2500,AGB-201005
2007-05-16,10.48,10.48,10.48,10.48,700,AGB-201005
2007-05-21,10.41,10.41,10.41,10.41,6800,AGB-201005
2007-05-22,10.42,10.53,10.42,10.53,3900,AGB-201005
2007-05-23,10.41,10.6,10.41,10.6,500,AGB-201005
2007-06-06,10.42,10.43,10.42,10.42,4500,AGB-201005
2007-06-07,10.4,10.4,10.4,10.4,2000,AGB-201005
2007-06-12,10.4,10.4,10.4,10.4,1000,AGB-201005
2007-06-15,10.4,10.4,10.4,10.4,23000,AGB-201005
2007-06-18,10.43,10.44,10.43,10.44,11000,AGB-201005
2007-06-19,10.44,10.7,10.44,10.7,20100,AGB-201005
2007-06-20,10.51,10.51,10.51,10.51,2500,AGB-201005
2007-06-21,10.5,10.5,10.5,10.5,5500,AGB-201005
2007-06-22,10.5,10.7,10.48,10.7,65700,AGB-201005
2007-06-25,10.51,10.69,10.45,10.69,30200,AGB-201005
2007-06-26,10.46,10.46,10.46,10.46,5000,AGB-201005
2007-06-28,10.46,10.46,10.46,10.46,1500,AGB-201005
2007-07-03,10.51,10.51,10.5,10.5,400,AGB-201005
2007-07-06,10.5,10.5,10.45,10.45,2700,AGB-201005
2007-07-09,10.45,10.45,10.45,10.45,9000,AGB-201005
2007-07-10,10.45,10.65,10.45,10.65,7100,AGB-201005
2007-07-11,10.51,10.51,10.45,10.45,7500,AGB-201005
2007-07-12,10.45,10.45,10.45,10.45,4000,AGB-201005
2007-07-13,10.51,10.51,10.51,10.51,1400,AGB-201005
2007-07-18,10.5,10.5,10.5,10.5,1700,AGB-201005
2007-07-19,10.5,10.51,10.5,10.51,1200,AGB-201005
2007-07-20,10.51,10.6,10.5,10.6,16400,AGB-201005
2007-07-23,10.75,10.85,10.75,10.85,6700,AGB-201005
2007-07-24,10.71,10.71,10.7,10.7,7300,AGB-201005
2007-07-25,10.75,10.89,10.75,10.89,800,AGB-201005
2007-07-26,10.7,10.7,10.55,10.55,3500,AGB-201005
2007-07-31,10.45,10.57,10.45,10.57,5300,AGB-201005
2007-08-02,10.45,10.45,10.45,10.45,800,AGB-201005
2007-08-06,10.4,10.4,10.4,10.4,5000,AGB-201005
2007-08-07,10.41,10.41,10.41,10.41,5200,AGB-201005
2007-08-14,10.31,10.31,10.3,10.3,1300,AGB-201005
2007-08-15,10.3,10.3,10.12,10.12,9000,AGB-201005
2007-08-16,10.2,10.2,10.2,10.2,200,AGB-201005
2007-08-17,10.15,10.15,10.15,10.15,1000,AGB-201005
2007-08-20,10.21,10.21,10.19,10.19,10000,AGB-201005
2007-08-21,10.2,10.21,10.2,10.21,2200,AGB-201005
