Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,4.125,4.125,4.125,4.125,4800,AGSI-198811
1985-01-03,4.0,4.0,4.0,4.0,1000,AGSI-198811
1985-01-04,4.0,4.0,4.0,4.0,2000,AGSI-198811
1985-01-07,3.875,3.875,3.875,3.875,1500,AGSI-198811
1985-01-08,3.75,3.75,3.75,3.75,205,AGSI-198811
1985-01-09,3.75,3.75,3.75,3.75,1800,AGSI-198811
1985-01-10,3.75,3.75,3.75,3.75,200,AGSI-198811
1985-01-11,3.625,3.625,3.625,3.625,1350,AGSI-198811
1985-01-14,3.625,3.625,3.625,3.625,1500,AGSI-198811
1985-01-15,3.5,3.5,3.5,3.5,6150,AGSI-198811
1985-01-16,3.5,3.5,3.5,3.5,2010,AGSI-198811
1985-01-17,3.625,3.625,3.625,3.625,3300,AGSI-198811
1985-01-18,3.875,3.875,3.875,3.875,200,AGSI-198811
1985-01-21,4.25,4.25,4.25,4.25,23235,AGSI-198811
1985-01-22,5.375,6.5,4.25,5.5,57425,AGSI-198811
1985-01-23,7.25,7.75,6.625,7.125,173578,AGSI-198811
1985-01-24,7.25,7.75,6.625,7.0,90955,AGSI-198811
1985-01-25,6.375,6.875,5.875,6.25,35600,AGSI-198811
1985-01-28,5.75,6.125,5.5,5.625,54830,AGSI-198811
1985-01-29,5.25,6.375,5.25,6.375,70630,AGSI-198811
1985-01-30,6.375,6.625,6.125,6.375,46375,AGSI-198811
1985-01-31,6.375,6.375,5.875,5.875,9400,AGSI-198811
1985-02-01,5.875,6.0,5.875,6.0,13050,AGSI-198811
1985-02-04,5.625,6.0,5.625,6.0,29950,AGSI-198811
1985-02-05,5.75,6.125,5.75,6.125,27550,AGSI-198811
1985-02-06,6.0,6.125,5.875,6.0,16100,AGSI-198811
1985-02-07,5.875,6.125,5.875,6.125,10148,AGSI-198811
1985-02-08,6.25,6.25,6.0,6.0,17800,AGSI-198811
1985-02-11,5.875,6.125,5.875,6.125,18375,AGSI-198811
1985-02-12,5.875,6.125,5.875,6.125,12800,AGSI-198811
1985-02-13,6.0,6.125,5.875,6.0,13600,AGSI-198811
1985-02-14,5.875,6.125,5.875,6.125,12760,AGSI-198811
1985-02-15,6.0,6.125,5.875,6.0,15300,AGSI-198811
1985-02-19,6.0,6.125,5.875,6.0,25700,AGSI-198811
1985-02-20,6.125,6.125,6.125,6.125,300,AGSI-198811
1985-02-21,5.875,6.125,5.875,6.125,3900,AGSI-198811
1985-02-22,5.875,5.875,5.875,5.875,300,AGSI-198811
