Date,Open,High,Low,Close,Volume,Ticker
2006-11-10,25.333,25.4,25.15,25.333,1160000,AHL-A
2006-11-13,25.41,25.52,25.41,25.52,595750,AHL-A
2006-11-15,25.47,25.47,25.4,25.4,270100,AHL-A
2006-11-16,25.4,25.75,25.35,25.45,161700,AHL-A
2006-11-17,25.45,25.55,25.45,25.55,93800,AHL-A
2006-11-20,25.5,25.5,25.5,25.5,1000,AHL-A
2006-11-21,25.7,25.7,25.7,25.7,1000,AHL-A
2006-11-22,25.5,25.5,25.5,25.5,200,AHL-A
2006-11-27,25.479,25.55,25.479,25.55,180300,AHL-A
2006-11-29,25.55,25.55,25.55,25.55,200,AHL-A
2006-11-30,25.6,25.6,25.6,25.6,300,AHL-A
2006-12-01,25.53,25.57,25.53,25.57,140000,AHL-A
2006-12-04,25.6,25.7,25.55,25.7,259300,AHL-A
2006-12-05,25.68,25.77,25.68,25.77,120000,AHL-A
2006-12-06,25.95,25.95,25.7,25.85,236000,AHL-A
2006-12-07,25.85,25.92,25.85,25.92,82000,AHL-A
2006-12-08,25.95,25.95,25.95,25.95,4500,AHL-A
2006-12-11,26.0,26.0,25.95,25.95,2200,AHL-A
2006-12-12,25.92,25.92,25.89,25.92,69100,AHL-A
2006-12-14,25.6,25.6,25.6,25.6,100,AHL-A
2006-12-15,25.68,25.68,25.68,25.68,100,AHL-A
2006-12-18,25.8,25.8,25.68,25.68,228800,AHL-A
2006-12-19,25.72,25.72,25.68,25.68,695200,AHL-A
2006-12-20,25.7,25.7,25.7,25.7,3000,AHL-A
2006-12-21,25.699,25.8,25.699,25.8,205200,AHL-A
2006-12-28,25.6,25.6,25.6,25.6,5000,AHL-A
2006-12-29,25.6,25.6,25.6,25.6,200,AHL-A
2007-01-03,25.79,25.79,25.664,25.664,939800,AHL-A
2007-01-04,25.7,25.84,25.56,25.56,688000,AHL-A
2007-01-05,25.64,25.64,25.64,25.64,3200,AHL-A
2007-01-08,25.8,25.8,25.72,25.72,2700,AHL-A
2007-01-09,25.7,25.77,25.7,25.77,200600,AHL-A
2007-01-10,25.68,25.68,25.51,25.51,5700,AHL-A
2007-01-11,25.684,25.684,25.594,25.68,1332400,AHL-A
2007-01-12,25.63,25.675,25.63,25.648,600000,AHL-A
2007-01-16,25.68,25.68,25.68,25.68,300,AHL-A
2007-01-17,25.65,25.85,25.57,25.85,3300,AHL-A
2007-01-18,25.85,25.85,25.85,25.85,800,AHL-A
2007-01-23,25.84,25.84,25.84,25.84,200,AHL-A
2007-01-26,25.85,25.85,25.84,25.85,11800,AHL-A
2007-01-29,25.75,25.84,25.56,25.84,13100,AHL-A
2007-01-30,25.83,25.85,25.7,25.7,423100,AHL-A
2007-01-31,25.7,25.75,25.7,25.75,26400,AHL-A
2007-02-01,26.0,26.0,25.718,25.75,338000,AHL-A
2007-02-02,26.0,26.7,26.0,26.2,5100,AHL-A
2007-02-05,26.25,26.25,26.25,26.25,100,AHL-A
2007-02-06,26.25,26.25,26.25,26.25,2400,AHL-A
2007-02-08,26.29,26.3,26.29,26.3,2000,AHL-A
2007-02-09,26.29,26.29,26.02,26.29,121200,AHL-A
2007-02-12,25.957,26.17,25.957,26.17,206300,AHL-A
2007-02-13,26.29,26.29,26.28,26.28,1800,AHL-A
2007-02-14,26.29,26.29,26.29,26.29,700,AHL-A
2007-02-15,26.198,26.29,26.198,26.29,165500,AHL-A
2007-02-21,26.26,26.26,26.2,26.25,112200,AHL-A
2007-02-23,26.25,26.25,26.25,26.25,200,AHL-A
2007-02-26,26.19,26.19,26.19,26.19,360000,AHL-A
2007-02-27,26.137,26.298,26.137,26.21,795500,AHL-A
2007-02-28,26.2,26.2,26.16,26.16,8000,AHL-A
2007-03-06,26.23,26.23,26.15,26.15,10800,AHL-A
2007-03-07,26.13,26.21,26.13,26.16,129500,AHL-A
2007-03-08,26.119,26.18,26.119,26.18,1052000,AHL-A
2007-03-09,26.12,26.12,25.8,25.97,13600,AHL-A
2007-03-12,26.0,26.0,26.0,26.0,300,AHL-A
2007-03-13,25.65,25.65,25.65,25.65,200,AHL-A
2007-03-14,25.64,25.65,25.64,25.65,500,AHL-A
2007-03-19,25.67,25.67,25.31,25.6,411500,AHL-A
2007-03-20,25.55,25.55,25.45,25.45,416400,AHL-A
2007-03-21,25.404,25.5,25.404,25.5,392200,AHL-A
2007-03-22,25.5,25.59,25.49,25.59,27800,AHL-A
2007-03-23,25.4,25.62,25.4,25.58,13100,AHL-A
2007-03-26,25.54,25.54,25.54,25.54,1500,AHL-A
2007-03-27,25.5,25.5,25.49,25.5,1800,AHL-A
2007-03-28,25.5,25.85,25.5,25.7,34700,AHL-A
2007-03-29,25.65,25.65,25.65,25.65,1100,AHL-A
2007-03-30,25.75,25.75,25.75,25.75,2100,AHL-A
2007-04-02,25.58,25.58,25.2,25.35,2100,AHL-A
2007-04-04,25.55,25.55,25.54,25.54,400,AHL-A
2007-04-09,25.43,25.47,25.43,25.47,32000,AHL-A
2007-04-10,25.55,25.55,25.55,25.55,1300,AHL-A
2007-04-11,25.4,25.6,25.4,25.6,1300,AHL-A
2007-04-12,25.5,25.75,25.5,25.541,210900,AHL-A
2007-04-13,25.8,25.8,25.8,25.8,300,AHL-A
2007-04-16,25.82,25.82,25.78,25.78,8200,AHL-A
2007-04-17,25.65,25.65,25.65,25.65,20700,AHL-A
2007-04-18,25.7,25.7,25.7,25.7,4200,AHL-A
2007-04-19,25.75,25.75,25.75,25.75,1200,AHL-A
2007-04-20,25.74,25.74,25.74,25.74,100,AHL-A
2007-04-24,25.74,25.74,25.74,25.74,2100,AHL-A
2007-04-25,25.7,25.7,25.6,25.6,9500,AHL-A
2007-04-26,25.74,25.74,25.74,25.74,400,AHL-A
2007-04-30,25.7,25.7,25.7,25.7,1000,AHL-A
2007-05-01,25.7,25.7,25.7,25.7,300,AHL-A
2007-05-02,25.98,25.98,25.65,25.69,4900,AHL-A
2007-05-03,25.95,25.95,25.8,25.8,1500,AHL-A
2007-05-07,25.85,25.85,25.61,25.85,800,AHL-A
2007-05-09,25.85,25.85,25.78,25.78,3800,AHL-A
2007-05-10,25.82,25.82,25.82,25.82,900,AHL-A
2007-05-11,25.75,25.8,25.75,25.8,1200,AHL-A
2007-05-14,25.8,25.8,25.71,25.8,5100,AHL-A
2007-05-15,25.85,25.85,25.74,25.74,4100,AHL-A
2007-05-16,25.74,25.74,25.74,25.74,500,AHL-A
2007-05-17,25.74,25.74,25.74,25.74,2600,AHL-A
2007-05-18,25.74,25.74,25.58,25.58,1100,AHL-A
2007-05-21,25.75,25.75,25.379,25.55,150100,AHL-A
2007-05-22,25.75,25.75,25.7,25.73,600,AHL-A
2007-05-23,25.7,25.7,25.69,25.69,2500,AHL-A
2007-05-24,25.7,25.7,25.7,25.7,800,AHL-A
2007-05-29,25.7,25.7,25.58,25.58,1400,AHL-A
2007-05-30,25.66,25.7,25.66,25.7,600,AHL-A
2007-05-31,25.75,25.75,25.7,25.7,1100,AHL-A
2007-06-01,25.7,25.7,25.65,25.68,2800,AHL-A
2007-06-04,25.65,25.72,25.65,25.72,1400,AHL-A
2007-06-05,25.72,25.72,25.58,25.5914,3500,AHL-A
2007-06-06,25.56,25.56,25.5,25.5,2300,AHL-A
2007-06-07,25.5,25.58,25.45,25.45,800,AHL-A
2007-06-08,25.45,25.45,25.45,25.45,600,AHL-A
2007-06-11,25.45,25.49,25.45,25.49,1000,AHL-A
2007-06-12,25.4,25.4,25.4,25.4,100,AHL-A
2007-06-13,24.91,24.9101,24.9,24.9,600,AHL-A
2007-06-14,24.91,24.91,24.91,24.91,4100,AHL-A
2007-06-15,24.91,24.91,24.9,24.9,1400,AHL-A
2007-06-18,25.05,25.05,24.9,25.0,121600,AHL-A
2007-06-19,25.0,25.0,24.9,24.92,2500,AHL-A
2007-06-21,24.98,25.0,24.7,25.0,11600,AHL-A
2007-06-22,24.95,24.95,24.95,24.95,3000,AHL-A
2007-06-25,24.98,24.9801,24.98,24.98,400,AHL-A
2007-06-26,24.95,24.95,24.9,24.95,28100,AHL-A
2007-06-27,24.9,24.95,24.9,24.91,2400,AHL-A
2007-06-28,24.95,24.95,24.95,24.95,900,AHL-A
2007-06-29,24.98,25.0,24.9,24.9,2300,AHL-A
2007-07-02,24.9,25.0,24.9,24.99,2700,AHL-A
2007-07-03,24.95,24.95,24.95,24.95,2000,AHL-A
2007-07-05,25.0,25.05,25.0,25.0,2400,AHL-A
2007-07-06,24.92,25.0,24.92,25.0,1700,AHL-A
2007-07-10,25.05,25.15,24.94,25.0,9500,AHL-A
2007-07-11,25.0,25.0,24.94,24.94,1900,AHL-A
2007-07-12,25.0,25.0,24.04,24.4,310400,AHL-A
2007-07-13,24.42,24.52,24.42,24.5,800,AHL-A
2007-07-16,24.49,24.49,24.49,24.49,800,AHL-A
2007-07-17,24.52,24.52,24.52,24.52,100,AHL-A
2007-07-18,24.49,24.5,24.49,24.5,2100,AHL-A
2007-07-19,24.52,24.52,24.4,24.4,3100,AHL-A
2007-07-20,24.51,24.51,24.5,24.5,800,AHL-A
2007-07-23,24.61,24.61,24.42,24.52,3600,AHL-A
2007-07-24,24.5,24.5,24.15,24.15,5800,AHL-A
2007-07-25,24.01,24.01,23.35,23.35,16100,AHL-A
2007-07-26,23.5,23.5,23.35,23.35,600,AHL-A
2007-07-27,23.37,23.75,23.37,23.75,1700,AHL-A
2007-07-30,23.74,23.74,23.5,23.5,1200,AHL-A
2007-07-31,23.55,23.55,23.5,23.55,4700,AHL-A
2007-08-01,23.65,23.65,23.2,23.4,10900,AHL-A
2007-08-02,23.4001,24.25,23.31,24.25,10200,AHL-A
2007-08-03,24.25,24.25,24.25,24.25,100,AHL-A
2007-08-06,24.25,24.25,23.5,23.5,2200,AHL-A
2007-08-07,23.7,24.0,23.31,23.48,2300,AHL-A
2007-08-08,23.68,23.68,23.68,23.68,200,AHL-A
2007-08-09,23.6,24.0,23.6,24.0,4300,AHL-A
2007-08-10,23.7,24.45,23.7,24.45,4300,AHL-A
2007-08-13,24.75,24.9,24.45,24.9,2900,AHL-A
2007-08-14,24.6,24.6,24.05,24.28,1600,AHL-A
2007-08-15,24.0,24.28,24.0,24.28,1500,AHL-A
2007-08-16,24.4,24.4,24.0,24.35,2100,AHL-A
2007-08-17,24.16,24.4,23.15,24.1,86000,AHL-A
2007-08-20,24.25,24.45,24.05,24.35,3900,AHL-A
2007-08-21,24.55,24.55,23.85,24.25,7200,AHL-A
2007-08-22,24.7,24.7,24.0,24.3,6300,AHL-A
2007-08-23,24.32,24.35,24.28,24.35,3800,AHL-A
2007-08-24,24.01,24.35,24.0,24.2,4600,AHL-A
2007-08-27,24.15,24.2,24.14,24.18,1700,AHL-A
2007-08-28,24.32,24.32,24.32,24.32,800,AHL-A
2007-08-29,24.2,24.2,24.15,24.2,4200,AHL-A
2007-08-30,24.25,24.25,24.25,24.25,500,AHL-A
2007-08-31,24.75,25.24,24.75,25.24,2000,AHL-A
2007-09-04,24.95,24.95,24.92,24.92,3600,AHL-A
2007-09-05,25.2,25.2,24.85,24.85,6800,AHL-A
2007-09-06,24.88,24.88,24.51,24.51,1300,AHL-A
2007-09-07,24.52,24.66,24.52,24.66,700,AHL-A
2007-09-10,24.6,24.6,24.36,24.49,4800,AHL-A
2007-09-11,24.4,24.74,24.4,24.49,7700,AHL-A
2007-09-12,24.25,24.25,24.16,24.16,400,AHL-A
2007-09-13,24.06,24.06,24.0,24.0,800,AHL-A
2007-09-14,23.9,23.9,23.89,23.89,1400,AHL-A
2007-09-17,23.92,23.92,23.886,23.886,1300,AHL-A
2007-09-18,23.9,23.9,23.9,23.9,1000,AHL-A
2007-09-19,24.12,24.12,23.07,23.79,11600,AHL-A
