Date,Open,High,Low,Close,Volume,Ticker
2007-07-30,24.95,24.95,24.25,24.6,13500,AHT-D
2007-07-31,24.75,24.9,24.75,24.9,202100,AHT-D
2007-08-01,24.9,24.9,24.5,24.5,7900,AHT-D
2007-08-02,24.7,24.7,24.36,24.66,152600,AHT-D
2007-08-03,24.0,24.25,24.0,24.25,700,AHT-D
2007-08-06,24.02,24.02,23.65,24.0,4300,AHT-D
2007-08-07,23.55,23.7,23.55,23.7,20500,AHT-D
2007-08-08,24.55,24.65,24.3,24.3,8000,AHT-D
2007-08-09,24.6,24.6,24.6,24.6,1000,AHT-D
2007-08-10,24.25,24.6,24.25,24.6,11800,AHT-D
2007-08-13,24.65,24.65,23.76,24.15,6200,AHT-D
2007-08-14,23.85,23.85,23.1,23.85,9200,AHT-D
2007-08-15,23.5,23.75,23.5,23.7,4400,AHT-D
2007-08-16,23.0,23.5,21.5,23.4,18300,AHT-D
2007-08-17,24.0,24.0,23.75,23.9,1000,AHT-D
2007-08-20,24.25,24.25,24.25,24.25,100,AHT-D
2007-08-21,24.09,24.1,24.06,24.1,9200,AHT-D
2007-08-22,24.15,24.15,24.01,24.15,1100,AHT-D
2007-08-23,23.5,24.0,23.5,24.0,1200,AHT-D
2007-08-24,23.55,23.55,23.55,23.55,200,AHT-D
2007-08-27,23.88,24.32,23.88,24.24,500,AHT-D
2007-08-28,23.55,24.25,23.55,23.99,10500,AHT-D
2007-08-29,23.75,24.25,23.75,24.25,7400,AHT-D
2007-08-30,24.45,24.45,24.0,24.0,1800,AHT-D
2007-08-31,24.13,24.25,23.9,24.24,13100,AHT-D
2007-09-05,24.29,24.29,23.8,23.98,900,AHT-D
2007-09-06,23.67,23.67,23.55,23.57,2500,AHT-D
2007-09-07,23.3,24.25,23.0,24.24,8200,AHT-D
2007-09-10,23.65,23.7,23.65,23.7,1200,AHT-D
2007-09-11,23.68,23.99,23.68,23.99,3300,AHT-D
2007-09-12,23.99,23.99,23.7,23.71,4300,AHT-D
2007-09-13,23.88,23.88,23.68,23.68,3100,AHT-D
2007-09-14,23.68,23.8,23.68,23.76,2700,AHT-D
2007-09-17,23.66,23.85,23.65,23.66,1200,AHT-D
2007-09-18,24.08,24.08,24.0,24.0,2900,AHT-D
2007-09-19,23.77,24.69,23.77,24.69,7400,AHT-D
2007-09-20,24.16,24.65,24.15,24.65,2500,AHT-D
2007-09-21,24.0,24.2,23.81,24.2,5000,AHT-D
2007-09-24,24.0,24.0,24.0,24.0,2600,AHT-D
2007-09-25,24.1,24.25,23.9,24.06,17000,AHT-D
2007-09-26,23.6,23.66,23.6,23.65,2400,AHT-D
2007-09-27,23.26,23.9,23.26,23.3,9800,AHT-D
2007-09-28,23.31,23.31,23.3,23.3,1100,AHT-D
2007-10-01,23.73,23.98,23.73,23.98,900,AHT-D
2007-10-02,24.0,24.0,23.75,23.75,34900,AHT-D
2007-10-03,23.76,23.87,23.61,23.8,2800,AHT-D
2007-10-04,23.76,23.97,23.51,23.84,4200,AHT-D
2007-10-05,23.84,23.84,23.83,23.84,1300,AHT-D
2007-10-08,24.01,24.17,23.65,23.65,2900,AHT-D
2007-10-09,23.66,23.8,23.66,23.8,700,AHT-D
2007-10-10,23.99,24.18,23.31,23.65,5200,AHT-D
2007-10-11,23.69,24.04,23.55,23.55,7700,AHT-D
2007-10-12,23.55,23.88,23.51,23.51,3400,AHT-D
2007-10-15,23.53,23.65,23.51,23.65,3600,AHT-D
2007-10-16,23.6,23.6,23.51,23.52,5400,AHT-D
2007-10-17,23.55,23.7,23.51,23.51,14200,AHT-D
2007-10-18,23.42,23.5,22.0,23.3,14800,AHT-D
2007-10-19,23.53,23.53,23.25,23.25,5600,AHT-D
2007-10-22,23.75,23.75,23.51,23.51,1200,AHT-D
2007-10-23,23.4,23.75,23.26,23.39,14300,AHT-D
2007-10-24,23.3,23.47,23.26,23.47,1700,AHT-D
2007-10-25,23.59,23.7,23.5,23.51,26800,AHT-D
2007-10-26,23.56,23.68,23.27,23.54,44700,AHT-D
2007-10-29,23.27,23.39,22.5,23.04,7800,AHT-D
2007-10-30,22.55,23.0,22.52,22.95,58100,AHT-D
2007-10-31,22.65,23.02,22.42,22.77,175700,AHT-D
2007-11-01,22.69,23.0,22.15,23.0,9700,AHT-D
2007-11-02,23.0,23.0,21.75,22.75,17200,AHT-D
2007-11-05,22.54,22.54,22.25,22.5,2300,AHT-D
2007-11-06,22.51,22.65,21.7,22.63,8400,AHT-D
2007-11-07,22.0,22.0,20.01,21.05,17500,AHT-D
2007-11-08,21.95,21.95,20.52,20.75,5100,AHT-D
2007-11-09,21.09,22.5,20.0,20.03,5100,AHT-D
2007-11-12,21.0,21.06,21.0,21.0,7800,AHT-D
2007-11-13,22.0,22.0,21.5,21.5,3700,AHT-D
2007-11-14,21.53,21.7,21.5,21.7,6200,AHT-D
2007-11-15,21.5,21.69,21.0,21.4,17100,AHT-D
2007-11-16,20.5,21.194,20.0,21.0,12000,AHT-D
2007-11-19,20.01,21.4,19.0,21.2,5300,AHT-D
2007-11-20,20.5,20.5,20.0,20.25,8800,AHT-D
2007-11-21,21.0,21.0,20.0,20.0,3400,AHT-D
2007-11-23,20.0,20.297,20.0,20.297,2900,AHT-D
2007-11-26,20.0,20.3,19.7,20.07,11800,AHT-D
2007-11-27,19.72,20.2,19.01,19.01,7800,AHT-D
2007-11-28,19.01,19.01,18.52,18.52,12300,AHT-D
2007-11-29,19.5,20.44,18.55,20.2,19800,AHT-D
2007-11-30,20.59,21.1,19.11,21.1,15800,AHT-D
2007-12-03,20.91,21.25,18.96,21.0,5300,AHT-D
2007-12-04,20.5,20.75,19.53,20.0,4200,AHT-D
2007-12-05,19.75,20.51,19.7,20.01,10400,AHT-D
2007-12-06,20.5,20.75,19.8,20.14,5300,AHT-D
2007-12-07,19.65,20.74,19.65,20.07,7800,AHT-D
2007-12-10,20.5,21.13,20.01,20.25,7700,AHT-D
2007-12-11,19.93,19.93,19.93,19.93,500,AHT-D
2007-12-12,20.05,20.59,20.0,20.0,7500,AHT-D
2007-12-13,20.0,20.1,20.0,20.01,2500,AHT-D
2007-12-14,19.85,19.87,19.75,19.8,6400,AHT-D
2007-12-17,19.85,19.85,18.64,19.79,4800,AHT-D
2007-12-18,19.3,19.5,19.07,19.5,9700,AHT-D
2007-12-19,19.6,19.6,19.05,19.55,10600,AHT-D
2007-12-20,19.13,19.5,18.02,19.0,12600,AHT-D
2007-12-21,19.0,19.5,18.17,19.05,20200,AHT-D
2007-12-24,19.0,20.35,19.0,19.79,11100,AHT-D
2007-12-26,18.99,20.0,18.99,19.95,29800,AHT-D
2007-12-27,19.5,19.7,18.13,18.95,238000,AHT-D
2007-12-28,18.91,18.91,17.6,18.55,30650,AHT-D
2007-12-31,17.9,19.02,17.7,19.0,60450,AHT-D
2008-01-02,19.25,19.25,18.25,18.42,6300,AHT-D
2008-01-03,18.75,19.4,18.5,19.15,7400,AHT-D
2008-01-04,18.99,19.0,18.6,18.6,8900,AHT-D
2008-01-07,18.75,18.8,18.5,18.8,5700,AHT-D
2008-01-08,19.05,19.05,18.25,18.99,5020,AHT-D
2008-01-09,19.18,19.18,18.33,18.33,10700,AHT-D
2008-01-10,18.23,18.9,18.01,18.7,8800,AHT-D
2008-01-11,18.65,18.75,18.65,18.75,300,AHT-D
2008-01-14,18.65,18.66,18.4,18.5,5600,AHT-D
2008-01-15,18.5,19.05,18.13,18.39,3500,AHT-D
2008-01-16,18.54,18.93,18.36,18.6,1400,AHT-D
2008-01-17,19.0,19.0,18.02,18.33,6525,AHT-D
