Date,Open,High,Low,Close,Volume,Ticker
1986-06-26,8.25,8.25,8.25,8.25,212550,AILP-200109
1986-06-27,8.25,8.25,8.25,8.25,75300,AILP-200109
1986-06-30,8.375,8.375,8.375,8.375,61800,AILP-200109
1986-07-01,7.875,7.875,7.875,7.875,75150,AILP-200109
1986-07-02,8.125,8.125,8.125,8.125,52600,AILP-200109
1986-07-03,8.25,8.25,8.25,8.25,36440,AILP-200109
1986-07-07,8.0,8.0,8.0,8.0,51550,AILP-200109
1986-07-08,8.0,8.0,8.0,8.0,31000,AILP-200109
1986-07-09,8.0,8.0,8.0,8.0,19625,AILP-200109
1986-07-10,8.75,8.75,8.75,8.75,124033,AILP-200109
1986-07-11,9.0,9.0,9.0,9.0,55850,AILP-200109
1986-07-14,8.75,8.75,8.75,8.75,26700,AILP-200109
1986-07-15,8.5,8.5,8.5,8.5,81208,AILP-200109
1986-07-16,8.5,8.5,8.5,8.5,28200,AILP-200109
1986-07-17,8.5,8.5,8.5,8.5,34950,AILP-200109
1986-07-18,8.5,8.5,8.5,8.5,11700,AILP-200109
1986-07-21,8.0,8.0,8.0,8.0,18100,AILP-200109
1986-07-22,7.875,7.875,7.875,7.875,11800,AILP-200109
1986-07-23,7.5,7.5,7.5,7.5,34450,AILP-200109
1986-07-24,7.375,7.375,7.375,7.375,15000,AILP-200109
1986-07-25,7.375,7.375,7.375,7.375,23620,AILP-200109
1986-07-28,7.5,7.5,7.5,7.5,35821,AILP-200109
1986-07-29,7.5,7.5,7.5,7.5,21400,AILP-200109
1986-07-30,7.5,7.5,7.5,7.5,36940,AILP-200109
1986-07-31,7.5,7.5,7.5,7.5,42200,AILP-200109
1986-08-01,7.5,7.5,7.5,7.5,15800,AILP-200109
1986-08-04,7.5,7.5,7.5,7.5,33900,AILP-200109
1986-08-05,7.5,7.5,7.5,7.5,14500,AILP-200109
1986-08-06,7.5,7.5,7.5,7.5,48000,AILP-200109
1986-08-07,7.5,7.5,7.5,7.5,21000,AILP-200109
1986-08-08,7.5,7.5,7.5,7.5,12500,AILP-200109
1986-08-11,7.5,7.5,7.5,7.5,9800,AILP-200109
1986-08-12,7.625,7.625,7.625,7.625,18500,AILP-200109
1986-08-13,7.625,7.625,7.625,7.625,45125,AILP-200109
1986-08-14,7.75,7.75,7.75,7.75,7700,AILP-200109
1986-08-15,7.75,7.75,7.75,7.75,29900,AILP-200109
1986-08-18,7.75,7.75,7.75,7.75,11500,AILP-200109
1986-08-19,7.75,7.75,7.75,7.75,17100,AILP-200109
1986-08-20,7.75,7.75,7.75,7.75,20000,AILP-200109
1986-08-21,8.125,8.125,8.125,8.125,53800,AILP-200109
1986-08-22,8.25,8.25,8.25,8.25,50100,AILP-200109
1986-08-25,8.25,8.25,8.25,8.25,7700,AILP-200109
1986-08-26,8.25,8.25,8.25,8.25,11235,AILP-200109
1986-08-27,8.25,8.25,8.25,8.25,22000,AILP-200109
1986-08-28,8.25,8.25,8.25,8.25,1200,AILP-200109
1986-08-29,8.25,8.25,8.25,8.25,4100,AILP-200109
1986-09-02,8.125,8.125,8.125,8.125,22200,AILP-200109
1986-09-03,8.125,8.125,8.125,8.125,16563,AILP-200109
1986-09-04,8.0,8.0,8.0,8.0,9300,AILP-200109
1986-09-05,7.625,7.625,7.625,7.625,11800,AILP-200109
1986-09-08,7.5,7.5,7.5,7.5,9400,AILP-200109
1986-09-09,7.75,7.75,7.75,7.75,12600,AILP-200109
1986-09-10,7.5,7.5,7.5,7.5,8150,AILP-200109
1986-09-11,7.25,7.25,7.25,7.25,8900,AILP-200109
1986-09-12,6.75,6.75,6.75,6.75,34300,AILP-200109
1986-09-15,6.875,6.875,6.875,6.875,16800,AILP-200109
1986-09-16,6.875,6.875,6.875,6.875,6600,AILP-200109
1986-09-17,7.0,7.0,7.0,7.0,15764,AILP-200109
1986-09-18,7.0,7.0,7.0,7.0,2800,AILP-200109
1986-09-19,7.0,7.0,7.0,7.0,9600,AILP-200109
1986-09-22,7.0,7.0,7.0,7.0,3600,AILP-200109
1986-09-23,7.125,7.125,7.125,7.125,22200,AILP-200109
1986-09-24,7.125,7.125,7.125,7.125,4650,AILP-200109
1986-09-25,7.25,7.25,7.25,7.25,17750,AILP-200109
1986-09-26,7.25,7.25,7.25,7.25,11800,AILP-200109
