Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,1.375,1.5,1.375,1.375,3100,AIM-201306
1985-01-03,1.375,1.5,1.375,1.375,10100,AIM-201306
1985-01-04,1.375,1.5,1.375,1.375,3100,AIM-201306
1985-01-07,1.375,1.5,1.375,1.375,1000,AIM-201306
1985-01-08,1.375,1.5,1.375,1.375,3320,AIM-201306
1985-01-09,1.375,1.5,1.375,1.375,5138,AIM-201306
1985-01-10,1.375,1.5,1.375,1.375,11800,AIM-201306
1985-01-14,1.375,1.5,1.375,1.375,1075,AIM-201306
1985-01-15,1.375,1.5,1.375,1.375,5670,AIM-201306
1985-01-16,1.5,1.75,1.5,1.625,18600,AIM-201306
1985-01-17,1.5,1.75,1.5,1.625,500,AIM-201306
1985-01-18,1.5,1.75,1.5,1.625,12530,AIM-201306
1985-01-21,1.625,1.75,1.625,1.75,3101,AIM-201306
1985-01-22,1.5,1.75,1.5,1.625,2000,AIM-201306
1985-01-23,1.625,1.75,1.625,1.75,2265,AIM-201306
1985-01-24,1.5,1.75,1.5,1.625,2066,AIM-201306
1985-01-25,1.625,1.75,1.625,1.75,2400,AIM-201306
1985-01-28,1.5,1.75,1.5,1.625,3600,AIM-201306
1985-01-29,1.5,1.75,1.5,1.625,8120,AIM-201306
1985-01-30,1.5,1.75,1.5,1.625,1180,AIM-201306
1985-01-31,1.5,1.75,1.5,1.625,700,AIM-201306
1985-02-01,1.5,1.75,1.5,1.5,5400,AIM-201306
1985-02-04,1.5,1.75,1.5,1.625,1600,AIM-201306
1985-02-05,1.5,1.75,1.5,1.625,4300,AIM-201306
1985-02-06,1.5,1.75,1.5,1.625,1700,AIM-201306
1985-02-07,1.5,1.625,1.5,1.625,3800,AIM-201306
1985-02-08,1.5,1.625,1.5,1.625,6000,AIM-201306
1985-02-11,1.5,1.625,1.5,1.5,3600,AIM-201306
1985-02-12,1.5,1.625,1.5,1.5,3100,AIM-201306
1985-02-13,1.75,1.75,1.75,1.75,30300,AIM-201306
1985-02-14,1.75,1.875,1.75,1.875,20440,AIM-201306
1985-02-15,1.875,2.0,1.875,2.0,19400,AIM-201306
1985-02-19,2.0,2.125,2.0,2.0,29100,AIM-201306
1985-02-20,2.0,2.125,2.0,2.0,2650,AIM-201306
1985-02-21,2.0,2.125,2.0,2.0,7400,AIM-201306
1985-02-22,2.0,2.125,2.0,2.0,3800,AIM-201306
1985-02-25,2.0,2.125,2.0,2.0,550,AIM-201306
1985-02-26,2.0,2.125,2.0,2.0,14200,AIM-201306
1985-02-27,2.25,2.375,2.25,2.25,14500,AIM-201306
1985-02-28,2.25,2.375,2.25,2.25,3000,AIM-201306
1985-03-01,2.25,2.375,2.25,2.375,2600,AIM-201306
1985-03-04,2.25,2.375,2.25,2.25,670,AIM-201306
1985-03-05,2.25,2.375,2.25,2.25,7000,AIM-201306
1985-03-06,2.25,2.375,2.25,2.25,1800,AIM-201306
1985-03-07,2.25,2.375,2.25,2.25,1000,AIM-201306
