Date,Open,High,Low,Close,Volume,Ticker
1987-09-30,15.34501,15.701870000000001,14.98815,15.10711,2292396,AIN
1987-10-01,15.10711,15.34501,14.98815,15.34501,468486,AIN
1987-10-02,15.34501,15.701870000000001,15.10711,15.701870000000001,371994,AIN
1987-10-05,15.701870000000001,15.701870000000001,15.22606,15.701870000000001,117472,AIN
1987-10-06,15.582920000000001,15.582920000000001,15.22606,15.463970000000002,152686,AIN
1987-10-07,15.463970000000002,15.582920000000001,15.22606,15.582920000000001,223554,AIN
1987-10-08,15.582920000000001,15.582920000000001,15.22606,15.22606,42979,AIN
1987-10-09,15.22606,15.701870000000001,15.22606,15.701870000000001,124760,AIN
1987-10-12,15.701870000000001,15.701870000000001,15.22606,15.701870000000001,55589,AIN
1987-10-13,15.701870000000001,15.701870000000001,15.22606,15.701870000000001,30369,AIN
1987-10-14,15.701870000000001,15.701870000000001,15.22606,15.34501,64652,AIN
1987-10-15,15.34501,15.463970000000002,14.98815,14.98815,65467,AIN
1987-10-16,14.98815,15.10711,14.036520000000001,14.51234,88690,AIN
1987-10-19,14.274429999999999,14.274429999999999,13.44176,13.798620000000001,146412,AIN
1987-10-20,13.67966,13.67966,10.70582,12.37117,117535,AIN
1987-10-21,12.37117,12.84699,11.65745,12.37117,68356,AIN
1987-10-22,12.37117,12.72803,12.01431,12.37117,72717,AIN
1987-10-23,12.37117,12.49013,11.41954,12.25222,307368,AIN
1987-10-26,12.25222,12.25222,11.65745,11.65745,29276,AIN
1987-10-27,11.65745,11.89536,11.18164,11.18164,325705,AIN
1987-10-28,11.18164,11.65745,10.94373,11.5385,83031,AIN
1987-10-29,11.5385,11.65745,11.06268,11.41954,116957,AIN
1987-10-30,11.41954,11.89536,11.41954,11.89536,169289,AIN
1987-11-02,11.89536,11.89536,11.5385,11.65745,13346,AIN
1987-11-03,11.65745,11.89536,11.18164,11.41954,143144,AIN
1987-11-04,11.41954,11.65745,11.18164,11.41954,173807,AIN
1987-11-05,11.41954,11.65745,11.18164,11.5385,219371,AIN
1987-11-06,11.5385,11.65745,11.18164,11.65745,126184,AIN
1987-11-09,11.65745,11.77641,11.18164,11.41954,105293,AIN
1987-11-10,11.41954,11.77641,11.30059,11.41954,16288,AIN
1987-11-11,11.41954,11.41954,11.18164,11.30059,31105,AIN
1987-11-12,11.30059,11.5385,11.18164,11.30059,38355,AIN
1987-11-13,11.30059,11.5385,11.18164,11.18164,34993,AIN
1987-11-16,11.18164,11.41954,11.06268,11.41954,44660,AIN
1987-11-17,11.30059,11.30059,10.70582,10.70582,34047,AIN
1987-11-18,10.70582,11.06268,10.70582,10.82478,20071,AIN
1987-11-19,10.82478,11.06268,10.58687,10.70582,90844,AIN
1987-11-20,10.70582,11.06268,10.58687,10.70582,47392,AIN
1987-11-23,10.70582,11.06268,10.58687,10.58687,3888,AIN
1987-11-24,10.58687,10.82478,10.34896,10.82478,100144,AIN
1987-11-25,10.82478,10.82478,10.34896,10.34896,15132,AIN
1987-11-27,10.34896,10.82478,10.34896,10.34896,2259,AIN
1987-11-30,10.34896,10.58687,10.23001,10.46792,18810,AIN
1987-12-01,10.46792,10.46792,9.87315,9.87315,24169,AIN
1987-12-02,9.87315,10.11106,9.75419,9.75419,43820,AIN
1987-12-03,9.75419,9.9921,9.39733,9.51629,56324,AIN
1987-12-04,9.51629,9.87315,9.39733,9.51629,88900,AIN
1987-12-07,9.51629,9.75419,9.39733,9.75419,37515,AIN
1987-12-08,9.51629,9.51629,9.27838,9.39733,137659,AIN
1987-12-09,9.39733,9.87315,9.39733,9.87315,190515,AIN
1987-12-10,9.87315,9.87315,9.51629,9.63524,237383,AIN
1987-12-11,9.63524,9.87315,9.39733,9.39733,24379,AIN
1987-12-14,9.39733,9.9921,9.39733,9.9921,229186,AIN
1987-12-15,9.9921,10.23001,9.63524,10.23001,54328,AIN
1987-12-16,10.23001,10.23001,9.75419,10.23001,30106,AIN
1987-12-17,10.23001,10.82478,10.11106,10.82478,32366,AIN
1987-12-18,10.82478,10.82478,10.34896,10.46792,15447,AIN
1987-12-21,10.46792,11.18164,10.46792,11.06268,49599,AIN
1987-12-22,11.06268,11.65745,10.94373,11.65745,39301,AIN
1987-12-23,11.65745,12.37117,11.41954,11.65745,81229,AIN
1987-12-24,11.77641,12.25222,11.77641,12.25222,12190,AIN
1987-12-28,12.25222,12.25222,11.65745,12.01431,12610,AIN
1987-12-29,12.01431,12.13327,11.65745,11.65745,3468,AIN
1987-12-30,11.65745,12.13327,11.41954,12.13327,117640,AIN
1987-12-31,12.13327,12.60908,11.77641,12.60908,44450,AIN
1988-01-04,12.84699,12.84699,12.84699,12.84699,1261,AIN
1988-01-05,12.84699,13.3228,12.60908,13.3228,404464,AIN
1988-01-06,13.3228,13.44176,12.84699,13.44176,92053,AIN
1988-01-07,13.56071,13.56071,13.56071,13.56071,17023,AIN
1988-01-08,13.56071,13.56071,12.96594,13.56071,254774,AIN
1988-01-11,13.56071,13.56071,12.84699,13.56071,162458,AIN
1988-01-12,13.56071,13.56071,12.96594,13.44176,39249,AIN
1988-01-13,13.44176,13.44176,13.0849,13.44176,34782,AIN
1988-01-14,13.44176,13.44176,13.0849,13.0849,74189,AIN
1988-01-15,13.0849,13.56071,13.0849,13.56071,98463,AIN
1988-01-18,13.56071,13.56071,13.0849,13.56071,34782,AIN
1988-01-19,13.3228,13.3228,13.0849,13.3228,26639,AIN
