Date,Open,High,Low,Close,Volume,Ticker
1998-05-28,6.375,6.4375,6.0,6.25,587954,AIRS-200010
1998-05-29,6.375,6.375,6.0,6.25,262793,AIRS-200010
1998-06-01,6.3125,6.625,6.125,6.25,46775,AIRS-200010
1998-06-02,6.25,6.3125,6.0,6.0,44000,AIRS-200010
1998-06-03,6.0,6.125,6.0,6.125,19600,AIRS-200010
1998-06-04,6.125,6.125,6.0,6.0625,39800,AIRS-200010
1998-06-05,6.1875,6.1875,6.0,6.0,19067,AIRS-200010
1998-06-08,6.0,6.125,6.0,6.0625,34400,AIRS-200010
1998-06-09,6.0625,6.25,6.0625,6.25,43740,AIRS-200010
1998-06-10,6.25,6.3125,6.125,6.1875,72743,AIRS-200010
1998-06-11,6.125,6.1875,6.0,6.0,41100,AIRS-200010
1998-06-12,6.1875,6.5,6.0625,6.0625,45100,AIRS-200010
1998-06-15,6.25,6.25,6.0,6.0,16150,AIRS-200010
1998-06-16,6.125,6.125,6.0,6.0,15250,AIRS-200010
1998-06-17,6.0,6.0625,6.0,6.0625,36450,AIRS-200010
1998-06-18,6.0,6.0625,6.0,6.0,12600,AIRS-200010
1998-06-19,6.125,6.125,6.0,6.0,29985,AIRS-200010
1998-06-22,6.0625,6.0625,6.0,6.0,31340,AIRS-200010
1998-06-23,6.0,6.125,6.0,6.0,54100,AIRS-200010
1998-06-24,6.0,6.0625,6.0,6.0,66840,AIRS-200010
1998-06-25,6.0,6.375,6.0,6.0625,90745,AIRS-200010
1998-06-26,6.1875,6.25,6.125,6.25,48800,AIRS-200010
1998-06-29,6.25,6.5,6.0625,6.0625,52100,AIRS-200010
1998-06-30,6.125,6.125,6.0,6.125,24650,AIRS-200010
1998-07-01,6.25,6.25,6.0,6.0625,42800,AIRS-200010
1998-07-02,6.0625,6.0625,6.0,6.0625,15310,AIRS-200010
1998-07-06,6.25,6.25,6.0,6.0,9510,AIRS-200010
1998-07-07,6.125,6.125,6.0,6.0,22550,AIRS-200010
1998-07-08,6.0625,6.0625,6.0,6.0,26000,AIRS-200010
1998-07-09,6.0,6.0625,6.0,6.0,61925,AIRS-200010
1998-07-10,6.0,6.0625,6.0,6.0625,47200,AIRS-200010
1998-07-13,6.0,6.0625,6.0,6.0,229000,AIRS-200010
1998-07-14,6.0,6.125,5.75,6.0625,38300,AIRS-200010
1998-07-15,6.125,6.25,6.0,6.0625,37350,AIRS-200010
1998-07-16,6.0,6.0,5.875,5.875,10550,AIRS-200010
1998-07-17,6.0,6.125,5.875,5.875,48840,AIRS-200010
1998-07-20,6.25,6.25,5.875,6.25,36250,AIRS-200010
1998-07-21,5.875,6.125,5.75,6.0,5000,AIRS-200010
1998-07-22,6.0,6.0,5.875,6.0,43850,AIRS-200010
1998-07-23,6.0,6.25,5.875,5.875,37850,AIRS-200010
1998-07-24,5.875,6.0,5.75,5.75,11400,AIRS-200010
1998-07-27,5.8125,6.125,5.75,6.0,29600,AIRS-200010
1998-07-28,5.9375,6.0,5.75,5.75,19150,AIRS-200010
1998-07-29,5.75,6.0,5.75,5.75,28900,AIRS-200010
1998-07-30,5.75,6.125,5.75,5.875,2500,AIRS-200010
1998-07-31,6.0,6.0625,5.75,6.0,25350,AIRS-200010
1998-08-03,6.0625,6.125,5.9375,5.9375,13350,AIRS-200010
1998-08-04,6.125,6.125,5.25,5.25,36170,AIRS-200010
1998-08-05,5.75,5.75,5.25,5.25,23600,AIRS-200010
1998-08-06,5.375,5.5,5.375,5.5,6200,AIRS-200010
1998-08-07,5.4375,5.625,5.375,5.625,12500,AIRS-200010
