Date,Open,High,Low,Close,Volume,Ticker
1999-10-26,2.5,2.5,2.5,2.5,600,AITX-201110
1999-10-28,2.0,2.0,2.0,2.0,1000,AITX-201110
1999-11-01,2.5,2.5,2.25,2.25,6000,AITX-201110
1999-11-02,2.5,2.5,2.5,2.5,3500,AITX-201110
1999-11-03,2.5,3.25,2.25,2.5,23800,AITX-201110
1999-11-04,4.25,4.75,2.5,4.25,36700,AITX-201110
1999-11-05,4.0,4.5,4.0,4.5,3700,AITX-201110
1999-11-08,2.5,2.5,2.5,2.5,700,AITX-201110
1999-11-09,4.5,4.5,3.25,3.25,2800,AITX-201110
1999-11-15,4.25,4.25,4.25,4.25,3000,AITX-201110
1999-11-16,4.5,4.5,3.875,3.875,4100,AITX-201110
1999-11-17,4.0,4.0,3.5,4.0,2900,AITX-201110
1999-11-18,4.25,4.25,4.0,4.0,4900,AITX-201110
1999-11-19,3.75,4.0,3.75,4.0,2000,AITX-201110
1999-11-22,3.75,3.875,3.75,3.875,1300,AITX-201110
1999-11-23,4.25,4.25,4.25,4.25,2000,AITX-201110
1999-11-24,3.75,4.25,3.5,3.5,12100,AITX-201110
1999-11-29,3.0,3.0,3.0,3.0,500,AITX-201110
1999-11-30,2.5,2.5,2.5,2.5,1200,AITX-201110
1999-12-01,4.0,4.0,2.5,2.5,400,AITX-201110
1999-12-02,4.0,4.0,4.0,4.0,2400,AITX-201110
1999-12-03,3.875,3.875,3.0,3.0,5600,AITX-201110
1999-12-07,3.25,3.25,1.5,3.25,5600,AITX-201110
1999-12-08,3.25,3.25,3.25,3.25,2000,AITX-201110
1999-12-09,2.25,2.875,2.25,2.875,3500,AITX-201110
1999-12-10,2.5,3.0,2.5,3.0,3500,AITX-201110
1999-12-13,3.5,3.5,3.5,3.5,800,AITX-201110
1999-12-15,2.5,2.5,2.5,2.5,6000,AITX-201110
1999-12-16,3.0,4.0,3.0,3.0,3400,AITX-201110
1999-12-17,3.5,3.5,3.5,3.5,500,AITX-201110
1999-12-20,2.875,3.5,2.875,2.875,4100,AITX-201110
1999-12-21,2.5,4.0,2.25,2.25,5800,AITX-201110
1999-12-22,2.5,2.625,2.25,2.5,14100,AITX-201110
1999-12-27,3.0,3.0,3.0,3.0,200,AITX-201110
1999-12-28,2.25,3.0,2.25,2.25,5800,AITX-201110
1999-12-29,3.0,3.0,3.0,3.0,100,AITX-201110
1999-12-30,2.25,2.25,2.25,2.25,1300,AITX-201110
1999-12-31,2.5,2.5,2.5,2.5,100,AITX-201110
2000-01-03,2.75,2.75,2.75,2.75,300,AITX-201110
2000-01-06,4.5,4.5,4.5,4.5,600,AITX-201110
2000-01-07,4.25,4.25,2.26,2.26,900,AITX-201110
2000-01-10,4.25,4.25,4.25,4.25,2300,AITX-201110
2000-01-11,2.5,4.25,2.5,4.25,2000,AITX-201110
2000-01-13,3.0,3.75,2.5,3.0,3100,AITX-201110
2000-01-14,3.0,3.0,3.0,3.0,500,AITX-201110
2000-01-18,3.0,3.0,3.0,3.0,3000,AITX-201110
2000-01-19,2.25,2.25,2.25,2.25,10500,AITX-201110
2000-01-20,3.0,3.0,3.0,3.0,8200,AITX-201110
2000-01-26,2.25,2.25,2.25,2.25,400,AITX-201110
2000-01-27,2.5,3.25,2.25,2.5,16700,AITX-201110
2000-01-28,3.0,3.0,2.5,2.5,2800,AITX-201110
2000-01-31,3.0,3.0,3.0,3.0,1100,AITX-201110
2000-02-01,3.0,3.0,3.0,3.0,600,AITX-201110
2000-02-02,3.0,3.0,2.25,2.25,7500,AITX-201110
2000-02-03,2.75,3.25,2.75,2.75,6100,AITX-201110
2000-02-04,2.5,2.5,2.5,2.5,900,AITX-201110
2000-02-07,3.187,3.187,3.187,3.187,2300,AITX-201110
2000-02-08,3.25,3.25,3.25,3.25,100,AITX-201110
2000-02-09,3.25,3.25,3.25,3.25,1000,AITX-201110
2000-02-10,3.75,3.75,3.75,3.75,2000,AITX-201110
2000-02-14,3.75,3.75,3.625,3.625,2000,AITX-201110
2000-02-15,2.375,3.75,2.375,2.375,42500,AITX-201110
2000-02-16,3.5,3.75,3.5,3.75,2500,AITX-201110
2000-02-17,3.25,3.25,2.375,3.25,7000,AITX-201110
2000-02-18,3.25,3.25,3.25,3.25,1800,AITX-201110
2000-02-23,3.25,3.25,3.25,3.25,500,AITX-201110
2000-02-24,3.0,3.25,2.5,3.0,3000,AITX-201110
2000-02-29,2.375,3.25,2.375,3.25,3000,AITX-201110
2000-03-02,3.0,3.0,3.0,3.0,300,AITX-201110
2000-03-03,3.0,3.0,2.5,2.5,6300,AITX-201110
2000-03-06,3.0,4.0,2.75,3.0,7100,AITX-201110
