Date,Open,High,Low,Close,Volume,Ticker
1998-01-22,10.0,10.5,10.0,10.25,15100,AJX-200203
1998-01-23,10.25,10.625,10.0625,10.5,125300,AJX-200203
1998-01-26,10.5,10.75,10.5,10.625,7800,AJX-200203
1998-01-27,10.625,10.75,10.375,10.5,10000,AJX-200203
1998-01-28,10.625,10.625,10.375,10.5,26600,AJX-200203
1998-01-29,10.75,11.25,10.625,11.25,11000,AJX-200203
1998-01-30,11.5,11.875,11.5,11.75,16000,AJX-200203
1998-02-02,12.0,12.0,11.75,11.75,10000,AJX-200203
1998-02-03,12.0,12.0,10.625,10.625,13400,AJX-200203
1998-02-04,10.75,10.75,10.25,10.75,15600,AJX-200203
1998-02-05,10.875,11.0,10.75,11.0,8000,AJX-200203
1998-02-06,10.875,11.125,10.875,11.0,4600,AJX-200203
1998-02-09,11.0,11.25,10.875,10.875,8700,AJX-200203
1998-02-10,10.75,10.875,10.75,10.75,600,AJX-200203
1998-02-11,11.0,11.0,10.625,10.625,6500,AJX-200203
1998-02-12,10.5,10.875,10.5,10.875,5300,AJX-200203
1998-02-13,10.5,10.625,9.875,10.375,19100,AJX-200203
1998-02-17,10.25,10.5,10.25,10.375,6600,AJX-200203
1998-02-18,10.625,10.75,10.5,10.625,6100,AJX-200203
1998-02-19,10.75,11.625,10.75,11.375,42000,AJX-200203
1998-02-20,11.625,11.75,11.375,11.75,8000,AJX-200203
1998-02-23,11.8125,12.75,11.75,11.75,35400,AJX-200203
1998-02-24,12.0,12.0,11.25,11.5,36000,AJX-200203
1998-02-25,11.375,11.5,10.875,11.25,15300,AJX-200203
1998-02-26,11.0,11.25,10.75,10.75,17600,AJX-200203
1998-02-27,11.0,11.0625,10.75,10.75,6000,AJX-200203
1998-03-02,10.875,11.125,10.75,11.0,12700,AJX-200203
1998-03-03,11.25,11.25,10.875,10.875,4400,AJX-200203
1998-03-04,11.0,11.0,10.5,10.5,10500,AJX-200203
1998-03-05,10.5,11.125,10.375,11.0,25300,AJX-200203
1998-03-06,11.5,11.5,9.5,10.25,44000,AJX-200203
1998-03-09,10.25,10.375,9.875,9.875,6900,AJX-200203
1998-03-10,10.0,10.0,9.625,9.625,41600,AJX-200203
1998-03-11,9.875,10.125,9.75,10.0,16300,AJX-200203
1998-03-12,9.875,9.875,9.625,9.75,4100,AJX-200203
1998-03-13,9.75,9.75,9.0,9.5,10700,AJX-200203
1998-03-16,9.375,9.75,9.375,9.75,6200,AJX-200203
1998-03-17,9.75,9.875,9.375,9.375,9800,AJX-200203
1998-03-18,9.25,9.25,9.1875,9.25,2300,AJX-200203
1998-03-19,9.375,9.375,9.0,9.125,4700,AJX-200203
1998-03-20,9.0,9.25,8.75,9.25,9700,AJX-200203
1998-03-23,9.0625,9.1875,8.5,8.75,22900,AJX-200203
1998-03-24,8.625,9.0,8.5,9.0,18500,AJX-200203
1998-03-25,8.875,9.25,8.875,9.25,4600,AJX-200203
1998-03-26,9.3125,10.25,9.3125,10.25,26000,AJX-200203
1998-03-27,10.25,10.875,10.125,10.8125,26400,AJX-200203
1998-03-30,10.75,10.75,10.0,10.5,22500,AJX-200203
1998-03-31,10.4375,10.875,10.3125,10.5,20900,AJX-200203
1998-04-01,10.5,11.5625,10.375,11.25,56100,AJX-200203
1998-04-02,11.375,11.375,10.625,11.0,29800,AJX-200203
1998-04-03,11.125,11.125,10.6875,10.875,35000,AJX-200203
1998-04-06,10.75,10.875,10.625,10.625,10500,AJX-200203
1998-04-07,10.875,11.375,10.875,11.0,41700,AJX-200203
1998-04-08,11.0,11.25,11.0,11.0,18600,AJX-200203
1998-04-09,11.125,11.125,10.875,10.875,7600,AJX-200203
1998-04-13,11.0,11.0,10.625,10.75,11200,AJX-200203
1998-04-14,10.875,11.0,10.25,10.4375,61900,AJX-200203
1998-04-15,10.5,11.0,10.5,11.0,22700,AJX-200203
1998-04-16,11.0,11.125,10.8125,11.0,12000,AJX-200203
1998-04-17,11.0,11.5,11.0,11.375,44300,AJX-200203
1998-04-20,11.25,11.375,11.0,11.375,28500,AJX-200203
1998-04-21,11.25,11.625,11.25,11.375,35800,AJX-200203
1998-04-22,11.375,11.625,11.25,11.375,18800,AJX-200203
1998-04-23,11.375,11.5,11.375,11.375,15400,AJX-200203
1998-04-24,11.5,11.625,11.25,11.375,19100,AJX-200203
1998-04-27,11.125,11.125,10.875,11.0625,26600,AJX-200203
1998-04-28,11.0625,11.25,11.0,11.25,14900,AJX-200203
1998-04-29,11.375,11.4375,11.125,11.4375,8300,AJX-200203
1998-04-30,11.3125,11.375,11.125,11.125,8100,AJX-200203
1998-05-01,11.1875,12.125,11.1875,12.125,62100,AJX-200203
1998-05-04,12.375,12.625,12.0625,12.4375,43500,AJX-200203
1998-05-05,12.375,12.4375,12.0,12.0,19400,AJX-200203
1998-05-06,12.0,12.125,11.875,11.875,10000,AJX-200203
1998-05-07,12.0,12.0,11.6875,11.6875,13700,AJX-200203
1998-05-08,11.6875,11.875,11.5625,11.5625,11000,AJX-200203
1998-05-11,11.75,11.875,11.625,11.625,6100,AJX-200203
1998-05-12,11.5,11.625,11.375,11.625,20200,AJX-200203
1998-05-13,11.5,11.75,11.5,11.5,13300,AJX-200203
1998-05-14,11.5,11.875,11.375,11.75,16800,AJX-200203
1998-05-15,11.875,11.9375,11.5,11.625,14300,AJX-200203
1998-05-18,11.625,11.625,11.375,11.375,8300,AJX-200203
1998-05-19,11.375,11.5,10.75,11.375,53300,AJX-200203
1998-05-20,11.5,11.5,11.125,11.125,5000,AJX-200203
1998-05-21,11.0,11.0,11.0,11.0,7100,AJX-200203
1998-05-22,11.0,11.0,11.0,11.0,3100,AJX-200203
1998-05-26,11.0,11.0,10.75,10.75,15500,AJX-200203
1998-05-27,10.625,10.875,10.5,10.875,1400,AJX-200203
1998-05-28,10.625,10.75,10.375,10.375,4400,AJX-200203
1998-05-29,10.25,10.5,10.25,10.5,3300,AJX-200203
1998-06-01,10.375,10.375,9.75,10.0,17300,AJX-200203
1998-06-02,10.0,10.0,9.75,9.8125,5100,AJX-200203
1998-06-03,9.9375,10.0625,9.875,9.875,1500,AJX-200203
1998-06-04,9.75,9.875,9.375,9.875,7800,AJX-200203
1998-06-05,9.875,10.25,9.5,9.75,8700,AJX-200203
1998-06-08,9.625,9.875,9.625,9.875,1700,AJX-200203
1998-06-09,9.875,9.875,9.25,9.625,11100,AJX-200203
1998-06-10,9.625,9.625,9.375,9.375,2200,AJX-200203
1998-06-11,9.25,9.375,9.25,9.375,2000,AJX-200203
1998-06-12,9.25,9.25,9.0625,9.25,10100,AJX-200203
