Date,Open,High,Low,Close,Volume,Ticker
1995-12-12,10.625,10.625,10.5,10.5,1498600,AACIB-199711
1995-12-13,10.5,10.5,10.25,10.375,59200,AACIB-199711
1995-12-14,10.25,10.25,10.0,10.0,22200,AACIB-199711
1995-12-15,10.0,10.0,10.0,10.0,25800,AACIB-199711
1995-12-18,10.0,10.0,9.5,9.5,24900,AACIB-199711
1995-12-19,9.5,9.5,9.5,9.5,16400,AACIB-199711
1995-12-20,9.5,9.5,8.375,8.375,84100,AACIB-199711
1995-12-21,9.125,9.125,8.625,8.75,99800,AACIB-199711
1995-12-22,8.75,9.25,8.75,9.25,132750,AACIB-199711
1995-12-26,8.875,9.0,8.875,9.0,16400,AACIB-199711
1995-12-27,8.875,9.125,8.875,9.0,21100,AACIB-199711
1995-12-28,8.875,9.125,8.625,8.625,39100,AACIB-199711
1995-12-29,8.625,8.75,8.375,8.75,76800,AACIB-199711
1996-01-02,8.5,8.75,8.5,8.75,10500,AACIB-199711
1996-01-03,8.5,8.75,8.5,8.75,6200,AACIB-199711
1996-01-04,8.5,8.75,8.5,8.5,13175,AACIB-199711
1996-01-05,8.75,8.75,8.0,8.5,4200,AACIB-199711
1996-01-08,8.0,8.375,8.0,8.375,1100,AACIB-199711
1996-01-09,8.25,8.5,8.25,8.5,4000,AACIB-199711
1996-01-10,8.25,8.5,8.25,8.5,1600,AACIB-199711
1996-01-11,8.25,8.25,8.25,8.25,4000,AACIB-199711
1996-01-12,8.25,8.5,8.25,8.25,14455,AACIB-199711
1996-01-15,8.5,8.5,8.25,8.25,6600,AACIB-199711
1996-01-16,8.25,8.5,8.25,8.5,3100,AACIB-199711
1996-01-17,8.25,8.75,8.25,8.75,174300,AACIB-199711
1996-01-18,8.75,8.875,8.5,8.875,57250,AACIB-199711
1996-01-19,8.875,8.875,8.5,8.875,6000,AACIB-199711
1996-01-22,8.75,8.75,8.75,8.75,20300,AACIB-199711
1996-01-23,8.625,8.625,8.5,8.5,10150,AACIB-199711
1996-01-24,8.5,8.875,8.5,8.75,31300,AACIB-199711
1996-01-25,8.875,8.875,8.75,8.75,33700,AACIB-199711
1996-01-26,8.875,8.875,8.625,8.625,54200,AACIB-199711
1996-01-29,8.625,8.875,8.625,8.875,27100,AACIB-199711
1996-01-30,8.75,9.125,8.75,9.0,32700,AACIB-199711
1996-01-31,9.0,9.0,8.75,8.75,12575,AACIB-199711
1996-02-01,8.5,8.875,8.5,8.875,7100,AACIB-199711
1996-02-02,8.875,8.875,8.875,8.875,1000,AACIB-199711
1996-02-05,8.625,8.75,8.625,8.75,52350,AACIB-199711
1996-02-06,8.75,8.75,8.625,8.625,14000,AACIB-199711
1996-02-07,9.0,9.0,8.625,8.75,42900,AACIB-199711
1996-02-08,8.75,9.0,8.625,8.625,87500,AACIB-199711
1996-02-09,8.625,8.75,8.625,8.75,50400,AACIB-199711
1996-02-12,8.625,8.625,8.375,8.375,15500,AACIB-199711
1996-02-13,8.5,8.5,8.25,8.25,10150,AACIB-199711
1996-02-14,8.25,8.625,8.25,8.25,6400,AACIB-199711
1996-02-15,8.25,8.25,8.0,8.0,2450,AACIB-199711
1996-02-16,8.0,8.125,8.0,8.0,137200,AACIB-199711
1996-02-20,8.0,8.0,7.75,7.75,16500,AACIB-199711
1996-02-21,7.75,7.75,7.75,7.75,500,AACIB-199711
1996-02-22,7.75,8.25,7.75,7.875,40500,AACIB-199711
1996-02-23,7.75,7.875,7.75,7.75,36900,AACIB-199711
1996-02-26,7.75,7.875,7.75,7.875,10790,AACIB-199711
1996-02-27,7.75,8.375,7.75,8.375,157300,AACIB-199711
1996-02-28,8.5,8.5,8.125,8.25,26140,AACIB-199711
1996-02-29,8.25,8.375,8.25,8.25,13000,AACIB-199711
1996-03-01,8.25,8.5,8.25,8.25,210500,AACIB-199711
1996-03-04,8.25,8.375,8.25,8.375,2200,AACIB-199711
1996-03-05,8.5,8.625,8.375,8.375,78000,AACIB-199711
1996-03-06,8.75,8.75,8.75,8.75,9685,AACIB-199711
1996-03-07,8.75,9.0,8.75,8.75,105600,AACIB-199711
1996-03-08,8.5,8.75,8.5,8.625,22200,AACIB-199711
1996-03-11,8.25,8.625,8.25,8.5,13800,AACIB-199711
1996-03-12,8.625,8.625,8.25,8.25,11900,AACIB-199711
1996-03-13,8.5,8.5,8.125,8.125,15900,AACIB-199711
1996-03-14,8.25,8.5,8.125,8.25,18300,AACIB-199711
1996-03-15,8.25,8.375,8.125,8.125,7600,AACIB-199711
1996-03-18,8.125,8.5,8.125,8.25,16265,AACIB-199711
1996-03-19,8.5,8.625,8.5,8.625,22540,AACIB-199711
1996-03-20,8.625,8.75,8.375,8.625,29575,AACIB-199711
1996-03-21,8.625,8.75,8.375,8.75,31700,AACIB-199711
1996-03-22,8.875,9.25,8.625,9.125,82475,AACIB-199711
1996-03-25,9.125,9.125,8.75,8.875,2100,AACIB-199711
1996-03-26,8.75,9.0,8.75,8.75,40250,AACIB-199711
1996-03-27,8.75,8.875,8.75,8.875,3750,AACIB-199711
1996-03-28,8.75,8.75,8.75,8.75,500,AACIB-199711
