Date,Open,High,Low,Close,Volume,Ticker
1999-04-27,75.0,75.0,75.0,75.0,467,ABZA-200908
1999-04-28,90.0,90.0,90.0,90.0,42,ABZA-200908
1999-05-03,75.0,75.0,75.0,75.0,21,ABZA-200908
1999-05-11,45.0,45.0,45.0,45.0,76,ABZA-200908
1999-05-13,45.0,73.75,40.0,73.75,275,ABZA-200908
1999-05-14,55.0,56.25,53.75,56.25,375,ABZA-200908
1999-05-18,40.0,41.25,37.5,38.75,230,ABZA-200908
1999-05-19,50.0,50.0,35.0,35.0,400,ABZA-200908
1999-05-20,25.0,30.0,15.0,17.5,1008,ABZA-200908
1999-05-21,15.0,17.5,15.0,17.5,742,ABZA-200908
1999-05-24,25.0,80.0,25.0,65.0,1962,ABZA-200908
1999-05-25,55.0,66.25,45.0,46.25,320,ABZA-200908
1999-05-26,55.0,70.0,50.0,61.25,342,ABZA-200908
1999-05-27,60.0,77.5,60.0,75.0,272,ABZA-200908
1999-05-28,60.0,75.0,60.0,71.25,335,ABZA-200908
1999-06-01,70.0,70.0,60.0,61.25,260,ABZA-200908
1999-06-02,75.0,80.0,66.25,66.25,612,ABZA-200908
1999-06-03,60.0,90.0,60.0,80.0,350,ABZA-200908
1999-06-04,72.5,81.25,67.5,80.0,400,ABZA-200908
1999-06-07,70.0,72.5,70.0,72.5,118,ABZA-200908
1999-06-08,72.5,78.75,72.5,78.75,318,ABZA-200908
1999-06-09,75.0,78.75,75.0,76.25,420,ABZA-200908
1999-06-10,75.0,76.25,65.0,70.0,408,ABZA-200908
1999-06-11,65.0,71.25,65.0,71.25,325,ABZA-200908
1999-06-14,67.5,75.0,67.5,75.0,92,ABZA-200908
1999-06-15,70.0,71.25,65.0,66.25,170,ABZA-200908
1999-06-16,70.0,75.0,68.75,70.0,338,ABZA-200908
1999-06-17,75.0,75.0,70.0,71.25,250,ABZA-200908
1999-06-18,75.0,75.0,71.25,71.25,450,ABZA-200908
1999-06-21,80.0,80.0,77.5,78.75,202,ABZA-200908
1999-06-22,75.0,95.0,75.0,90.0,372,ABZA-200908
1999-06-23,87.5,90.0,82.5,90.0,348,ABZA-200908
1999-06-24,92.5,93.75,90.0,90.0,180,ABZA-200908
1999-06-25,82.5,82.5,82.5,82.5,152,ABZA-200908
1999-06-28,85.0,85.0,77.5,77.5,175,ABZA-200908
1999-06-29,82.5,82.5,81.25,81.25,325,ABZA-200908
1999-06-30,81.25,82.5,75.0,75.0,220,ABZA-200908
1999-07-02,67.5,67.5,67.5,67.5,45,ABZA-200908
1999-07-13,70.0,77.5,70.0,77.5,160,ABZA-200908
1999-07-14,70.0,71.25,70.0,71.25,175,ABZA-200908
1999-07-20,67.5,67.5,67.5,67.5,12,ABZA-200908
1999-07-21,70.0,75.0,63.75,75.0,838,ABZA-200908
1999-07-22,65.0,68.75,63.75,68.75,325,ABZA-200908
1999-07-26,62.5,62.5,62.5,62.5,500,ABZA-200908
1999-07-27,62.5,67.5,62.5,67.5,612,ABZA-200908
1999-07-28,62.5,62.5,62.5,62.5,62,ABZA-200908
1999-07-29,65.0,65.0,65.0,65.0,12,ABZA-200908
1999-07-30,60.0,62.5,56.25,62.5,175,ABZA-200908
1999-08-02,60.0,60.0,60.0,60.0,50,ABZA-200908
1999-08-03,60.0,66.25,57.5,62.5,398,ABZA-200908
1999-08-04,67.5,70.0,61.25,62.5,280,ABZA-200908
1999-08-05,66.25,68.75,62.5,67.5,450,ABZA-200908
1999-08-06,65.0,67.5,62.5,67.5,125,ABZA-200908
1999-08-09,65.0,67.5,63.75,67.5,175,ABZA-200908
1999-08-10,63.75,67.5,63.75,67.5,295,ABZA-200908
1999-08-11,63.75,75.0,63.75,75.0,328,ABZA-200908
1999-08-12,80.0,86.25,75.0,86.25,245,ABZA-200908
1999-08-13,77.5,78.75,75.0,78.75,110,ABZA-200908
1999-08-16,68.75,68.75,68.75,68.75,135,ABZA-200908
1999-08-17,70.0,70.0,70.0,70.0,42,ABZA-200908
1999-08-18,65.0,67.5,65.0,67.5,305,ABZA-200908
1999-08-19,65.0,70.0,65.0,70.0,278,ABZA-200908
1999-08-20,68.75,75.0,67.5,75.0,410,ABZA-200908
1999-08-23,71.25,75.0,70.0,71.25,315,ABZA-200908
1999-08-24,72.5,80.0,72.5,77.5,310,ABZA-200908
1999-08-25,76.25,80.0,75.0,75.0,375,ABZA-200908
1999-08-26,85.0,85.0,75.0,77.5,660,ABZA-200908
1999-08-27,75.0,77.5,75.0,77.5,100,ABZA-200908
1999-08-30,75.0,90.0,75.0,90.0,715,ABZA-200908
1999-08-31,82.5,90.0,78.75,90.0,530,ABZA-200908
1999-09-01,80.0,85.0,78.75,85.0,372,ABZA-200908
1999-09-02,78.75,85.0,78.75,81.25,380,ABZA-200908
1999-09-03,85.0,90.0,77.5,87.5,935,ABZA-200908
1999-09-07,80.0,82.5,77.5,79.3752,1968,ABZA-200908
1999-09-08,77.5,87.5,77.5,80.0,475,ABZA-200908
1999-09-09,77.5,80.0,77.5,80.0,200,ABZA-200908
1999-09-10,77.5,82.5,77.5,80.0,2115,ABZA-200908
1999-09-13,76.25,77.5,70.0,70.0,1050,ABZA-200908
1999-09-14,65.0,65.0,57.5,63.75,800,ABZA-200908
1999-09-15,60.0,62.5,50.0,52.5,3272,ABZA-200908
1999-09-16,56.25,58.75,55.0,57.5,265,ABZA-200908
1999-09-17,56.25,60.0,55.0,60.0,260,ABZA-200908
1999-09-20,55.0,55.0,41.25,50.0,800,ABZA-200908
1999-09-21,47.5,50.0,47.5,50.0,290,ABZA-200908
1999-09-22,48.75,55.0,48.75,51.25,475,ABZA-200908
1999-09-23,52.5,55.0,50.0,53.75,210,ABZA-200908
1999-09-24,52.5,55.0,50.0,55.0,275,ABZA-200908
1999-09-27,52.5,57.5,50.0,52.5,305,ABZA-200908
1999-09-28,50.0,51.25,50.0,51.25,120,ABZA-200908
1999-09-30,51.25,55.0,51.25,55.0,575,ABZA-200908
1999-10-01,52.5,55.0,52.5,55.0,350,ABZA-200908
1999-10-04,50.0,53.75,50.0,53.75,235,ABZA-200908
1999-10-05,53.75,53.75,51.25,52.5,425,ABZA-200908
1999-10-06,50.0,52.5,50.0,52.5,425,ABZA-200908
1999-10-07,50.0,50.0,50.0,50.0,150,ABZA-200908
1999-10-08,57.5,58.75,55.0,58.75,300,ABZA-200908
1999-10-13,40.0,40.0,40.0,40.0,62,ABZA-200908
1999-10-14,26.25,30.0,26.25,30.0,375,ABZA-200908
1999-10-26,32.5,33.75,30.0,33.75,150,ABZA-200908
1999-11-03,30.0,32.5,30.0,32.5,50,ABZA-200908
1999-11-11,30.0,32.5,30.0,32.5,112,ABZA-200908
1999-11-15,30.0,32.5,30.0,32.5,100,ABZA-200908
1999-11-17,30.0,32.5,30.0,32.5,38,ABZA-200908
1999-12-02,31.8752,31.8752,31.8752,31.8752,25,ABZA-200908
1999-12-07,32.5,32.5,32.5,32.5,18,ABZA-200908
1999-12-09,32.5,32.5,32.5,32.5,125,ABZA-200908
1999-12-10,36.25,36.25,36.25,36.25,8,ABZA-200908
1999-12-13,36.25,36.25,36.25,36.25,50,ABZA-200908
1999-12-16,36.25,58.75,32.5,50.0,270,ABZA-200908
1999-12-17,50.0,50.0,32.5,32.5,538,ABZA-200908
1999-12-20,32.5,32.5,32.5,32.5,300,ABZA-200908
1999-12-21,27.5,27.5,27.5,27.5,50,ABZA-200908
1999-12-27,26.25,26.25,26.25,26.25,62,ABZA-200908
1999-12-28,23.75,23.75,23.75,23.75,150,ABZA-200908
1999-12-29,22.5,22.5,22.5,22.5,25,ABZA-200908
1999-12-30,22.5,22.5,22.5,22.5,15,ABZA-200908
2000-01-06,50.0,50.0,50.0,50.0,60,ABZA-200908
2000-01-12,35.0,35.0,35.0,35.0,22,ABZA-200908
2000-01-28,25.0,25.0,23.75,23.75,250,ABZA-200908
2000-02-03,23.75,23.75,23.75,23.75,62,ABZA-200908
2000-02-07,38.1252,38.1252,38.1252,38.1252,12,ABZA-200908
2000-02-08,38.1252,38.1252,38.1252,38.1252,162,ABZA-200908
2000-02-11,40.0,42.5,40.0,42.5,85,ABZA-200908
2000-02-28,60.0,60.0,60.0,60.0,75,ABZA-200908
2000-02-29,75.0,75.0,72.5,72.5,200,ABZA-200908
2000-03-01,75.0,80.0,60.0,77.5,250,ABZA-200908
2000-03-02,77.5,77.5,75.0,77.5,175,ABZA-200908
2000-03-03,50.6252,50.6252,50.6252,50.6252,175,ABZA-200908
2000-03-06,43.75,43.75,43.75,43.75,175,ABZA-200908
2000-03-07,50.6252,50.6252,42.5,42.5,238,ABZA-200908
2000-03-08,60.0,60.0,55.0,55.0,50,ABZA-200908
2000-03-13,55.0,85.0,52.5,85.0,455,ABZA-200908
2000-03-14,85.0,85.0,57.5,70.0,250,ABZA-200908
2000-03-15,57.5,75.0,57.5,75.0,112,ABZA-200908
2000-03-16,85.0,85.0,57.5,62.5,338,ABZA-200908
2000-03-20,77.5,77.5,77.5,77.5,125,ABZA-200908
2000-03-21,57.5,57.5,57.5,57.5,125,ABZA-200908
2000-03-24,80.0,82.5,70.0,70.0,980,ABZA-200908
2000-03-27,70.0,77.5,70.0,70.0,150,ABZA-200908
2000-03-29,65.0,65.0,65.0,65.0,50,ABZA-200908
2000-03-30,70.0,70.0,67.5,70.0,100,ABZA-200908
2000-03-31,70.0,70.0,67.5,67.5,50,ABZA-200908
2000-04-03,70.0,70.0,70.0,70.0,75,ABZA-200908
2000-04-05,70.0,70.0,70.0,70.0,25,ABZA-200908
2000-04-12,70.0,90.0,57.5,90.0,695,ABZA-200908
2000-04-13,90.0,125.0,70.0,95.0,935,ABZA-200908
2000-04-14,75.0,80.0,70.0,75.0,660,ABZA-200908
2000-04-17,80.0,95.0,80.0,85.0,262,ABZA-200908
2000-04-18,95.0,100.0,85.0,90.0,405,ABZA-200908
2000-04-19,95.0,100.0,90.0,90.0,145,ABZA-200908
2000-04-20,90.0,90.0,80.0,80.0,62,ABZA-200908
2000-04-25,80.0,80.0,80.0,80.0,75,ABZA-200908
2000-04-28,85.0,85.0,85.0,85.0,10,ABZA-200908
2000-05-02,75.0,82.5,75.0,75.0,188,ABZA-200908
2000-05-04,55.0,55.0,55.0,55.0,8,ABZA-200908
2000-05-08,85.0,85.0,85.0,85.0,12,ABZA-200908
2000-05-11,85.0,85.0,77.5,77.5,25,ABZA-200908
2000-05-12,80.0,93.75,52.5,52.5,1100,ABZA-200908
2000-05-15,79.3752,80.0,79.3752,80.0,350,ABZA-200908
2000-05-16,97.5,103.75,75.0,90.0,7258,ABZA-200908
2000-05-17,88.75,88.75,75.0,80.0,315,ABZA-200908
2000-05-18,80.0,85.0,70.0,85.0,555,ABZA-200908
2000-05-19,72.5,82.5,72.5,76.25,230,ABZA-200908
2000-05-22,75.0,75.0,75.0,75.0,18,ABZA-200908
2000-05-23,72.5,75.0,72.5,75.0,312,ABZA-200908
2000-05-25,72.5,75.0,65.0,65.0,450,ABZA-200908
2000-05-26,68.75,70.0,60.0,65.0,292,ABZA-200908
2000-05-31,67.5,77.5,67.5,77.5,242,ABZA-200908
2000-06-01,77.5,77.5,65.0,65.0,158,ABZA-200908
2000-06-02,76.25,76.25,57.5,73.75,278,ABZA-200908
2000-06-05,72.5,72.5,62.5,70.0,1008,ABZA-200908
2000-06-06,63.75,80.0,63.75,70.0,6495,ABZA-200908
2000-06-07,70.0,75.0,65.0,68.75,1468,ABZA-200908
2000-06-08,75.0,75.0,61.25,65.0,338,ABZA-200908
2000-06-09,67.5,76.25,67.5,68.75,1848,ABZA-200908
2000-06-12,70.0,78.75,70.0,75.0,618,ABZA-200908
2000-06-13,72.5,77.5,72.5,77.5,1118,ABZA-200908
2000-06-14,72.5,80.0,72.5,77.5,1525,ABZA-200908
2000-06-15,78.75,78.75,71.25,73.75,642,ABZA-200908
2000-06-16,76.25,76.25,72.5,76.25,255,ABZA-200908
2000-06-19,76.25,76.25,72.5,72.5,200,ABZA-200908
2000-06-20,76.25,76.25,70.0,71.25,472,ABZA-200908
2000-06-21,68.75,70.0,68.75,70.0,108,ABZA-200908
2000-06-22,68.1252,68.1252,68.1252,68.1252,2,ABZA-200908
2000-06-23,72.5,77.5,68.1252,72.5,1748,ABZA-200908
2000-06-26,72.5,75.0,68.1252,68.1252,1075,ABZA-200908
2000-06-27,68.1252,68.1252,68.1252,68.1252,1010,ABZA-200908
2000-06-28,70.0,70.0,60.0,63.75,298,ABZA-200908
2000-06-29,65.0,80.0,61.25,73.75,2158,ABZA-200908
2000-06-30,67.5,76.25,67.5,67.5,338,ABZA-200908
2000-07-03,72.5,76.25,72.5,76.25,280,ABZA-200908
2000-07-05,76.25,78.75,71.8752,75.0,2625,ABZA-200908
2000-07-06,75.0,77.5,72.5,77.5,1325,ABZA-200908
2000-07-07,77.5,77.5,70.0,77.5,262,ABZA-200908
2000-07-11,76.25,77.5,67.5,70.0,1545,ABZA-200908
2000-07-12,75.0,76.25,70.0,70.0,230,ABZA-200908
2000-07-13,75.0,75.0,67.5,71.25,6085,ABZA-200908
2000-07-14,73.75,73.75,70.0,70.0,40,ABZA-200908
2000-07-17,70.0,76.25,67.5,76.25,1540,ABZA-200908
2000-07-18,76.25,77.5,72.5,77.5,1738,ABZA-200908
2000-07-19,78.75,90.0,75.6252,78.75,2878,ABZA-200908
2000-07-20,78.75,78.75,68.1252,73.75,1875,ABZA-200908
2000-07-21,68.1252,73.75,68.1252,69.3752,1122,ABZA-200908
2000-07-24,66.25,75.0,66.25,75.0,365,ABZA-200908
2000-07-25,71.25,87.5,71.25,87.5,2988,ABZA-200908
2000-07-26,82.5,90.0,75.0,80.0,2242,ABZA-200908
2000-07-27,82.5,88.75,82.5,87.5,2055,ABZA-200908
2000-07-28,87.5,92.5,82.5,92.5,3238,ABZA-200908
2000-07-31,90.0,92.5,82.5,88.75,2412,ABZA-200908
2000-08-01,90.0,92.5,80.0,92.5,2132,ABZA-200908
2000-08-02,90.0,102.5,90.0,102.5,2240,ABZA-200908
2000-08-03,95.0,102.5,92.5,95.0,2520,ABZA-200908
2000-08-04,95.0,102.5,92.5,95.0,195,ABZA-200908
2000-08-07,90.0,100.0,90.0,97.5,585,ABZA-200908
2000-08-08,95.0,100.0,90.0,100.0,4238,ABZA-200908
2000-08-09,96.25,112.5,96.25,108.75,6195,ABZA-200908
2000-08-10,105.0,112.5,100.0,105.0,3212,ABZA-200908
2000-08-11,105.0,106.25,100.0,103.75,1288,ABZA-200908
2000-08-14,100.0,105.0,100.0,105.0,688,ABZA-200908
2000-08-15,110.0,110.0,100.0,105.0,2688,ABZA-200908
2000-08-16,100.0,115.0,95.0,112.5,3280,ABZA-200908
2000-08-17,102.5,105.0,81.25,97.5,3550,ABZA-200908
2000-08-18,97.5,110.0,97.5,100.6252,4182,ABZA-200908
2000-08-21,102.5,110.0,97.5,107.5,3348,ABZA-200908
2000-08-22,107.5,127.5,102.5,125.0,6510,ABZA-200908
2000-08-23,122.5,130.0,121.25,127.5,4630,ABZA-200908
2000-08-24,125.0,130.0,117.5,117.5,1475,ABZA-200908
2000-08-25,115.0,117.5,107.5,115.0,918,ABZA-200908
2000-08-28,110.0,110.0,105.0,105.0,158,ABZA-200908
2000-08-29,100.0,107.5,90.0,100.0,1578,ABZA-200908
2000-08-30,92.5,100.0,90.0,97.5,470,ABZA-200908
2000-08-31,97.5,110.0,97.5,110.0,682,ABZA-200908
2000-09-01,102.5,105.0,95.0,95.0,460,ABZA-200908
2000-09-05,100.0,112.5,98.75,112.5,1868,ABZA-200908
2000-09-06,115.0,120.0,110.0,118.75,3652,ABZA-200908
2000-09-07,115.0,120.0,100.0,100.0,2968,ABZA-200908
2000-09-08,107.5,118.75,97.5,105.0,1428,ABZA-200908
2000-09-11,112.5,116.25,102.5,108.75,2675,ABZA-200908
2000-09-12,105.0,118.75,105.0,117.5,4020,ABZA-200908
2000-09-13,117.5,117.5,107.5,112.5,1308,ABZA-200908
2000-09-14,110.0,118.75,110.0,113.75,2522,ABZA-200908
2000-09-15,118.75,135.0,116.25,135.0,8838,ABZA-200908
2000-09-18,137.5,145.0,132.5,145.0,10200,ABZA-200908
2000-09-19,145.0,150.0,136.25,150.0,4112,ABZA-200908
2000-09-20,142.5,150.0,130.0,143.75,2350,ABZA-200908
2000-09-21,140.0,143.75,127.5,135.0,3200,ABZA-200908
2000-09-22,128.75,132.5,125.0,132.5,1618,ABZA-200908
2000-09-25,127.5,130.0,120.0,128.75,362,ABZA-200908
2000-09-26,120.0,127.5,115.0,122.5,918,ABZA-200908
