Date,Open,High,Low,Close,Volume,Ticker
1986-09-16,5.25,5.5,5.0,5.33333,1482851,ACN-200011
1986-09-17,5.5,5.66667,5.33333,5.41667,214358,ACN-200011
1986-09-18,5.66667,5.83333,5.41667,5.75,216255,ACN-200011
1986-09-19,5.66667,6.0,5.66667,6.0,199083,ACN-200011
1986-09-22,6.16667,6.33333,5.91667,6.16667,235950,ACN-200011
1986-09-23,5.83333,6.16667,5.83333,6.16667,124067,ACN-200011
1986-09-24,6.0,6.16667,5.91667,6.0,101295,ACN-200011
1986-09-25,5.83333,6.0,5.66667,5.83333,79725,ACN-200011
1986-09-26,5.66667,5.83333,5.66667,5.83333,56121,ACN-200011
1986-09-29,5.5,5.83333,5.5,5.83333,38625,ACN-200011
1986-09-30,5.66667,5.83333,5.66667,5.83333,45300,ACN-200011
1986-10-01,5.5,5.66667,5.33333,5.5,43950,ACN-200011
1986-10-02,5.66667,5.66667,5.33333,5.33333,130350,ACN-200011
1986-10-03,5.66667,5.66667,5.33333,5.33333,64950,ACN-200011
1986-10-06,5.5,5.66667,5.33333,5.5,47775,ACN-200011
1986-10-07,5.66667,5.66667,5.33333,5.33333,13778,ACN-200011
1986-10-08,5.5,5.66667,5.33333,5.5,52065,ACN-200011
1986-10-09,5.66667,5.83333,5.5,5.66667,61800,ACN-200011
1986-10-10,5.75,5.83333,5.66667,5.75,35250,ACN-200011
1986-10-13,5.5,5.83333,5.5,5.83333,29400,ACN-200011
1986-10-14,5.58333,5.66667,5.5,5.58333,23775,ACN-200011
1986-10-15,5.66667,5.66667,5.5,5.5,21450,ACN-200011
1986-10-16,5.75,5.75,5.58333,5.58333,30450,ACN-200011
1986-10-17,5.83333,5.83333,5.5,5.5,83400,ACN-200011
1986-10-20,5.5,5.83333,5.5,5.83333,21600,ACN-200011
1986-10-21,6.0,6.33333,5.66667,6.0,261492,ACN-200011
1986-10-22,6.0,6.5,6.0,6.5,87038,ACN-200011
1986-10-23,6.33333,7.0,6.33333,7.0,189173,ACN-200011
1986-10-24,7.0,7.33333,6.66667,7.16667,371565,ACN-200011
1986-10-27,7.33333,7.5,7.16667,7.33333,114293,ACN-200011
1986-10-28,7.16667,7.33333,7.16667,7.33333,50340,ACN-200011
1986-10-29,7.16667,7.5,7.16667,7.5,148575,ACN-200011
1986-10-30,7.5,7.5,7.33333,7.33333,193275,ACN-200011
1986-10-31,7.33333,7.5,7.16667,7.33333,26220,ACN-200011
1986-11-03,7.08333,7.5,6.66667,7.0,64965,ACN-200011
1986-11-04,7.16667,7.33333,7.0,7.16667,13500,ACN-200011
1986-11-05,6.83333,7.16667,6.83333,7.16667,27900,ACN-200011
1986-11-06,6.83333,7.16667,6.83333,7.16667,8100,ACN-200011
1986-11-07,6.83333,7.16667,6.83333,7.16667,4350,ACN-200011
1986-11-10,7.16667,7.16667,6.83333,6.83333,20325,ACN-200011
1986-11-11,7.0,7.0,6.83333,6.83333,24900,ACN-200011
1986-11-12,6.91667,7.0,6.83333,6.91667,4350,ACN-200011
1986-11-13,7.0,7.0,6.5,6.5,47175,ACN-200011
1986-11-14,6.58333,6.83333,6.33333,6.58333,101100,ACN-200011
1986-11-17,6.66667,6.66667,6.5,6.5,7200,ACN-200011
1986-11-18,6.5,6.66667,6.33333,6.5,41715,ACN-200011
1986-11-19,6.5,6.66667,6.33333,6.5,32865,ACN-200011
1986-11-20,6.33333,6.66667,6.33333,6.66667,21060,ACN-200011
1986-11-21,6.33333,6.83333,6.33333,6.83333,86400,ACN-200011
1986-11-24,6.5,6.83333,6.5,6.83333,14850,ACN-200011
1986-11-25,6.5,6.83333,6.5,6.83333,4275,ACN-200011
1986-11-26,6.66667,6.83333,6.66667,6.83333,11228,ACN-200011
1986-11-28,7.0,7.0,6.66667,6.66667,1275,ACN-200011
1986-12-01,6.83333,7.0,6.66667,6.83333,17850,ACN-200011
1986-12-02,6.83333,7.0,6.83333,7.0,16350,ACN-200011
1986-12-03,7.08333,7.33333,6.83333,7.16667,48113,ACN-200011
1986-12-04,7.16667,7.66667,7.16667,7.66667,71790,ACN-200011
1986-12-05,8.08333,8.66667,7.5,8.33333,171090,ACN-200011
1986-12-08,8.25,8.5,8.0,8.16667,105900,ACN-200011
1986-12-09,8.0,8.25,7.83333,8.0,57480,ACN-200011
1986-12-10,8.16667,8.16667,7.83333,7.83333,171815,ACN-200011
1986-12-11,7.91667,8.16667,7.66667,8.0,70110,ACN-200011
1986-12-12,8.0,8.16667,7.75,8.0,41993,ACN-200011
1986-12-15,7.83333,8.0,7.66667,7.83333,70845,ACN-200011
1986-12-16,7.83333,8.0,7.58333,7.66667,162147,ACN-200011
1986-12-17,7.75,7.91667,7.75,7.91667,16200,ACN-200011
1986-12-18,8.33333,8.83333,7.83333,8.41667,174372,ACN-200011
1986-12-19,8.58333,8.58333,8.33333,8.33333,29133,ACN-200011
1986-12-22,8.33333,8.5,8.33333,8.5,36422,ACN-200011
1986-12-23,8.16667,8.5,8.16667,8.5,43350,ACN-200011
1986-12-24,8.25,8.5,8.0,8.16667,24510,ACN-200011
1986-12-26,8.25,8.5,8.0,8.16667,18600,ACN-200011
1986-12-29,8.33333,8.5,8.33333,8.5,27060,ACN-200011
1986-12-30,8.33333,8.5,8.33333,8.5,14625,ACN-200011
1986-12-31,8.16667,8.5,8.16667,8.5,35910,ACN-200011
1987-01-02,8.33333,8.5,8.33333,8.5,27675,ACN-200011
1987-01-05,8.33333,8.5,8.33333,8.5,20925,ACN-200011
1987-01-06,8.41667,9.0,8.41667,9.0,57593,ACN-200011
1987-01-07,9.33333,9.83333,8.83333,9.5,156723,ACN-200011
1987-01-08,9.5,9.5,9.33333,9.33333,85125,ACN-200011
1987-01-09,9.25,9.5,9.0,9.33333,58950,ACN-200011
1987-01-12,9.08333,9.5,9.08333,9.5,336255,ACN-200011
1987-01-13,9.33333,9.5,9.16667,9.33333,192854,ACN-200011
1987-01-14,8.66667,9.33333,8.66667,9.33333,150852,ACN-200011
1987-01-15,8.83333,9.0,8.66667,8.83333,1526685,ACN-200011
1987-01-16,8.66667,9.0,8.66667,9.0,66956,ACN-200011
1987-01-19,8.83333,9.0,8.83333,9.0,81321,ACN-200011
1987-01-20,8.91667,9.16667,8.66667,8.83333,100005,ACN-200011
1987-01-21,8.75,9.0,8.5,8.66667,169463,ACN-200011
1987-01-22,8.66667,9.0,8.33333,8.83333,643287,ACN-200011
1987-01-23,8.83333,9.08333,8.66667,9.0,438465,ACN-200011
1987-01-26,8.58333,8.83333,8.58333,8.83333,125784,ACN-200011
1987-01-27,8.83333,8.83333,8.66667,8.66667,98550,ACN-200011
1987-01-28,8.83333,9.08333,8.66667,9.0,522480,ACN-200011
1987-01-29,8.83333,9.33333,8.83333,9.33333,528342,ACN-200011
1987-01-30,9.16667,9.5,9.16667,9.5,315453,ACN-200011
1987-02-02,9.33333,9.5,9.33333,9.5,162788,ACN-200011
1987-02-03,9.41667,9.5,9.33333,9.41667,589167,ACN-200011
1987-02-04,9.16667,9.5,9.16667,9.5,504491,ACN-200011
1987-02-05,9.33333,9.5,9.16667,9.33333,114015,ACN-200011
1987-02-06,9.33333,9.5,9.16667,9.33333,24476,ACN-200011
1987-02-09,9.5,9.5,9.16667,9.16667,94611,ACN-200011
1987-02-10,9.08333,9.33333,8.83333,9.16667,120771,ACN-200011
1987-02-11,9.0,9.5,9.0,9.5,513716,ACN-200011
1987-02-12,9.66667,10.16667,9.16667,9.83333,466838,ACN-200011
1987-02-13,9.83333,10.0,9.66667,9.91667,78825,ACN-200011
1987-02-17,9.75,10.0,9.75,10.0,69185,ACN-200011
1987-02-18,9.91667,10.5,9.91667,10.5,1195935,ACN-200011
1987-02-19,10.33333,10.5,10.33333,10.5,339672,ACN-200011
1987-02-20,10.33333,10.5,10.33333,10.5,372023,ACN-200011
1987-02-23,10.33333,10.5,10.33333,10.5,119565,ACN-200011
1987-02-24,10.33333,10.5,10.33333,10.5,140805,ACN-200011
1987-02-25,10.75,11.16667,10.33333,11.0,350808,ACN-200011
1987-02-26,11.5,12.0,11.0,11.66667,412112,ACN-200011
1987-02-27,12.08333,12.5,11.66667,12.33333,378744,ACN-200011
1987-03-02,12.33333,12.5,12.16667,12.33333,264587,ACN-200011
1987-03-03,12.5,12.5,12.16667,12.16667,456851,ACN-200011
1987-03-04,12.0,12.33333,11.66667,11.83333,225260,ACN-200011
1987-03-05,12.0,12.0,11.5,11.5,220169,ACN-200011
1987-03-06,11.58333,11.83333,11.33333,11.5,68243,ACN-200011
1987-03-09,11.33333,11.66667,11.33333,11.66667,80730,ACN-200011
1987-03-10,11.33333,11.83333,11.33333,11.83333,90162,ACN-200011
1987-03-11,11.83333,11.83333,11.66667,11.66667,43605,ACN-200011
1987-03-12,12.08333,12.5,11.66667,12.16667,188841,ACN-200011
1987-03-13,12.16667,12.33333,12.0,12.16667,198552,ACN-200011
