Date,Open,High,Low,Close,Volume,Ticker
1995-03-30,13.875,14.5,13.25,14.0,2833760,ACTM-200112
1995-03-31,14.25,14.25,13.25,14.25,630094,ACTM-200112
1995-04-03,14.0,15.0,13.75,13.75,310830,ACTM-200112
1995-04-04,14.0,14.75,14.0,14.375,147230,ACTM-200112
1995-04-05,14.25,14.5,14.0,14.5,117063,ACTM-200112
1995-04-06,14.5,14.5,13.5,13.5,146458,ACTM-200112
1995-04-07,14.0,14.0,13.25,14.0,226650,ACTM-200112
1995-04-10,13.5,14.25,13.5,13.75,94230,ACTM-200112
1995-04-11,14.0,14.75,14.0,14.25,143785,ACTM-200112
1995-04-12,14.25,14.5,14.125,14.5,45325,ACTM-200112
1995-04-13,14.5,14.5,14.0,14.0,26343,ACTM-200112
1995-04-17,14.0,14.25,14.0,14.0,23630,ACTM-200112
1995-04-18,14.0,14.5,13.5,14.0,147333,ACTM-200112
1995-04-19,13.5,14.0,13.5,13.75,59670,ACTM-200112
1995-04-20,14.0,14.0,13.25,13.625,112580,ACTM-200112
1995-04-21,13.375,14.5,13.375,14.0,141855,ACTM-200112
1995-04-24,14.0,14.5,14.0,14.0,17600,ACTM-200112
1995-04-25,14.5,15.25,14.0,15.0,151995,ACTM-200112
1995-04-26,14.75,15.25,14.25,15.125,96117,ACTM-200112
1995-04-27,14.75,15.25,14.5,14.75,63413,ACTM-200112
1995-04-28,14.75,14.75,14.0,14.0,45605,ACTM-200112
1995-05-01,14.5,15.0,14.0,14.5,73790,ACTM-200112
1995-05-02,14.25,14.75,13.75,14.0,92412,ACTM-200112
1995-05-03,14.25,14.25,13.75,13.75,46137,ACTM-200112
1995-05-04,13.75,14.25,13.75,13.75,49425,ACTM-200112
1995-05-05,13.75,14.25,13.0,13.0,227200,ACTM-200112
1995-05-08,13.0,13.5,12.75,12.75,126200,ACTM-200112
1995-05-09,12.75,13.25,12.75,12.75,105125,ACTM-200112
1995-05-10,13.25,13.25,12.75,13.0,117795,ACTM-200112
1995-05-11,13.5,14.0,13.25,14.0,54825,ACTM-200112
1995-05-12,14.0,14.0,13.5,14.0,73190,ACTM-200112
1995-05-15,14.0,14.0,13.5,13.5,31278,ACTM-200112
1995-05-16,14.0,14.0,13.5,13.5,86800,ACTM-200112
1995-05-17,14.0,14.0,12.75,12.75,80005,ACTM-200112
1995-05-18,13.25,13.25,12.75,12.75,17375,ACTM-200112
1995-05-19,13.25,13.75,12.75,13.75,81100,ACTM-200112
1995-05-22,13.75,14.5,13.5,14.25,65051,ACTM-200112
1995-05-23,14.0,14.5,13.75,14.25,36650,ACTM-200112
1995-05-24,13.75,14.25,13.75,13.75,18400,ACTM-200112
1995-05-25,13.75,13.75,13.0,13.625,25082,ACTM-200112
1995-05-26,13.125,13.125,11.0,12.125,751040,ACTM-200112
1995-05-30,12.75,13.0,12.0,12.0,331968,ACTM-200112
1995-05-31,12.375,12.375,12.0,12.0,172340,ACTM-200112
1995-06-01,12.0,12.25,11.75,11.75,55900,ACTM-200112
1995-06-02,12.0,12.0,11.375,11.375,168590,ACTM-200112
1995-06-05,11.25,11.75,11.25,11.5,124175,ACTM-200112
1995-06-06,11.25,12.25,11.25,12.25,96085,ACTM-200112
1995-06-07,12.25,12.5,12.0,12.125,63475,ACTM-200112
1995-06-08,12.125,12.5,12.125,12.125,47138,ACTM-200112
1995-06-09,12.5,12.5,12.25,12.5,4600,ACTM-200112
1995-06-12,12.125,12.5,11.875,11.875,26700,ACTM-200112
1995-06-13,12.0,12.375,11.75,11.75,24300,ACTM-200112
1995-06-14,11.75,12.0,11.25,11.25,141250,ACTM-200112
1995-06-15,11.75,11.75,11.0,11.5,130250,ACTM-200112
1995-06-16,11.0,11.5,11.0,11.0,107400,ACTM-200112
1995-06-19,11.0,11.5,11.0,11.5,179535,ACTM-200112
1995-06-20,11.5,12.625,11.375,12.625,119134,ACTM-200112
1995-06-21,12.75,13.125,12.25,12.625,212790,ACTM-200112
1995-06-22,13.0,13.0,12.375,12.375,66000,ACTM-200112
1995-06-23,12.75,12.75,12.0,12.0,72036,ACTM-200112
1995-06-26,12.0,12.25,12.0,12.25,6900,ACTM-200112
1995-06-27,12.25,12.25,12.0,12.25,55750,ACTM-200112
1995-06-28,12.0,12.875,12.0,12.75,159900,ACTM-200112
1995-06-29,13.0,13.125,12.375,12.75,75500,ACTM-200112
1995-06-30,12.625,13.0,12.625,13.0,69550,ACTM-200112
1995-07-05,13.0,13.5,12.375,12.875,75750,ACTM-200112
1995-07-06,12.875,14.5,12.875,14.0,227975,ACTM-200112
1995-07-07,14.0,15.0,14.0,14.625,388674,ACTM-200112
1995-07-10,14.625,15.75,14.375,15.25,263325,ACTM-200112
1995-07-11,15.75,15.75,15.0,15.0,76456,ACTM-200112
1995-07-12,15.0,15.5,15.0,15.0,113475,ACTM-200112
1995-07-13,15.0,15.75,15.0,15.625,161220,ACTM-200112
1995-07-14,15.5,16.25,15.25,16.0,98024,ACTM-200112
1995-07-17,16.25,17.375,15.75,17.0,214299,ACTM-200112
1995-07-18,17.375,17.5,15.25,16.25,305168,ACTM-200112
1995-07-19,15.75,16.5,15.75,15.75,130800,ACTM-200112
1995-07-20,15.75,16.25,15.5,15.875,44467,ACTM-200112
1995-07-21,15.5,16.75,15.5,15.75,121605,ACTM-200112
1995-07-24,16.25,16.5,15.75,16.375,24500,ACTM-200112
