Date,Open,High,Low,Close,Volume,Ticker
1996-04-19,3.5,3.5,3.0,3.0,3200,ACTT-200812
1996-04-22,3.0,3.3125,3.0,3.3125,2300,ACTT-200812
1996-04-23,3.0,3.125,3.0,3.0,4000,ACTT-200812
1996-04-24,3.0,3.3125,3.0,3.0,19000,ACTT-200812
1996-04-25,3.3125,3.3125,3.0,3.3125,5500,ACTT-200812
1996-04-26,3.0,3.0,3.0,3.0,2100,ACTT-200812
1996-04-29,3.375,3.5,3.375,3.5,700,ACTT-200812
1996-04-30,3.0,3.0,3.0,3.0,3000,ACTT-200812
1996-05-01,3.0,3.5,3.0,3.0,1100,ACTT-200812
1996-05-02,3.0,3.0,3.0,3.0,4000,ACTT-200812
1996-05-03,3.0,3.25,2.75,2.9375,26600,ACTT-200812
1996-05-06,2.75,2.75,2.625,2.625,7500,ACTT-200812
1996-05-08,3.0,3.0,3.0,3.0,1000,ACTT-200812
1996-05-09,2.625,2.625,2.625,2.625,500,ACTT-200812
1996-05-10,2.625,2.625,2.625,2.625,500,ACTT-200812
1996-05-13,3.0,3.0,3.0,3.0,600,ACTT-200812
1996-05-15,3.0,3.0,2.875,2.875,1900,ACTT-200812
1996-05-16,2.625,2.625,2.625,2.625,1000,ACTT-200812
1996-05-17,3.0,3.0,2.8125,2.875,21500,ACTT-200812
1996-05-20,3.0,3.0,2.75,2.75,12500,ACTT-200812
1996-05-21,2.75,3.0,2.75,3.0,3400,ACTT-200812
1996-05-22,3.0,3.125,2.9375,2.96875,8500,ACTT-200812
1996-05-23,3.0,3.375,3.0,3.375,23500,ACTT-200812
1996-05-24,3.5,3.5,3.125,3.125,5400,ACTT-200812
1996-05-28,3.0,3.125,3.0,3.0,4000,ACTT-200812
1996-05-29,3.5,3.5,3.125,3.375,9700,ACTT-200812
1996-05-30,3.5,3.5,3.5,3.5,100,ACTT-200812
1996-05-31,3.125,3.5,3.125,3.5,1200,ACTT-200812
1996-06-03,3.0,3.0,3.0,3.0,500,ACTT-200812
1996-06-04,3.0,3.0,3.0,3.0,200,ACTT-200812
1996-06-06,3.0,3.0,3.0,3.0,2600,ACTT-200812
1996-06-07,3.5,3.5,3.0,3.0,3500,ACTT-200812
1996-06-12,3.0,3.0,3.0,3.0,2500,ACTT-200812
1996-06-14,3.0,3.375,3.0,3.375,2200,ACTT-200812
1996-06-17,3.375,3.375,3.375,3.375,1000,ACTT-200812
1996-06-19,3.0,3.0,3.0,3.0,16100,ACTT-200812
1996-06-21,3.0,3.0,3.0,3.0,8000,ACTT-200812
1996-06-24,3.125,3.125,3.125,3.125,8500,ACTT-200812
1996-06-25,3.125,3.25,3.125,3.25,8000,ACTT-200812
1996-06-27,3.0,3.0,3.0,3.0,1900,ACTT-200812
1996-06-28,3.0625,3.0625,3.0625,3.0625,4000,ACTT-200812
1996-07-02,3.125,3.375,3.125,3.375,6000,ACTT-200812
1996-07-03,3.25,3.625,3.25,3.25,7400,ACTT-200812
1996-07-05,3.25,3.25,3.25,3.25,2900,ACTT-200812
1996-07-08,3.375,3.375,3.375,3.375,3500,ACTT-200812
1996-07-09,3.25,3.625,3.25,3.25,37900,ACTT-200812
1996-07-10,3.375,3.375,3.25,3.25,3500,ACTT-200812
1996-07-11,3.25,3.25,3.25,3.25,500,ACTT-200812
1996-07-12,3.625,3.625,3.25,3.25,5500,ACTT-200812
1996-07-15,3.625,3.625,3.125,3.125,10800,ACTT-200812
1996-07-19,3.125,3.125,3.125,3.125,2500,ACTT-200812
1996-07-22,3.125,3.1875,3.0625,3.1875,9500,ACTT-200812
1996-07-23,3.0,3.3125,3.0,3.3125,2500,ACTT-200812
1996-07-24,3.0,3.0,3.0,3.0,3000,ACTT-200812
1996-07-26,3.0,3.3125,3.0,3.3125,11000,ACTT-200812
1996-07-29,3.0,3.0,3.0,3.0,4200,ACTT-200812
1996-07-30,3.25,3.25,3.0,3.0,5000,ACTT-200812
1996-07-31,3.125,3.125,3.125,3.125,2000,ACTT-200812
1996-08-02,2.875,2.875,2.875,2.875,7000,ACTT-200812
1996-08-05,3.125,3.125,3.125,3.125,200,ACTT-200812
1996-08-06,3.125,3.125,2.875,2.875,4000,ACTT-200812
1996-08-07,3.125,3.125,3.125,3.125,200,ACTT-200812
1996-08-08,2.875,2.875,2.875,2.875,500,ACTT-200812
1996-08-09,2.875,2.875,2.875,2.875,4500,ACTT-200812
1996-08-12,2.875,3.125,2.875,3.125,8500,ACTT-200812
1996-08-13,2.875,2.875,2.875,2.875,7000,ACTT-200812
1996-08-14,2.875,2.875,2.875,2.875,2000,ACTT-200812
1996-08-15,2.875,3.125,2.875,2.875,4900,ACTT-200812
1996-08-16,2.875,3.125,2.75,2.75,7000,ACTT-200812
1996-08-19,3.09375,3.125,3.09375,3.125,3900,ACTT-200812
1996-08-20,3.125,3.125,3.125,3.125,2900,ACTT-200812
1996-08-21,3.125,3.125,2.75,2.75,3200,ACTT-200812
1996-08-22,2.75,2.75,2.75,2.75,1000,ACTT-200812
1996-08-23,3.25,3.25,3.125,3.125,800,ACTT-200812
1996-08-26,3.25,3.25,3.25,3.25,18000,ACTT-200812
1996-08-27,2.75,3.125,2.75,3.125,1800,ACTT-200812
1996-08-29,2.75,2.875,2.75,2.75,7000,ACTT-200812
1996-08-30,2.75,2.75,2.75,2.75,1000,ACTT-200812
1996-09-04,2.75,2.75,2.75,2.75,1000,ACTT-200812
1996-09-09,2.75,2.75,2.75,2.75,2000,ACTT-200812
1996-09-10,2.75,2.75,2.75,2.75,200,ACTT-200812
1996-09-11,2.75,2.75,2.75,2.75,400,ACTT-200812
1996-09-12,2.75,2.75,2.75,2.75,5000,ACTT-200812
1996-09-13,2.75,2.75,2.75,2.75,5000,ACTT-200812
1996-09-16,3.0,3.0,3.0,3.0,1000,ACTT-200812
1996-09-18,3.0,3.0,3.0,3.0,3500,ACTT-200812
1996-09-19,3.0,3.0,2.75,2.75,12900,ACTT-200812
1996-09-20,2.75,2.75,2.75,2.75,10500,ACTT-200812
1996-09-23,3.0,3.0,2.75,2.75,22000,ACTT-200812
1996-09-24,2.75,2.75,2.75,2.75,4000,ACTT-200812
1996-09-25,3.0,3.0,3.0,3.0,4700,ACTT-200812
1996-09-27,2.875,2.875,2.875,2.875,1000,ACTT-200812
1996-09-30,2.875,2.875,2.875,2.875,1000,ACTT-200812
1996-10-03,3.125,3.25,3.125,3.125,9000,ACTT-200812
1996-10-04,3.375,3.375,3.0,3.25,5700,ACTT-200812
1996-10-07,3.0,3.0,3.0,3.0,4100,ACTT-200812
1996-10-10,3.0,3.0,3.0,3.0,5100,ACTT-200812
1996-10-11,3.0,3.0,3.0,3.0,6700,ACTT-200812
1996-10-14,3.375,3.375,3.25,3.25,13000,ACTT-200812
1996-10-16,2.875,2.875,2.875,2.875,2000,ACTT-200812
1996-10-21,3.0,3.0,3.0,3.0,200,ACTT-200812
1996-10-22,2.875,2.875,2.75,2.75,10000,ACTT-200812
1996-10-24,2.75,2.75,2.75,2.75,3000,ACTT-200812
1996-10-25,3.0,3.0,3.0,3.0,3900,ACTT-200812
1996-10-28,2.75,2.8125,2.625,2.625,9000,ACTT-200812
1996-10-29,2.5,2.5,2.4375,2.4375,4000,ACTT-200812
1996-10-30,2.75,2.75,2.71875,2.71875,1600,ACTT-200812
1996-10-31,2.375,2.75,2.375,2.75,400,ACTT-200812
1996-11-04,2.375,2.375,2.375,2.375,4500,ACTT-200812
1996-11-05,2.375,2.375,2.375,2.375,900,ACTT-200812
1996-11-06,2.375,2.375,2.25,2.25,5600,ACTT-200812
1996-11-07,2.25,2.25,2.25,2.25,4000,ACTT-200812
1996-11-12,2.125,2.125,2.125,2.125,1000,ACTT-200812
1996-11-13,2.125,2.625,2.125,2.625,7800,ACTT-200812
1996-11-18,2.125,2.125,2.125,2.125,4000,ACTT-200812
1996-11-19,2.125,2.125,2.125,2.125,8500,ACTT-200812
1996-11-20,2.125,2.125,2.125,2.125,5000,ACTT-200812
1996-11-21,2.125,2.125,2.125,2.125,2600,ACTT-200812
1996-11-22,2.25,2.5,2.25,2.5,10000,ACTT-200812
1996-11-25,2.125,2.40625,2.125,2.40625,8000,ACTT-200812
1996-11-26,2.125,2.125,2.125,2.125,500,ACTT-200812
1996-11-27,2.125,2.125,2.125,2.125,2000,ACTT-200812
1996-12-02,2.625,2.625,2.375,2.375,11000,ACTT-200812
1996-12-03,2.125,2.54688,2.125,2.54688,4000,ACTT-200812
1996-12-04,2.125,2.125,2.125,2.125,100,ACTT-200812
1996-12-10,2.375,2.375,2.375,2.375,700,ACTT-200812
1996-12-11,2.125,2.125,2.125,2.125,1000,ACTT-200812
1996-12-12,2.375,2.375,2.375,2.375,7500,ACTT-200812
1996-12-13,2.5,2.5,2.5,2.5,1900,ACTT-200812
1996-12-16,2.5,2.5,2.5,2.5,6100,ACTT-200812
1996-12-17,2.375,2.625,2.375,2.4375,10400,ACTT-200812
1996-12-19,2.5,2.5625,2.5,2.5,3400,ACTT-200812
1996-12-20,2.75,2.75,2.625,2.75,7600,ACTT-200812
1996-12-23,2.75,2.875,2.75,2.875,24500,ACTT-200812
1996-12-24,2.75,2.75,2.75,2.75,5000,ACTT-200812
1996-12-26,3.0,3.125,3.0,3.125,4300,ACTT-200812
1996-12-27,2.875,2.875,2.875,2.875,2000,ACTT-200812
1996-12-30,3.125,3.375,3.0,3.375,19900,ACTT-200812
1996-12-31,3.25,3.75,3.25,3.59375,43500,ACTT-200812
1997-01-02,3.5,3.5,3.5,3.5,5300,ACTT-200812
1997-01-03,3.5,3.625,3.5,3.5,12000,ACTT-200812
1997-01-06,3.5,3.75,3.375,3.5,40300,ACTT-200812
1997-01-07,3.75,3.75,3.375,3.375,15200,ACTT-200812
1997-01-08,3.375,3.375,3.125,3.125,13300,ACTT-200812
1997-01-09,3.125,3.125,3.125,3.125,2400,ACTT-200812
1997-01-10,3.125,3.125,3.125,3.125,500,ACTT-200812
1997-01-13,3.125,3.25,3.125,3.25,9700,ACTT-200812
1997-01-14,3.125,3.125,3.125,3.125,200,ACTT-200812
1997-01-15,3.375,3.375,3.125,3.375,5800,ACTT-200812
1997-01-16,3.125,3.125,3.125,3.125,1000,ACTT-200812
1997-01-17,3.125,3.125,3.125,3.125,300,ACTT-200812
