Date,Open,High,Low,Close,Volume,Ticker
1986-05-02,5.1875,5.1875,5.0,5.0,4000,ACVA-200311
1986-05-05,5.0625,5.25,5.0625,5.0625,1600,ACVA-200311
1986-05-09,5.0625,5.25,5.0625,5.25,3200,ACVA-200311
1986-05-12,5.15625,5.15625,4.9375,5.0,17200,ACVA-200311
1986-05-13,5.0,5.0625,4.9375,5.0625,66800,ACVA-200311
1986-05-14,5.0625,5.25,4.96875,5.0,170400,ACVA-200311
1986-05-15,5.25,5.5625,5.25,5.3125,269200,ACVA-200311
1986-05-16,5.3125,5.375,5.25,5.28125,12400,ACVA-200311
1986-05-19,5.28125,5.375,5.1875,5.1875,61600,ACVA-200311
1986-05-20,5.1875,5.25,5.1875,5.1875,10400,ACVA-200311
1986-05-21,5.1875,5.1875,5.0,5.0,28000,ACVA-200311
1986-05-22,5.0,5.125,4.875,5.125,112800,ACVA-200311
1986-05-23,5.125,5.125,4.9375,4.9375,2400,ACVA-200311
1986-05-27,5.0,5.125,5.0,5.09375,22800,ACVA-200311
1986-05-28,5.09375,5.1875,5.03125,5.0625,26000,ACVA-200311
1986-05-29,5.125,5.3125,5.125,5.3125,254000,ACVA-200311
1986-05-30,5.3125,5.3125,5.125,5.3125,78800,ACVA-200311
1986-06-02,5.3125,5.3125,5.125,5.125,13200,ACVA-200311
1986-06-03,5.125,5.3125,5.125,5.125,11600,ACVA-200311
1986-06-04,5.125,5.25,5.125,5.125,46000,ACVA-200311
1986-06-05,5.125,5.25,5.125,5.1875,24400,ACVA-200311
1986-06-06,5.1875,5.25,5.1875,5.25,34800,ACVA-200311
1986-06-09,5.15625,5.15625,5.0,5.0625,28400,ACVA-200311
1986-06-10,5.0625,5.1875,5.0,5.0,24400,ACVA-200311
1986-06-11,5.0,5.0,4.9375,4.9375,4400,ACVA-200311
1986-06-12,4.9375,5.0625,4.875,5.0625,17600,ACVA-200311
1986-06-13,5.0625,5.125,4.875,4.9375,16000,ACVA-200311
1986-06-16,4.9375,4.9375,4.875,4.875,20000,ACVA-200311
1986-06-17,4.875,5.0,4.8125,4.8125,6400,ACVA-200311
1986-06-18,4.75,4.75,4.5625,4.75,50400,ACVA-200311
1986-06-19,4.75,4.875,4.5625,4.75,239200,ACVA-200311
1986-06-20,4.75,4.875,4.75,4.75,2942800,ACVA-200311
1986-06-23,4.75,4.875,4.75,4.75,485200,ACVA-200311
1986-06-24,4.75,4.75,4.75,4.75,83200,ACVA-200311
1986-06-25,4.75,4.8125,4.75,4.8125,368800,ACVA-200311
1986-06-26,4.84375,4.90625,4.84375,4.875,242800,ACVA-200311
1986-06-27,4.875,5.03125,4.875,5.03125,104000,ACVA-200311
1986-06-30,5.03125,5.0625,4.875,5.0625,162000,ACVA-200311
1986-07-01,5.0625,5.0625,4.8125,4.96875,119600,ACVA-200311
1986-07-02,5.0,5.125,5.0,5.125,231600,ACVA-200311
1986-07-03,5.125,5.1875,5.125,5.125,234400,ACVA-200311
1986-07-07,5.125,5.125,4.90625,4.90625,46400,ACVA-200311
1986-07-08,4.71875,4.71875,4.625,4.625,46400,ACVA-200311
1986-07-09,4.625,4.71875,4.4375,4.4375,125600,ACVA-200311
1986-07-10,4.5,4.84375,4.5,4.84375,157600,ACVA-200311
1986-07-11,4.9375,5.0,4.9375,4.96875,46000,ACVA-200311
1986-07-14,4.9375,4.9375,4.6875,4.6875,25600,ACVA-200311
1986-07-15,4.6875,4.75,4.625,4.75,30000,ACVA-200311
1986-07-16,4.75,4.75,4.625,4.6875,66800,ACVA-200311
1986-07-17,4.6875,4.8125,4.6875,4.8125,248000,ACVA-200311
1986-07-18,4.875,4.90625,4.875,4.875,44400,ACVA-200311
1986-07-21,4.875,4.875,4.8125,4.8125,26400,ACVA-200311
1986-07-22,4.8125,4.875,4.8125,4.875,103200,ACVA-200311
1986-07-23,4.875,4.9375,4.8125,4.875,14000,ACVA-200311
1986-07-24,4.875,4.875,4.75,4.8125,72000,ACVA-200311
1986-07-25,4.875,4.96875,4.875,4.96875,121200,ACVA-200311
1986-07-28,4.96875,4.96875,4.75,4.75,34800,ACVA-200311
1986-07-29,4.625,4.625,4.59375,4.625,21200,ACVA-200311
1986-07-30,4.6875,4.71875,4.6875,4.71875,4800,ACVA-200311
1986-07-31,4.65625,4.65625,4.5,4.5,26400,ACVA-200311
1986-08-01,4.4375,4.4375,4.25,4.25,47200,ACVA-200311
