Date,Open,High,Low,Close,Volume,Ticker
1996-07-25,9.75,9.75,9.0,9.0,495650,ADSI-199810
1996-07-26,9.125,9.5,9.0,9.25,106672,ADSI-199810
1996-07-29,9.25,9.5,9.0,9.0,28500,ADSI-199810
1996-07-30,9.0,9.5,9.0,9.125,97550,ADSI-199810
1996-07-31,9.125,9.75,9.125,9.75,45000,ADSI-199810
1996-08-01,9.75,10.5,9.25,10.25,40600,ADSI-199810
1996-08-02,10.5,10.5,10.125,10.375,21031,ADSI-199810
1996-08-05,10.125,11.125,10.125,11.125,55400,ADSI-199810
1996-08-06,11.125,11.125,10.5,11.125,19150,ADSI-199810
1996-08-07,11.75,11.75,11.125,11.125,26200,ADSI-199810
1996-08-08,11.125,11.625,10.5,10.625,35250,ADSI-199810
1996-08-09,10.375,10.875,10.25,10.5,5900,ADSI-199810
1996-08-12,10.75,10.75,10.25,10.75,11125,ADSI-199810
1996-08-13,10.5,10.75,10.5,10.75,7000,ADSI-199810
1996-08-14,10.5,10.75,10.5,10.5,35800,ADSI-199810
1996-08-15,10.75,10.75,10.25,10.25,1700,ADSI-199810
1996-08-16,10.125,11.5,10.125,11.5,25000,ADSI-199810
1996-08-19,11.125,12.0,11.125,12.0,9600,ADSI-199810
1996-08-20,12.375,12.75,12.25,12.625,45500,ADSI-199810
1996-08-21,12.75,12.75,12.625,12.75,5170,ADSI-199810
1996-08-23,12.75,12.75,12.75,12.75,100,ADSI-199810
1996-08-26,12.25,13.75,12.25,13.625,81200,ADSI-199810
1996-08-27,13.75,14.375,13.625,14.25,30276,ADSI-199810
1996-08-28,14.0,14.25,13.75,14.0,476725,ADSI-199810
1996-08-29,14.25,14.25,14.0,14.125,4331,ADSI-199810
1996-08-30,14.0,14.25,14.0,14.25,3200,ADSI-199810
1996-09-03,14.25,14.25,14.0,14.0,6790,ADSI-199810
1996-09-04,14.0,14.0,14.0,14.0,5000,ADSI-199810
1996-09-05,14.0,14.25,13.625,13.625,50900,ADSI-199810
1996-09-06,13.875,13.875,13.875,13.875,200,ADSI-199810
1996-09-09,13.875,13.875,13.875,13.875,5500,ADSI-199810
1996-09-10,14.0,14.125,13.75,14.0,50300,ADSI-199810
1996-09-11,14.0,14.25,13.75,14.25,2400,ADSI-199810
1996-09-12,14.0,14.0,13.75,13.75,1200,ADSI-199810
1996-09-13,13.75,14.25,13.75,14.0,30100,ADSI-199810
1996-09-16,14.25,14.5,14.25,14.375,15100,ADSI-199810
1996-09-17,14.5,14.75,14.5,14.75,18500,ADSI-199810
1996-09-18,14.75,14.75,14.75,14.75,2000,ADSI-199810
1996-09-19,15.0,17.875,15.0,17.875,38465,ADSI-199810
1996-09-20,17.375,17.875,16.875,17.125,42000,ADSI-199810
1996-09-23,16.875,17.5,16.875,17.5,15620,ADSI-199810
1996-09-24,17.5,17.5,17.0,17.5,19050,ADSI-199810
1996-09-25,17.25,18.375,17.25,18.25,11400,ADSI-199810
1996-09-26,18.25,18.25,18.0,18.0,9960,ADSI-199810
1996-09-27,18.25,19.5,18.125,18.125,41500,ADSI-199810
