Date,Open,High,Low,Close,Volume,Ticker
1993-11-04,32.5,35.0,30.0,33.125,262032,ADSO-199810
1993-11-05,33.125,33.125,31.25,31.875,61698,ADSO-199810
1993-11-08,32.5,32.5,30.0,30.625,23670,ADSO-199810
1993-11-09,30.625,31.875,30.625,30.625,19487,ADSO-199810
1993-11-10,30.625,32.5,30.625,32.5,8420,ADSO-199810
1993-11-11,30.625,32.5,30.625,30.625,8350,ADSO-199810
1993-11-12,32.5,32.5,30.0,31.25,7960,ADSO-199810
1993-11-15,30.0,31.25,30.0,30.0,14772,ADSO-199810
1993-11-16,31.25,31.25,30.0,30.0,17460,ADSO-199810
1993-11-17,31.25,32.5,30.0,32.5,20344,ADSO-199810
1993-11-18,30.625,32.5,30.625,30.625,10920,ADSO-199810
1993-11-19,30.625,32.5,30.625,32.5,7694,ADSO-199810
1993-11-22,30.625,32.5,30.0,30.0,6595,ADSO-199810
1993-11-23,30.0,32.5,30.0,30.0,3510,ADSO-199810
1993-11-24,32.5,32.5,30.0,32.5,2698,ADSO-199810
1993-11-26,30.0,32.5,30.0,32.5,1240,ADSO-199810
1993-11-29,30.0,32.5,30.0,32.5,5058,ADSO-199810
1993-11-30,30.0,32.5,28.75,28.75,5752,ADSO-199810
1993-12-01,30.0,30.0,28.75,30.0,5810,ADSO-199810
1993-12-02,28.75,30.0,28.125,28.125,5390,ADSO-199810
1993-12-03,28.125,30.0,28.125,28.125,2592,ADSO-199810
1993-12-06,28.125,30.0,26.25,28.125,6980,ADSO-199810
1993-12-07,30.0,30.0,26.25,30.0,9196,ADSO-199810
1993-12-08,30.0,30.0,26.25,30.0,5108,ADSO-199810
1993-12-09,30.0,30.0,26.875,30.0,4720,ADSO-199810
1993-12-10,26.875,30.0,26.875,30.0,6920,ADSO-199810
1993-12-13,30.0,30.0,27.5,29.375,3970,ADSO-199810
1993-12-14,27.5,30.0,27.5,30.0,5393,ADSO-199810
1993-12-15,30.0,31.875,29.375,31.875,13835,ADSO-199810
1993-12-16,31.875,31.875,30.0,30.0,3130,ADSO-199810
1993-12-17,30.0,32.5,30.0,32.5,9713,ADSO-199810
1993-12-20,30.0,32.5,30.0,30.0,2480,ADSO-199810
1993-12-21,32.5,32.5,30.0,30.0,4090,ADSO-199810
1993-12-22,30.0,32.5,29.375,29.375,5600,ADSO-199810
1993-12-23,29.375,31.875,28.75,31.875,3330,ADSO-199810
1993-12-27,28.75,31.875,28.75,31.25,4980,ADSO-199810
1993-12-28,28.75,30.0,28.125,28.125,5280,ADSO-199810
1993-12-29,30.0,30.0,27.5,27.5,2560,ADSO-199810
1993-12-30,27.5,30.0,27.5,27.5,1733,ADSO-199810
1993-12-31,27.5,27.5,27.5,27.5,420,ADSO-199810
1994-01-03,27.5,30.0,27.5,28.75,5520,ADSO-199810
1994-01-04,27.5,30.0,27.5,30.0,1310,ADSO-199810
1994-01-05,30.0,30.0,27.5,27.5,1480,ADSO-199810
1994-01-06,27.5,27.5,27.5,27.5,1090,ADSO-199810
1994-01-07,27.5,30.0,27.5,27.5,2000,ADSO-199810
1994-01-10,27.5,30.0,27.5,27.5,5709,ADSO-199810
1994-01-11,30.0,30.0,26.25,26.25,3835,ADSO-199810
1994-01-12,26.25,28.125,26.25,28.125,2421,ADSO-199810
1994-01-13,26.25,28.125,23.75,28.125,7080,ADSO-199810
1994-01-14,25.625,30.0,25.625,30.0,16577,ADSO-199810
1994-01-17,27.5,30.625,27.5,28.125,4400,ADSO-199810
1994-01-18,27.5,30.0,27.5,30.0,3369,ADSO-199810
1994-01-19,30.0,31.25,28.125,28.75,5879,ADSO-199810
1994-01-20,28.75,31.25,26.875,30.0,3840,ADSO-199810
1994-01-21,27.5,30.0,26.875,30.0,3003,ADSO-199810
1994-01-24,26.875,30.0,26.875,26.875,2100,ADSO-199810
1994-01-25,30.0,30.0,26.875,26.875,2280,ADSO-199810
1994-01-26,30.0,30.0,26.25,28.75,2990,ADSO-199810
1994-01-27,26.25,28.75,26.25,26.25,1138,ADSO-199810
1994-01-28,28.75,28.75,25.0,25.0,3540,ADSO-199810
1994-01-31,25.0,28.75,25.0,27.5,8551,ADSO-199810
1994-02-01,28.75,28.75,25.0,25.0,2214,ADSO-199810
1994-02-02,28.75,28.75,23.75,27.5,3500,ADSO-199810
1994-02-03,23.75,27.5,23.75,26.25,2190,ADSO-199810
