Date,Open,High,Low,Close,Volume,Ticker
1993-11-11,22.0,22.125,21.75,21.75,1234600,AEC
1993-11-12,21.75,21.875,21.75,21.875,149600,AEC
1993-11-15,21.875,21.875,21.75,21.75,120600,AEC
1993-11-16,21.875,21.875,21.625,21.625,315400,AEC
1993-11-17,21.5,21.5,20.25,20.875,227800,AEC
1993-11-18,20.75,20.875,20.25,20.375,96500,AEC
1993-11-19,20.375,20.5,20.125,20.375,84000,AEC
1993-11-22,20.125,20.125,19.5,20.0,183300,AEC
1993-11-23,20.0,20.125,19.625,20.125,103400,AEC
1993-11-24,20.125,20.125,19.875,20.0,10300,AEC
1993-11-26,20.0,20.0,19.875,19.875,7300,AEC
1993-11-29,19.875,20.0,19.875,20.0,41300,AEC
1993-11-30,19.875,20.125,19.875,20.0,28500,AEC
1993-12-01,20.25,20.5,20.0,20.5,32700,AEC
1993-12-02,20.375,20.625,20.125,20.5,19100,AEC
1993-12-03,20.375,20.625,20.375,20.625,21400,AEC
1993-12-06,20.375,20.625,20.375,20.5,25800,AEC
1993-12-07,20.375,20.875,20.375,20.875,108000,AEC
1993-12-08,21.125,21.375,21.0,21.0,62200,AEC
1993-12-09,21.125,21.125,20.75,20.75,76700,AEC
1993-12-10,20.625,20.625,20.5,20.625,10700,AEC
1993-12-13,20.375,20.375,20.125,20.125,50700,AEC
1993-12-14,20.0,20.5,20.0,20.5,47700,AEC
1993-12-15,20.375,20.375,20.0,20.25,64200,AEC
1993-12-16,20.5,20.875,20.5,20.75,32000,AEC
1993-12-17,20.75,20.75,20.25,20.5,19700,AEC
1993-12-20,20.375,20.75,20.125,20.25,13700,AEC
1993-12-21,20.0,20.375,20.0,20.125,13700,AEC
1993-12-22,20.0,20.375,19.75,20.25,41700,AEC
1993-12-23,20.0,20.5,20.0,20.125,18500,AEC
1993-12-27,20.125,20.125,20.0,20.0,7600,AEC
1993-12-28,19.875,20.5,19.875,20.375,21600,AEC
1993-12-29,20.25,21.125,20.25,20.875,40600,AEC
1993-12-30,20.75,20.875,20.625,20.625,19300,AEC
1993-12-31,20.5,20.875,20.5,20.75,23700,AEC
1994-01-03,20.875,20.875,20.625,20.75,6200,AEC
1994-01-04,20.625,20.875,20.625,20.625,8100,AEC
1994-01-05,20.75,20.75,20.375,20.375,10500,AEC
1994-01-06,20.25,20.375,20.125,20.25,12300,AEC
1994-01-07,20.25,20.25,19.5,19.875,23500,AEC
1994-01-10,19.625,20.375,19.5,20.25,51300,AEC
1994-01-11,20.125,20.5,20.125,20.5,33500,AEC
1994-01-12,20.5,20.625,20.25,20.625,3000,AEC
1994-01-13,20.625,20.625,20.25,20.375,10600,AEC
1994-01-14,20.5,20.5,20.0,20.125,59400,AEC
1994-01-17,20.25,20.25,20.0,20.0,15200,AEC
1994-01-18,20.0,20.0,19.5,19.75,27400,AEC
1994-01-19,19.5,19.875,19.5,19.625,16100,AEC
1994-01-20,19.5,19.875,19.5,19.875,28000,AEC
1994-01-21,19.75,19.875,19.625,19.75,11200,AEC
1994-01-24,19.75,19.75,19.375,19.625,23000,AEC
1994-01-25,19.75,19.75,19.625,19.75,62200,AEC
1994-01-26,19.75,19.75,19.5,19.75,253100,AEC
1994-01-27,19.75,20.5,19.75,20.0,159200,AEC
1994-01-28,20.375,20.375,20.125,20.25,10000,AEC
1994-01-31,20.25,21.75,20.25,21.75,82000,AEC
1994-02-01,21.875,21.875,21.375,21.625,79700,AEC
1994-02-02,21.75,21.75,21.5,21.75,38300,AEC
1994-02-03,21.5,21.625,21.5,21.5,16200,AEC
1994-02-04,21.75,21.875,21.375,21.625,79300,AEC
1994-02-07,21.5,21.5,21.125,21.375,21100,AEC
1994-02-08,21.25,21.5,21.25,21.5,8500,AEC
1994-02-09,21.375,21.75,21.375,21.625,24300,AEC
1994-02-10,21.375,21.875,21.375,21.875,60200,AEC
1994-02-11,21.75,21.875,21.75,21.75,15000,AEC
1994-02-14,21.75,22.375,21.75,22.375,83700,AEC
1994-02-15,22.25,22.25,22.0,22.25,92300,AEC
1994-02-16,22.125,22.375,22.125,22.375,81200,AEC
1994-02-17,22.5,22.875,22.5,22.875,85900,AEC
1994-02-18,22.875,23.0,22.75,22.875,72200,AEC
1994-02-22,23.0,23.375,23.0,23.375,69500,AEC
1994-02-23,23.375,24.0,23.25,23.75,123900,AEC
1994-02-24,23.75,23.75,23.625,23.625,52700,AEC
1994-02-25,23.75,24.125,23.75,24.0,37100,AEC
1994-02-28,23.875,24.375,23.875,24.375,192100,AEC
1994-03-01,24.125,24.125,22.75,23.0,26200,AEC
1994-03-02,22.875,23.625,22.75,23.5,13900,AEC
1994-03-03,23.25,23.25,23.0,23.0,6100,AEC
1994-03-04,23.0,23.5,23.0,23.5,9300,AEC
1994-03-07,23.5,24.0,23.5,23.75,37400,AEC
1994-03-08,23.875,24.0,23.75,23.875,31900,AEC
1994-03-09,23.75,23.75,23.375,23.75,21900,AEC
1994-03-10,23.75,23.875,23.375,23.375,10600,AEC
1994-03-11,23.25,23.5,23.0,23.5,15100,AEC
1994-03-14,23.75,23.875,23.5,23.5,15800,AEC
1994-03-15,23.5,23.5,22.875,23.125,58000,AEC
1994-03-16,23.0,23.75,23.0,23.75,5900,AEC
1994-03-17,23.5,23.875,23.375,23.5,15100,AEC
1994-03-18,23.5,23.5,23.375,23.5,8400,AEC
1994-03-21,23.25,23.375,23.125,23.125,3000,AEC
1994-03-22,23.0,23.25,23.0,23.0,4200,AEC
1994-03-23,23.0,23.0,22.75,22.75,25400,AEC
1994-03-24,23.0,23.25,22.875,23.25,5700,AEC
1994-03-25,23.25,23.25,23.125,23.25,24000,AEC
1994-03-28,23.375,23.375,23.125,23.375,13100,AEC
1994-03-29,23.375,23.5,23.25,23.375,10900,AEC
1994-03-30,23.25,23.375,22.875,22.875,34300,AEC
1994-03-31,22.875,22.875,22.375,22.5,26400,AEC
1994-04-04,22.0,22.25,21.75,21.75,30600,AEC
1994-04-05,21.75,21.75,21.25,21.25,46000,AEC
1994-04-06,21.375,22.125,21.375,22.125,44900,AEC
1994-04-07,22.25,22.625,22.0,22.5,3900,AEC
1994-04-08,22.375,22.375,22.25,22.375,5000,AEC
1994-04-11,21.75,22.5,21.75,22.5,7300,AEC
1994-04-12,22.75,22.875,22.75,22.75,72400,AEC
1994-04-13,22.875,23.0,22.875,22.875,20400,AEC
1994-04-14,22.875,23.125,22.875,23.0,24000,AEC
1994-04-15,23.0,23.125,22.875,22.875,6700,AEC
1994-04-18,23.125,23.25,22.875,23.0,27100,AEC
1994-04-19,23.0,23.0,22.375,22.375,14100,AEC
1994-04-20,22.25,22.625,22.0,22.625,16000,AEC
1994-04-21,22.75,22.75,21.875,21.875,7700,AEC
1994-04-22,21.875,22.625,21.875,22.625,5100,AEC
1994-04-25,22.5,22.875,22.375,22.875,39400,AEC
1994-04-26,22.625,23.125,22.625,23.0,10100,AEC
1994-04-28,23.0,23.0,22.75,22.75,14600,AEC
1994-04-29,22.875,22.875,21.875,22.25,6600,AEC
1994-05-02,22.375,22.5,21.875,22.125,18000,AEC
1994-05-03,22.25,22.375,22.125,22.375,5500,AEC
1994-05-04,22.5,23.0,22.5,22.75,32100,AEC
